?;Air Mauritius;?;GE;767-200ER;Jan;1987;Africa;?;2
Brazil;Cruzeiro;1971;PW;727;Jun;1970;South America;3;3
Italy;?;?;PW;DC-9;Jun;?;?;4;4
Belarus;Belavia Belarusian Airlines;2016;CF;737-800;?;2014;Europe;3;?
USA;International Lease Finance Co;1994;PW;757-200;Jan;1990;?;1;1
France;Air France;1969;?;727;Feb;1969;Europe;3;3
Indonesia;Lion Air;2014;?;737-900ER;Feb;?;?;4;4
Israel;MG Aviation Limited;2016;RR;787-9;Dec;2006;Middle East;2;2
China;Bank of Communications Leasing;2017;CF;737-700;?;?;East Asia;2;2
?;CATIC;1993;PW;MD-80;?;1990;East Asia;1;1
Tanzania United Republic of;?;2019;RR;787-8;?;2018;Africa;?;1
Japan;?;?;PW;737-200;May;?;?;1;1
Australia;Jetstar - Duplicated (See JSA);2000;?;?;Dec;2000;Oceania;?;2
USA;?;1991;PW;MD-80;Jan;1989;North America;?;2
?;Icelandair;2007;CF;737-800;Jan;2005;Europe;1;1
?;Ariana Afghan Airlines;1979;?;?;Sep;1978;Central Asia;1;?
Kuwait;Kuwait Air Force;?;PW;DC-9;Oct;1976;Middle East;2;2
USA;Seaboard World Airlines;1967;PW;DC-8;Feb;1966;?;1;1
USA;Altavair LLC;?;?;747-400ERF;Jun;2005;North America;1;1
?;WestJet;2005;?;737-800;Jan;?;North America;4;4
?;LTU;1988;RR;757-200;Jan;1987;Europe;1;?
?;America West Airlines;1987;?;?;Feb;1987;North America;?;?
Ireland;GPA Group;1991;CF;737-400;Jan;1988;Europe;4;4
Japan;ITOCHU Corporation;1996;GE;767-200ER;Oct;?;East Asia;1;1
China;Xiamen Airlines;2002;RR;757-200;Jan;2001;East Asia;1;?
Pakistan;Pakistan International Airline;1980;?;747-200;Jan;?;South Asia;1;1
Tanzania United Republic of;?;1979;PW;737-200;Mar;1978;Africa;?;?
Mauritania;?;2016;CF;737-800;Jul;2016;Africa;?;1
?;Silk Way Airlines;2014;GE;747-8F;?;?;Central Asia;2;2
Algeria;Air Algerie;1975;PW;737-200;Jan;?;Africa;2;2
?;Aero Trasporti Italiani;?;PW;?;?;?;Europe;1;1
South Korea;Jeju Air;2018;CF;?;?;2016;East Asia;3;3
USA;Starflite Corporation;1999;RR;?;Dec;1999;North America;1;?
Denmark;Maersk Air;1989;CF;737-300;?;1989;Europe;1;1
Saudi Arabia;Kingdom of Saudi Arabia;1987;CF;707/720;Jun;1983;Middle East;7;7
USA;Aviation Service & Support;?;PW;707/720;Jun;?;?;?;1
?;British Airways;?;?;767-300ER;Jan;1991;?;?;1
USA;Playboy;1969;PW;?;Jun;1967;North America;1;1
USA;TWA;1966;PW;707/720;Jan;1965;North America;12;12
USA;Business Jet / VIP Customer(s);2011;CF;BBJ;?;2011;North America;?;?
Czech Republic;CSA;1992;CF;737-500;Mar;1992;Europe;5;5
USA;Southern Airways - USA (Inacti;1971;PW;DC-9;Jun;?;North America;2;2
Taiwan;Far Eastern Air Transport;1991;PW;MD-80;Apr;1991;Southeast Asia;2;2
?;Aeropostal;?;PW;MD-80;?;?;South America;1;1
USA;?;1966;PW;DC-9;?;1966;North America;1;1
China;Dragon Aviation Leasing;2014;CF;737-800;Dec;2013;East Asia;?;4
USA;Northwest-Merged w Delta;2002;PW;?;Jan;2001;North America;2;2
France;Aeromaritime;?;CF;737-300;?;1989;Europe;2;?
Australia;Virgin Australia Airlines;?;CF;737-800;Mar;2010;Oceania;3;3
Mongolia;MIAT Mongolian Airlines;2013;GE;767-300ER;May;?;Central Asia;1;1
Liberia;?;1978;PW;?;Jun;1978;?;1;1
Netherlands;?;1998;CF;?;?;1998;Europe;?;1
Australia;?;?;CF;737-800;Mar;?;Oceania;?;4
China;Xiamen Airlines;2017;CF;?;Mar;2016;?;4;4
United Arab Emirates;Presidential Flight;1999;GE;767-300ER;Nov;1999;Middle East;1;1
Slovakia (Slovak Republic);?;?;CF;737-700;Jun;2006;?;?;?
?;?;?;PW;757-200;Nov;1994;Southeast Asia;2;2
Netherlands;?;1989;PW;767-300ER;?;1988;Europe;1;1
?;?;1991;CF;?;Aug;?;Europe;2;2
