?;Southern Airways - USA (Inacti;1968;PW;?;May;?;?;3;?
?;Ryanair;2002;CF;737-800;?;2002;Europe;2;2
?;KLM Royal Dutch Airlines;1983;GE;?;Jan;?;Europe;1;?
?;Oak Hill;?;?;777F;?;?;?;2;2
?;Volga-Dnepr UK Ltd;2012;GE;747-8F;Nov;?;?;?;?
?;Aerolineas Argentinas;?;?;727;Jan;?;South America;2;2
Indonesia;?;?;PW;DC-9;Feb;1976;?;3;?
China;?;2002;?;757-200;?;?;East Asia;1;?
USA;ATA Airlines Inc.;2000;RR;?;?;2000;North America;?;2
France;AOM French Airlines;1996;PW;MD-80;Jun;?;Europe;2;?
United Kingdom;?;?;?;?;?;1988;Europe;?;2
Turkey;?;2007;CF;?;?;2006;?;1;1
?;ITOCHU AirLease B.V.;1993;CF;737-300;Jul;?;Europe;?;?
?;?;?;?;MD-80;May;1986;South America;1;1
?;U.S. Air Force;1978;PW;707/720;?;1973;North America;1;1
Germany;Bavaria;?;PW;?;?;1980;Europe;2;2
Turkey;Turkish Air Force Peace Eagle;2005;CF;737-700W;Aug;2003;Europe;1;1
Germany;Aero Lloyd;1987;PW;MD-80;?;1986;?;1;?
?;?;1993;PW;767-200ER;?;1991;Europe;2;?
Cameroon;Cameroon Airlines;1972;PW;?;May;1972;?;?;1
?;?;?;CF;737 MAX;Feb;?;North America;?;4
Ireland;DAE 4 Ireland Limited;?;?;777F;Dec;2018;Europe;?;?
Switzerland;?;?;PW;DC-9;?;1966;Europe;5;5
Turkey;Onur Air;1997;?;?;?;1995;Europe;5;5
?;Arik Air;?;?;737-800;Sep;2007;?;1;?
USA;Republic Airlines;1980;?;DC-9;Jan;1979;North America;4;4
?;Deucalion Capital VII Limited;2010;GE;777F;Dec;2005;Europe;4;4
China;Jade Cargo International;2006;GE;747-400ERF;Aug;2005;East Asia;2;2
USA;CIT Aerospace LLC;2006;CF;?;Jan;2003;North America;?;?
Germany;Lufthansa Cargo;?;?;MD-11;?;1997;?;5;5
Tanzania United Republic of;?;2019;RR;?;May;2018;?;1;?
China;Air China;1998;?;747-400M;Jan;?;?;1;?
State of Libya;Libyan Airlines;?;?;727;Apr;1974;Africa;3;3
?;VivaAerobus;?;?;737-300;?;?;Central America and Mexico;2;2
USA;World Airways Inc.;1965;?;707/720;Jan;1965;North America;1;1
?;?;2014;?;787-8;Feb;2007;Central Asia;?;?
China;CAAC-Civil Aviation of China;1985;?;?;?;1985;?;1;1
China;CATIC;1992;?;MD-80;Mar;1990;East Asia;2;2
?;dba;1998;CF;737-300;Mar;1997;?;?;1
?;?;?;GE;MD-11;Dec;?;?;2;?
USA;Air Lease Corporation;2017;RR;?;Jan;2016;North America;?;1
?;?;?;GE;?;Apr;2010;?;3;?
China;China Cargo;?;?;747-400ERF;Jul;2005;East Asia;1;?
?;Royal Brunei Airlines;1975;PW;?;Jan;1975;?;2;2
?;China Eastern Yunnan Airlines;1985;?;?;?;?;East Asia;1;1
Hong Kong;CDB Aviation;?;?;737-800;?;?;East Asia;?;6
USA;Altavair LLC;2007;GE;747-400ERF;Jun;?;North America;3;3
South Africa;Comair Limited;2015;?;737-800;Jun;2010;?;2;2
Japan;?;2016;CF;?;?;?;East Asia;2;?
Saudi Arabia;Mid East Jet;?;PW;757-200;Jan;1997;Middle East;?;1
?;Air Malta;?;PW;737-200;Mar;?;Europe;3;3
Brazil;VASP Airlines;1973;?;737-200;?;?;South America;3;3
?;?;2017;GE;?;Aug;2017;North America;2;?
Mexico;?;1980;PW;?;Jan;1979;Central America and Mexico;6;6
Brazil;GOL Linhas Aereas;2009;?;737-800;?;?;South America;1;1
Azerbaijan;Azerbaijan Airlines;2012;GE;?;Jun;2010;Central Asia;2;?
Ukraine;Goiania;2012;CF;?;Jul;2007;Europe;?;2
?;Iberia Airlines;1972;PW;727;?;1972;Europe;3;3
Singapore;Scoot PTE LTD;?;RR;787-9;Oct;2006;Southeast Asia;6;6
Singapore;SilkAir;?;CF;?;Nov;2012;Southeast Asia;?;6
?;Thomas Cook Airlines;2001;RR;?;?;2000;Europe;2;?
USA;Capitol Air;1969;PW;DC-8;?;?;North America;?;?
Germany;LTU;1987;?;757-200;Jan;1987;Europe;2;2
Netherlands;?;2016;?;787-9;?;2011;?;1;1
South Korea;?;2018;?;737-800;?;?;East Asia;3;?
?;American Airlines;1976;?;727;Jan;?;North America;8;8
Iceland;Icelandair;2006;CF;?;?;?;Europe;?;?
?;Air Algerie;1974;PW;?;?;1974;?;1;1
?;Dubai Air Wing;1982;PW;?;?;?;?;?;?
Ireland;GPA Group;?;?;737-400;Jan;1988;Europe;4;4
?;MarkAir;1982;?;?;?;1982;?;?;2
Italy;?;?;PW;?;Jan;?;Europe;?;2
USA;US Airways Inc.;1970;?;727;Jan;1969;North America;2;?
Switzerland;Maritime Investment & Shipping;1979;PW;?;Sep;1978;Europe;?;?
?;?;1989;CF;737-400;Apr;1987;?;2;2
USA;US Airways Inc.;1994;RR;757-200;Jan;?;North America;1;1
South Korea;Government of Korea;?;?;737-800A;?;?;East Asia;?;1
Japan;BDS Japan International Tanker;2021;PW;767-2C;Nov;2018;?;1;?
Reunion;Air Austral;?;?;?;?;?;Africa;2;2
Saudi Arabia;Mid East Jet;1996;?;767-200ER;?;1996;Middle East;?;1
?;?;1963;?;707/720;?;1963;South America;1;1
USA;Trans Carib Air;?;PW;DC-8;?;1964;North America;1;?
Morocco;Royal Air Maroc;1970;PW;727;Jan;1969;Africa;1;1
USA;United Airlines;1967;PW;727;Jan;1966;North America;9;9
Algeria;Tassili Airlines;2011;CF;?;?;2009;Africa;4;?
?;?;1989;?;767-300ER;?;1988;Europe;?;1
Czech Republic;CSA;2000;CF;737-400;?;1999;Europe;2;?
Fiji;Fiji Airways;2018;CF;737 MAX;?;2017;?;?;2
Slovakia (Slovak Republic);SkyEurope;2008;CF;737-700;Jun;2006;?;1;1
China;?;2016;CF;737-800;Dec;?;East Asia;3;?
USA;?;2001;?;737-800;Jun;?;?;5;5
Taiwan;Air Asia Company;1966;PW;?;Jan;?;?;1;?
?;National Airlines;1975;GE;DC-10;?;1973;?;?;4
?;PrivatAir;1981;PW;737-200;Nov;1979;Europe;1;1
?;Hughes Airwest Inc.;1968;PW;DC-9;Feb;1968;North America;2;2
USA;U.S. Air Force;?;PW;707/720;Jan;1982;?;1;1
Bermuda;AOF Leasing;1991;CF;737-400;Apr;1988;Caribbean;1;?
?;FUERZA AEREA DEL PERU;1995;CF;?;Sep;?;South America;?;1
China;China Xinjiang Airlines;2001;RR;?;Mar;2000;East Asia;2;?
Egypt;?;1984;PW;767-200ER;?;1984;?;3;3
Angola;?;?;GE;777-300ER;?;2012;Africa;1;?
?;WEDGE Group;1981;?;727;Sep;1980;North America;1;?
Brunei Darussalam;Royal Brunei Airlines;?;GE;767-300ER;Mar;1996;Southeast Asia;1;1
Australia;Jetstar - Duplicated (See JSA);2000;RR;717-200;Dec;2000;Oceania;2;?
Norway;?;1998;CF;737-700;Feb;1997;Europe;2;2
?;Air Trading 92;?;PW;?;Jun;1988;Europe;?;3
Venezuela;?;?;PW;?;Jan;1967;South America;1;1
?;Etihad Airways;2013;GE;?;Feb;2011;?;?;?
Belgium;DHL International;2012;GE;767-300F;Feb;?;Europe;3;3
?;?;?;?;MD-80;?;1984;East Asia;2;2
Canada;Wardair;?;?;?;Mar;1969;?;?;1
?;?;?;?;?;Apr;?;Middle East;?;5
Slovenia;Adria Airways d.d.;1969;PW;DC-9;Mar;1969;Europe;1;1
China;Shandong Airlines;2007;CF;737-800;Jan;?;East Asia;?;2
India;Air India;1961;RR;707/720;?;1960;South Asia;1;1
United Arab Emirates;Novus Aviation Capital;2020;GE;777-300ER;?;2018;?;2;?
?;Jet America Airlines;?;PW;MD-80;Aug;1984;North America;?;2
Kenya;Kenya Airways;1998;?;737-300;Mar;?;?;?;1
Italy;?;?;GE;767-200ER;?;2002;Europe;1;1
?;?;1974;PW;DC-9;Jan;?;?;3;?
USA;Bonanza Airlines;?;PW;DC-9;Jul;?;North America;1;1
USA;?;1978;PW;737-200;Mar;1978;North America;2;2
Russian Federation;S7 Group;2011;CF;737-800;Nov;2006;Europe;?;2
?;Nordair;1969;PW;737-200;Jan;1967;North America;1;?
Brazil;?;2012;?;777-300ER;?;?;South America;4;4
?;LAM;?;PW;737-200;?;1971;Africa;1;?
Japan;Government of Japan;1991;?;747-400;Dec;1987;East Asia;2;2
Mauritania;Mauritania Airlines;2016;CF;?;?;2016;Africa;1;1
Finland;?;1975;GE;DC-10;Jan;?;Europe;?;2
?;?;2021;GE;777-300ER;?;?;Middle East;1;1
Canada;Canadian Airlines;?;GE;?;Apr;1987;?;4;?
Canada;Air Canada;1991;?;747-400M;Jan;?;North America;3;3
?;Philippine Airlines;?;GE;747-400M;Jan;1996;Southeast Asia;?;1
Belgium;Sobelair;1992;CF;737-400;Jun;?;Europe;1;1
?;Etihad Airways;2011;GE;777-300ER;Mar;2008;Middle East;?;2
?;Playboy;1969;PW;?;?;1967;?;1;?
Panama;Copa Airlines;?;?;737-700;Jan;1999;?;4;?
?;America West Airlines;?;?;?;?;?;?;?;?
Belgium;?;1998;?;MD-11;Mar;?;Europe;1;1
USA;?;2007;CF;737-700;?;?;North America;?;1
?;?;1997;CF;?;Sep;1996;South America;1;?
Nigeria;Arik Air;2010;CF;737-800;Sep;2007;Africa;1;1
Sweden;Linjeflyg;1990;CF;737-500;Aug;1988;Europe;1;1
USA;?;1979;PW;737-200;Jan;1979;North America;1;1
Romania;Socialist Republic of Romania;?;?;707/720;Mar;1973;Europe;1;1
?;Japan Airlines Co. Ltd.;1974;PW;?;Jan;1973;East Asia;8;8
USA;?;1981;PW;MD-80;Jan;1980;North America;2;2
Kenya;Kenya Airways;?;CF;737-700;Mar;2000;Africa;?;1
Thailand;Nok Air;2015;CF;?;?;2014;Southeast Asia;2;2
