USA;?;1968;PW;DC-9;May;?;North America;3;3
Ireland;Ryanair;2002;CF;737-800;Jan;2002;Europe;?;2
Netherlands;KLM Royal Dutch Airlines;1983;GE;747-300;Jan;1982;Europe;1;1
USA;Oak Hill;?;GE;777F;Apr;2007;?;2;2
Russian Federation;?;2012;GE;747-8F;Nov;?;Europe;3;3
?;Aerolineas Argentinas;?;?;727;Jan;?;?;2;2
Indonesia;?;1976;?;?;Feb;1976;Southeast Asia;?;3
China;?;2002;RR;757-200;Mar;2000;East Asia;?;?
USA;ATA Airlines Inc.;?;RR;?;?;2000;North America;2;2
France;AOM French Airlines;1996;PW;MD-80;Jun;?;?;?;2
?;Air Europe;1989;RR;757-200;Apr;1988;Europe;2;2
Turkey;Pegasus Airlines;2007;?;?;?;2006;Europe;?;?
?;ITOCHU AirLease B.V.;1993;CF;737-300;Jul;1991;Europe;1;?
Venezuela;Aeropostal;?;PW;MD-80;May;?;South America;?;?
USA;?;1978;PW;707/720;Jan;1973;?;?;?
Germany;Bavaria;1982;?;737-200;Jan;?;Europe;2;2
?;Turkish Air Force Peace Eagle;?;CF;737-700W;Aug;2003;?;?;?
?;Aero Lloyd;?;PW;MD-80;Aug;1986;?;?;1
Hungary;Malev Hungarian Airlines Ltd.;1993;?;767-200ER;Feb;?;Europe;2;?
Cameroon;Cameroon Airlines;1972;PW;707/720;May;1972;Africa;1;1
USA;Jackson Square Aviation;2021;?;737 MAX;Feb;?;?;?;?
Ireland;DAE 4 Ireland Limited;2020;GE;?;Dec;2018;?;1;1
Switzerland;Swissair;1968;PW;DC-9;Jan;1966;Europe;5;?
Turkey;?;?;PW;?;?;1995;?;5;5
Nigeria;Arik Air;?;CF;?;Sep;2007;Africa;?;1
USA;?;1980;PW;DC-9;?;1979;North America;4;4
?;?;2010;?;777F;Dec;2005;Europe;4;4
?;Jade Cargo International;?;?;747-400ERF;?;2005;?;2;2
USA;?;2006;CF;737-800;?;2003;?;1;0
Germany;Lufthansa Cargo;1998;GE;MD-11;Feb;1997;Europe;5;5
?;Tanzania;2019;RR;787-8;May;2018;Africa;?;?
China;?;?;PW;747-400M;Jan;1997;East Asia;1;?
State of Libya;?;1975;?;?;Apr;1974;Africa;3;3
?;?;1992;?;737-300;Sep;1989;Central America and Mexico;2;?
USA;World Airways Inc.;1965;?;707/720;Jan;?;?;1;1
Azerbaijan;?;?;?;787-8;Feb;2007;?;2;2
China;?;?;PW;747-200;May;1985;?;1;1
China;CATIC;1992;?;MD-80;Mar;?;East Asia;2;2
Germany;dba;1998;?;737-300;?;1997;?;1;1
Japan;Mitsui & Co.;1990;GE;MD-11;Dec;?;East Asia;2;?
?;Air Lease Corporation;2017;RR;?;Jan;2016;North America;1;1
United Arab Emirates;Emirates;2011;?;777-300ER;Apr;2010;Middle East;3;?
China;China Cargo;2006;GE;747-400ERF;Jul;2005;East Asia;1;1
Brunei Darussalam;Royal Brunei Airlines;1975;PW;737-200;Jan;1975;Southeast Asia;?;2
?;China Eastern Yunnan Airlines;1985;CF;737-300;Jan;1985;East Asia;?;?
Hong Kong;CDB Aviation;2016;CF;737-800;Mar;2014;?;6;6
USA;Altavair LLC;?;GE;?;?;?;North America;3;3
South Africa;Comair Limited;2015;CF;?;Jun;2010;Africa;2;2
?;Japan Transocean Air;2016;CF;737-800;?;2014;East Asia;2;2
Saudi Arabia;Mid East Jet;1997;PW;?;?;1997;?;?;1
Malta;Air Malta;1983;PW;?;Mar;1982;Europe;3;?
?;VASP Airlines;?;PW;737-200;Mar;1973;South America;3;3
?;USAF PAR Program;2017;GE;747-8;?;2017;?;2;2
Mexico;Aeromexico;?;?;DC-9;Jan;?;Central America and Mexico;?;6
Brazil;GOL Linhas Aereas;2009;CF;737-800;Feb;2006;South America;1;1
Azerbaijan;Azerbaijan Airlines;2012;GE;767-300F;Jun;2010;Central Asia;2;2
Ukraine;Goiania;2012;CF;?;Jul;2007;?;2;2
Spain;Iberia Airlines;?;PW;727;?;1972;Europe;?;3
Singapore;Scoot PTE LTD;?;RR;?;?;2006;Southeast Asia;6;6
?;SilkAir;2015;CF;737-800;Nov;?;?;6;6
United Kingdom;Thomas Cook Airlines;?;RR;757-300;?;2000;?;2;2
USA;?;?;PW;DC-8;?;1967;North America;?;1
?;?;1987;RR;757-200;Jan;?;Europe;2;2
Netherlands;Air France-KLM Group;?;GE;787-9;?;2011;Europe;?;?
South Korea;Jeju Air;?;CF;?;?;2016;East Asia;3;3
USA;American Airlines;?;PW;727;Jan;?;?;?;8
Iceland;Icelandair;?;CF;?;Jan;2005;?;?;?
Algeria;Air Algerie;1974;PW;737-200;Jan;1974;Africa;1;1
?;Dubai Air Wing;1982;?;727;Jul;?;Middle East;1;1
?;GPA Group;?;CF;737-400;Jan;?;?;4;?
USA;MarkAir;?;PW;737-200;Dec;1982;?;2;2
Italy;?;1968;PW;DC-8;Jan;1966;Europe;2;2
?;US Airways Inc.;?;PW;727;Jan;1969;North America;2;2
Switzerland;?;?;PW;?;?;1978;Europe;1;1
United Kingdom;?;1989;CF;737-400;?;?;?;?;?
USA;?;?;?;757-200;Jan;1993;North America;?;1
South Korea;?;2022;CF;737-800A;Mar;2020;East Asia;1;?
Japan;BDS Japan International Tanker;?;PW;?;?;?;East Asia;1;1
?;Air Austral;?;?;?;Feb;2015;?;2;?
Saudi Arabia;Mid East Jet;1996;GE;767-200ER;Oct;1996;Middle East;?;1
Brazil;Varig Airlines;1963;RR;?;?;1963;South America;1;1
USA;?;1964;?;DC-8;?;1964;?;1;1
Morocco;Royal Air Maroc;1970;PW;?;Jan;1969;?;1;?
?;United Airlines;1967;PW;727;Jan;1966;North America;9;9
?;Tassili Airlines;2011;CF;737-800;?;2009;Africa;?;?
Netherlands;Martinair Cargo;1989;PW;767-300ER;Mar;1988;?;?;1
Czech Republic;CSA;2000;CF;737-400;Jan;?;Europe;?;2
Fiji;Fiji Airways;?;CF;?;?;2017;Oceania;2;2
?;?;2008;?;737-700;Jun;2006;Europe;?;1
China;Donghai Airlines;?;CF;?;Dec;2013;East Asia;?;3
?;?;2001;CF;?;Jun;2000;North America;5;?
?;?;1966;PW;?;Jan;1966;Southeast Asia;?;1
United Arab Emirates;National Airlines;?;?;DC-10;Jan;1973;?;4;4
Switzerland;PrivatAir;?;PW;737-200;Nov;?;Europe;1;?
USA;?;?;PW;?;Feb;1968;?;?;2
USA;U.S. Air Force;1982;?;707/720;Jan;1982;North America;1;1
Bermuda;AOF Leasing;1991;?;?;?;1988;?;1;1
?;FUERZA AEREA DEL PERU;1995;CF;737-500;?;?;South America;1;1
China;?;2001;RR;757-200;Mar;2000;?;2;2
Egypt;EgyptAir;?;PW;767-200ER;Jan;1984;?;3;3
Angola;TAAG Angola Airlines;?;GE;777-300ER;Mar;2012;Africa;?;?
USA;WEDGE Group;1981;PW;727;Sep;1980;North America;?;1
Brunei Darussalam;Royal Brunei Airlines;?;GE;?;?;1996;Southeast Asia;1;?
Australia;Jetstar - Duplicated (See JSA);?;RR;?;Dec;?;Oceania;2;2
Norway;SAS Norway;1998;CF;737-700;Feb;1997;?;2;2
Italy;Air Trading 92;1991;PW;?;?;?;?;3;?
Venezuela;VIASA;1968;PW;?;Jan;1967;?;?;1
?;Etihad Airways;?;?;777-300ER;?;2011;?;3;3
Belgium;DHL International;2012;GE;767-300F;Feb;?;Europe;?;3
Japan;Japan Airlines Co. Ltd.;1985;?;MD-80;Jan;1984;?;2;2
?;Wardair;1969;PW;707/720;?;1969;North America;1;1
United Arab Emirates;?;?;CF;?;Apr;?;?;5;5
?;Adria Airways d.d.;1969;PW;DC-9;Mar;1969;Europe;1;?
?;Shandong Airlines;2007;?;737-800;Jan;2006;East Asia;?;2
India;Air India;1961;RR;707/720;?;1960;South Asia;?;?
United Arab Emirates;?;?;GE;777-300ER;?;2018;Middle East;2;2
USA;Jet America Airlines;?;PW;MD-80;Aug;1984;?;2;2
Kenya;Kenya Airways;?;?;737-300;Mar;1997;?;1;?
?;Italian Air Force Tanker;2005;GE;?;Apr;2002;?;1;1
?;Garuda Indonesia;1974;?;?;Jan;1973;Southeast Asia;3;3
USA;Bonanza Airlines;1965;PW;DC-9;?;1963;North America;1;1
?;?;1978;?;?;Mar;?;North America;2;2
Russian Federation;S7 Group;?;?;?;Nov;2006;Europe;2;?
?;Nordair;1969;PW;?;Jan;?;?;1;1
Brazil;LATAM Airlines Brasil;2012;GE;?;Aug;?;?;4;?
?;LAM;1971;?;737-200;?;1971;Africa;1;?
