USA;Southern Airways - USA (Inacti;1968;PW;?;May;1966;?;?;3
?;Ryanair;2002;CF;?;?;2002;?;2;2
?;KLM Royal Dutch Airlines;1983;GE;?;Jan;1982;?;?;1
USA;Oak Hill;2010;GE;777F;Apr;2007;North America;?;2
?;?;2012;GE;?;Nov;2006;?;?;3
?;?;1978;PW;?;Jan;1978;?;?;2
?;?;1976;PW;DC-9;Feb;?;?;3;3
?;China Xinjiang Airlines;?;RR;757-200;?;?;East Asia;?;1
?;ATA Airlines Inc.;?;RR;757-200;?;?;North America;?;2
?;AOM French Airlines;?;PW;MD-80;?;?;Europe;2;2
?;Air Europe;1989;RR;757-200;?;?;Europe;2;2
?;Pegasus Airlines;2007;?;737-800;?;?;?;1;1
?;ITOCHU AirLease B.V.;?;?;737-300;Jul;?;?;1;1
?;Aeropostal;1987;?;MD-80;May;1986;?;1;?
USA;?;1978;?;?;Jan;1973;North America;?;1
Germany;?;1982;PW;?;?;1980;Europe;2;2
Turkey;?;2005;CF;737-700W;?;2003;Europe;1;1
Germany;?;?;PW;?;?;1986;Europe;1;1
Hungary;Malev Hungarian Airlines Ltd.;?;PW;767-200ER;?;1991;Europe;?;2
Cameroon;Cameroon Airlines;1972;?;707/720;May;?;?;1;1
USA;?;2021;?;737 MAX;Feb;?;North America;4;?
Ireland;?;2020;?;777F;?;2018;Europe;1;?
Switzerland;?;1968;?;DC-9;?;1966;?;5;?
?;?;1997;?;MD-80;?;1995;?;5;?
?;?;2009;?;737-800;?;2007;Africa;?;?
?;?;1980;?;DC-9;?;1979;?;?;?
?;?;?;GE;777F;?;?;Europe;?;4
?;Jade Cargo International;?;GE;747-400ERF;?;?;?;?;2
USA;CIT Aerospace LLC;?;?;?;?;?;North America;?;0
Germany;?;1998;?;?;Feb;1997;Europe;?;?
Tanzania United Republic of;?;2019;?;?;May;?;Africa;?;?
China;?;1998;?;747-400M;Jan;?;?;?;?
State of Libya;?;1975;?;727;Apr;?;?;?;?
Mexico;?;1992;?;737-300;Sep;?;?;?;?
USA;?;1965;?;707/720;Jan;?;North America;?;?
Azerbaijan;?;2014;?;787-8;Feb;?;Central Asia;?;2
China;CAAC-Civil Aviation of China;?;?;747-200;May;1985;?;?;1
?;CATIC;1992;?;MD-80;Mar;1990;?;?;2
Germany;dba;1998;CF;737-300;Mar;1997;Europe;1;1
Japan;Mitsui & Co.;1990;GE;MD-11;Dec;1986;?;2;2
USA;?;?;?;787-9;?;2016;?;?;1
United Arab Emirates;?;?;?;?;Apr;2010;?;?;3
China;China Cargo;?;?;?;Jul;?;East Asia;?;1
Brunei Darussalam;Royal Brunei Airlines;?;PW;?;Jan;?;?;?;2
?;?;?;CF;?;Jan;1985;?;?;1
?;?;2016;CF;?;Mar;2014;East Asia;?;?
USA;?;2007;GE;747-400ERF;Jun;?;North America;3;?
South Africa;Comair Limited;2015;CF;?;Jun;2010;Africa;2;2
?;Japan Transocean Air;2016;CF;737-800;May;2014;?;2;2
?;Mid East Jet;1997;?;757-200;?;1997;?;1;1
?;Air Malta;?;?;?;?;1982;?;3;?
?;VASP Airlines;?;?;?;?;1973;South America;3;3
?;USAF PAR Program;?;?;747-8;?;2017;?;2;?
Mexico;?;?;?;DC-9;Jan;1979;Central America and Mexico;6;?
?;?;?;?;737-800;Feb;2006;South America;1;?
?;?;?;?;767-300F;Jun;2010;Central Asia;2;?
?;?;?;?;737-800;?;2007;Europe;2;?
Spain;?;?;?;?;?;1972;Europe;3;?
?;?;?;RR;?;Oct;2006;?;6;?
?;SilkAir;?;CF;737-800;Nov;2012;?;6;6
?;Thomas Cook Airlines;?;RR;757-300;May;?;?;2;?
?;Capitol Air;1969;?;DC-8;Feb;?;?;1;?
?;LTU;1987;?;757-200;Jan;?;?;?;?
Netherlands;Air France-KLM Group;2016;?;787-9;Dec;2011;?;?;1
South Korea;Jeju Air;2018;CF;737-800;?;2016;?;3;3
USA;?;1976;?;727;?;1974;North America;?;8
?;?;2006;?;737-800;?;2005;Europe;?;?
Algeria;Air Algerie;1974;?;?;Jan;1974;Africa;?;?
?;Dubai Air Wing;1982;?;?;Jul;?;?;?;?
?;GPA Group;1991;?;?;Jan;?;?;?;4
USA;MarkAir;?;?;?;?;?;?;?;2
Italy;?;1968;?;?;?;?;?;?;2
USA;?;1970;PW;?;?;?;North America;2;2
Switzerland;?;1979;PW;?;?;1978;?;1;1
United Kingdom;?;1989;CF;737-400;?;?;?;2;?
USA;?;1994;RR;?;Jan;?;North America;1;1
South Korea;?;?;CF;?;?;?;?;1;?
Japan;BDS Japan International Tanker;2021;?;767-2C;?;?;?;1;?
?;Air Austral;2016;?;787-8;?;2015;?;2;2
?;Mid East Jet;1996;?;?;Oct;1996;Middle East;1;1
?;Varig Airlines;?;RR;?;?;?;South America;1;1
USA;?;?;?;?;?;?;North America;1;1
Morocco;Royal Air Maroc;1970;?;?;?;?;Africa;1;1
?;United Airlines;1967;?;?;Jan;?;North America;9;9
Algeria;?;2011;?;737-800;Oct;?;?;4;4
Netherlands;Martinair Cargo;1989;PW;767-300ER;Mar;?;?;1;?
Czech Republic;CSA;?;?;737-400;Jan;1999;Europe;?;?
Fiji;Fiji Airways;?;?;?;Mar;2017;Oceania;?;?
Slovakia (Slovak Republic);SkyEurope;?;?;?;Jun;2006;Europe;?;?
?;Donghai Airlines;?;CF;?;Dec;?;?;3;3
USA;ATA Airlines Inc.;2001;CF;737-800;Jun;?;North America;5;5
Taiwan;?;1966;PW;?;Jan;1966;?;1;?
United Arab Emirates;?;1975;?;?;Jan;1973;?;4;?
Switzerland;?;?;?;?;?;1979;?;?;1
?;?;?;?;?;Feb;?;?;2;2
?;?;?;?;?;Jan;?;North America;1;1
Bermuda;AOF Leasing;?;?;?;Apr;?;Caribbean;1;1
Peru;FUERZA AEREA DEL PERU;1995;CF;737-500;Sep;?;South America;?;1
?;?;2001;?;757-200;?;2000;East Asia;?;2
?;?;1984;?;?;?;1984;?;3;3
?;?;2014;?;777-300ER;?;?;?;1;1
?;WEDGE Group;1981;PW;727;Sep;?;?;?;1
?;?;1996;GE;767-300ER;?;?;?;?;?
Australia;?;?;?;717-200;?;2000;?;2;?
Norway;SAS Norway;1998;?;737-700;Feb;?;?;2;?
Italy;?;?;?;MD-80;Jun;?;Europe;?;3
?;VIASA;?;PW;DC-8;Jan;?;South America;?;1
?;Etihad Airways;?;GE;?;Feb;?;Middle East;?;?
?;?;2012;GE;?;Feb;2007;Europe;?;?
Japan;Japan Airlines Co. Ltd.;1985;PW;?;?;1984;East Asia;2;?
?;Wardair;1969;?;?;?;?;?;1;?
?;Dubai Aerospace Enterprise;2022;?;737 MAX;Apr;?;?;5;?
Slovenia;?;?;?;DC-9;?;?;Europe;?;?
China;?;2007;CF;737-800;Jan;2006;?;?;2
India;Air India;1961;?;707/720;?;1960;?;?;?
United Arab Emirates;Novus Aviation Capital;2020;?;777-300ER;?;?;?;2;2
USA;Jet America Airlines;1986;?;MD-80;?;?;North America;2;2
Kenya;Kenya Airways;?;?;?;?;?;Africa;1;1
?;Italian Air Force Tanker;?;?;767-200ER;Apr;?;?;1;?
Indonesia;?;1974;PW;DC-9;Jan;?;?;3;?
USA;?;1965;?;DC-9;Jul;1963;?;?;?
USA;?;1978;PW;737-200;?;?;North America;?;?
Russian Federation;?;?;CF;737-800;Nov;?;Europe;?;?
Canada;?;?;?;737-200;Jan;?;?;1;1
Brazil;LATAM Airlines Brasil;?;?;777-300ER;Aug;?;South America;4;?
Mozambique;?;?;PW;737-200;Mar;?;Africa;?;?
Japan;Government of Japan;1991;GE;747-400;Dec;1987;East Asia;2;2
?;?;2016;CF;737-800;Jul;2016;?;1;?
?;?;?;GE;DC-10;Jan;?;?;?;2
?;?;?;?;777-300ER;Nov;2018;?;?;1
?;?;?;?;767-300ER;?;1987;?;?;4
?;?;1991;?;747-400M;?;1989;?;3;3
Philippines;Philippine Airlines;1996;?;747-400M;?;?;?;1;1
Belgium;?;1992;?;?;?;?;?;1;1
?;?;2011;?;?;Mar;2008;Middle East;?;2
?;Playboy;1969;?;DC-9;Jun;1967;North America;1;1
?;Copa Airlines;2002;?;737-700;Jan;1999;Central America and Mexico;4;4
USA;?;1988;?;737-300;Jan;?;?;?;5
Belgium;?;1998;?;MD-11;Mar;?;?;?;?
USA;?;2007;CF;737-700;Jan;2006;?;?;?
?;?;1997;?;737-500;?;1996;?;1;1
?;Arik Air;2010;?;737-800;?;2007;?;1;1
?;Linjeflyg;1990;CF;737-500;Aug;1988;Europe;1;1
?;?;?;PW;737-200;Jan;1979;?;1;1
?;?;?;?;707/720;Mar;1973;?;?;1
?;Japan Airlines Co. Ltd.;?;?;DC-9;Jan;?;East Asia;8;8
?;Hawaiian Airlines;?;PW;MD-80;?;?;North America;?;2
?;?;?;?;737-700;Mar;2000;?;?;?
?;?;2015;?;737-800;May;?;?;?;?
USA;?;?;?;MD-80;Jan;?;?;?;?
Germany;?;?;PW;707/720;?;?;Europe;?;?
United Kingdom;?;1988;PW;MD-80;?;?;?;2;2
Nigeria;?;1977;GE;DC-10;?;1977;?;1;?
Bermuda;?;1997;?;?;?;1997;?;?;?
USA;?;1980;PW;?;?;1980;North America;?;?
Portugal;?;?;?;727;?;1981;Europe;?;?
USA;?;?;?;737-700W;?;?;North America;1;?
?;?;?;?;767-300F;?;?;North America;?;?
?;?;2015;?;747-8F;Feb;?;Central Asia;?;1
Bahrain;?;2019;?;787-9;Jan;?;Middle East;2;?
Vietnam;?;2004;?;?;Jan;2002;?;?;?
Canada;?;1968;?;?;Feb;1967;?;?;?
Chile;?;1980;?;?;?;1980;?;?;?
USA;M&T Aviation USA Inc;1999;CF;737-700;Dec;?;?;3;?
China;Hebei Airlines Company LTD;?;CF;737-800;?;?;?;1;1
?;?;?;CF;737-800;?;?;?;4;4
Germany;?;?;RR;?;?;?;?;?;?
?;Polaris Aircraft Leasing;?;PW;?;?;?;?;?;?
?;Vistara;?;GE;?;?;?;South Asia;?;?
?;?;?;PW;?;?;?;Southeast Asia;?;?
United Arab Emirates;flydubai;2009;CF;?;Jul;2008;Middle East;?;?
?;Air Jamaica-See CBL;1974;PW;DC-9;?;1973;Caribbean;?;1
Japan;Atlantis Aviation Corporation;2021;GE;787-9;?;2018;?;?;2
?;Northwest-Merged w Delta;2002;?;?;?;?;?;?;?
?;Cathay Pacific Airways;?;RR;?;?;?;?;?;?
USA;Oak Hill;?;GE;?;?;2007;North America;2;?
Slovenia;?;?;PW;?;?;1969;Europe;?;1
Israel;?;?;RR;787-9;?;2014;Middle East;?;2
United Kingdom;?;?;PW;MD-80;?;1995;Europe;?;?
Sweden;Scandinavian Airlines;?;PW;DC-9;Jan;?;Europe;?;?
USA;Aviation Capital Group;2012;CF;?;?;?;North America;?;?
?;Nepal Airlines Corporation;?;?;?;?;?;South Asia;?;?
?;DAE Aerospace Enterprise;?;?;?;?;1996;?;?;1
?;?;1981;?;?;?;?;North America;?;2
Portugal;Republic of Portugal;?;PW;707/720;Jan;?;?;2;?
Brazil;Cruzeiro;?;PW;737-200;May;?;?;?;6
Kenya;?;1971;PW;DC-9;Apr;1970;?;?;?
USA;?;1973;?;?;Mar;1973;North America;1;?
USA;?;2018;?;?;?;2017;?;7;?
Gabon;?;?;?;?;?;?;?;1;?
China;Hainan Airlines Holding;?;?;?;?;?;?;1;?
?;Air China Cargo;2013;GE;777F;?;?;East Asia;?;?
?;Delta Air Lines;1966;PW;DC-8;?;1965;North America;?;1
Spain;?;2005;?;737-800;?;2004;Europe;2;?
Saudi Arabia;?;1983;?;?;?;?;?;1;?
Zimbabwe;?;1990;PW;?;Mar;?;?;1;?
?;?;1982;PW;?;Jan;?;?;2;2
USA;?;1998;?;737-700;Dec;1996;North America;3;3
Brazil;Transbrasil;?;?;767-200;Jul;?;South America;3;3
USA;?;?;?;747-100;?;?;North America;?;6
?;?;2011;?;777-200LR;?;?;Africa;?;?
?;Air Atlantis;1970;PW;DC-8;?;?;?;?;?
Romania;?;2001;CF;737-700;?;?;?;?;?
?;?;2001;RR;?;Feb;?;?;?;?
El Salvador;?;?;GE;?;?;?;Central America and Mexico;?;1
Gibraltar;GB Airways;?;CF;?;Mar;1997;Europe;?;2
Saudi Arabia;Saudi Arabian Airlines;1967;PW;DC-9;Feb;1965;Middle East;?;3
Russian Federation;?;2018;CF;737-800;Feb;2017;?;4;?
Australia;?;?;?;747-200;Jan;1980;Oceania;2;?
Belgium;?;?;?;MD-11;?;1997;?;1;?
Czech Republic;?;?;?;737 MAX;?;?;?;1;?
China;?;2002;PW;747-400F;Feb;?;?;2;2
Japan;?;1999;CF;737-500;May;?;East Asia;1;1
USA;?;1975;PW;727;?;?;North America;1;?
Dominican Republic;?;1975;PW;727;?;?;Caribbean;1;?
Switzerland;Flightlease;2000;PW;767-300ER;?;1999;?;?;?
Germany;?;?;PW;?;Jan;1968;Europe;1;?
USA;?;?;CF;737-800;Dec;2004;North America;?;?
China;?;?;CF;737-700;Dec;2013;?;1;1
?;Avia Capital Leasing;2013;CF;737-800;Oct;2010;?;3;3
?;Nok Air;2016;CF;?;May;2014;?;?;3
?;?;?;?;?;Jan;2011;North America;2;2
Belgium;?;1979;?;?;?;?;Europe;?;1
Belgium;?;1991;?;737-400;Jun;1988;Europe;?;1
USA;?;?;PW;727;Apr;1969;North America;?;2
USA;?;2000;GE;747-400F;Feb;1999;?;?;2
Australia;?;?;CF;737-800A;?;2016;?;?;1
?;?;?;PW;?;?;1969;?;?;2
?;?;?;GE;?;?;2017;East Asia;?;2
?;?;?;PW;737-200;?;?;Middle East;2;2
?;?;?;PW;707/720;Feb;?;?;4;4
?;?;2015;CF;737-800;Feb;?;?;5;5
?;?;1996;RR;?;?;1996;?;2;?
?;?;?;PW;?;?;1970;?;?;?
?;?;1967;?;?;?;1965;?;3;?
Colombia;?;1967;?;?;?;1966;?;1;?
?;?;?;?;737-200;?;1974;Africa;2;?
?;Texas Air Corporation;?;?;DC-9;?;1973;North America;1;?
?;West Coast Airlines - UK (Inac;1966;PW;?;Feb;1965;?;3;?
Israel;EL AL Israel Airlines;1971;PW;?;?;1968;Middle East;?;1
