004XX N WABASH AVE;0460;BATTERY;SIMPLE;RESIDENCE;?;0;18.0;42.0;8.0
016XX W HOWARD ST;?;CRIMINAL DAMAGE;?;?;?;0;24.0;49.0;1.0
?;?;ASSAULT;SIMPLE;GAS STATION;0;?;25.0;37.0;25.0
033XX S CARPENTER ST;4651;?;?;?;0;0;9.0;?;60.0
016XX W CHASE AVE;?;?;FROM BUILDING;?;?;0;24.0;49.0;1.0
031XX W MEDILL AVE;0620;BURGLARY;?;OTHER;0;0;14.0;26.0;?
023XX E 68TH ST;?;?;$500 AND UNDER;STREET;?;0;?;?;?
048XX N AUSTIN AVE;0820;?;$500 AND UNDER;?;?;0;?;38.0;15.0
?;0820;?;$500 AND UNDER;OTHER;0;?;17.0;40.0;13.0
040XX W NORTH AVE;0610;?;?;OTHER;?;0;?;30.0;?
?;?;DECEPTIVE PRACTICE;CREDIT CARD FRAUD;?;0;0;14.0;?;24.0
013XX W IRVING PARK RD;?;ASSAULT;SIMPLE;RESTAURANT;?;?;19.0;47.0;6.0
063XX S DR MARTIN LUTHER KING JR DR;?;ROBBERY;?;SIDEWALK;0;0;3.0;20.0;?
100XX W OHARE ST;2850;?;BOMB THREAT;AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA;0;0;16.0;41.0;?
?;?;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;0;?;?;6.0;44.0
?;?;CRIMINAL DAMAGE;TO VEHICLE;?;?;0;7.0;?;?
033XX W MONROE ST;2024;?;POSS: HEROIN(WHITE);?;1;?;11.0;28.0;27.0
055XX S BISHOP ST;?;BATTERY;?;?;0;1;7.0;?;67.0
038XX W ROOSEVELT RD;1821;NARCOTICS;MANU/DEL:CANNABIS 10GM OR LESS;SIDEWALK;?;0;10.0;24.0;?
038XX W WASHINGTON BLVD;031A;?;ARMED: HANDGUN;?;0;0;11.0;28.0;26.0
048XX S LAMON AVE;?;NARCOTICS;?;SIDEWALK;1;?;8.0;?;56.0
076XX S PHILLIPS AVE;?;CRIMINAL TRESPASS;TO RESIDENCE;?;1;0;?;7.0;43.0
027XX W 68TH ST;4650;OTHER OFFENSE;?;HOSPITAL BUILDING/GROUNDS;1;0;8.0;15.0;66.0
040XX S ELLIS AVE;0560;ASSAULT;?;APARTMENT;?;1;2.0;?;36.0
021XX W 64TH ST;041A;?;?;?;?;0;7.0;15.0;67.0
0000X S STATE ST;0890;THEFT;FROM BUILDING;?;0;0;1.0;?;32.0
110XX S HALSTED ST;?;?;RECKLESS CONDUCT;CURRENCY EXCHANGE;1;0;?;34.0;49.0
?;0340;ROBBERY;?;?;0;0;9.0;11.0;34.0
076XX S ST LAWRENCE AVE;?;CRIMINAL DAMAGE;?;?;?;0;6.0;?;69.0
?;031A;ROBBERY;ARMED: HANDGUN;?;?;?;9.0;?;63.0
014XX N SEDGWICK ST;1365;CRIMINAL TRESPASS;TO RESIDENCE;?;1;0;18.0;?;8.0
014XX W CHICAGO AVE;?;THEFT;FROM BUILDING;BAR OR TAVERN;0;0;?;?;24.0
017XX W 18TH ST;0460;BATTERY;SIMPLE;OTHER;1;0;12.0;25.0;31.0
052XX W DIVERSEY AVE;0910;MOTOR VEHICLE THEFT;?;?;?;0;25.0;31.0;?
010XX W 103RD PL;0820;?;?;OTHER;0;0;?;?;73.0
?;?;CRIMINAL DAMAGE;?;STREET;0;?;25.0;?;20.0
065XX S PULASKI RD;0860;?;RETAIL THEFT;SMALL RETAIL STORE;?;?;8.0;?;65.0
076XX S CICERO AVE;1320;?;TO VEHICLE;PARKING LOT/GARAGE(NON.RESID.);?;0;8.0;?;?
?;?;?;CREDIT CARD FRAUD;SIDEWALK;?;0;18.0;42.0;?
024XX W BELMONT AVE;?;?;?;POLICE FACILITY/VEH PARKING LOT;0;0;?;47.0;?
063XX S DR MARTIN LUTHER KING JR DR;1330;?;TO LAND;RESIDENCE PORCH/HALLWAY;?;0;?;?;?
110XX S VERNON AVE;?;?;OBSTRUCTING IDENTIFICATION;?;1;0;?;?;49.0
?;0820;?;$500 AND UNDER;?;?;0;?;?;23.0
?;?;ASSAULT;SIMPLE;?;0;0;?;23.0;56.0
062XX S STONY ISLAND AVE;1780;OFFENSE INVOLVING CHILDREN;?;?;0;0;3.0;?;?
?;0486;BATTERY;?;OTHER;0;?;15.0;29.0;25.0
031XX S LOWE AVE;031A;?;?;STREET;0;0;9.0;?;?
024XX W HURON ST;0610;BURGLARY;FORCIBLE ENTRY;?;?;?;12.0;1.0;24.0
070XX N GLENWOOD AVE;0610;BURGLARY;FORCIBLE ENTRY;?;0;?;24.0;49.0;1.0
054XX N CUMBERLAND AVE;?;THEFT;?;STREET;0;?;16.0;?;76.0
005XX N RACINE AVE;?;CRIMINAL DAMAGE;TO VEHICLE;STREET;0;?;?;27.0;24.0
?;033A;ROBBERY;ATTEMPT: ARMED-HANDGUN;STREET;?;?;4.0;?;48.0
036XX W 26TH ST;?;?;RETAIL THEFT;SMALL RETAIL STORE;0;?;?;22.0;30.0
002XX S STATE ST;3710;INTERFERENCE WITH PUBLIC OFFICER;RESIST/OBSTRUCT/DISARM OFFICER;?;1;0;1.0;42.0;32.0
063XX S KIMBARK AVE;031A;ROBBERY;?;SIDEWALK;0;0;3.0;20.0;42.0
043XX S ST LOUIS AVE;0610;BURGLARY;?;RESIDENCE-GARAGE;?;0;8.0;14.0;58.0
