?;?;?;?;?;?;?;?;?;?
King;?;WA;?;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;?
Spokane;?;?;?;JEEP;?;?;?;25;?
Pacific;Ocean Park;?;?;NISSAN;LEAF;?;Clean Alternative Fuel Vehicle Eligible;?;19.0
?;?;WA;2021;?;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;?;17.0
King;?;?;?;?;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;33.0
?;?;WA;2017;?;LEAF;?;Clean Alternative Fuel Vehicle Eligible;?;37.0
?;Bellingham;WA;2021;FORD;?;?;?;0;40.0
?;Olympia;?;2023;TESLA;?;?;Eligibility unknown as battery range has not been researched;0;?
Snohomish;Bothell;WA;2017;NISSAN;?;Battery Electric Vehicle (BEV);?;107;?
?;?;?;2023;LINCOLN;AVIATOR;Plug-in Hybrid Electric Vehicle (PHEV);?;21;?
King;?;?;2018;HONDA;?;?;?;47;36.0
?;Marysville;WA;2019;TESLA;?;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;?;?
Benton;?;WA;2023;BMW;IX;Battery Electric Vehicle (BEV);?;0;?
?;?;WA;?;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;48.0
King;?;?;2021;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;34.0
King;?;WA;2023;CHEVROLET;BOLT EUV;?;Eligibility unknown as battery range has not been researched;0;34.0
?;?;WA;2023;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;9.0
King;?;WA;2023;TESLA;?;?;Eligibility unknown as battery range has not been researched;?;?
?;Tukwila;WA;2023;JEEP;?;Plug-in Hybrid Electric Vehicle (PHEV);?;21;?
?;?;WA;?;TOYOTA;?;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;6;?
Chelan;Chelan;WA;2023;RIVIAN;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;?;12.0
Pierce;Gig Harbor;?;?;CHRYSLER;PACIFICA;?;?;?;?
?;?;WA;?;FORD;?;Battery Electric Vehicle (BEV);?;?;37.0
?;?;?;2020;?;MODEL 3;Battery Electric Vehicle (BEV);?;266;?
?;?;WA;2023;TESLA;?;?;?;?;?
?;Puyallup;?;2022;KIA;?;Battery Electric Vehicle (BEV);?;0;?
?;?;?;?;?;?;Battery Electric Vehicle (BEV);?;?;39.0
?;?;?;2013;?;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);?;38;?
King;?;?;2021;?;RAV4 PRIME;?;?;?;37.0
Snohomish;Arlington;?;2016;FORD;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);?;19;?
?;Redmond;?;?;?;MUSTANG MACH-E;?;Eligibility unknown as battery range has not been researched;0;48.0
King;?;WA;2018;TESLA;?;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;?;48.0
?;?;WA;2021;?;?;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;11.0
King;Seatac;?;2023;CHEVROLET;BOLT EUV;Battery Electric Vehicle (BEV);?;0;?
Thurston;?;WA;?;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;?;?
King;?;?;?;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;?;46.0
?;Mount Vernon;WA;2022;?;?;?;?;32;?
?;Medical Lake;?;2019;TESLA;MODEL 3;?;Clean Alternative Fuel Vehicle Eligible;?;?
?;?;?;2018;TESLA;MODEL 3;Battery Electric Vehicle (BEV);?;?;?
?;Bellevue;WA;?;?;GRAND CHEROKEE;?;?;25;?
Snohomish;?;WA;?;TESLA;MODEL 3;?;?;?;?
Pierce;Tacoma;?;?;TESLA;?;?;?;?;?
?;?;?;?;TESLA;?;Battery Electric Vehicle (BEV);?;?;44.0
