2013;?;?;Humboldt;District;Ancillary Cost Centers;8123;0.35
2009;106190762.0;ST. VINCENT MEDICAL CENTER;Los Angeles;?;Other;88109;1.22
?;106500852.0;?;Stanislaus;Investor;?;?;8.81
2009;106374084.0;SAN DIEGO HOSPICE & PALLIATIVE CARE CTR;San Diego;Non-Profit;?;22433;5.31
2012;?;?;?;Non-Profit;General Services Cost Centers;81784;8.58
?;106474007.0;FAIRCHILD MEDICAL CENTER;?;Non-Profit;Technician & Specialist;155221;?
?;106150761.0;MERCY HOSPITAL - BAKERSFIELD;?;?;Registered Nurse;774965;?
2012;?;?;Shasta;Investor;?;?;10.37
?;106154101.0;?;Kern;?;Fiscal Services Cost Centers;?;1.05
?;?;BAKERSFIELD HEART HOSPITAL;Kern;Investor;Administrative Services Cost Centers;62886;2.85
?;106380964.0;CALIFORNIA PACIFIC MEDICAL CTN-ST. LUKE'S CAMPUS;San Francisco;Non-Profit;?;25785;0.58
?;?;SANTA BARBARA PSYCHIATRIC HEALTH FACILTY;Santa Barbara;City/County;?;0;?
2011;106191014.0;?;Los Angeles;State;Technician & Specialist;0;0.0
?;?;UKIAH VALLEY MEDICAL CENTER - HOSPITAL DRIVE;Mendocino;Non-Profit;General Services Cost Centers;171607;6.72
?;106190762.0;?;Los Angeles;Non-Profit;Administrative Services Cost Centers;250816;3.28
2012;106374055.0;SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL;?;City/County;?;172033;?
2012;?;MERCY HOSPITAL OF MT. SHASTA;Siskiyou;Non-Profit;General Services Cost Centers;72418;?
2009;106190352.0;GREATER EL MONTE COMMUNITY HOSPITAL;?;Investor;Ambulatory Cost Centers;?;1.46
2010;106190431.0;KAISER FOUNDATION HOSPITAL - HARBOR CITY;Los Angeles;?;Aides & Orderlies;?;2.79
2013;106334018.0;MENIFEE VALLEY MEDICAL CENTER;Riverside;?;?;60058;3.43
?;106130760.0;PIONEERS MEMORIAL HOSPITAL;Imperial;District;Aides & Orderlies;144183;3.62
2010;106074039.0;JOHN MUIR BEHAVIORAL HEALTH CENTER;?;Non-Profit;Environmental & Food Services;26179;1.13
2013;106070934.0;SUTTER DELTA MEDICAL CENTER;?;Non-Profit;?;329651;7.82
2011;106190429.0;KAISER FOUNDATION HOSPITAL - SUNSET;Los Angeles;Non-Profit;?;?;1.54
2012;?;HENRY MAYO NEWHALL MEMORIAL HOSPITAL;Los Angeles;Non-Profit;General Services Cost Centers;434172;5.54
?;106190859.0;?;?;?;?;14231;0.24
2012;106420514.0;?;Santa Barbara;Non-Profit;Contracted Other;?;?
2010;106392287.0;DOCTORS HOSPITAL OF MANTECA;San Joaquin;Investor;Education Cost Centers;0;0.0
2010;106370771.0;SCRIPPS MEMORIAL HOSPITAL-LA JOLLA;San Diego;Non-Profit;Daily Cost Centers;1201221;11.97
2013;106380857.0;?;?;?;Technician & Specialist;142719;2.83
?;106220733.0;?;?;District;Aides & Orderlies;58510;1.53
?;106291053.0;TAHOE FOREST HOSPITAL;Nevada;District;Technician & Specialist;202440;?
?;106560838.0;PACIFIC SHORES HOSPITAL;?;?;Clerical & Other Administrative;6695;0.94
2011;106364014.0;LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER;San Bernardino;Non-Profit;?;?;0.35
?;106321016.0;SENECA HEALTHCARE DISTRICT;?;District;Ancillary Cost Centers;?;?
2011;106184008.0;BANNER LASSEN MEDICAL CENTER;?;Non-Profit;?;?;2.52
2011;106301209.0;HUNTINGTON BEACH HOSPITAL;Orange;Investor;Contracted Other;1152;0.05
2011;106190400.0;?;Los Angeles;Non-Profit;?;87052;0.55
2012;?;TULARE DISTRICT HOSPITAL;?;District;Aides & Orderlies;94680;?
?;106044006.0;BUTTE COUNTY MENTAL HEALTH - PHF;?;?;Management & Supervision;0;0.0
2009;106490919.0;?;Sonoma;Non-Profit;General Services Cost Centers;?;?
2011;106551061.0;TUOLUMNE GENERAL MEDICAL FACILITY;Tuolumne;City/County;General Services Cost Centers;8533;0.58
2013;?;KAISER FOUNDATION HOSPITAL - ROSEVILLE;Placer;Non-Profit;Registered Nurse;258340;4.04
2012;106420483.0;GOLETA VALLEY COTTAGE HOSPITAL;Santa Barbara;Non-Profit;Aides & Orderlies;90237;?
2013;106420522.0;SANTA YNEZ VALLEY COTTAGE HOSPITAL;Santa Barbara;Non-Profit;?;0;0.0
2013;106150761.0;?;Kern;?;?;248850;?
2012;106220733.0;?;Mariposa;District;Administrative Services Cost Centers;?;0.79
?;?;?;?;Investor;?;?;2.38
2011;106190081.0;BEVERLY HOSPITAL;Los Angeles;?;?;317126;6.32
2010;106190754.0;ST. FRANCIS MEDICAL CENTER;?;?;Other;26830;0.19
2012;106440755.0;?;?;?;Environmental & Food Services;185350;2.22
?;106364231.0;ARROWHEAD REGIONAL MEDICAL CENTER;San Bernardino;City/County;General Services Cost Centers;?;5.36
?;?;LANTERMAN STATE HOSPITAL AND DEVELOPMENTAL CENTER;Los Angeles;State;Management & Supervision;0;0.0
?;?;AURORA SAN DIEGO;?;Investor;?;30984;1.03
?;106474007.0;FAIRCHILD MEDICAL CENTER;Siskiyou;Non-Profit;?;171869;?
2013;106560525.0;SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES - SYCAMORE;Ventura;Non-Profit;Administrative Services Cost Centers;133326;3.49
?;106190754.0;ST. FRANCIS MEDICAL CENTER;Los Angeles;?;Management & Supervision;?;?
2009;106190243.0;?;Los Angeles;?;Management & Supervision;167817;2.34
?;106301337.0;?;Orange;Non-Profit;?;98949;5.48
?;106331168.0;?;Riverside;Non-Profit;?;?;?
2013;106190681.0;?;Los Angeles;Investor;?;0;0.0
2009;106013687.0;?;?;Non-Profit;Daily Cost Centers;37808;5.29
2012;106191227.0;?;?;City/County;Registered Nurse;1547986;?
2013;106374049.0;SHARP VISTA PACIFICA;?;Non-Profit;Licensed Vocational Nurse;1524;?
2012;106431506.0;?;Santa Clara;Non-Profit;Daily Cost Centers;680686;16.4
2009;?;RIDEOUT MEMORIAL HOSPITAL;Yuba;Non-Profit;Ambulatory Cost Centers;?;2.34
2009;106301279.0;UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER;?;?;Technician & Specialist;1879814;13.98
2010;?;PRESBYTERIAN INTERCOMMUNITY HOSPITAL;?;Non-Profit;?;?;0.36
?;106301566.0;WESTERN MEDICAL CENTER-SANTA ANA;Orange;?;Education Cost Centers;?;0.0
2009;?;TULARE DISTRICT HOSPITAL;Tulare;District;Other;38679;1.01
2009;106190200.0;?;Los Angeles;Investor;?;?;0.84
?;106190159.0;TRI-CITY REGIONAL MEDICAL CENTER;Los Angeles;Non-Profit;Technician & Specialist;107318;4.95
2013;?;?;San Diego;?;Other;243;0.03
2012;?;KAISER FOUNDATION HOSPITAL AND REHABILITATION CENTER - VALLEJO;Solano;Non-Profit;?;0;0.0
2009;106364231.0;ARROWHEAD REGIONAL MEDICAL CENTER;?;?;Technician & Specialist;1081426;6.44
?;106171395.0;SUTTER LAKESIDE HOSPITAL;?;?;Technician & Specialist;?;7.72
2009;?;ST. LOUISE REGIONAL HOSPITAL;Santa Clara;?;Education Cost Centers;0;0.0
2013;106190547.0;MONTEREY PARK HOSPITAL;Los Angeles;Investor;Aides & Orderlies;23320;0.96
?;?;JOHN F. KENNEDY MEMORIAL HOSPITAL;Riverside;?;Clerical & Other Administrative;?;4.85
2010;?;SIERRA VISTA REGIONAL MEDICAL CENTER;San Luis Obispo;Investor;Management & Supervision;?;2.32
2011;106430763.0;?;Santa Clara;Non-Profit;Ambulatory Cost Centers;?;1.87
?;106070990.0;KAISER FOUNDATION HOSPITAL - WALNUT CREEK;?;Non-Profit;Other;?;26.85
2012;106121031.0;?;Humboldt;District;Administrative Services Cost Centers;?;?
2012;106361339.0;ST. BERNARDINE MEDICAL CENTER;San Bernardino;Non-Profit;?;359557;?
2011;106370749.0;?;San Diego;Investor;?;0;?
2013;106340947.0;MERCY GENERAL HOSPITAL;Sacramento;?;Licensed Vocational Nurse;7862;0.07
2012;106190315.0;GARFIELD MEDICAL CENTER;?;Investor;Other;?;?
?;?;NAPA STATE HOSPITAL;Napa;State;General Services Cost Centers;?;?
?;106560203.0;AURORA VISTA DEL MAR HOSPITAL;?;?;Ancillary Cost Centers;0;?
?;106404046.0;?;?;City/County;Aides & Orderlies;0;?
2013;?;OJAI VALLEY COMMUNITY HOSPITAL;Ventura;Non-Profit;Ancillary Cost Centers;71213;1.53
2012;106404046.0;SAN LUIS OBISPO COUNTY - PHF;?;City/County;Contracted Registry Nursing;0;0.0
2010;106370759.0;PARADISE VALLEY HOSPITAL;?;?;Education Cost Centers;0;0.0
?;?;?;Riverside;Non-Profit;Daily Cost Centers;?;22.39
2010;106190756.0;?;Los Angeles;Non-Profit;Management & Supervision;179042;2.48
?;106121031.0;JEROLD PHELPS COMMUNITY HOSPITAL;Humboldt;District;?;?;0.56
2009;?;SIERRA VISTA REGIONAL MEDICAL CENTER;San Luis Obispo;?;Clerical & Other Administrative;198791;5.1
2010;106190470.0;PROVIDENCE LITTLE CO OF MARY-TORRANCE;Los Angeles;Non-Profit;Aides & Orderlies;268097;?
?;106040802.0;?;Butte;?;Administrative Services Cost Centers;29788;?
2013;106470871.0;?;?;Non-Profit;Administrative Services Cost Centers;56997;7.13
2010;106490964.0;?;Sonoma;District;?;76981;?
?;?;HENRY MAYO NEWHALL MEMORIAL HOSPITAL;Los Angeles;Non-Profit;?;314549;3.9
2012;?;HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL;Orange;Investor;?;20639;?
2009;?;DESERT VALLEY HOSPITAL;San Bernardino;Investor;?;60549;1.66
2010;106190280.0;?;Los Angeles;Non-Profit;Contracted Other;4276;?
2013;?;NORTHERN INYO HOSPITAL;Inyo;District;?;4023;0.57
2012;106150775.0;GOOD SAMARITAN HOSPITAL;Kern;?;Technician & Specialist;81991;?
2011;106121031.0;JEROLD PHELPS COMMUNITY HOSPITAL;?;District;?;?;?
?;106560203.0;AURORA VISTA DEL MAR HOSPITAL;?;?;Education Cost Centers;0;0.0
?;?;FREMONT HOSPITAL;Alameda;Investor;Licensed Vocational Nurse;?;0.28
2009;?;ALAMEDA HOSPITAL;Alameda;?;?;?;0.58
?;106190034.0;ANTELOPE VALLEY HOSPITAL;Los Angeles;District;?;?;2.43
?;?;?;Butte;Non-Profit;Education Cost Centers;0;0.0
2010;106301155.0;COLLEGE HOSPITAL COSTA MESA;Orange;Investor;?;66650;?
?;106190529.0;?;?;Non-Profit;Environmental & Food Services;198610;1.98
2013;?;?;Amador;Non-Profit;Contracted Other;6622;0.43
2010;106100717.0;?;Fresno;?;Fiscal Services Cost Centers;182766;?
2010;?;?;San Francisco;Non-Profit;Administrative Services Cost Centers;611634;10.07
2012;106430779.0;GOOD SAMARITAN HOSPITAL- SAN JOSE;Santa Clara;?;Fiscal Services Cost Centers;?;0.12
2012;?;?;Orange;Investor;Ambulatory Cost Centers;0;0.0
?;106201281.0;?;Madera;?;Ambulatory Cost Centers;271576;5.83
2013;106301175.0;FOUNTAIN VALLEY REGIONAL HOSPITAL& MEDICAL CENTER- EUCLID;Orange;?;Clerical & Other Administrative;314371;2.73
2010;106331326.0;SAN GORGONIO MEMORIAL HOSPITAL;Riverside;District;Contracted Registry Nursing;7951;?
2011;106364014.0;LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER;?;?;Registered Nurse;71064;?
2010;106074039.0;?;?;Non-Profit;General Services Cost Centers;44721;1.92
2012;?;CHINO VALLEY MEDICAL CENTER;San Bernardino;Investor;?;26100;?
?;106370782.0;?;San Diego;Non-Profit;Registered Nurse;2099380;9.02
2010;?;?;?;Investor;Contracted Registry Nursing;0;?
2011;106190525.0;LONG BEACH MEMORIAL MEDICAL CENTER;Los Angeles;Non-Profit;?;?;?
2013;106361246.0;?;San Bernardino;Non-Profit;Management & Supervision;1169498;4.14
2011;106430779.0;GOOD SAMARITAN HOSPITAL- SAN JOSE;?;Investor;?;306696;?
2011;106190859.0;WEST HILLS HOSPITAL & MEDICAL CENTER;Los Angeles;Investor;Administrative Services Cost Centers;116648;2.03
?;?;HOLLYWOOD PRESBYTERIAN MEDICAL CENTER;Los Angeles;Investor;Management & Supervision;189702;1.73
2012;106361266.0;?;?;District;?;63513;?
?;106100697.0;COALINGA REGIONAL MEDICAL CENTER;Fresno;?;?;0;0.0
2009;106484001.0;?;?;Non-Profit;Contracted Other;6736;0.3
?;?;SAN JOAQUIN GENERAL HOSPITAL;San Joaquin;City/County;?;213481;3.74
2012;106190696.0;PACIFICA HOSPITAL OF THE VALLEY;?;?;Contracted Other;0;0.0
?;106454012.0;?;?;Investor;Education Cost Centers;0;?
?;106160787.0;CENTRAL VALLEY GENERAL HOSPITAL;?;Non-Profit;?;?;0.03
2013;106060870.0;COLUSA REGIONAL MEDICAL CENTER;Colusa;Non-Profit;Registered Nurse;?;?
2013;106190385.0;?;?;Non-Profit;?;406309;3.5
2011;106580996.0;?;Yuba;Non-Profit;Environmental & Food Services;125741;1.73
2010;106394003.0;?;San Joaquin;City/County;General Services Cost Centers;?;0.0
2010;106190762.0;ST. VINCENT MEDICAL CENTER;Los Angeles;Non-Profit;Contracted Registry Nursing;17261;0.24
2013;106560838.0;?;Ventura;Investor;Fiscal Services Cost Centers;12056;2.06
?;106190196.0;VISTA HOSPITAL OF SOUTH BAY;Los Angeles;?;?;?;6.32
?;106190400.0;HUNTINGTON MEMORIAL HOSPITAL;Los Angeles;Non-Profit;Management & Supervision;321952;2.04
?;106196403.0;?;Los Angeles;?;Licensed Vocational Nurse;19259;0.91
2013;106344188.0;CRESTWOOD PSYCHIATRIC HEALTH FACILITY-SACRAMENTO;Sacramento;Investor;Administrative Services Cost Centers;?;?
2009;106314029.0;TELECARE PLACER COUNTY P.H.F;?;?;Aides & Orderlies;19051;4.34
2013;106361274.0;KINDRED HOSPITAL ONTARIO;San Bernardino;Investor;Ancillary Cost Centers;?;2.86
?;106491064.0;?;Sonoma;?;?;19740;0.24
2010;106331152.0;CORONA REGIONAL MEDICAL CENTER - MAIN;?;Investor;Administrative Services Cost Centers;157120;1.97
2009;?;SCRIPPS GREEN HOSPITAL;?;Non-Profit;Aides & Orderlies;?;2.65
2011;106334068.0;?;Riverside;Investor;Daily Cost Centers;?;9.85
2013;?;SUTTER AMADOR HOSPITAL;?;Non-Profit;?;0;0.0
2009;106301337.0;SOUTH COAST MEDICAL CENTER;Orange;Non-Profit;Ancillary Cost Centers;?;6.2
2010;106190857.0;?;?;Investor;Clerical & Other Administrative;26123;?
2013;?;ST. JOHN'S PLEASANT VALLEY HOSPITAL;Ventura;Non-Profit;General Services Cost Centers;?;3.53
2011;106344114.0;?;Sacramento;?;Licensed Vocational Nurse;0;0.0
2009;106070988.0;JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS;Contra Costa;Non-Profit;Daily Cost Centers;1243642;?
2011;106310791.0;SUTTER AUBURN FAITH HOSPITAL;Placer;Non-Profit;Aides & Orderlies;?;1.42
2011;?;COALINGA REGIONAL MEDICAL CENTER;Fresno;?;General Services Cost Centers;?;?
?;106361105.0;BARSTOW COMMUNITY HOSPITAL;San Bernardino;?;Other;?;0.0
2010;106332172.0;VISTA HOSPITAL OF RIVERSIDE;?;?;Education Cost Centers;?;0.0
2011;106301234.0;LA PALMA INTERCOMMUNITY HOSPITAL;Orange;?;?;137486;?
?;?;GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER;?;Non-Profit;Licensed Vocational Nurse;?;0.3
?;?;SUTTER MEDICAL CENTER - SACRAMENTO;Sacramento;Non-Profit;Daily Cost Centers;?;?
2013;106410806.0;KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO;San Mateo;Non-Profit;Other;387960;?
2010;?;?;Riverside;Investor;?;3628;?
2013;106390846.0;DAMERON HOSPITAL;?;Non-Profit;?;30554;?
2013;106190081.0;BEVERLY HOSPITAL;Los Angeles;Non-Profit;Aides & Orderlies;87418;1.64
2013;106190243.0;?;Los Angeles;Non-Profit;General Services Cost Centers;431213;6.52
?;?;KINDRED HOSPITAL - SACRAMENTO;Sacramento;Investor;Licensed Vocational Nurse;20229;1.58
2012;106344114.0;?;?;?;?;?;0.0
2010;106190197.0;?;Los Angeles;Investor;?;5627;0.29
?;?;MIRACLE MILE MEDICAL CENTER;Los Angeles;Investor;Other;?;0.0
2010;106370749.0;ALVARADO PARKWAY INSTITUTE BHS;?;Investor;Other;0;0.0
?;?;SONOMA VALLEY HOSPITAL;Sonoma;?;?;136565;4.99
2009;?;PALO VERDE HOSPITAL;Riverside;District;Environmental & Food Services;34312;?
2009;106190240.0;?;Los Angeles;Investor;Technician & Specialist;210729;?
?;106334068.0;?;?;Investor;Education Cost Centers;0;?
?;106331288.0;PALO VERDE HOSPITAL;Riverside;District;Licensed Vocational Nurse;?;1.79
2013;106191014.0;LANTERMAN STATE HOSPITAL AND DEVELOPMENTAL CENTER;?;?;Management & Supervision;0;0.0
2010;?;MEMORIAL HOSPITAL MODESTO;?;Non-Profit;Contracted Other;1785;0.01
2009;?;ST. AGNES MEDICAL CENTER;?;Non-Profit;Technician & Specialist;1197519;7.2
