2021;Moto3;POR;Algarve;2621;?;Leopard Racing;Honda;2;20;?;IT
2017;?;CZE;Brno;?;Vierge Xavi;Tech 3 Racing;Tech 3;5;11;97.0;ES
2012;Moto2;?;Assen;?;Rabat Tito;Pons 40 HP Tuenti;?;4;13;80.0;ES
2012;Moto3;GBR;Silverstone;2156;?;Caretta Technology;?;4;13;10.0;?
2011;MotoGP;POR;?;2055;Dovizioso Andrea;Repsol Honda Team;?;4;13;4.0;IT
?;MotoGP;INP;Indianapolis;2015;Pedrosa Dani;Repsol Honda Team;Honda;2;20;26.0;ES
2017;?;CZE;Brno;?;Pedrosa Dani;Repsol Honda Team;Honda;2;20;26.0;ES
2013;Moto2;INP;Indianapolis;?;?;Technomag carXpert;Suter;5;?;77.0;CH
2009;MotoGP;ITA;?;?;?;Fiat Yamaha Team;?;3;16;46.0;IT
2018;MotoGP;AME;?;2293;Marquez Marc;Repsol Honda Team;?;1;25;93.0;ES
2007;250cc;?;Misano;2058;Lorenzo Jorge;?;Aprilia;1;25;?;ES
2021;?;ARA;?;2591;Canet Aron;Kipin Energy Aspar Team;?;5;11;44.0;ES
2018;Moto3;?;Mugello;2564;Martin Jorge;?;Honda;?;25;88.0;ES
2012;?;?;Misano;2218;Espargaro Pol;Pons 40 HP Tuenti;?;2;20;?;ES
2006;125cc;NED;Assen;2059;Bautista Alvaro;Master - MVA Aspar Team;Aprilia;?;16;19.0;ES
?;Moto3;?;Aragon;?;Navarro Jorge;Estrella Galicia 00;Honda;1;25;9.0;?
?;?;?;Donington Park;?;Roberts Jr Kenny;?;KR211V;5;11;10.0;US
2005;?;CAT;?;2032;Stoner Casey;?;Aprilia;?;?;?;AU
2013;MotoGP;NED;Assen;1762;Rossi Valentino;Yamaha Factory Racing;Yamaha;1;?;46.0;?
2012;Moto3;POR;Estoril;2338;Salom Luis;RW Racing GP;?;3;16;39.0;ES
?;MotoGP;AUS;?;2055;Dovizioso Andrea;Ducati Team;Ducati;4;13;4.0;IT
2017;?;NED;Assen;2055;Dovizioso Andrea;Ducati Team;Ducati;?;11;?;IT
2011;125cc;POR;Estoril;2157;?;Intact-Racing Team Germany;Aprilia;2;20;11.0;DE
2021;Moto2;ITA;Mugello;2553;Gardner Remy;?;Kalex;?;25;?;AU
2017;?;VAL;Ricardo Tormo;2429;Oliveira Miguel;Red Bull KTM Ajo;KTM;1;25;44.0;PT
?;Moto3;AUT;Spielberg;?;Vietti Celestino;SKY Racing Team VR46;KTM;?;13;13.0;IT
2008;125cc;?;Le Mans;?;Espargaro Pol;Belson Derbi;Derbi;?;?;44.0;ES
2017;Moto3;ITA;Mugello;2487;Guevara Juan Francisco;?;KTM;3;16;58.0;ES
2009;?;?;Jerez;2080;Simoncelli Marco;Metis Gilera;Gilera;3;16;?;?
2015;Moto2;RSM;?;2064;Corsi Simone;Forward Racing;Kalex;4;13;3.0;IT
2021;Moto3;ITA;Mugello;?;Masia Jaume;?;?;2;20;5.0;ES
2013;Moto2;GER;Sachsenring;2398;Torres Jordi;Aspar Team Moto2;Suter;1;25;81.0;ES
?;Moto3;AUS;Phillip Island;?;?;?;Honda;5;11;11.0;BE
2017;Moto2;CAT;Catalunya;2075;?;CarXpert Interwetten;Kalex;2;?;?;CH
2011;125cc;RSM;Misano;2151;Terol Nicolas;Bankia Aspar Team 125cc;?;?;25;18.0;ES
2018;?;SPA;?;2636;?;Estrella Galicia 00;Honda;4;13;?;?
2015;Moto2;FRA;Le Mans;2330;Zarco Johann;Ajo Motorsport;Kalex;3;16;5.0;?
2007;?;TUR;Istanbul;?;Lorenzo Jorge;?;Aprilia;?;20;?;ES
?;125cc;RSM;?;?;Koyama Tomoyoshi;?;KTM;?;16;71.0;JP
2005;MotoGP;GER;Sachsenring;1762;Rossi Valentino;Gauloises Yamaha Team;Yamaha;1;25;46.0;IT
2015;Moto3;CZE;Brno;2450;Binder Brad;?;KTM;3;16;41.0;ZA
?;Moto2;ARA;?;2151;?;Aspar Team Moto2;Suter;1;25;18.0;ES
2012;Moto2;QAT;Losail;2202;Rabat Tito;Pons 40 HP Tuenti;Kalex;4;13;80.0;ES
2008;MotoGP;JPN;Motegi;?;?;?;?;?;11;69.0;US
2013;Moto3;GBR;?;?;?;?;KTM;4;13;25.0;ES
?;?;?;Misano;2471;Rins Alex;?;KTM;1;25;42.0;ES
?;Moto2;NED;Assen;2330;Zarco Johann;?;Kalex;?;?;?;?
2013;Moto3;AME;?;2428;Vinales Maverick;Team Calvo;KTM;2;20;25.0;?
2007;125cc;TUR;Istanbul;2016;Olive Joan;Polaris World;Aprilia;2;20;6.0;ES
2011;?;?;Ricardo Tormo;2107;?;Gresini Racing Moto2;Moriwaki;1;25;51.0;IT
2013;MotoGP;QAT;?;2058;Lorenzo Jorge;Yamaha Factory Racing;Yamaha;1;?;?;?
2015;Moto3;RSM;Misano;2535;Bastianini Enea;Gresini Racing Team Moto3;Honda;1;25;33.0;IT
?;125cc;SPA;Jerez;1988;Faubel Hector;Bancaja Aspar;Aprilia;3;16;?;ES
?;125cc;?;Catalunya;?;Di Meglio Mike;?;Derbi;1;25;63.0;FR
2008;125cc;INP;Indianapolis;2151;?;Jack & Jones WRB;Aprilia;?;25;18.0;ES
2008;MotoGP;AUS;Phillip Island;1875;Nakano Shinya;?;Honda;5;11;56.0;JP
2018;Moto2;QAT;Losail;2475;Marquez Alex;?;Kalex;3;16;?;ES
2009;250cc;ITA;Mugello;2130;Pasini Mattia;?;Aprilia;1;25;75.0;IT
?;125cc;?;Motegi;2016;Olive Joan;Polaris World;?;?;11;6.0;ES
2008;125cc;?;Motegi;2098;Di Meglio Mike;Ajo Motorsport;Derbi;2;20;63.0;FR
?;125cc;NED;Assen;2338;Salom Luis;RW Racing GP;Aprilia;2;20;39.0;ES
2011;125cc;ITA;Mugello;2330;Zarco Johann;Avant-AirAsia-Ajo;Derbi;2;20;5.0;FR
2013;?;?;Assen;?;?;Estrella Galicia 00;KTM;5;11;12.0;ES
2012;Moto2;VAL;?;2293;?;Team Catalunya Caixa Repsol;?;?;25;93.0;?
