Edward Frank Ed Book;M;24.0;210.0;115.0;New Zealand;NZL;2004 Summer;2004;Summer;Athina;Basketball
Marlen Esparza Puentes;F;22.0;160.0;51.0;United States;USA;2012 Summer;2012;Summer;?;?
Claude Henri Ferdinand Dalmas Arabo;M;?;178.0;73.0;France;?;1964 Summer;1964;Summer;Tokyo;Fencing
Ivan Vladimirovich Alypov;M;23.0;169.0;60.0;Russia;RUS;2006 Winter;2006;Winter;Torino;Cross Country Skiing
?;M;20.0;185.0;68.0;Qatar;?;?;2000;Summer;Sydney;Athletics
Andrea Ehrig-Schne-Mitscherlich;F;27.0;165.0;58.0;East Germany;GDR;1988 Winter;?;Winter;Calgary;Speed Skating
Marcus A. C. Marc Faulks;M;27.0;174.0;?;?;AUS;1964 Summer;1964;Summer;Tokyo;Gymnastics
Ellen Louise Elzerman;F;21.0;179.0;63.0;Netherlands;NED;1992 Summer;1992;Summer;?;Swimming
Leslie Michele Burr-Howard (-Leneghan-);?;39.0;167.0;55.0;United States;USA;1996 Summer;1996;Summer;Atlanta;Equestrianism
Richard Doey;M;27.0;195.0;91.0;Canada;CAN;1984 Summer;1984;Summer;Los Angeles;Rowing
Laverne Bryan;F;23.0;171.0;50.0;Antigua and Barbuda;ANT;1988 Summer;1988;Summer;Seoul;Athletics
Yvon Becaus;M;24.0;180.0;81.0;Belgium;BEL;1960 Summer;1960;Summer;Roma;Boxing
Vladimir Gennadyevich Denisov;M;25.0;173.0;64.0;Soviet Union;URS;1972 Summer;1972;Summer;Munich;?
?;M;42.0;175.0;72.0;Portugal;POR;1952 Summer;1952;Summer;Helsinki;Equestrianism
Vasily Fyodorovich Borisov;M;33.0;170.0;85.0;Soviet Union;URS;1956 Summer;1956;Summer;Melbourne;Shooting
?;M;21.0;181.0;90.0;Bosnia and Herzegovina;BIH;1998 Winter;?;Winter;Nagano;Alpine Skiing
?;F;37.0;157.0;47.0;Spain;?;2008 Summer;2008;Summer;?;Athletics
Nancy Carrillo de la Paz;F;18.0;190.0;74.0;Cuba;?;2004 Summer;2004;Summer;Athina;Volleyball
Tariku Bekele Beyecha;M;21.0;173.0;65.0;Ethiopia;ETH;2008 Summer;2008;Summer;Beijing;Athletics
Felix Buser;M;26.0;188.0;82.0;Switzerland;SUI;1984 Summer;1984;Summer;Los Angeles;Canoeing
Jacques Jacky Courtillat;M;17.0;?;?;France;FRA;1960 Summer;1960;Summer;Roma;Fencing
Carl Bouckaert;M;58.0;181.0;75.0;Belgium;BEL;2012 Summer;2012;Summer;London;Equestrianism
Jessica Deglau;F;20.0;172.0;57.0;Canada;CAN;2000 Summer;2000;Summer;Sydney;Swimming
Helmut Ernesto Bellingrodt Wolf;M;23.0;178.0;78.0;Colombia;COL;1972 Summer;1972;Summer;Munich;Shooting
Alexis Copello Snchez;M;?;185.0;80.0;Cuba;CUB;2012 Summer;2012;Summer;London;Athletics
Sven Fischer;M;30.0;186.0;82.0;Germany;GER;?;2002;Winter;Salt Lake City;Biathlon
Valrie Gisele Angele Barlois-Mevel-Leroux;F;31.0;?;53.0;France;FRA;2000 Summer;2000;Summer;?;?
William Solon Bill Dellinger;M;26.0;175.0;?;United States;USA;1960 Summer;1960;?;Roma;?
Franois Boivin;M;23.0;170.0;70.0;Canada;CAN;2006 Winter;2006;Winter;Torino;?
Kenneth Frederick Ken Buffin;M;36.0;163.0;64.0;Great Britain;GBR;?;?;?;Roma;Gymnastics
Juan Carlos Bello Angosto;M;23.0;184.0;72.0;Peru;PER;1972 Summer;1972;Summer;Munich;?
Stephen Clark Steve Collins;M;15.0;167.0;58.0;Canada;CAN;1980 Winter;1980;Winter;Lake Placid;Ski Jumping
Francisco Geovanis Cassiani Gmez;M;22.0;179.0;76.0;Colombia;COL;1992 Summer;1992;Summer;Barcelona;Football
?;M;28.0;178.0;72.0;France;FRA;?;1996;Summer;Atlanta;Canoeing
?;F;26.0;175.0;67.0;?;BUL;1988 Summer;1988;Summer;Seoul;Athletics
Talla Diaw;?;29.0;168.0;50.0;Senegal;SEN;1984 Summer;1984;Summer;?;Wrestling
Michael Binzer;?;29.0;180.0;73.0;Denmark;DEN;1998 Winter;1998;Winter;Nagano;Cross Country Skiing
Terene Eva Terry Donovan;F;35.0;157.0;53.0;Australia;AUS;1980 Summer;1980;Summer;Moskva;Archery
Ib Bjrke;M;?;170.0;59.0;Denmark;DEN;1960 Summer;1960;Summer;Roma;Equestrianism
Mads Christian Kruse Andersen;?;30.0;187.0;75.0;Denmark;?;2008 Summer;2008;Summer;Beijing;?
Abigail Susan E. Edmonds;F;21.0;172.0;70.0;Great Britain;GBR;2012 Summer;2012;?;London;Canoeing
Dana Beldov-Splensk;F;25.0;172.0;?;?;TCH;1976 Winter;1976;?;Innsbruck;Luge
Ral Bagattini;M;25.0;178.0;82.0;Brazil;BRA;1976 Summer;1976;Summer;Montreal;Rowing
?;?;27.0;178.0;70.0;Hungary;HUN;2012 Summer;2012;Summer;London;Gymnastics
Elise Christie;F;?;160.0;54.0;Great Britain;GBR;2010 Winter;2010;Winter;Vancouver;Short Track Speed Skating
?;?;22.0;163.0;59.0;Unified Team;EUN;1992 Summer;1992;Summer;Barcelona;?
Marie Dorin-Habert;F;23.0;168.0;55.0;?;FRA;2010 Winter;2010;Winter;Vancouver;Biathlon
Nadezhda Valentinovna Burlakova (Shamakova-);F;24.0;165.0;59.0;Soviet Union;URS;1984 Winter;1984;Winter;Sarajevo;?
