Bangladesh;South;2021;Lake;9.04;7.08;42.23;1.52;4149;66.24;300;2.18;26185;36.55;Boiling
China;West;2013;Tap;5.59;7.77;26.07;9.49;238;48.15;349;77.13;25017;44.53;No Treatment
China;North;2003;Lake;5.63;6.18;42.81;2.38;1519;73.78;118;71.31;63142;36.23;Filtration
Brazil;East;2013;Well;6.55;6.15;26.78;6.18;972;82.79;266;29.01;67982;62.85;Filtration
Indonesia;Central;2004;Lake;0.22;6.54;38.87;0.51;1576;93.82;190;97.45;16751;35.8;Chlorination
Brazil;West;2021;River;5.85;7.45;19.89;9.66;455;56.14;221;5.62;28014;78.3;No Treatment
Indonesia;Central;2010;Lake;3.55;7.6;0.63;10.52;?;89.69;463;60.71;66421;66.82;Filtration
Indonesia;South;2023;Well;7.97;7.93;41.48;14.02;4380;67.98;316;6.96;80635;49.92;Chlorination
USA;Central;2010;Well;4.62;7.26;42.44;6.13;4929;77.68;213;76.62;8969;46.54;Boiling
India;East;2019;Pond;8.91;6.75;27.7;14.86;4612;58.4;437;32.03;63891;72.94;No Treatment
Pakistan;East;2010;Tap;4.89;6.31;30.93;12.2;3932;97.4;93;55.99;73172;56.71;Chlorination
Indonesia;South;2015;Lake;4.12;8.16;46.42;15.01;2654;72.76;494;44.45;77230;85.24;Filtration
Bangladesh;South;2021;River;6.59;7.79;32.74;5.51;1660;76.4;401;77.51;51903;44.62;Boiling
Nigeria;Central;2008;Tap;2.22;6.5;47.58;15.31;2259;62.56;48;79.58;57826;25.32;Filtration
?;East;2004;River;7.95;8.01;43.54;18.62;?;97.42;348;13.89;56426;40.34;No Treatment
Brazil;North;2014;Lake;0.47;6.44;40.17;3.65;2590;45.61;196;15.24;82318;58.17;Chlorination
India;Central;2015;River;2.78;6.39;41.8;6.88;93;44.04;57;?;70391;80.12;Filtration
Ethiopia;North;2021;River;7.18;7.81;31.55;18.03;?;38.18;57;19.58;90239;32.19;No Treatment
