23;?;?;1.2;?;?;8.0;6;Master;?;56.2
20;Female;6.9;2.8;?;97.3;4.6;?;High School;8;100.0
?;Male;1.4;?;1.3;94.8;8.0;1;High School;?;34.3
23;Female;?;?;?;?;?;4;?;1;26.8
?;Female;5.0;4.4;0.5;90.9;4.9;3;?;?;?
24;?;?;1.3;0.0;82.9;?;1;?;4;?
21;?;5.6;1.5;?;?;6.5;?;Master;4;89.8
?;Female;4.3;1.0;2.0;77.7;?;0;Bachelor;8;?
23;Female;4.4;2.2;1.7;100.0;7.1;3;Bachelor;1;78.9
?;Female;?;3.1;1.3;95.4;7.5;5;Bachelor;10;100.0
23;Male;3.9;?;?;71.7;7.9;2;Bachelor;1;74.4
?;?;?;2.1;0.4;?;4.5;1;Bachelor;?;76.9
19;Female;?;2.7;2.7;?;?;4;Bachelor;10;?
?;Male;?;?;0.7;?;6.7;?;?;9;78.9
21;?;3.1;5.0;1.0;97.5;6.5;?;High School;7;74.0
?;Male;1.0;0.6;?;?;5.6;?;?;8;55.2
24;?;?;?;1.2;94.7;?;0;?;1;70.8
?;Other;?;4.9;2.9;88.3;7.1;2;?;?;?
19;?;1.8;?;2.4;71.1;7.5;1;High School;2;?
?;Female;?;2.3;?;83.0;6.4;?;Master;1;?
21;?;5.6;?;2.4;?;7.2;1;High School;3;82.5
?;?;4.9;?;0.6;84.5;6.0;?;?;7;98.7
?;Female;1.1;4.1;?;90.0;?;?;Bachelor;?;?
20;?;2.0;?;0.9;81.8;5.5;?;Bachelor;?;54.9
?;Male;?;4.3;?;74.7;?;1;High School;2;69.9
22;Male;2.0;0.8;0.5;83.8;?;4;Bachelor;4;?
18;Male;?;?;2.8;88.1;?;5;?;?;71.1
?;Male;4.3;2.0;2.8;?;?;5;?;3;82.8
?;Female;2.0;3.2;3.8;82.6;?;6;High School;10;75.7
21;Female;?;0.6;1.3;75.6;?;2;?;5;?
?;Other;1.5;?;?;96.2;8.0;4;Bachelor;?;51.3
?;Other;2.6;4.9;?;?;?;?;?;7;?
22;?;1.1;2.7;0.1;100.0;?;1;High School;4;?
21;Female;?;1.7;?;?;?;?;?;?;72.6
20;?;?;?;2.6;74.9;7.3;3;High School;4;70.7
?;?;?;2.5;0.0;64.1;?;0;?;?;?
17;?;?;1.7;1.4;70.3;7.0;?;Bachelor;?;?
19;Male;5.5;3.1;?;71.3;?;1;High School;3;82.3
19;Female;?;4.7;?;?;8.5;6;?;?;?
23;Female;?;2.3;?;86.2;7.2;6;Bachelor;?;?
18;Male;3.7;3.4;2.0;88.9;?;3;?;1;63.5
24;Female;?;0.9;?;62.8;?;?;Bachelor;2;?
20;?;?;1.4;0.8;?;5.3;4;High School;9;?
20;Male;3.6;3.1;1.1;?;?;1;Bachelor;?;75.1
?;?;2.4;4.3;1.0;?;?;5;High School;?;?
22;Female;1.4;2.1;2.8;?;8.4;3;Bachelor;6;?
22;Female;?;?;?;100.0;5.8;5;High School;1;?
23;?;1.6;?;3.1;?;?;4;?;?;62.0
?;Female;2.5;3.2;0.5;85.7;6.5;?;?;5;?
?;Female;2.4;3.6;?;?;?;?;High School;1;48.4
20;?;4.8;2.0;3.5;?;6.0;0;Bachelor;7;70.6
23;?;?;?;?;64.0;7.1;5;?;10;68.1
20;Male;5.4;?;3.8;91.8;6.9;?;?;?;87.2
24;Male;2.5;?;?;83.9;5.3;6;?;8;?
?;?;?;?;?;90.7;?;1;Bachelor;7;?
?;?;?;5.0;1.0;?;7.5;5;Master;2;46.4
?;?;6.7;2.2;2.6;84.5;6.7;3;?;5;97.1
19;Female;1.7;2.1;0.6;92.1;?;1;?;4;?
?;?;?;1.7;2.6;100.0;?;?;Bachelor;5;?
21;?;?;?;3.3;93.1;7.1;?;?;10;94.7
17;Male;?;2.3;?;?;?;?;?;9;?
23;?;3.2;?;?;80.8;?;?;High School;4;68.6
?;Female;?;4.1;0.7;80.5;5.7;0;?;?;69.6
?;?;3.6;?;?;67.0;?;4;Bachelor;?;66.5
?;Male;?;1.8;?;81.7;5.8;?;Master;2;62.2
?;Female;4.9;0.3;2.7;?;?;?;?;6;?
?;Male;6.8;3.7;1.8;?;?;6;?;?;?
18;Female;2.7;1.7;1.3;?;6.1;2;Bachelor;2;?
18;Female;1.4;3.4;0.0;89.9;?;0;High School;10;55.1
?;Male;3.4;0.1;0.6;77.7;?;1;High School;4;?
