?;?;In the Mouth of Madness;1994;62308;?;tt0113409
Terry Crews;nm0187719;Bridesmaids;2011;?;?;?
Jeremy Renner;?;?;2005;?;7.1;?
Rory Cochrane;nm0168262;?;2002;?;?;?
Christopher Guest;?;Death Wish;?;36168;?;tt0071402
?;?;?;2001;351156;?;tt0232500
Domhnall Gleeson;nm1727304;?;2013;?;?;tt2194499
?;?;?;2001;56915;?;?
?;nm8624059;The Kissing Booth;?;68424;6.0;tt3799232
Joanna Going;?;How to Make an American Quilt;?;10765;?;tt0113347
?;?;Red;?;10168;?;tt0972883
?;?;?;?;8672;?;tt0116353
Randolph Scott;?;The Texans;1938;275;6.3;?
John Saxon;nm0768334;?;1958;?;?;?
Forest Whitaker;?;Taken 3;?;180473;6.0;?
?;?;American Weapon;2014;157;?;tt1373403
?;?;Then Came You;2018;10098;?;tt4859168
?;nm0651067;Labor Pains;2009;?;4.8;?
Hank Azaria;?;The Simpsons Movie;?;310514;?;?
?;nm0473873;?;2013;?;?;?
?;nm0001494;?;?;?;?;?
Chris Kattan;nm0441592;?;?;?;?;tt1227931
?;?;Communion;?;?;5.6;?
Christiane Paul;nm0666788;Neues vom Wixxer;2007;?;?;tt0446009
William Forsythe;nm0001235;?;?;?;?;?
?;?;Detective Conan: The Fourteenth Target;1998;2057;?;tt0965649
Brian Doyle-Murray;?;?;?;126719;?;tt0164912
?;?;The Hand That Rocks the Cradle;?;38907;6.7;tt0104389
Roger Bart;nm0058372;?;2012;211;5.5;?
Claire Danes;nm0000132;U Turn;1997;49634;6.8;tt0120399
?;nm0220240;TV: The Movie;?;?;3.3;tt0460952
Rupert Friend;nm1670029;?;2008;4439;6.4;?
Johnny Strong;?;Get Carter;2000;32795;5.2;?
?;nm0000308;?;?;92191;?;tt0122718
?;?;?;1984;6697;6.3;tt0087635
Roma Maffia;?;I Am Sam;2001;143693;7.7;?
?;nm0297578;?;?;?;7.9;?
?;?;?;2007;138;4.8;?
?;?;Enchantment;?;1029;7.2;tt0040321
?;?;Wet Hot American Summer;2001;54616;?;?
?;nm0898199;Two Moon Junction;1988;?;?;?
Brendan Sexton III;?;?;?;?;4.4;?
Rachel Ticotin;nm0001797;Don Juan DeMarco;?;48537;6.7;tt0112883
Terry Chen;nm0155389;?;2007;86072;?;tt0499556
?;?;?;?;435;6.4;?
Brian Posehn;nm0692634;?;?;?;6.8;tt0328880
Dominique Provost-Chalkley;nm3176450;?;2017;371;?;?
?;nm5057169;?;?;?;?;?
?;nm0588777;Pros & Cons;1999;?;?;?
?;nm0451234;?;2007;?;7.4;tt0800956
Rosalind Chao;?;Just Like Heaven;2005;100155;?;tt0425123
?;nm0726223;?;?;126;4.7;?
Monique Gabriela Curnen;nm1010931;Year by the Sea;2016;179;?;tt4068586
Michael Grant Terry;?;The Archer;2016;495;5.2;tt5806646
?;nm0781029;The Mouse That Roared;1959;8280;7.0;tt0053084
?;nm0210218;?;?;152;?;?
?;?;?;?;?;?;tt0169547
?;?;West of Here;2002;?;5.3;tt0283680
?;nm0000297;?;?;5676;7.4;?
?;?;Murph the Surf;1975;?;?;tt0073302
Walter Brennan;?;?;1936;?;?;tt0028367
Frances Fisher;?;Red Wing;?;303;?;?
?;?;Dragon Flies;1975;1303;6.6;tt0073343
?;nm0923210;City Slickers II: The Legend of Curly's Gold;?;18250;?;tt0109439
Michael Beach;nm0004729;Megachurch Murder;2015;197;?;tt3793648
?;nm0340973;Durant's Never Closes;?;155;?;?
?;?;Death and the Maiden;?;?;?;tt0109579
Alan Arkin;nm0000273;The Heart Is a Lonely Hunter;?;3640;7.6;?
Morena Baccarin;nm1072555;?;2018;489623;7.7;?
Justin Long;?;?;?;?;7.1;tt0337978
Amy Aquino;nm0032628;?;?;?;6.6;tt0391304
?;nm0504897;?;2000;127463;8.1;?
?;?;?;1978;?;?;tt0072626
Bryan Cranston;nm0186505;?;2019;189329;7.3;tt9243946
?;nm2201555;?;?;?;5.8;tt6518270
?;?;?;2014;18298;?;tt2788716
?;nm0393222;China Gate;1957;?;6.3;?
?;nm0004887;Zoolander;?;247922;6.6;?
?;nm0000910;The Man Who Reclaimed His Head;1934;?;?;tt0025453
?;?;Always Leave Them Laughing;?;?;?;tt0041115
?;?;Denial;?;1016;?;tt0126861
Billy Dee Williams;?;?;1972;?;5.9;tt0068588
?;nm0586003;?;?;?;?;tt0407924
Stephen McHattie;nm0565569;?;2016;?;6.6;tt5058014
Matty Cardarople;nm1781213;?;2014;129824;?;tt2096672
Michael Vartan;?;Sand;2000;529;?;?
Elizabeth Hurley;nm0000167;?;1999;?;6.6;?
?;?;Coneheads;?;?;?;?
Emma Rigby;nm2050746;?;?;?;?;?
?;nm0000366;?;?;?;?;?
Charlotte Vega;?;?;?;?;5.8;?
?;?;?;1985;1071805;?;?
?;?;The Garden;2006;695;?;tt0436343
?;?;?;2000;1944;5.9;tt0250483
?;nm2019219;Christmas on the Square;2020;2162;?;?
?;nm0151250;Hysteria;?;?;?;?
Rosalind Russell;?;Live Love and Learn;?;300;6.0;?
?;?;?;?;?;?;tt5439796
Spencer Tracy;nm0000075;The Mountain;?;?;6.8;?
?;?;?;2019;?;6.3;?
Bailey Chase;?;Walk. Ride. Rodeo.;?;1984;6.4;?
Toshiro Mifune;nm0001536;Dokuritsu gurentai;?;169;?;tt0052747
?;nm0000264;?;?;152;5.1;tt0078544
Charles Martin Smith;nm0001747;?;1976;1348;?;tt0074968
Bernie Mac;?;Pride;?;6215;6.1;tt0475355
?;?;?;?;129;?;tt0883410
?;nm0151654;Crouching Tiger Hidden Dragon;2000;255050;?;?
?;?;?;?;?;?;tt1231583
Roscoe Lee Browne;nm0001975;?;?;?;7.3;tt0063748
Matt Walsh;?;The Goods: Live Hard Sell Hard;2009;20837;5.8;?
?;?;The Dirt Bike Kid;?;?;?;?
?;?;What to Expect When You're Expecting;?;?;5.7;?
Julia Ormond;nm0000566;?;?;?;6.1;?
?;nm0861915;?;2009;35314;?;?
