2017;17000;first;hyderabad;35.0;19.0;?;Bajaj;Avenger
?;?;?;?;35.0;19.8;?;Royal-Enfield;?
2012;14795;first;hyderabad;?;28.0;?;Hyosung;GT250R
2012;24561;third;bangalore;?;25.0;?;KTM;Duke
?;?;first;?;?;17.0;55000;?;?
?;1350;?;jaipur;25.0;42.9;198000;KTM;?
2018;25000;?;chennai;?;19.8;136900;Royal-Enfield;?
2016;?;?;?;32.0;24.5;112000;?;Himalayan
2017;?;first;delhi;40.0;19.8;110000;Royal-Enfield;?
?;12634;first;delhi;35.0;19.8;?;Royal-Enfield;?
?;?;?;delhi;?;?;111000;Royal-Enfield;Bullet
?;28000;first;delhi;40.0;19.8;131500;Royal-Enfield;Thunderbird
?;23350;first;delhi;37.0;19.0;?;?;Electra
2016;9551;first;?;53.0;19.0;52000;?;Avenger
2018;?;?;?;37.0;19.8;?;Royal-Enfield;?
2015;?;first;?;40.0;?;67000;Royal-Enfield;Thunderbird
?;10168;?;delhi;?;13.0;44000;Yamaha;?
2018;7000;first;delhi;?;?;?;?;Classic
2016;?;?;delhi;35.0;19.8;?;Royal-Enfield;?
?;26683;first;?;38.0;21.0;65000;Bajaj;?
2018;6900;?;bangalore;?;24.8;148000;?;Renegade
?;30202;?;mumbai;29.0;?;?;Honda;CBR
?;50000;first;chittorgarh;?;8.9;?;Hero;?
2019;40000;?;chittorgarh;?;9.0;?;Hero;Super
?;?;?;?;35.0;19.8;95000;Royal-Enfield;?
2016;?;?;?;?;?;?;?;Pulsar
?;?;first;hyderabad;?;?;?;?;Avenger
?;55000;?;?;38.0;?;?;?;?
2018;?;first;?;?;17.0;62000;?;Pulsar
2014;?;first;hyderabad;?;?;30000;Hero;?
?;33000;first;delhi;40.0;17.0;18000;?;?
?;?;?;?;35.0;24.6;207500;KTM;RC
2019;15000;?;?;32.0;?;?;?;Himalayan
?;21000;?;dehradun;?;?;?;Royal-Enfield;?
2020;9000;first;?;35.0;?;?;Royal-Enfield;?
2015;35000;first;pune;?;14.0;?;?;?
?;20864;first;delhi;38.0;21.0;?;Bajaj;Pulsar
2019;44228;first;?;55.0;?;?;Hero;Passion
2019;7714;first;?;?;19.8;135000;Royal-Enfield;?
?;60000;first;delhi;45.0;?;32000;?;FZs
?;5389;first;?;35.0;19.8;165000;Royal-Enfield;Classic
?;?;first;chittorgarh;?;9.38;45000;?;?
?;?;first;?;5.0;?;42000;?;Passion
?;?;?;dehradun;38.0;21.0;30000;Bajaj;Pulsar
?;?;?;navi mumbai;45.0;?;39000;Bajaj;Avenger
?;?;first;?;?;8.2;26000;?;Passion
?;?;first;delhi;?;8.2;20000;?;Passion
?;?;second;hyderabad;45.0;?;48500;?;?
?;23000;first;bangalore;?;19.8;114500;?;?
?;?;first;?;35.0;25.1;90000;?;?
?;9000;first;?;38.0;?;?;Bajaj;Pulsar
2015;1600;?;jalandhar;26.0;29.1;?;Royal-Enfield;Continental
?;42821;first;mumbai;?;?;42000;Yamaha;?
2012;15990;?;delhi;40.0;?;70000;?;?
2018;18000;first;vadodara;38.0;?;75000;Bajaj;?
?;?;?;hyderabad;42.0;16.7;87500;Yamaha;YZF-R15
?;?;?;?;?;?;?;Hero;?
2018;7259;?;pune;?;8.1;22500;?;HF
2019;?;first;chittorgarh;39.4;?;?;?;Xtreme
2016;45000;second;bangalore;42.0;16.7;92000;?;?
2018;?;first;?;89.0;8.1;45000;?;?
?;13000;first;?;35.0;?;207500;Royal-Enfield;Classic
2019;16000;first;mumbai;?;?;176375;?;Classic
2014;?;first;?;45.0;?;49800;Yamaha;?
?;?;first;bangalore;89.0;8.1;?;?;CT
2016;?;first;bangalore;?;14.0;50000;Suzuki;?
