Chevrolet Chevelle Malibu;18.0;?;307.0;130.0;3504.;12.0;70;US
?;15.0;8;?;165.0;?;?;70;?
Plymouth Satellite;18.0;8;?;150.0;3436.;11.0;70;US
AMC Rebel SST;16.0;?;?;150.0;?;?;?;US
Ford Torino;17.0;8;302.0;140.0;?;10.5;70;?
Ford Galaxie 500;15.0;8;429.0;?;4341.;10.0;?;?
?;14.0;?;454.0;220.0;?;9.0;70;US
Plymouth Fury iii;14.0;?;440.0;215.0;4312.;8.5;?;US
Pontiac Catalina;?;8;455.0;225.0;?;10.0;?;US
AMC Ambassador DPL;?;?;390.0;190.0;3850.;?;70;US
?;?;4;133.0;115.0;3090.;?;70;?
Chevrolet Chevelle Concours (sw);?;?;350.0;165.0;4142.;11.5;?;?
Ford Torino (sw);0;8;351.0;?;4034.;11.0;70;?
Plymouth Satellite (sw);0;8;383.0;175.0;4166.;10.5;70;US
AMC Rebel SST (sw);0;8;360.0;175.0;3850.;11.0;70;?
Dodge Challenger SE;?;?;383.0;?;?;?;70;?
?;14.0;8;?;160.0;3609.;8.0;70;US
?;?;8;302.0;140.0;3353.;8.0;70;?
Chevrolet Monte Carlo;15.0;8;?;?;3761.;9.5;?;US
Buick Estate Wagon (sw);14.0;?;?;225.0;3086.;10.0;70;US
?;24.0;4;113.0;95.00;2372.;15.0;70;Japan
?;?;6;198.0;?;2833.;15.5;70;US
?;18.0;6;?;97.00;2774.;?;?;?
Ford Maverick;21.0;?;?;?;2587.;16.0;?;?
Datsun PL510;27.0;?;97.00;88.00;2130.;14.5;70;Japan
Volkswagen 1131 Deluxe Sedan;26.0;4;97.00;?;?;20.5;70;Europe
Peugeot 504;25.0;?;110.0;?;?;?;70;Europe
Audi 100 LS;?;4;107.0;90.00;?;14.5;70;Europe
Saab 99e;25.0;?;?;95.00;2375.;17.5;?;Europe
BMW 2002;26.0;4;121.0;?;?;?;70;Europe
AMC Gremlin;21.0;?;199.0;90.00;2648.;15.0;?;US
Ford F250;10.0;8;?;215.0;?;14.0;?;?
Chevy C20;10.0;8;307.0;?;4376.;?;?;US
Dodge D200;11.0;?;318.0;?;?;13.5;70;US
Hi 1200D;?;?;304.0;?;4732.;18.5;70;US
Datsun PL510;27.0;4;97.00;88.00;2130.;?;71;Japan
Chevrolet Vega 2300;?;4;?;90.00;?;15.5;?;US
Toyota Corolla;25.0;4;113.0;95.00;2228.;?;?;Japan
?;25.0;4;?;0;2046.;19.0;71;?
Volkswagen Super Beetle 117;?;4;97.00;48.00;1978.;?;71;Europe
AMC Gremlin;?;?;?;100.0;?;13.0;?;US
?;16.0;6;225.0;105.0;3439.;15.5;?;US
Chevrolet Chevelle Malibu;17.0;6;250.0;100.0;3329.;?;71;?
Ford Torino 500;19.0;?;250.0;88.00;3302.;15.5;71;US
AMC Matador;18.0;?;232.0;100.0;?;?;71;US
Chevrolet Impala;?;?;350.0;?;4209.;12.0;71;US
?;14.0;8;400.0;175.0;4464.;?;?;US
Ford Galaxie 500;?;8;351.0;?;4154.;?;71;US
Plymouth Fury iii;14.0;8;318.0;?;4096.;13.0;71;?
?;12.0;8;383.0;180.0;?;11.5;?;US
?;13.0;8;?;170.0;4746.;12.0;71;US
Pontiac Safari (sw);13.0;?;400.0;175.0;5140.;?;71;US
AMC Hornet Sportabout (sw);?;6;?;110.0;?;13.5;?;?
Chevrolet Vega (sw);?;4;?;72.00;2408.;19.0;71;?
Pontiac Firebird;19.0;?;?;100.0;3282.;15.0;71;US
Ford Mustang;?;6;250.0;88.00;3139.;14.5;71;?
Mercury Capri 2000;23.0;4;122.0;?;2220.;14.0;71;US
Opel 1900;?;4;?;?;2123.;14.0;71;Europe
Peugeot 304;30.0;4;79.00;70.00;2074.;?;?;Europe
Fiat 124B;30.0;4;88.00;76.00;2065.;14.5;?;?
Toyota Corolla 1200;31.0;4;?;65.00;1773.;?;71;?
Datsun 1200;35.0;?;72.00;?;?;18.0;?;Japan
?;?;?;?;60.00;1834.;19.0;?;?
Plymouth Cricket;26.0;4;91.00;70.00;?;20.5;71;US
Toyota Corolla Hardtop;?;?;?;95.00;?;?;?;Japan
Dodge Colt Hardtop;25.0;4;?;?;2126.;17.0;?;?
?;23.0;4;97.00;54.00;2254.;23.5;?;?
?;20.0;4;?;90.00;2408.;19.5;72;US
Ford Pinto Runabout;21.0;?;?;86.00;?;16.5;72;US
Chevrolet Impala;13.0;?;?;165.0;4274.;?;?;US
Pontiac Catalina;?;8;400.0;175.0;4385.;12.0;72;?
Plymouth Fury III;?;8;?;?;4135.;13.5;72;US
Ford Galaxie 500;?;8;?;153.0;?;13.0;?;?
AMC Ambassador SST;17.0;?;304.0;?;3672.;11.5;72;US
Mercury Marquis;?;8;?;208.0;?;?;72;US
Buick LeSabre Custom;13.0;8;350.0;?;4502.;13.5;72;US
Oldsmobile Delta 88 Royale;12.0;8;350.0;160.0;?;?;?;US
?;13.0;?;400.0;?;4422.;12.5;72;?
?;?;?;?;?;2330.;13.5;?;Japan
AMC Matador (sw);?;?;304.0;150.0;3892.;12.5;72;US
Chevrolet Chevelle Concours (sw);13.0;8;307.0;130.0;4098.;14.0;?;US
?;13.0;8;302.0;?;?;16.0;72;?
?;14.0;8;318.0;?;4077.;14.0;72;US
?;18.0;4;121.0;?;2933.;?;?;Europe
Volkswagen 411 (sw);22.0;4;121.0;?;2511.;18.0;72;Europe
Peugeot 504 (sw);21.0;?;120.0;87.00;2979.;?;72;?
Renault 12 (sw);?;4;96.00;69.00;2189.;18.0;72;Europe
?;?;?;122.0;?;?;?;72;?
?;28.0;4;97.00;92.00;2288.;17.0;72;Japan
?;?;4;?;97.00;2506.;?;?;Japan
Dodge Colt (sw);28.0;?;98.00;80.00;?;15.0;72;US
Toyota Corolla 1600 (sw);27.0;4;?;?;2100.;16.5;72;Japan
Buick Century 350;13.0;8;?;175.0;?;13.0;73;?
?;?;8;?;150.0;3672.;11.5;?;?
Chevrolet Malibu;13.0;8;350.0;145.0;3988.;?;73;?
?;14.0;?;302.0;?;?;?;73;?
?;15.0;8;318.0;?;3777.;?;73;US
Mercury Marquis Brougham;?;8;429.0;198.0;4952.;?;?;?
?;13.0;8;400.0;150.0;4464.;12.0;73;?
Ford LTD;13.0;?;351.0;?;?;13.0;?;US
?;?;8;?;?;?;?;73;US
Chrysler New Yorker Brougham;13.0;?;440.0;215.0;4735.;?;73;US
Buick Electra 225 Custom;12.0;8;?;225.0;4951.;11.0;73;US
?;13.0;8;360.0;175.0;3821.;?;?;US
Plymouth Valiant;18.0;6;225.0;105.0;?;16.5;73;?
Chevrolet Nova Custom;16.0;6;250.0;100.0;?;18.0;73;US
AMC Hornet;18.0;6;232.0;?;2945.;?;73;US
?;?;?;250.0;88.00;?;?;?;US
Plymouth Duster;23.0;6;?;95.00;2904.;16.0;73;US
Volkswagen Super Beetle;26.0;4;97.00;46.00;1950.;?;73;?
?;11.0;8;400.0;?;4997.;?;73;US
Ford Country;12.0;?;?;?;?;12.5;73;US
Plymouth Custom Suburb;13.0;8;?;170.0;?;?;73;US
?;12.0;8;350.0;?;4499.;12.5;73;US
?;18.0;?;232.0;?;2789.;15.0;73;US
?;20.0;4;97.00;88.00;2279.;?;73;Japan
Chevrolet Vega;21.0;4;?;72.00;2401.;19.5;73;US
Datsun 610;?;?;108.0;?;2379.;?;73;Japan
?;18.0;3;70.00;90.00;?;?;73;Japan
Ford Pinto;?;4;?;85.00;2310.;18.5;73;?
Mercury Capri v6;21.0;6;?;?;2472.;14.0;?;US
Fiat 124 Sport Coupe;26.0;?;98.00;?;?;15.5;73;?
Chevrolet Monte Carlo S;15.0;8;350.0;?;?;?;?;?
Pontiac Grand Prix;?;8;400.0;?;?;9.50;?;US
Fiat 128;29.0;4;?;49.00;1867.;?;?;Europe
Opel Manta;24.0;?;?;?;?;15.5;73;?
Audi 100LS;20.0;4;114.0;91.00;?;14.0;73;Europe
Volvo 144ea;19.0;4;121.0;112.0;2868.;15.5;73;Europe
Dodge Dart Custom;15.0;8;318.0;150.0;3399.;11.0;73;US
Saab 99le;?;4;?;110.0;2660.;14.0;73;Europe
Toyota Mark II;20.0;6;156.0;122.0;2807.;?;?;?
Oldsmobile Omega;?;?;350.0;?;3664.;11.0;?;US
Plymouth Duster;20.0;?;198.0;95.00;?;16.5;74;?
?;21.0;6;200.0;0;2875.;17.0;74;US
AMC Hornet;19.0;6;232.0;100.0;2901.;16.0;?;?
?;15.0;6;?;100.0;3336.;17.0;74;?
Datsun B210;31.0;4;79.00;67.00;1950.;19.0;74;Japan
Ford Pinto;26.0;4;122.0;?;2451.;16.5;74;US
Toyota Corolla 1200;32.0;4;71.00;?;1836.;21.0;74;?
?;25.0;4;?;75.00;2542.;17.0;?;US
?;?;6;250.0;100.0;?;17.0;74;US
AMC Matador;?;6;258.0;110.0;3632.;18.0;74;US
Plymouth Satellite Sebring;18.0;6;225.0;105.0;3613.;16.5;74;US
?;?;?;?;140.0;?;14.0;?;?
Buick Century Luxus (sw);?;8;?;?;4699.;?;?;?
Dodge Coronet Custom (sw);14.0;?;318.0;150.0;4457.;?;74;?
Ford Gran Torino (sw);14.0;?;?;140.0;4638.;16.0;74;?
AMC Matador (sw);14.0;8;304.0;150.0;?;15.5;74;US
Audi Fox;29.0;4;98.00;?;2219.;16.5;74;Europe
?;?;4;?;?;?;?;74;?
?;26.0;4;?;78.00;2300.;14.5;74;?
Toyota Corolla;31.0;4;76.00;?;1649.;?;74;?
?;32.0;4;83.00;61.00;2003.;19.0;74;Japan
Dodge Colt;28.0;?;90.00;75.00;2125.;14.5;74;?
Fiat 128;24.0;4;90.00;75.00;?;15.5;74;?
Fiat 124 TC;26.0;4;116.0;75.00;2246.;14.0;?;Europe
Honda Civic;24.0;4;120.0;97.00;?;15.0;74;?
Subaru;26.0;?;?;93.00;2391.;15.5;74;Japan
Fiat x1.9;31.0;?;?;?;2000.;16.0;74;?
Plymouth Valiant Custom;19.0;6;?;95.00;3264.;16.0;75;?
