Chevrolet Chevelle Malibu;18.0;8;307.0;130.0;?;12.0;70;US
Buick Skylark 320;?;?;350.0;165.0;?;?;?;US
Plymouth Satellite;18.0;8;318.0;150.0;3436.0;11.0;?;US
AMC Rebel SST;16.0;8;?;150.0;3433.0;12.0;70;US
?;17.0;8;302.0;140.0;3449.0;10.5;70;?
?;15.0;8;?;198.0;?;10.0;?;US
Chevrolet Impala;14.0;8;454.0;220.0;4354.0;9.0;70;US
Plymouth Fury iii;14.0;?;?;215.0;4312.0;8.5;70;US
Pontiac Catalina;?;8;455.0;225.0;4425.0;10.0;70;?
?;15.0;?;?;190.0;3850.0;8.5;70;US
Citroen DS-21 Pallas;?;?;?;115.0;?;?;70;Europe
?;0.0;8;350.0;165.0;?;11.5;70;US
Ford Torino (sw);?;8;351.0;153.0;4034.0;11.0;?;US
Plymouth Satellite (sw);0.0;?;?;175.0;?;10.5;?;US
?;0.0;8;?;175.0;3850.0;11.0;70;?
Dodge Challenger SE;15.0;8;?;170.0;3563.0;10.0;70;US
Plymouth 'Cuda 340;?;8;340.0;?;3609.0;?;70;US
Ford Mustang Boss 302;0.0;8;302.0;140.0;3353.0;?;?;US
Chevrolet Monte Carlo;15.0;?;400.0;150.0;3761.0;9.5;70;?
Buick Estate Wagon (sw);14.0;8;455.0;225.0;?;10.0;?;US
?;24.0;4;113.0;95.0;?;15.0;70;Japan
Plymouth Duster;22.0;6;198.0;95.0;2833.0;15.5;?;US
AMC Hornet;18.0;6;199.0;97.0;2774.0;?;?;US
?;21.0;6;200.0;85.0;2587.0;?;70;?
Datsun PL510;27.0;4;97.0;?;2130.0;14.5;?;?
Volkswagen 1131 Deluxe Sedan;?;4;97.0;46.0;1835.0;20.5;?;Europe
Peugeot 504;25.0;4;110.0;87.0;2672.0;17.5;70;Europe
Audi 100 LS;24.0;4;?;?;2430.0;14.5;70;Europe
?;?;4;?;?;2375.0;17.5;70;Europe
BMW 2002;26.0;4;121.0;?;2234.0;12.5;70;?
?;21.0;?;199.0;90.0;?;15.0;70;?
Ford F250;10.0;?;360.0;215.0;?;14.0;70;US
Chevy C20;10.0;8;307.0;200.0;4376.0;15.0;70;US
Dodge D200;11.0;8;?;210.0;4382.0;13.5;70;US
Hi 1200D;9.0;8;?;?;4732.0;18.5;70;US
Datsun PL510;27.0;?;?;88.0;2130.0;?;71;Japan
Chevrolet Vega 2300;28.0;4;?;90.0;2264.0;15.5;71;US
Toyota Corolla;?;4;113.0;95.0;2228.0;?;?;Japan
Ford Pinto;?;?;98.0;0.0;?;19.0;71;US
?;0.0;4;97.0;48.0;1978.0;20.0;71;Europe
AMC Gremlin;?;?;?;100.0;2634.0;?;?;US
Plymouth Satellite Custom;16.0;?;225.0;105.0;?;15.5;71;US
Chevrolet Chevelle Malibu;17.0;6;250.0;100.0;3329.0;15.5;71;US
Ford Torino 500;19.0;6;250.0;88.0;3302.0;15.5;71;US
AMC Matador;18.0;?;232.0;100.0;3288.0;15.5;71;US
Chevrolet Impala;14.0;8;?;?;?;12.0;?;US
Pontiac Catalina Brougham;14.0;8;400.0;175.0;4464.0;11.5;71;?
Ford Galaxie 500;14.0;8;?;153.0;4154.0;?;?;US
?;?;?;?;150.0;4096.0;13.0;71;US
Dodge Monaco (sw);12.0;?;383.0;180.0;4955.0;11.5;71;US
Ford Country Squire (sw);13.0;8;400.0;170.0;4746.0;12.0;71;?
?;?;8;400.0;?;5140.0;12.0;71;US
?;18.0;6;258.0;110.0;2962.0;?;71;US
?;?;4;140.0;72.0;2408.0;19.0;71;US
?;19.0;6;250.0;100.0;3282.0;15.0;71;US
Ford Mustang;18.0;6;?;88.0;3139.0;14.5;71;US
Mercury Capri 2000;23.0;4;122.0;86.0;2220.0;14.0;71;US
Opel 1900;28.0;4;116.0;?;?;14.0;71;Europe
Peugeot 304;?;4;?;70.0;2074.0;19.5;71;Europe
Fiat 124B;30.0;4;88.0;76.0;2065.0;14.5;?;Europe
Toyota Corolla 1200;31.0;4;71.0;65.0;1773.0;19.0;71;?
?;35.0;4;72.0;69.0;?;18.0;71;Japan
?;?;4;97.0;60.0;1834.0;19.0;71;Europe
?;26.0;4;91.0;70.0;1955.0;20.5;71;US
Toyota Corolla Hardtop;24.0;4;113.0;95.0;2278.0;15.5;72;Japan
Dodge Colt Hardtop;25.0;4;97.5;80.0;2126.0;17.0;?;US
Volkswagen Type 3;?;4;97.0;?;2254.0;23.5;72;Europe
Chevrolet Vega;?;4;140.0;?;2408.0;?;?;US
?;21.0;4;122.0;86.0;2226.0;16.5;72;?
Chevrolet Impala;13.0;8;350.0;?;4274.0;?;72;US
?;14.0;8;400.0;?;4385.0;12.0;?;US
Plymouth Fury III;15.0;8;318.0;150.0;4135.0;13.5;?;?
Ford Galaxie 500;14.0;8;351.0;153.0;4129.0;13.0;72;?
AMC Ambassador SST;17.0;8;304.0;150.0;3672.0;11.5;72;US
Mercury Marquis;11.0;8;429.0;?;4633.0;11.0;72;US
?;13.0;8;?;155.0;4502.0;13.5;72;US
Oldsmobile Delta 88 Royale;?;8;350.0;160.0;4456.0;?;72;US
?;13.0;8;400.0;?;4422.0;?;72;US
Mazda RX2 Coupe;19.0;3;70.0;?;?;13.5;72;Japan
AMC Matador (sw);15.0;?;304.0;150.0;3892.0;12.5;72;US
Chevrolet Chevelle Concours (sw);13.0;?;?;130.0;4098.0;14.0;72;?
Ford Gran Torino (sw);13.0;8;?;140.0;4294.0;16.0;72;US
Plymouth Satellite Custom (sw);?;?;318.0;?;4077.0;?;72;?
Volvo 145e (sw);18.0;4;121.0;112.0;2933.0;14.5;72;Europe
Volkswagen 411 (sw);22.0;4;121.0;76.0;2511.0;18.0;72;?
Peugeot 504 (sw);21.0;4;120.0;87.0;2979.0;?;72;Europe
Renault 12 (sw);26.0;4;96.0;69.0;2189.0;?;72;Europe
Ford Pinto (sw);22.0;4;122.0;86.0;2395.0;?;72;US
Datsun 510 (sw);28.0;4;97.0;92.0;2288.0;17.0;?;Japan
Toyota Corolla Mark II (sw);23.0;4;120.0;97.0;2506.0;14.5;72;Japan
Dodge Colt (sw);28.0;4;?;80.0;2164.0;15.0;?;US
?;27.0;4;97.0;88.0;2100.0;16.5;?;Japan
Buick Century 350;13.0;8;350.0;175.0;?;13.0;73;US
AMC Matador;14.0;8;304.0;150.0;3672.0;11.5;73;?
Chevrolet Malibu;13.0;8;350.0;?;3988.0;13.0;73;US
Ford Gran Torino;14.0;8;?;137.0;4042.0;14.5;73;US
Dodge Coronet Custom;15.0;8;318.0;?;3777.0;12.5;73;US
?;12.0;8;429.0;198.0;4952.0;11.5;73;US
Chevrolet Caprice Classic;13.0;8;400.0;150.0;4464.0;?;73;US
Ford LTD;13.0;8;351.0;158.0;?;?;73;US
Plymouth Fury Gran Sedan;?;8;318.0;150.0;?;14.5;73;?
Chrysler New Yorker Brougham;13.0;8;440.0;215.0;?;?;73;US
Buick Electra 225 Custom;12.0;8;455.0;?;?;11.0;73;?
AMC Ambassador Brougham;13.0;?;360.0;?;3821.0;11.0;?;US
Plymouth Valiant;18.0;6;?;105.0;3121.0;?;73;?
Chevrolet Nova Custom;16.0;6;250.0;100.0;3278.0;18.0;73;US
AMC Hornet;18.0;6;232.0;100.0;2945.0;16.0;73;US
Ford Maverick;?;?;?;88.0;3021.0;16.5;73;US
Plymouth Duster;23.0;6;198.0;?;?;16.0;73;US
?;26.0;4;?;46.0;1950.0;21.0;73;Europe
Chevrolet Impala;?;8;400.0;150.0;4997.0;14.0;73;?
Ford Country;12.0;8;400.0;167.0;4906.0;12.5;73;US
Plymouth Custom Suburb;13.0;?;360.0;?;4654.0;13.0;73;?
Oldsmobile Vista Cruiser;12.0;8;?;180.0;?;12.5;73;US
?;18.0;?;232.0;100.0;2789.0;15.0;73;US
Toyota Camry;20.0;4;?;88.0;2279.0;19.0;73;Japan
Chevrolet Vega;21.0;4;?;72.0;2401.0;19.5;73;US
Datsun 610;?;?;108.0;94.0;2379.0;16.5;73;Japan
Mazda RX3;18.0;3;70.0;90.0;2124.0;13.5;73;Japan
Ford Pinto;19.0;4;?;85.0;?;18.5;73;US
Mercury Capri v6;21.0;?;?;107.0;2472.0;14.0;73;US
Fiat 124 Sport Coupe;26.0;4;?;90.0;2265.0;15.5;73;Europe
Chevrolet Monte Carlo S;15.0;8;350.0;?;4082.0;13.0;?;US
