Chevrolet Chevelle Malibu;18.0;8;307.0;130.0;3504.0;?;70;?
?;15.0;8;350.0;165.0;?;?;?;?
?;18.0;8;318.0;150.0;?;11.0;?;?
?;?;8;304.0;150.0;?;12.0;?;US
Ford Torino;?;8;302.0;?;3449.0;10.5;?;US
Ford Galaxie 500;?;?;429.0;198.0;4341.0;10.0;?;US
?;?;?;?;220.0;4354.0;9.0;70;?
Plymouth Fury iii;?;?;?;?;?;?;70;?
?;?;8;?;?;?;?;?;US
?;?;8;390.0;?;?;?;?;US
?;?;4;133.0;?;3090.0;17.5;?;Europe
Chevrolet Chevelle Concours (sw);0.0;8;350.0;?;4142.0;11.5;70;?
Ford Torino (sw);0.0;8;351.0;153.0;4034.0;11.0;70;?
Plymouth Satellite (sw);?;?;383.0;175.0;?;10.5;?;US
AMC Rebel SST (sw);?;?;360.0;175.0;?;11.0;?;US
Dodge Challenger SE;?;?;?;170.0;?;10.0;?;?
?;?;?;?;160.0;?;?;70;?
?;0.0;?;?;?;?;?;70;US
?;15.0;?;?;?;?;9.5;70;US
Buick Estate Wagon (sw);14.0;8;455.0;225.0;?;10.0;70;US
Toyota Corolla Mark ii;24.0;4;113.0;95.0;2372.0;15.0;70;?
?;22.0;6;?;95.0;2833.0;15.5;70;US
?;?;6;?;97.0;2774.0;15.5;70;US
?;?;6;200.0;85.0;?;16.0;70;?
?;?;4;?;88.0;?;14.5;70;?
?;?;?;?;46.0;1835.0;20.5;70;?
Peugeot 504;25.0;?;?;87.0;2672.0;17.5;?;Europe
Audi 100 LS;24.0;4;107.0;90.0;2430.0;14.5;?;Europe
?;25.0;4;104.0;95.0;?;?;?;?
?;26.0;4;121.0;113.0;2234.0;?;?;?
?;21.0;6;199.0;?;2648.0;?;70;?
Ford F250;?;8;?;?;4615.0;14.0;?;US
Chevy C20;10.0;8;?;?;4376.0;15.0;?;US
Dodge D200;?;8;?;210.0;4382.0;13.5;70;US
?;?;8;?;193.0;4732.0;?;70;?
?;?;4;?;?;2130.0;?;?;?
?;28.0;4;140.0;90.0;2264.0;?;?;US
?;25.0;4;113.0;95.0;2228.0;?;?;Japan
?;25.0;4;?;?;?;19.0;?;US
Volkswagen Super Beetle 117;0.0;4;97.0;48.0;?;20.0;?;?
?;19.0;6;232.0;?;2634.0;?;71;?
?;16.0;6;225.0;?;3439.0;?;71;?
?;17.0;6;250.0;?;?;?;?;?
?;19.0;6;250.0;?;3302.0;15.5;?;?
?;?;6;?;?;3288.0;15.5;?;?
?;?;8;?;?;4209.0;?;71;US
Pontiac Catalina Brougham;14.0;8;400.0;175.0;4464.0;11.5;71;US
Ford Galaxie 500;?;8;351.0;?;4154.0;?;71;?
?;?;8;318.0;?;4096.0;?;71;?
Dodge Monaco (sw);12.0;?;383.0;?;4955.0;?;?;?
Ford Country Squire (sw);13.0;?;400.0;?;4746.0;12.0;?;?
Pontiac Safari (sw);13.0;8;400.0;175.0;5140.0;12.0;?;US
AMC Hornet Sportabout (sw);18.0;?;258.0;110.0;2962.0;13.5;?;?
Chevrolet Vega (sw);22.0;?;140.0;72.0;2408.0;19.0;?;?
Pontiac Firebird;19.0;?;250.0;100.0;3282.0;15.0;71;US
Ford Mustang;18.0;?;250.0;?;3139.0;14.5;71;US
Mercury Capri 2000;23.0;?;122.0;86.0;2220.0;14.0;71;US
Opel 1900;28.0;4;?;90.0;2123.0;14.0;?;Europe
?;30.0;?;79.0;70.0;2074.0;19.5;?;Europe
Fiat 124B;30.0;4;88.0;?;2065.0;14.5;?;Europe
?;31.0;4;?;?;?;19.0;?;Japan
Datsun 1200;35.0;4;?;?;1613.0;18.0;?;Japan
Volkswagen Model 111;27.0;4;?;?;1834.0;?;?;Europe
Plymouth Cricket;?;4;?;70.0;1955.0;?;?;?
Toyota Corolla Hardtop;24.0;4;113.0;95.0;?;?;72;?
Dodge Colt Hardtop;25.0;4;97.5;80.0;?;?;?;?
Volkswagen Type 3;23.0;?;97.0;?;2254.0;?;72;Europe
Chevrolet Vega;20.0;?;140.0;?;2408.0;19.5;?;?
Ford Pinto Runabout;21.0;4;122.0;86.0;2226.0;?;?;?
?;13.0;8;?;165.0;?;?;?;?
Pontiac Catalina;14.0;8;400.0;175.0;?;?;72;US
Plymouth Fury III;15.0;?;?;150.0;?;13.5;?;US
Ford Galaxie 500;?;?;?;153.0;?;13.0;?;?
AMC Ambassador SST;17.0;?;?;?;3672.0;?;?;US
Mercury Marquis;11.0;?;?;208.0;4633.0;?;?;US
?;13.0;?;350.0;?;?;?;72;US
?;12.0;8;?;?;?;13.5;72;US
?;13.0;8;?;?;?;12.5;72;US
?;19.0;3;?;?;?;13.5;72;?
?;15.0;?;?;?;3892.0;12.5;72;?
?;13.0;8;?;?;4098.0;?;72;?
?;13.0;8;302.0;?;4294.0;?;72;?
Plymouth Satellite Custom (sw);14.0;8;318.0;?;?;?;?;US
Volvo 145e (sw);18.0;4;?;112.0;?;?;?;Europe
Volkswagen 411 (sw);22.0;4;121.0;76.0;?;?;?;Europe
