?;?;los angeles;310/246-1501;?;0
arnie morton's of chicago;435 s. la cienega blvd.;los angeles;310-246-1501;steakhouses;?
?;12224 ventura blvd.;?;818/762-1221;american;?
art's deli;12224 ventura blvd.;?;818-762-1221;delis;1
hotel bel-air;701 stone canyon rd.;bel air;?;californian;2
bel-air hotel;701 stone canyon rd.;bel air;310-472-1211;?;?
?;14016 ventura blvd.;?;?;french;3
cafe bizou;14016 ventura blvd.;sherman oaks;?;?;3
campanile;624 s. la brea ave.;?;213/938-1447;american;4
campanile;624 s. la brea ave.;los angeles;?;californian;4
chinois on main;2709 main st.;santa monica;310/392-9025;french;5
chinois on main;2709 main st.;?;310-392-9025;?;5
citrus;6703 melrose ave.;los angeles;213/857-0034;californian;?
citrus;?;?;213-857-0034;californian;?
fenix;8358 sunset blvd. west;hollywood;213/848-6677;american;7
fenix at the argyle;8358 sunset blvd.;w. hollywood;?;french (new);?
?;?;?;310/456-0488;?;?
granita;23725 w. malibu rd.;?;?;californian;?
?;9560 dayton way;los angeles;310/276-0615;?;9
grill  the;9560 dayton way;beverly hills;310-276-0615;american (traditional);?
?;?;?;213/665-1891;asian;10
katsu;1972 hillhurst ave.;los feliz;213-665-1891;japanese;?
l'orangerie;903 n. la cienega blvd.;los angeles;?;french;11
l'orangerie;?;?;310-652-9770;?;?
le chardonnay;8284 melrose ave.;los angeles;?;?;12
?;8284 melrose ave.;?;213-655-8880;french bistro;12
?;3rd st.;los angeles;310/274-1893;italian;13
?;8638 w. third st.;los angeles;?;italian;13
matsuhisa;129 n. la cienega blvd.;?;310/659-9639;asian;14
matsuhisa;129 n. la cienega blvd.;?;310-659-9639;seafood;?
the palm;?;los angeles;310/550-8811;american;?
palm  the (los angeles);9001 santa monica blvd.;w. hollywood;310-550-8811;steakhouses;15
?;5955 melrose ave.;los angeles;213/467-1108;?;16
patina;5955 melrose ave.;los angeles;213-467-1108;?;16
philippe's the original;?;los angeles;213/628-3781;american;17
philippe the original;?;chinatown;213-628-3781;?;17
?;12969 ventura blvd.;?;?;french;?
pinot bistro;12969 ventura blvd.;studio city;818-990-0500;french bistro;18
rex il ristorante;617 s. olive st.;?;213/627-2300;?;19
rex il ristorante;617 s. olive st.;los angeles;?;?;19
?;?;?;310/652-4025;californian;20
spago (los angeles);8795 sunset blvd.;w. hollywood;?;californian;20
valentino;3115 pico blvd.;santa monica;?;italian;21
valentino;3115 pico blvd.;?;310-829-4313;italian;21
yujean kang's gourmet chinese cuisine;67 n. raymond ave.;los angeles;818/585-0855;asian;22
yujean kang's;67 n. raymond ave.;pasadena;818-585-0855;?;22
21 club;21 w. 52nd st.;?;212/582-7200;american;?
21 club;?;new york city;212-582-7200;?;23
?;13 w. 54th st.;new york;212/307-7311;continental;?
?;13 w. 54th st.;new york city;?;?;?
?;34 e. 61st st.;new york;212/ 319-1660;american;25
?;34 e. 61st st.;new york city;212-319-1660;american (new);?
cafe lalo;201 w. 83rd st.;?;?;?;?
?;201 w. 83rd st.;?;212-496-6031;coffeehouses;26
cafe des artistes;1 w. 67th st.;new york;212/877-3500;continental;?
cafe des artistes;?;new york city;?;french (classic);27
?;?;new york;212/362-2200;?;28
carmine's;2450 broadway;new york city;212-362-2200;italian;28
carnegie deli;?;?;212/757-2245;?;29
carnegie deli;?;new york city;?;?;29
chanterelle;?;new york;212/966-6960;american;?
?;?;new york city;212-966-6960;french (new);?
daniel;?;new york;?;french;?
?;?;new york city;?;?;31
dawat;?;new york;?;?;32
?;?;new york city;212-355-7555;indian;32
?;243 e. 58th st.;?;?;italian;33
?;243 e. 58th st.;new york city;212-758-1479;italian;33
four seasons grill room;99 e. 52nd st.;new york;212/754-9494;american;?
?;?;new york city;212-754-9494;american (new);34
?;12 e. 12th st.;new york;?;?;35
gotham bar & grill;12 e. 12th st.;new york city;212-620-4020;?;35
gramercy tavern;?;new york;212/477-0777;american;36
gramercy tavern;42 e. 20th st.;new york city;212-477-0777;american (new);36
island spice;402 w. 44th st.;new york;?;?;37
island spice;?;new york city;212-765-1737;caribbean;37
jo jo;?;?;?;american;38
?;?;new york city;212-223-5656;french bistro;38
?;?;new york;212/586-4252;?;?
la caravelle;33 w. 55th st.;new york city;212-586-4252;french (classic);39
la cote basque;60 w. 55th st.  between 5th and 6th ave.;new york;212/688-6525;?;40
la cote basque;60 w. 55th st.;?;212-688-6525;?;40
?;155 w. 51st st.;new york;?;french;41
le bernardin;155 w. 51st st.;new york city;212-489-1515;?;41
les celebrites;160 central park s;?;212/484-5113;?;42
?;155 w. 58th st.;new york city;212-484-5113;?;42
lespinasse;?;new york;212/339-6719;american;43
?;?;new york city;212-339-6719;?;?
lutece;249 e. 50th st.;?;212/752-2225;?;?
?;249 e. 50th st.;?;212-752-2225;french (classic);44
manhattan ocean club;?;new york;212/ 371-7777;?;45
manhattan ocean club;57 w. 58th st.;new york city;212-371-7777;seafood;?
march;?;new york;?;?;46
march;?;?;212-754-6272;american (new);46
mesa grill;102 5th ave.  between 15th and 16th sts.;new york;212/807-7400;american;?
mesa grill;102 fifth ave.;new york city;212-807-7400;?;47
mi cocina;?;?;?;mexican;48
mi cocina;57 jane st.;?;212-627-8273;mexican;?
?;239 w. broadway  between walker and white sts.;?;212/ 219-2777;french;49
?;239 w. broadway;new york city;?;?;?
?;?;?;?;seafood;50
oceana;55 e. 54th st.;new york city;212-759-5941;seafood;?
park avenue cafe;100 e. 63rd st.;new york;212/644-1900;american;51
?;100 e. 63rd st.;new york city;?;american (new);51
?;182 w. 58th st.;?;212/245-2214;french;52
petrossian;?;new york city;212-245-2214;russian;52
?;?;new york;212/724-8585;mediterranean;?
picholine;?;new york city;212-724-8585;?;53
?;95 ave. a at 6th st.;?;212/260-6660;?;?
pisces;?;new york city;212-260-6660;?;?
rainbow room;?;new york;212/632-5000;or 212/632-5100 american;55
rainbow room;30 rockefeller plaza;?;212-632-5000;american (new);55
?;1 water st. at the east river;brooklyn;718/522-5200;?;56
?;1 water st.;brooklyn;?;american (new);56
san domenico;240 central park s;?;212/265-5959;italian;57
?;240 central park s.;new york city;?;?;?
?;?;new york;?;delicatessen;58
second avenue deli;156 second ave.;new york city;212-677-0606;delis;?
seryna;11 e. 53rd st.;new york;212/980-9393;asian;59
?;11 e. 53rd st.;new york city;212-980-9393;japanese;59
?;?;new york;?;?;?
shun lee palace;?;new york city;212-371-8844;?;?
sign of the dove;?;new york;212/861-8080;?;61
?;1110 third ave.;new york city;212-861-8080;?;?
?;?;new york;212/753-1530;american;?
smith & wollensky;797 third ave.;new york city;?;steakhouses;62
tavern on the green;in central park at 67th st.;new york;212/873-3200;american;63
tavern on the green;?;new york city;212-873-3200;?;63
uncle nick's;747 9th ave.  between 50th and 51st sts.;new york;212/315-1726;mediterranean;64
uncle nick's;747 ninth ave.;?;212-245-7992;?;64
union square cafe;?;new york;?;?;?
?;21 e. 16th st.;new york city;212-243-4020;american (new);65
virgil's;?;new york;212/ 921-9494;american;66
virgil's real bbq;?;?;212-921-9494;bbq;66
?;3200 las vegas blvd. s;las vegas;702/733-8899;?;67
chin's;3200 las vegas blvd. s.;?;702-733-8899;chinese;67
coyote cafe;?;las vegas;?;southwestern;?
?;3799 las vegas blvd. s.;?;702-891-7349;southwestern;68
le montrachet;3000 w. paradise rd.;?;?;continental;69
?;3000 paradise rd.;?;?;french bistro;69
palace court;?;las vegas;?;?;?
?;3570 las vegas blvd. s.;las vegas;702-731-7110;?;70
?;200 e. fremont st.;las vegas;702/385-3232;?;71
?;200 e. fremont st.;las vegas;?;pacific rim;71
steak house;2880 las vegas blvd. s;las vegas;?;steak houses;?
?;2880 las vegas blvd. s.;?;702-734-0410;steakhouses;72
tillerman;2245 e. flamingo rd.;las vegas;?;?;73
?;2245 e. flamingo rd.;las vegas;702-731-4036;steakhouses;73
abruzzi;?;atlanta;404/261-8186;?;74
abruzzi;2355 peachtree rd. ne;?;404-261-8186;?;74
bacchanalia;3125 piedmont rd.  near peachtree rd.;atlanta;404/365-0410;international;75
bacchanalia;3125 piedmont rd.;atlanta;?;californian;75
?;3130 piedmont road;atlanta;404/237-2663;?;?
bone's restaurant;3130 piedmont rd. ne;atlanta;404-237-2663;?;76
brasserie le coze;3393 peachtree rd.  lenox square mall  near neiman marcus;atlanta;404/266-1440;french;77
?;3393 peachtree rd.;?;?;french bistro;77
buckhead diner;3073 piedmont road;atlanta;404/262-3336;american;?
buckhead diner;3073 piedmont rd.;atlanta;404-262-3336;american (new);?
ciboulette;1529 piedmont ave.;atlanta;?;?;79
ciboulette restaurant;1529 piedmont ave.;?;?;french (new);?
delectables;1 margaret mitchell sq.;atlanta;404/681-2909;?;80
?;1 margaret mitchell sq.;?;?;cafeterias;80
?;2290 peachtree rd.  peachtree square shopping center;atlanta;?;american;81
georgia grille;2290 peachtree rd.;?;404-352-3517;southwestern;81
hedgerose heights inn;?;atlanta;404/233-7673;international;82
hedgerose heights inn  the;490 e. paces ferry rd. ne;?;404-233-7673;continental;82
?;595 piedmont ave.  rio shopping mall;atlanta;404/876-4408;?;83
heera of india;595 piedmont ave.;atlanta;?;indian;?
indigo coastal grill;1397 n. highland ave.;?;404/876-0676;?;84
indigo coastal grill;?;?;404-876-0676;eclectic;?
la grotta;?;atlanta;?;?;85
la grotta;2637 peachtree rd. ne;atlanta;404-231-1368;?;85
mary mac's tea room;224 ponce de leon ave.;?;404/876-1800;southern;?
mary mac's tea room;?;atlanta;?;southern/soul;86
nikolai's roof;?;atlanta;404/221-6362;?;87
nikolai's roof;255 courtland st.;atlanta;404-221-6362;?;87
pano's and paul's;1232 w. paces ferry rd.;atlanta;404/261-3662;international;88
?;1232 w. paces ferry rd.;atlanta;404-261-3662;american (new);88
?;?;atlanta;404/237-2700;ext 6108 international;89
?;3434 peachtree rd. ne;atlanta;404-237-2700;american (new);?
dining room  ritz-carlton  buckhead;?;atlanta;404/237-2700;international;?
ritz-carlton dining room (buckhead);3434 peachtree rd. ne;?;404-237-2700;?;90
?;181 peachtree st.;atlanta;?;continental;91
ritz-carlton restaurant;?;atlanta;404-659-0400;french (classic);91
toulouse;b peachtree rd.;?;?;french;92
?;293-b peachtree rd.;atlanta;404-351-9533;french (new);?
?;41 14th st.;atlanta;?;?;?
veni vidi vici;41 14th st.;atlanta;404-875-8424;?;?
?;?;san francisco;?;?;94
alain rondelli;126 clement st.;san francisco;415-387-0408;french (new);94
?;252 california st.;san francisco;415/956-9662;seafood;95
?;?;san francisco;?;?;95
boulevard;1 mission st.;san francisco;415/543-6084;american;96
boulevard;1 mission st.;?;?;american (new);96
?;7 claude la.;?;?;french;97
?;7 claude ln.;san francisco;415-392-3505;french bistro;?
?;340 stockton st.;san francisco;415/955-5555;?;98
?;340 stockton st.;san francisco;415-955-5555;american (new);98
chez michel;804 northpoint;san francisco;415/775-7036;?;?
chez michel;?;san francisco;?;californian;99
fleur de lys;777 sutter st.;san francisco;415/673-7779;french;100
fleur de lys;777 sutter st.;san francisco;?;french (new);?
fringale;570 4th st.;san francisco;415/543-0573;french;101
fringale;570 fourth st.;?;?;french bistro;101
?;22 hawthorne st.;san francisco;?;american;102
?;22 hawthorne st.;san francisco;415-777-9779;californian;102
khan toke thai house;5937 geary blvd.;san francisco;415/668-6654;asian;?
?;?;san francisco;415-668-6654;thai;103
?;2316 polk st.;san francisco;415/776-5577;?;104
la folie;2316 polk st.;?;?;?;104
lulu;816 folsom st.;san francisco;415/495-5775;mediterranean;?
lulu restaurant-bis-cafe;?;san francisco;415-495-5775;mediterranean;105
masa's;648 bush st.;?;?;french;106
masa's;648 bush st.;san francisco;415-989-7154;french (new);106
?;?;san francisco;?;?;?
?;1737 post st.;san francisco;?;japanese;107
plumpjack cafe;3201 fillmore st.;san francisco;?;?;?
?;3127 fillmore st.;san francisco;415-563-4755;american (new);108
postrio;545 post st.;?;?;american;109
?;?;?;415-776-7825;californian;109
ritz-carlton restaurant and dining room;?;?;415/296-7465;american;110
ritz-carlton dining room (san francisco);600 stockton st.;san francisco;415-296-7465;?;110
rose pistola;?;san francisco;415/399-0499;?;111
?;532 columbus ave.;?;415-399-0499;italian;111
adriano's ristorante;2930 beverly glen circle;los angeles;?;italian;112
barney greengrass;9570 wilshire blvd.;beverly hills;?;?;113
?;?;malibu;310/456-5733;?;114
?;176 n. canon dr.;?;?;?;115
border grill;4th st.;los angeles;310/451-1655;mexican;116
broadway deli;3rd st. promenade;santa monica;310/451-0616;american;117
ca'brea;?;?;?;italian;?
ca'del sol;4100 cahuenga blvd.;los angeles;?;italian;?
cafe pinot;700 w. fifth st.;los angeles;213/239-6500;californian;120
california pizza kitchen;?;los angeles;310/275-1101;californian;?
canter's;?;los angeles;213/651-2030.;?;122
?;3rd st.;los angeles;?;?;123
cha cha cha;?;los angeles;213/664-7723;caribbean;124
chan dara;310 n. larchmont blvd.;los angeles;213/467-1052;?;125
?;168 w. colorado blvd.;los angeles;818/356-0959;health food;126
?;9500 wilshire blvd.;los angeles;310/275-5200;?;127
?;10250 santa monica blvd.;los angeles;?;dive american;128
drago;2628 wilshire blvd.;santa monica;310/828-1585;italian;129
?;730 n. la cienega blvd.;los angeles;310/358-8585;?;130
dynasty room;930 hilgard ave.;los angeles;310/208-8765;continental;131
eclipse;8800 melrose ave.;los angeles;?;?;132
