?;435 s. la cienega blv.;los angeles;310/246-1501;american;?
?;435 s. la cienega blvd.;?;310-246-1501;steakhouses;0
?;?;?;818/762-1221;?;1
art's deli;12224 ventura blvd.;?;818-762-1221;delis;1
hotel bel-air;?;bel air;310/472-1211;?;2
bel-air hotel;?;bel air;?;californian;2
?;14016 ventura blvd.;?;?;french;3
cafe bizou;14016 ventura blvd.;sherman oaks;818-788-3536;french bistro;3
?;?;?;?;american;?
campanile;624 s. la brea ave.;?;?;?;4
?;2709 main st.;?;?;?;5
chinois on main;2709 main st.;santa monica;310-392-9025;pacific new wave;5
citrus;?;los angeles;?;californian;6
?;?;los angeles;213-857-0034;californian;?
fenix;?;hollywood;?;?;?
fenix at the argyle;?;w. hollywood;?;?;7
granita;23725 w. malibu rd.;malibu;?;californian;8
granita;?;malibu;310-456-0488;californian;?
?;9560 dayton way;los angeles;?;?;?
?;?;?;310-276-0615;american (traditional);?
?;1972 n. hillhurst ave.;los angeles;213/665-1891;asian;10
?;?;los feliz;213-665-1891;?;10
l'orangerie;?;los angeles;?;french;?
?;?;w. hollywood;310-652-9770;?;11
le chardonnay;8284 melrose ave.;?;?;?;12
?;?;?;213-655-8880;french bistro;12
locanda veneta;3rd st.;los angeles;?;?;13
locanda veneta;?;?;310-274-1893;italian;?
?;?;beverly hills;310/659-9639;asian;14
?;129 n. la cienega blvd.;?;310-659-9639;seafood;14
?;?;?;?;?;15
?;?;?;?;?;?
patina;?;?;213/467-1108;?;?
patina;5955 melrose ave.;?;213-467-1108;californian;?
?;1001 n. alameda st.;los angeles;213/628-3781;american;17
philippe the original;?;?;?;cafeterias;?
pinot bistro;12969 ventura blvd.;?;?;?;18
pinot bistro;12969 ventura blvd.;?;?;french bistro;?
?;?;?;213/627-2300;italian;?
?;?;los angeles;?;?;19
?;?;los angeles;?;californian;20
spago (los angeles);8795 sunset blvd.;?;?;californian;20
valentino;3115 pico blvd.;santa monica;?;italian;21
valentino;?;santa monica;310-829-4313;italian;?
?;?;los angeles;?;?;22
?;67 n. raymond ave.;pasadena;?;chinese;22
?;21 w. 52nd st.;?;212/582-7200;american;23
21 club;21 w. 52nd st.;?;212-582-7200;?;?
aquavit;?;new york;212/307-7311;?;24
?;?;new york city;212-307-7311;?;24
aureole;?;?;212/ 319-1660;american;?
