arnie morton's of chicago;435 s. la cienega blv.;?;310/246-1501;american;0
arnie morton's of chicago;435 s. la cienega blvd.;los angeles;?;steakhouses;0
?;12224 ventura blvd.;?;?;american;1
?;?;?;?;delis;?
?;?;?;310/472-1211;californian;?
?;?;?;310-472-1211;californian;2
?;?;?;?;french;3
cafe bizou;?;?;818-788-3536;french bistro;?
campanile;?;?;?;american;?
campanile;624 s. la brea ave.;?;?;californian;4
chinois on main;2709 main st.;santa monica;?;french;5
?;2709 main st.;santa monica;?;pacific new wave;5
?;6703 melrose ave.;los angeles;?;californian;?
?;?;?;?;californian;?
?;?;hollywood;?;?;7
fenix at the argyle;?;w. hollywood;?;?;7
granita;?;malibu;?;?;8
granita;?;malibu;310-456-0488;?;8
grill on the alley;?;los angeles;?;american;9
grill  the;?;?;?;american (traditional);9
restaurant katsu;1972 n. hillhurst ave.;?;?;?;10
katsu;1972 hillhurst ave.;los feliz;?;?;10
?;903 n. la cienega blvd.;los angeles;?;?;?
?;903 n. la cienega blvd.;w. hollywood;?;?;11
le chardonnay;8284 melrose ave.;?;?;french;12
le chardonnay (los angeles);8284 melrose ave.;?;213-655-8880;french bistro;12
locanda veneta;3rd st.;?;310/274-1893;italian;13
locanda veneta;8638 w. third st.;?;310-274-1893;?;?
matsuhisa;129 n. la cienega blvd.;beverly hills;310/659-9639;?;?
matsuhisa;129 n. la cienega blvd.;beverly hills;310-659-9639;?;?
?;9001 santa monica blvd.;los angeles;310/550-8811;?;?
?;?;?;?;?;?
patina;5955 melrose ave.;?;?;?;?
?;5955 melrose ave.;?;?;californian;16
philippe's the original;1001 n. alameda st.;los angeles;213/628-3781;?;17
philippe the original;?;chinatown;213-628-3781;?;17
pinot bistro;?;?;?;french;?
?;?;?;?;french bistro;?
?;?;?;?;italian;?
?;617 s. olive st.;los angeles;213-627-2300;nuova cucina italian;?
?;1114 horn ave.;?;310/652-4025;?;?
?;8795 sunset blvd.;w. hollywood;310-652-4025;californian;?
