;dataset;algoritmo;MV;metric1
0;actorfilms_4000;pipeline;280;0.43
1;actorfilms_4000;baseline;280;0.79
2;actorfilms_4000;pipeline;560;0.43
3;actorfilms_4000;baseline;560;0.9
4;actorfilms_4000;pipeline;840;0.49
5;actorfilms_4000;baseline;840;0.89
6;actorfilms_4000;pipeline;1120;0.51
7;actorfilms_4000;baseline;1120;0.96
8;actorfilms_4000;pipeline;1400;0.46
9;actorfilms_4000;baseline;1400;0.98
10;actorfilms_4000;pipeline;2800;0.59
11;actorfilms_4000;baseline;2800;0.99
12;actorfilms_4000;pipeline;5600;0.6
13;actorfilms_4000;baseline;5600;1.0
14;actorfilms_4000;pipeline;8400;0.62
15;actorfilms_4000;baseline;8400;0.98
16;actorfilms_4000;pipeline;11200;0.63
17;actorfilms_4000;baseline;11200;0.82
18;actorfilms_4000;pipeline;14000;0.68
19;actorfilms_4000;baseline;14000;0.81
20;Boeing_1485;pipeline;148;0.78
21;Boeing_1485;baseline;148;1.0
22;Boeing_1485;pipeline;297;0.81
23;Boeing_1485;baseline;297;1.0
24;Boeing_1485;pipeline;446;0.74
25;Boeing_1485;baseline;446;1.0
26;Boeing_1485;pipeline;594;0.9
27;Boeing_1485;baseline;594;1.0
28;Boeing_1485;pipeline;742;0.72
29;Boeing_1485;baseline;742;1.0
30;Boeing_1485;pipeline;1485;0.86
31;Boeing_1485;baseline;1485;1.0
32;Boeing_1485;pipeline;2970;0.9
33;Boeing_1485;baseline;2970;1.0
34;Boeing_1485;pipeline;4455;0.88
35;Boeing_1485;baseline;4455;0.82
36;Boeing_1485;pipeline;5940;0.87
37;Boeing_1485;baseline;5940;0.92
38;Boeing_1485;pipeline;7425;0.88
39;Boeing_1485;baseline;7425;0.96
40;EV_Vehicles_4000;pipeline;400;0.76
41;EV_Vehicles_4000;baseline;400;1.0
42;EV_Vehicles_4000;pipeline;800;0.76
43;EV_Vehicles_4000;baseline;800;1.0
44;EV_Vehicles_4000;pipeline;1200;0.76
45;EV_Vehicles_4000;baseline;1200;1.0
46;EV_Vehicles_4000;pipeline;1600;0.76
47;EV_Vehicles_4000;baseline;1600;1.0
48;EV_Vehicles_4000;pipeline;2000;0.76
49;EV_Vehicles_4000;baseline;2000;1.0
50;EV_Vehicles_4000;pipeline;4000;0.76
51;EV_Vehicles_4000;baseline;4000;1.0
52;EV_Vehicles_4000;pipeline;8000;0.78
53;EV_Vehicles_4000;baseline;8000;1.0
54;EV_Vehicles_4000;pipeline;12000;0.79
55;EV_Vehicles_4000;baseline;12000;1.0
56;EV_Vehicles_4000;pipeline;16000;0.79
57;EV_Vehicles_4000;baseline;16000;0.95
58;EV_Vehicles_4000;pipeline;20000;0.71
59;EV_Vehicles_4000;baseline;20000;0.79
60;F1_REBUILT_5000;pipeline;350;0.0
61;F1_REBUILT_5000;baseline;350;1.0
62;F1_REBUILT_5000;pipeline;700;0.0
63;F1_REBUILT_5000;baseline;700;1.0
64;F1_REBUILT_5000;pipeline;1050;0.0
65;F1_REBUILT_5000;baseline;1050;1.0
66;F1_REBUILT_5000;pipeline;1400;0.0
67;F1_REBUILT_5000;baseline;1400;1.0
68;F1_REBUILT_5000;pipeline;1750;0.0
69;F1_REBUILT_5000;baseline;1750;1.0
70;F1_REBUILT_5000;pipeline;3500;0.12
71;F1_REBUILT_5000;baseline;3500;1.0
72;F1_REBUILT_5000;pipeline;7000;0.25
73;F1_REBUILT_5000;baseline;7000;1.0
74;F1_REBUILT_5000;pipeline;10500;0.41
75;F1_REBUILT_5000;baseline;10500;1.0
76;F1_REBUILT_5000;pipeline;14000;0.5
77;F1_REBUILT_5000;baseline;14000;1.0
78;F1_REBUILT_5000;pipeline;17500;0.77
79;F1_REBUILT_5000;baseline;17500;1.0
80;Med_Ch_2500;pipeline;300;0.76
81;Med_Ch_2500;baseline;300;0.84
82;Med_Ch_2500;pipeline;600;0.78
83;Med_Ch_2500;baseline;600;0.87
84;Med_Ch_2500;pipeline;900;0.8
85;Med_Ch_2500;baseline;900;0.89
86;Med_Ch_2500;pipeline;1200;0.78
87;Med_Ch_2500;baseline;1200;0.93
88;Med_Ch_2500;pipeline;1500;0.8
89;Med_Ch_2500;baseline;1500;0.94
90;Med_Ch_2500;pipeline;3000;0.8
91;Med_Ch_2500;baseline;3000;0.95
92;Med_Ch_2500;pipeline;6000;0.81
93;Med_Ch_2500;baseline;6000;0.86
94;Med_Ch_2500;pipeline;9000;0.84
95;Med_Ch_2500;baseline;9000;0.84
96;Med_Ch_2500;pipeline;12000;0.75
97;Med_Ch_2500;baseline;12000;0.86
98;Med_Ch_2500;pipeline;15000;0.67
99;Med_Ch_2500;baseline;15000;0.87
100;MotoGP_REBUILT_3000;pipeline;360;0.86
101;MotoGP_REBUILT_3000;baseline;360;1.0
102;MotoGP_REBUILT_3000;pipeline;720;0.89
103;MotoGP_REBUILT_3000;baseline;720;1.0
