dataset;algoritmo;MV;metric1
Boeing_898_FD;pipeline;90;0.11
Boeing_898_FD;baseline;90;0.56
Boeing_898_FD;pipeline;180;0.19
Boeing_898_FD;baseline;180;0.74
Boeing_898_FD;pipeline;269;0.28
Boeing_898_FD;baseline;269;0.72
Boeing_898_FD;pipeline;359;0.33
Boeing_898_FD;baseline;359;0.85
Boeing_898_FD;pipeline;449;0.33
Boeing_898_FD;baseline;449;0.81
Boeing_898_FD;pipeline;898;0.68
Boeing_898_FD;baseline;898;0.9
Boeing_898_FD;pipeline;1796;0.86
Boeing_898_FD;baseline;1796;0.88
Boeing_898_FD;pipeline;2694;0.9
Boeing_898_FD;baseline;2694;0.93
Boeing_898_FD;pipeline;3592;0.89
Boeing_898_FD;baseline;3592;0.96
Boeing_898_FD;pipeline;4490;0.85
Boeing_898_FD;baseline;4490;0.97
cars_FD;pipeline;37;0.09
cars_FD;baseline;37;0.2
cars_FD;pipeline;73;0.15
cars_FD;baseline;73;0.25
cars_FD;pipeline;110;0.23
cars_FD;baseline;110;0.42
cars_FD;pipeline;146;0.28
cars_FD;baseline;146;0.38
cars_FD;pipeline;183;0.35
cars_FD;baseline;183;0.45
cars_FD;pipeline;365;0.5
cars_FD;baseline;365;0.71
cars_FD;pipeline;731;0.62
cars_FD;baseline;731;0.71
cars_FD;pipeline;1096;0.61
cars_FD;baseline;1096;0.82
cars_FD;pipeline;1462;0.63
cars_FD;baseline;1462;0.85
cars_FD;pipeline;1827;0.63
cars_FD;baseline;1827;0.84
police_FD;pipeline;198;0.02
police_FD;baseline;198;0.38
police_FD;pipeline;397;0.03
police_FD;baseline;397;0.73
police_FD;pipeline;595;0.03
police_FD;baseline;595;0.78
police_FD;pipeline;793;0.08
police_FD;baseline;793;0.84
police_FD;pipeline;992;0.16
police_FD;baseline;992;0.94
police_FD;pipeline;1984;0.28
police_FD;baseline;1984;0.91
police_FD;pipeline;3967;0.53
police_FD;baseline;3967;0.93
police_FD;pipeline;5951;0.72
police_FD;baseline;5951;0.79
police_FD;pipeline;7934;0.66
police_FD;baseline;7934;0.83
police_FD;pipeline;9918;0.7
police_FD;baseline;9918;0.89
restaurant_FD;pipeline;52;0.0
restaurant_FD;baseline;52;0.3
restaurant_FD;pipeline;104;0.13
restaurant_FD;baseline;104;0.33
restaurant_FD;pipeline;156;0.05
restaurant_FD;baseline;156;0.61
restaurant_FD;pipeline;207;0.15
restaurant_FD;baseline;207;0.63
restaurant_FD;pipeline;259;0.09
restaurant_FD;baseline;259;0.62
restaurant_FD;pipeline;518;0.29
restaurant_FD;baseline;518;0.85
restaurant_FD;pipeline;1037;0.69
restaurant_FD;baseline;1037;0.86
restaurant_FD;pipeline;1555;0.75
restaurant_FD;baseline;1555;0.88
restaurant_FD;pipeline;2074;0.72
restaurant_FD;baseline;2074;0.85
restaurant_FD;pipeline;2592;0.73
restaurant_FD;baseline;2592;0.82
