missing_rate,Baseline20,Hybrid,Pipeline,Pipeline_noRev
1,0.16666575205879344,0.075762007063622,0.04384430568039355,0.079374390516573
2,0.18874162542007294,0.10510754004729969,0.058660660585466914,0.10955110850763762
3,0.1953442843626084,0.10768835395242286,0.06317790290394416,0.11453820495240513
4,0.20998699010256333,0.13608022459799143,0.07739263577721224,0.14026417338799527
5,0.22302016906543637,0.13459311408159824,0.08674867742824455,0.14075541316243562
10,0.307480493623551,0.19511822972726356,0.14285716931701292,0.2040994463950671
20,0.45306428216476413,0.3465674684003363,0.28392265981068315,0.3668120992307592
30,0.5898500164672612,0.5294022702605204,0.5034396248272648,0.5422644990145253
40,0.6925888528636938,0.6259871432415379,0.5985279297622635,0.6358173926225584
50,0.7719975919987865,0.6986571073934124,0.6808511906543561,0.704322577848135
