Azerbaijan;Azerbaijan Airlines;2014;GE;787-8;Feb;2007;Central Asia;2;2
?;?;2002;CF;?;Jan;2002;?;2;?
?;?;?;?;?;Jan;1982;?;?;1
USA;Oak Hill;?;GE;777F;Apr;2007;?;2;2
?;Volga-Dnepr UK Ltd;2012;?;747-8F;?;2006;Europe;?;3
?;?;1978;?;727;?;1978;?;?;?
Indonesia;Garuda Indonesia;?;?;DC-9;?;?;Southeast Asia;3;?
China;?;?;RR;?;Mar;?;East Asia;?;?
USA;ATA Airlines Inc.;?;RR;?;?;2000;?;2;2
France;?;1996;PW;?;?;?;?;?;2
United Kingdom;?;1989;RR;757-200;?;?;?;2;2
Turkey;?;2007;CF;?;?;2006;Europe;?;1
Netherlands;ITOCHU AirLease B.V.;1993;?;737-300;Jul;1991;Europe;?;1
Venezuela;Aeropostal;1987;?;MD-80;May;1986;South America;1;1
USA;U.S. Air Force;?;PW;?;?;?;North America;?;1
?;Bavaria;?;PW;?;?;?;Europe;2;?
?;Turkish Air Force Peace Eagle;2005;?;?;?;2003;?;1;1
Germany;?;1987;?;?;?;1986;Europe;1;?
Hungary;Malev Hungarian Airlines Ltd.;?;?;?;?;?;Europe;?;2
Cameroon;?;?;?;707/720;?;1972;Africa;1;1
?;Jackson Square Aviation;2021;CF;737 MAX;?;2021;?;4;4
Ireland;?;2020;GE;?;Dec;2018;Europe;1;1
Switzerland;?;?;?;?;Jan;?;Europe;?;?
Turkey;?;?;PW;?;?;1995;Europe;5;5
Nigeria;?;?;CF;?;?;?;?;?;?
USA;Republic Airlines;?;?;DC-9;Jan;?;?;?;4
?;?;2010;?;777F;?;2005;Europe;?;4
China;Jade Cargo International;?;?;747-400ERF;Aug;?;East Asia;2;?
?;?;?;?;737-800;?;?;North America;?;?
Germany;Lufthansa Cargo;?;?;?;Feb;?;?;5;?
Tanzania United Republic of;?;?;RR;?;May;2018;Africa;?;?
China;Air China;?;PW;747-400M;?;1997;?;1;1
State of Libya;Libyan Airlines;?;PW;727;?;?;?;3;?
?;?;1992;?;737-300;Sep;1989;?;?;2
USA;?;?;?;?;Jan;?;?;1;?
USA;Southern Airways - USA (Inacti;?;PW;DC-9;May;?;?;?;?
China;?;1985;?;?;?;?;East Asia;1;?
China;CATIC;?;PW;MD-80;Mar;1990;East Asia;2;?
Germany;dba;1998;CF;737-300;Mar;?;Europe;1;?
?;?;?;?;MD-11;Dec;1986;?;2;2
?;?;?;?;787-9;Jan;?;?;?;1
?;?;?;GE;777-300ER;?;2010;?;?;3
China;China Cargo;2006;GE;747-400ERF;Jul;2005;?;1;?
?;?;1975;?;?;Jan;1975;?;?;2
?;?;1985;?;737-300;?;?;East Asia;?;1
Hong Kong;?;2016;?;?;Mar;?;?;?;?
USA;?;2007;?;747-400ERF;Jun;?;North America;?;3
South Africa;Comair Limited;2015;CF;?;?;?;?;?;?
Japan;?;2016;CF;?;May;2014;East Asia;?;2
?;Mid East Jet;?;PW;?;Jan;?;Middle East;?;1
Malta;?;?;PW;737-200;Mar;1982;?;3;3
?;?;1973;PW;737-200;Mar;?;?;3;3
?;USAF PAR Program;?;?;?;Aug;?;North America;?;?
?;Aeromexico;?;?;DC-9;?;1979;Central America and Mexico;?;6
?;GOL Linhas Aereas;?;CF;?;?;2006;?;?;1
?;?;2012;?;?;?;2010;?;?;2
?;Goiania;2012;CF;737-800;?;?;?;2;?
?;?;1972;?;727;Jan;?;Europe;3;?
Singapore;Scoot PTE LTD;?;RR;?;?;2006;?;6;6
?;?;2015;CF;?;Nov;2012;Southeast Asia;6;6
United Kingdom;Thomas Cook Airlines;2001;?;757-300;?;2000;?;2;2
USA;?;1969;PW;DC-8;?;?;North America;1;1
?;LTU;1987;RR;?;?;?;?;2;2
Netherlands;?;?;?;?;Dec;2011;Europe;?;1
?;?;?;CF;?;Dec;2016;East Asia;?;?
?;American Airlines;1976;?;727;Jan;1974;?;?;?
Iceland;?;2006;?;?;?;?;?;9;9
Algeria;Air Algerie;?;PW;737-200;Jan;1974;Africa;1;?
?;?;?;?;727;?;?;?;?;1
Ireland;?;?;?;?;?;?;Europe;?;?
USA;MarkAir;?;PW;737-200;?;1982;?;?;?
?;?;1968;?;?;?;?;?;2;?
USA;US Airways Inc.;1970;PW;?;?;?;North America;?;2
?;Maritime Investment & Shipping;1979;PW;737-200;Sep;?;?;?;1
?;?;?;CF;737-400;Apr;?;?;2;?
?;US Airways Inc.;1994;RR;757-200;?;?;North America;1;1
South Korea;Government of Korea;?;CF;?;Mar;?;?;1;1
Japan;?;2021;?;767-2C;Nov;?;?;?;?
Reunion;?;?;?;?;Feb;?;?;?;2
?;Mid East Jet;?;GE;?;?;1996;?;1;?
Brazil;?;?;?;707/720;?;?;South America;1;1
USA;?;1964;PW;DC-8;?;1964;North America;?;1
?;Royal Air Maroc;?;PW;727;Jan;1969;?;?;1
?;?;?;PW;?;Jan;1966;?;9;?
?;?;?;CF;?;Oct;?;?;?;4
?;Martinair Cargo;?;?;?;Mar;?;?;1;?
Czech Republic;CSA;2000;CF;?;?;?;?;?;2
Fiji;Fiji Airways;?;CF;737 MAX;Mar;?;Oceania;?;2
Slovakia (Slovak Republic);SkyEurope;?;?;737-700;Jun;?;Europe;1;?
?;?;2016;?;?;Dec;?;?;?;3
?;?;?;CF;737-800;?;2000;?;?;5
?;Air Asia Company;1966;PW;727;?;?;Southeast Asia;1;1
United Arab Emirates;National Airlines;1975;GE;DC-10;?;1973;?;?;?
?;PrivatAir;1981;PW;?;?;?;?;1;1
?;?;?;PW;?;Feb;1968;?;?;2
USA;?;?;PW;707/720;Jan;?;?;?;?
Bermuda;?;?;?;?;?;1988;?;?;?
?;FUERZA AEREA DEL PERU;1995;CF;?;?;1995;South America;?;?
?;?;?;RR;757-200;Mar;?;?;2;?
?;EgyptAir;1984;PW;?;?;?;?;3;?
Angola;?;?;?;?;?;?;Africa;?;1
?;WEDGE Group;1981;PW;?;?;1980;North America;?;?
?;?;?;GE;767-300ER;?;?;?;?;?
Australia;Jetstar - Duplicated (See JSA);?;RR;?;?;2000;?;2;?
?;SAS Norway;?;?;?;?;?;Europe;?;2
?;Air Trading 92;1991;?;MD-80;?;?;?;?;3
?;?;1968;PW;?;?;1967;?;1;1
United Arab Emirates;Etihad Airways;2013;?;777-300ER;Feb;?;Middle East;3;3
?;?;?;?;767-300F;?;?;?;3;3
Japan;Japan Airlines Co. Ltd.;1985;PW;?;Jan;?;East Asia;?;?
Canada;Wardair;1969;?;707/720;?;?;?;1;1
United Arab Emirates;Dubai Aerospace Enterprise;2022;?;?;?;2021;Middle East;5;?
Slovenia;?;1969;?;DC-9;?;1969;Europe;?;1
China;?;?;CF;737-800;Jan;?;East Asia;2;2
