Chevrolet Chevelle Malibu;18.0;8;307.0;130.0;3504.;12.0;70;US
Buick Skylark 320;?;8;350.0;?;3693.;?;?;US
Plymouth Satellite;18.0;8;?;150.0;3436.;11.0;70;US
AMC Rebel SST;16.0;?;304.0;?;3433.;12.0;70;US
?;?;8;302.0;140.0;3449.;10.5;?;US
Ford Galaxie 500;15.0;8;429.0;198.0;4341.;10.0;70;US
Chevrolet Impala;14.0;8;?;220.0;4354.;9.0;70;US
?;?;8;440.0;215.0;4312.;8.5;70;US
Pontiac Catalina;?;?;?;225.0;4425.;?;?;US
AMC Ambassador DPL;?;8;390.0;190.0;?;8.5;70;US
?;0;4;133.0;115.0;3090.;17.5;70;Europe
Chevrolet Chevelle Concours (sw);0;8;350.0;165.0;4142.;?;70;US
?;0;8;351.0;?;?;11.0;70;US
Plymouth Satellite (sw);?;8;383.0;175.0;?;?;70;US
AMC Rebel SST (sw);?;?;360.0;?;?;11.0;70;?
Dodge Challenger SE;15.0;8;?;170.0;3563.;10.0;70;US
Plymouth 'Cuda 340;14.0;8;340.0;160.0;3609.;8.0;?;US
Ford Mustang Boss 302;0;?;?;140.0;3353.;8.0;?;US
Chevrolet Monte Carlo;15.0;8;?;150.0;3761.;9.5;70;US
Buick Estate Wagon (sw);?;8;?;225.0;3086.;?;70;US
?;24.0;4;113.0;95.00;?;15.0;70;Japan
Plymouth Duster;?;6;?;95.00;2833.;15.5;70;US
AMC Hornet;18.0;6;?;?;?;15.5;?;US
Ford Maverick;21.0;6;?;85.00;?;16.0;?;?
?;27.0;4;97.00;88.00;2130.;14.5;70;Japan
Volkswagen 1131 Deluxe Sedan;26.0;?;97.00;46.00;1835.;?;?;Europe
Peugeot 504;25.0;4;110.0;87.00;2672.;17.5;70;Europe
Audi 100 LS;24.0;4;107.0;90.00;2430.;14.5;70;Europe
Saab 99e;?;?;?;?;2375.;?;70;Europe
BMW 2002;?;4;?;?;2234.;?;70;Europe
AMC Gremlin;21.0;6;199.0;90.00;?;15.0;70;?
?;?;8;?;215.0;4615.;?;?;US
Chevy C20;10.0;8;307.0;200.0;4376.;?;70;US
Dodge D200;11.0;?;318.0;210.0;?;13.5;?;US
Hi 1200D;9.0;8;304.0;193.0;?;18.5;?;US
?;27.0;?;97.00;88.00;2130.;14.5;71;Japan
Chevrolet Vega 2300;?;4;140.0;90.00;?;?;71;US
Toyota Corolla;25.0;4;113.0;95.00;2228.;14.0;?;Japan
Ford Pinto;25.0;4;?;?;2046.;?;?;US
Volkswagen Super Beetle 117;0;?;97.00;?;1978.;?;71;?
AMC Gremlin;?;6;232.0;100.0;2634.;13.0;71;US
Plymouth Satellite Custom;16.0;6;225.0;?;3439.;15.5;71;US
?;17.0;6;250.0;100.0;3329.;15.5;71;US
Ford Torino 500;19.0;?;?;?;3302.;?;71;US
?;18.0;?;232.0;100.0;3288.;?;71;?
Chevrolet Impala;?;?;350.0;?;4209.;12.0;71;US
Pontiac Catalina Brougham;14.0;8;400.0;175.0;?;11.5;?;US
Ford Galaxie 500;14.0;8;351.0;153.0;?;13.5;71;?
Plymouth Fury iii;14.0;?;318.0;?;?;13.0;71;?
Dodge Monaco (sw);12.0;8;?;180.0;4955.;11.5;?;US
Ford Country Squire (sw);13.0;?;400.0;170.0;4746.;?;71;US
Pontiac Safari (sw);?;8;400.0;175.0;?;12.0;71;US
AMC Hornet Sportabout (sw);18.0;?;?;110.0;2962.;?;?;US
Chevrolet Vega (sw);22.0;4;?;72.00;2408.;19.0;?;US
Pontiac Firebird;19.0;6;250.0;100.0;3282.;15.0;71;US
Ford Mustang;18.0;6;250.0;88.00;3139.;14.5;71;US
?;?;4;122.0;?;2220.;14.0;71;?
Opel 1900;?;4;?;90.00;2123.;14.0;?;Europe
?;30.0;4;79.00;?;2074.;?;?;?
?;30.0;4;88.00;76.00;2065.;14.5;71;?
Toyota Corolla 1200;31.0;?;71.00;65.00;?;19.0;?;Japan
Datsun 1200;?;?;72.00;69.00;1613.;18.0;71;Japan
Volkswagen Model 111;27.0;4;97.00;?;1834.;?;71;?
?;26.0;4;?;70.00;1955.;20.5;?;US
?;24.0;4;113.0;95.00;2278.;?;72;?
Dodge Colt Hardtop;?;?;?;80.00;?;?;72;US
Volkswagen Type 3;23.0;4;97.00;?;2254.;?;72;Europe
Chevrolet Vega;?;4;?;90.00;2408.;?;?;US
?;21.0;?;122.0;?;2226.;16.5;72;US
Chevrolet Impala;13.0;8;350.0;165.0;4274.;12.0;72;US
Pontiac Catalina;14.0;8;400.0;175.0;4385.;12.0;72;?
Plymouth Fury III;15.0;8;?;?;?;13.5;72;US
?;?;8;351.0;153.0;?;?;72;US
AMC Ambassador SST;17.0;8;304.0;150.0;3672.;?;72;?
Mercury Marquis;11.0;?;429.0;208.0;4633.;11.0;72;?
?;13.0;8;350.0;155.0;?;13.5;72;US
Oldsmobile Delta 88 Royale;?;8;350.0;160.0;?;?;72;US
Chrysler Newport Royal;13.0;?;?;190.0;4422.;?;72;US
Mazda RX2 Coupe;19.0;3;70.00;97.00;?;13.5;72;Japan
AMC Matador (sw);15.0;?;304.0;150.0;3892.;12.5;?;?
Chevrolet Chevelle Concours (sw);?;8;?;130.0;4098.;14.0;72;US
?;?;?;?;140.0;?;16.0;72;US
?;?;8;318.0;?;?;?;72;US
Volvo 145e (sw);18.0;?;?;112.0;2933.;14.5;72;Europe
Volkswagen 411 (sw);22.0;?;121.0;76.00;?;18.0;?;Europe
Peugeot 504 (sw);21.0;4;120.0;87.00;2979.;19.5;72;Europe
?;26.0;4;96.00;?;2189.;?;72;Europe
Ford Pinto (sw);?;4;?;86.00;2395.;16.0;72;US
Datsun 510 (sw);28.0;4;?;92.00;?;17.0;?;?
Toyota Corolla Mark II (sw);23.0;4;120.0;?;2506.;?;72;?
Dodge Colt (sw);?;?;98.00;?;?;15.0;72;US
?;?;4;97.00;88.00;2100.;16.5;?;Japan
?;13.0;8;350.0;175.0;4100.;13.0;73;US
AMC Matador;14.0;8;?;150.0;3672.;11.5;?;?
?;?;?;?;145.0;3988.;13.0;?;US
Ford Gran Torino;?;8;302.0;137.0;4042.;14.5;?;US
Dodge Coronet Custom;15.0;8;318.0;150.0;3777.;12.5;73;?
Mercury Marquis Brougham;12.0;8;?;?;4952.;?;?;US
Chevrolet Caprice Classic;13.0;8;400.0;?;?;12.0;73;US
Ford LTD;13.0;8;351.0;158.0;4363.;13.0;73;US
Plymouth Fury Gran Sedan;?;8;318.0;?;4237.;14.5;?;US
Chrysler New Yorker Brougham;13.0;8;440.0;215.0;4735.;?;73;?
Buick Electra 225 Custom;?;?;455.0;225.0;?;11.0;73;?
AMC Ambassador Brougham;?;?;360.0;?;?;?;?;US
?;18.0;?;225.0;105.0;3121.;16.5;?;US
Chevrolet Nova Custom;?;?;?;?;3278.;18.0;73;US
AMC Hornet;?;?;?;?;2945.;16.0;73;US
Ford Maverick;18.0;6;?;?;3021.;?;73;?
?;23.0;?;?;?;2904.;16.0;73;?
Volkswagen Super Beetle;26.0;4;97.00;?;1950.;21.0;73;Europe
Chevrolet Impala;11.0;8;?;?;4997.;?;73;?
?;12.0;8;?;167.0;4906.;?;73;US
Plymouth Custom Suburb;?;8;360.0;?;4654.;?;73;?
Oldsmobile Vista Cruiser;12.0;?;350.0;?;?;?;73;US
AMC Gremlin;18.0;6;232.0;100.0;2789.;15.0;?;US
Toyota Camry;20.0;4;97.00;?;2279.;?;73;Japan
Chevrolet Vega;21.0;4;140.0;72.00;?;19.5;73;US
Datsun 610;?;4;108.0;?;?;?;73;?
?;?;3;?;90.00;2124.;13.5;?;Japan
Ford Pinto;?;?;122.0;?;2310.;?;73;?
?;21.0;6;155.0;107.0;2472.;14.0;?;?
?;?;4;98.00;90.00;2265.;?;73;?
?;15.0;8;350.0;145.0;4082.;?;73;US
?;16.0;?;?;230.0;4278.;9.50;?;US
Fiat 128;29.0;4;68.00;?;?;?;73;Europe
Opel Manta;24.0;4;?;75.00;?;15.5;73;Europe
Audi 100LS;20.0;4;?;91.00;2582.;?;73;Europe
Volvo 144ea;19.0;4;?;112.0;2868.;15.5;73;Europe
Dodge Dart Custom;15.0;8;318.0;?;3399.;11.0;?;?
Saab 99le;?;4;121.0;?;?;14.0;73;Europe
Toyota Mark II;?;6;156.0;122.0;2807.;13.5;73;Japan
?;11.0;8;350.0;?;3664.;11.0;73;US
Plymouth Duster;?;?;?;95.00;3102.;16.5;74;US
Ford Maverick;21.0;6;?;0;?;17.0;74;?
?;19.0;6;232.0;100.0;2901.;16.0;74;US
?;15.0;6;250.0;100.0;3336.;17.0;74;?
Datsun B210;31.0;?;79.00;67.00;1950.;19.0;?;Japan
Ford Pinto;26.0;4;122.0;80.00;2451.;?;74;?
Toyota Corolla 1200;32.0;4;71.00;?;1836.;21.0;74;Japan
?;25.0;4;?;75.00;?;17.0;74;US
?;16.0;6;?;?;3781.;17.0;74;?
AMC Matador;16.0;6;258.0;?;?;?;?;?
?;?;6;?;105.0;3613.;?;74;US
Ford Gran Torino;16.0;8;302.0;140.0;4141.;14.0;?;?
Buick Century Luxus (sw);13.0;8;350.0;150.0;?;?;?;US
?;?;?;318.0;150.0;4457.;?;74;US
?;?;8;?;140.0;4638.;16.0;74;US
AMC Matador (sw);?;8;?;?;4257.;15.5;74;US
?;?;4;98.00;?;2219.;?;?;Europe
?;?;4;79.00;?;1963.;15.5;?;Europe
Opel Manta;?;4;?;78.00;?;14.5;74;Europe
Toyota Corolla;31.0;4;76.00;?;1649.;16.5;74;Japan
Datsun 710;?;4;?;61.00;2003.;19.0;?;Japan
Dodge Colt;?;?;90.00;75.00;?;14.5;74;US
Fiat 128;24.0;4;90.00;75.00;2108.;?;74;Europe
?;26.0;4;116.0;75.00;2246.;14.0;74;Europe
Honda Civic;24.0;4;120.0;?;2489.;15.0;74;Japan
Subaru;?;4;108.0;93.00;2391.;15.5;?;Japan
Fiat x1.9;31.0;4;79.00;?;2000.;?;?;Europe
Plymouth Valiant Custom;19.0;?;225.0;95.00;3264.;?;75;?
Chevrolet Nova;18.0;?;?;105.0;3459.;?;75;US
Mercury Monarch;15.0;6;?;72.00;?;?;75;US
?;?;6;250.0;72.00;?;19.5;?;US
Pontiac Catalina;16.0;8;?;170.0;4668.;?;75;US
Chevrolet Bel Air;15.0;8;?;?;4440.;?;75;US
Plymouth Grand Fury;16.0;?;318.0;?;?;14.5;75;?
Ford LTD;?;8;351.0;148.0;4657.;?;75;US
Buick Century;?;6;231.0;?;3907.;21.0;75;US
Chevrolete Chevelle Malibu;16.0;6;250.0;105.0;3897.;18.5;75;US
AMC Matador;15.0;6;258.0;110.0;?;?;75;US
Plymouth Fury;18.0;6;225.0;95.00;3785.;19.0;75;?
Buick Skyhawk;?;6;231.0;110.0;3039.;15.0;75;US
Chevrolet Monza 2+2;20.0;8;?;110.0;?;13.5;75;US
Ford Mustang II;13.0;8;302.0;129.0;3169.;12.0;75;?
Toyota Corolla;29.0;4;97.00;75.00;2171.;16.0;?;Japan
Ford Pinto;23.0;4;140.0;83.00;2639.;17.0;75;?
AMC Gremlin;20.0;6;232.0;?;2914.;16.0;75;US
?;23.0;4;140.0;78.00;2592.;18.5;?;US
Toyota Corolla;?;4;134.0;96.00;?;13.5;75;?
?;25.0;4;?;71.00;?;16.5;75;Europe
?;24.0;4;?;?;2545.;?;75;Japan
?;?;6;?;97.00;2984.;?;75;US
Volkswagen Rabbit;29.0;?;90.00;70.00;?;14.0;75;Europe
AMC Pacer;19.0;?;232.0;90.00;3211.;17.0;?;US
?;23.0;4;?;95.00;?;15.0;75;?
Peugeot 504;?;4;?;?;?;?;75;?
?;?;?;?;?;?;?;75;Europe
?;?;4;121.0;115.0;2671.;13.5;?;Europe
Honda Civic CVCC;33.0;4;91.00;53.00;?;17.5;75;Japan
Fiat 131;28.0;4;?;?;2464.;?;76;Europe
Opel 1900;?;?;?;?;?;16.9;76;Europe
?;25.0;4;?;92.00;2572.;?;76;US
Dodge Colt;26.0;4;98.00;79.00;2255.;?;?;US
Renault 12tl;?;4;101.0;83.00;?;15.3;76;Europe
Chevrolet Chevelle Malibu Classic;17.5;8;?;140.0;?;13.0;?;US
?;16.0;8;?;150.0;4190.;13.0;?;US
AMC Matador;15.5;?;304.0;120.0;3962.;13.9;76;US
?;14.5;8;351.0;?;4215.;12.8;76;US
?;?;6;225.0;100.0;3233.;15.4;76;?
Chevrolet Nova;?;6;250.0;105.0;3353.;14.5;?;?
