adriano's ristorante;2930 beverly glen circle;los angeles;310/475-9807;italian;112
?;?;los angeles;?;?;?
art's delicatessen;12224 ventura blvd.;studio city;?;?;1
art's deli;12224 ventura blvd.;?;?;delis;1
?;?;?;310/472-1211;californian;2
?;701 stone canyon rd.;?;?;californian;2
cafe bizou;14016 ventura blvd.;?;818/788-3536;french;?
cafe bizou;?;?;818-788-3536;french bistro;?
campanile;624 s. la brea ave.;los angeles;?;?;?
campanile;?;los angeles;213-938-1447;?;?
chinois on main;?;santa monica;310/392-9025;?;?
?;?;santa monica;310-392-9025;pacific new wave;?
citrus;?;los angeles;?;?;6
?;?;los angeles;?;californian;6
?;?;hollywood;?;american;?
?;?;w. hollywood;?;?;?
granita;23725 w. malibu rd.;malibu;310/456-0488;?;?
?;?;malibu;?;californian;?
grill on the alley;9560 dayton way;?;?;american;9
?;9560 dayton way;?;310-276-0615;?;?
restaurant katsu;?;?;?;asian;?
?;?;los feliz;?;?;?
?;903 n. la cienega blvd.;?;?;french;11
l'orangerie;?;?;310-652-9770;?;11
le chardonnay;?;los angeles;?;?;12
le chardonnay (los angeles);8284 melrose ave.;?;213-655-8880;?;12
?;3rd st.;?;310/274-1893;italian;?
?;?;los angeles;310-274-1893;?;?
?;?;beverly hills;?;asian;14
matsuhisa;129 n. la cienega blvd.;?;310-659-9639;?;14
the palm;9001 santa monica blvd.;?;?;?;15
palm  the (los angeles);9001 santa monica blvd.;?;?;?;15
?;5955 melrose ave.;los angeles;?;?;16
?;5955 melrose ave.;?;213-467-1108;californian;16
philippe's the original;?;?;213/628-3781;?;?
philippe the original;1001 n. alameda st.;chinatown;213-628-3781;?;17
pinot bistro;12969 ventura blvd.;?;?;french;?
pinot bistro;12969 ventura blvd.;studio city;818-990-0500;french bistro;?
?;617 s. olive st.;los angeles;?;?;?
rex il ristorante;617 s. olive st.;los angeles;?;?;?
?;1114 horn ave.;los angeles;310/652-4025;californian;?
spago (los angeles);?;?;310-652-4025;californian;20
valentino;?;?;310/829-4313;italian;21
valentino;3115 pico blvd.;?;310-829-4313;italian;?
yujean kang's gourmet chinese cuisine;67 n. raymond ave.;los angeles;818/585-0855;asian;?
?;?;pasadena;818-585-0855;?;?
21 club;21 w. 52nd st.;new york;?;american;23
21 club;21 w. 52nd st.;?;212-582-7200;?;?
?;13 w. 54th st.;new york;212/307-7311;?;?
?;?;new york city;?;scandinavian;24
aureole;?;?;212/ 319-1660;?;25
aureole;?;?;?;?;25
?;201 w. 83rd st.;new york;?;coffee bar;?
cafe lalo;201 w. 83rd st.;?;212-496-6031;coffeehouses;?
cafe des artistes;1 w. 67th st.;?;?;?;?
?;?;?;?;french (classic);?
carmine's;?;new york;?;?;?
?;2450 broadway;?;?;italian;?
carnegie deli;?;new york;212/757-2245;?;?
carnegie deli;854 seventh ave.;?;?;delis;?
?;?;new york;?;american;30
?;2 harrison st.;new york city;212-966-6960;french (new);?
daniel;?;?;?;?;31
daniel;20 e. 76th st.;new york city;?;?;31
