7734;V3;feb
4799;V3;jul
1955;V2;unknown
6229;V3;jul
685;V3;aug
3598;V5;294
6783;V7;34
5537;V4;186
4140;V3;jul
2566;V1;160
4981;V3;jan
5562;V1;432
5236;V5;2467
6580;V5;0
4773;Class;2
3055;V2;unknown
6634;V4;99
7954;V4;-1
7236;V5;6481
6531;V2;unknown
2221;V2;unknown
6140;V1;314
1597;V6;unknown
4847;V7;25
1228;V2;unknown
744;Class;1
3688;V2;unknown
586;Class;1
7467;V2;unknown
3923;V2;other
7900;V1;884
2088;V1;116
311;V6;cellular
1177;V5;480
7811;V1;181
788;V6;cellular
7576;V2;unknown
1858;V7;26
1985;V3;may
6505;V4;268
670;V2;unknown
5991;V2;unknown
1125;V6;cellular
6263;V2;success
3275;V7;57
127;V4;-1
4956;V3;oct
6762;V5;151
2200;V5;436
1300;V4;-1
6599;V5;-525
1940;V2;unknown
6817;V1;119
7037;V4;98
1252;Class;1
3233;V3;jul
6597;V2;failure
4523;V4;-1
6043;V3;may
3897;V7;35
5535;V7;44
1945;V7;72
2112;V4;-1
3025;V5;806
2204;V1;411
839;V3;may
4130;Class;2
4779;V7;25
5160;V1;439
5059;V5;0
3508;Class;1
6180;V2;unknown
7929;Class;2
4331;V6;cellular
1891;V4;241
7832;V5;2166
6802;V4;181
3572;V1;291
7272;V5;-392
5679;V4;92
7285;V7;25
3116;V5;373
6046;V4;-1
1635;V5;419
6642;V2;success
122;V3;apr
3988;V6;cellular
728;V2;failure
7475;V6;cellular
7808;Class;2
2432;V4;-1
174;Class;1
3597;V1;101
5245;V6;cellular
7558;V2;success
830;V5;417
7411;V6;cellular
986;V6;unknown
448;V7;49
5910;V2;unknown
4603;V2;unknown
2469;V2;unknown
3568;V5;224
1966;V5;0
2517;V6;cellular
7451;V6;cellular
4143;V2;other
2669;V4;-1
7038;V7;60
6489;V6;telephone
546;V3;aug
737;V1;80
7893;V3;jun
4307;V2;unknown
2360;V2;unknown
977;V5;187
6686;V2;success
6097;V1;254
6778;V7;28
1877;Class;1
5023;V7;30
4194;V5;936
30;V3;aug
6166;V2;success
353;V2;unknown
3734;V3;may
