1461;Weight;74.0
6847;Team;Puerto Rico
3366;City;Seoul
6837;Age;28.0
6202;Age;23.0
5371;Year;1980
3909;Name;Albert Maximo Cristina
467;Season;Summer
3640;Weight;58.0
5869;Year;1972
5754;Year;1984
4251;NOC;GBR
128;NOC;ITA
3110;Height;162.0
3260;Season;Summer
916;City;Rio de Janeiro
224;NOC;BRA
3162;Sport;Table Tennis
6767;Team;Guatemala
1894;Sport;Speed Skating
6218;Year;2000
1083;Year;1968
142;Age;28.0
4922;Name;Ursula Uschi Disl
2523;Name;Bohdan Andrzejewski
7445;Season;Summer
1171;Sex;M
6753;Sport;Athletics
981;Height;198.0
7222;NOC;SWE
4059;Weight;51.0
5770;Sport;Gymnastics
241;Weight;66.0
2868;Weight;74.0
7263;Year;2008
173;Age;30.0
921;Name;Espen Berg-Knutsen
6478;Team;Russia
6655;Name;Igor Stepanovich Atrokhov
5686;City;Rio de Janeiro
6958;Height;185.0
5773;Sport;Biathlon
3034;Sex;F
5556;Year;2008
4358;Season;Summer
3003;Age;41.0
5977;Age;21.0
1565;Sex;F
544;NOC;USA
3754;Name;Daniel Stephen Caines
2209;Sex;M
911;Sport;Gymnastics
2526;Team;Belarus
6436;Weight;72.0
3094;Year;1984
5496;Season;Summer
1699;Games;1988 Summer
1075;Sport;Canoeing
3430;Season;Winter
6274;Age;23.0
7099;NOC;NOR
2802;Height;164.0
2298;Team;Egypt
7371;Season;Summer
4810;Name;Dieter Dekoninck
6154;Sport;Athletics
4529;Sex;M
3012;Height;162.0
1975;Season;Winter
5105;Sex;M
2478;Sex;F
255;NOC;USA
763;City;Mexico City
4671;Sport;Alpine Skiing
4240;Sex;F
761;Team;Gambia
5836;Age;28.0
4014;Weight;160.0
4589;Name;Josip Jozo Alebi
6923;Sex;M
3513;Season;Summer
7118;City;Moskva
1576;Sex;M
3986;Games;1972 Summer
5634;Season;Summer
2963;Age;26.0
1971;Games;1992 Summer
1594;Year;2012
291;Sex;F
1137;Age;24.0
2046;Age;18.0
237;Weight;72.0
4638;Team;Italy
1034;Height;167.0
6908;City;London
1089;Season;Summer
6743;Height;175.0
5037;Games;1988 Summer
1073;Sex;M
5468;Games;2006 Winter
7282;Sex;M
5816;Team;Great Britain
4202;Weight;74.0
6239;Age;26.0
3394;Team;United States
2542;Sex;F
6986;Height;170.0
1997;Name;Mario Brian Chitarroni
6877;Sport;Football
342;Sex;F
3995;Age;17.0
3061;Team;Ghana
1983;Name;John Anthony Bocwinski
2940;Sex;M
10;Height;195.0
314;NOC;AUS
2543;Height;167.0
721;Name;Ivan Droppa
2701;Year;1976
308;Year;1988
5380;NOC;JPN
3506;NOC;POL
2052;City;Barcelona
6256;Year;2014
5400;Games;1976 Winter
7025;City;Roma
3304;Team;United States
6158;Team;Bulgaria
3966;Season;Summer
4598;Season;Summer
901;City;Sydney
2087;Games;1968 Summer
4776;Weight;69.0
6237;Games;1984 Summer
777;Sport;Athletics
583;Age;23.0
2094;Games;1984 Summer
3235;Name;Iveta Beneov (-Melzer)
4958;Weight;68.0
2890;Year;1960
1905;Season;Winter
6805;Season;Summer
6868;Season;Winter
7029;Name;Gyrgy Fetter
4580;NOC;CAN
3854;Sex;F
664;Weight;66.0
4330;Games;2008 Summer
1525;Year;1964
4135;City;Barcelona
5263;Sport;Short Track Speed Skating
2673;Season;Summer
670;Height;206.0
39;Team;Denmark
4999;Games;1956 Summer
4503;Name;Dagmar Breiken-Bremer
814;Weight;58.0
7402;City;Athina
6465;Height;190.0
5158;Weight;70.0
6871;Height;182.0
4535;City;Los Angeles
224;Games;1996 Summer
520;Name;Hiwot Ayalew Yeder
957;Height;166.0
5406;Sport;Wrestling
6907;Height;157.0
6417;Year;2008
4452;Games;1984 Summer
3319;Age;22.0
33;Height;179.0
6695;Age;24.0
5933;Sport;Cycling
1996;Height;189.0
6660;Games;1992 Summer
4421;Weight;76.0
1806;City;Rio de Janeiro
6641;Year;1964
4518;Height;203.0
7351;Weight;50.0
3504;Age;22.0
2963;Season;Summer
4786;Name;Yohan Blake
4452;Sport;Rowing
6910;Year;1976
1788;Year;1996
6318;Team;Spain
3722;Games;1984 Summer
6052;City;Helsinki
4099;Sport;Football
5839;Height;187.0
410;Season;Winter
132;NOC;AUS
5386;Age;28.0
3336;Height;183.0
3100;Year;1964
1220;Team;Myanmar
7367;Sport;Swimming
7094;Year;2000
5517;Year;2016
1597;Season;Summer
5448;Name;Kelly-Ann Kaylene Baptiste
901;Sport;Baseball
5590;NOC;AUS
6942;Sport;Boxing
6605;Sport;Handball
12;Age;24.0
3204;Team;Romania
3809;Sex;M
4285;Games;1984 Summer
5007;Height;178.0
2890;Sport;Gymnastics
6903;Age;24.0
1613;Year;2008
3178;Team;Norway
1266;Name;Morgan Martin Endicott-Davies
681;Sport;Beach Volleyball
6572;Name;Magorzata Barlak-Kamasiska
6925;Team;Russia
3743;Weight;51.0
916;NOC;RUS
3550;Name;Jan Mauritz Boklv
802;Season;Summer
7321;Sport;Football
6013;City;Atlanta
6471;Age;25.0
5886;Team;Nigeria
1824;Season;Summer
2557;Name;Gheorghe Bdr
1641;Sex;F
6335;Team;Great Britain
2194;Name;Kirsty Leigh Coventry (-Seward)
1937;Team;Dominican Republic
2745;Height;198.0
1926;Age;21.0
3491;Games;1996 Summer
1176;Name;Masashi Ebinuma
6089;Age;19.0
616;Team;Argentina
5258;Games;1992 Summer
6798;Games;1988 Summer
2827;Year;1980
4619;NOC;KUW
2457;Games;2004 Summer
5490;Name;Andrey Vasilyevich Balashov
2069;Games;1960 Summer
3545;Age;24.0
1729;Games;2014 Winter
5005;Team;Cuba
3223;Weight;66.0
7202;Team;Italy
1267;Name;Timothy John Tim Cuddihy
6671;City;Calgary
3508;NOC;NOR
1050;Name;Zsuzsanna Zsuzsa Bokros-Trk
4943;Year;2010
2418;Name;Elif Eki
7068;Name;Jochen Friedrich Behle
1725;NOC;ESP
3921;Sex;M
345;Team;Australia
3055;City;Vancouver
1697;Age;28.0
5840;NOC;CAN
3418;Name;Emily Ruth Cross
6397;Sport;Rowing
7272;Height;173.0
7288;Team;Australia
5290;Sex;M
2168;NOC;BEL
4953;Name;Jorge Betancourt Garca
7404;Season;Summer
724;City;Sochi
7259;Weight;80.0
5338;NOC;UKR
3111;Games;1964 Summer
3649;Team;United States
2278;Height;193.0
2528;City;Athina
2920;City;London
7032;Sex;F
2653;Age;23.0
1469;Season;Summer
4477;Sport;Football
2944;Season;Summer
3408;Weight;90.0
2955;Name;Choi Mi-Seon
6245;NOC;GBR
5638;Weight;72.0
5115;Games;1980 Summer
5582;Height;191.0
5254;Age;17.0
6119;Weight;47.0
207;Season;Summer
480;Games;2004 Summer
2142;Sport;Athletics
1286;NOC;GDR
472;Name;David McPherson Broome
525;Name;Franois Braud
5955;NOC;SWE
4062;Year;2016
3585;Weight;77.0
354;Sex;M
2878;Height;173.0
5632;Height;193.0
747;Season;Winter
919;City;Seoul
174;City;Sydney
7167;Name;Masanori Aoki
4102;Height;183.0
1661;NOC;JAM
2250;Age;24.0
4087;Name;Gaper Fistravec
6473;Sex;M
4578;City;Roma
2036;Age;18.0
2624;Weight;83.0
3076;Season;Winter
7435;Year;1998
1381;NOC;MDA
3873;Weight;70.0
1258;Sex;F
2726;NOC;FRG
1735;Team;Italy
1841;Team;Belgium
919;Team;Hungary
2133;Sex;M
1048;Team;Denmark
1550;Name;Thomas Tom Evenson
7073;Name;Karen Dokka (-Vageletos)
2446;Games;1984 Summer
1583;Team;Soviet Union
7031;Sport;Athletics
3002;City;Beijing
5213;Sport;Tennis
2195;Sex;M
260;Sex;M
2881;Season;Summer
635;Age;32.0
3793;Season;Summer
413;Games;1964 Winter
2027;Name;Benjamin Auffret
4577;Height;175.0
237;Name;Chen Hong
3743;Team;Mexico
7109;Height;176.0
5403;Weight;89.0
6473;Age;17.0
313;Sex;F
927;Team;Italy
7090;Height;177.0
580;City;Atlanta
7381;Season;Winter
3318;City;Salt Lake City
6697;Games;1980 Summer
7459;Sport;Athletics
1963;Age;16.0
5620;Age;26.0
5088;Games;1964 Summer
2639;Name;Anna Fenninger (-Veith)
6559;Year;1964
1903;City;Innsbruck
2825;Games;1988 Winter
78;Sex;M
6835;Season;Summer
6767;Sex;M
4032;Season;Winter
4165;Year;1988
6556;Season;Summer
1897;City;Sochi
2788;Height;173.0
4841;Height;153.0
206;Season;Summer
277;Year;2000
7359;Age;24.0
1868;City;Berlin
6294;Sport;Sailing
5339;Sex;F
6426;Sex;M
1896;NOC;GBR
3848;Weight;63.0
6739;Name;Franck Simon Esposito
5686;Name;Deniz nar
1018;Sport;Hockey
2711;Games;2008 Summer
2802;Team;Poland
5839;Weight;74.0
1689;Sex;F
6581;Height;184.0
620;Age;37.0
1551;Age;24.0
3892;Season;Summer
2649;City;Seoul
4924;Season;Summer
6438;Sex;M
1385;Games;1964 Summer
2762;Sport;Gymnastics
2553;Height;160.0
4326;Age;37.0
3725;Weight;64.0
1949;Age;30.0
1618;Sex;M
1441;Height;159.0
5143;Name;David C. J. Cox
5927;City;Sydney
13;Games;1972 Summer
4847;Sex;F
5160;Sex;F
4664;Height;163.0
56;Age;28.0
5737;Sport;Alpine Skiing
5251;Weight;69.0
2421;Age;44.0
670;City;Rio de Janeiro
2676;Weight;82.0
5970;Sport;Curling
3852;Sport;Shooting
1608;Year;2000
179;Weight;80.0
952;Year;1960
6921;Season;Summer
5197;City;Sydney
1192;Age;25.0
126;Age;39.0
7271;NOC;USA
3051;Height;179.0
6422;Games;1976 Summer
335;Height;176.0
4501;Sport;Hockey
4469;Year;2008
1656;Name;Eugen Georg Oskar Ekman
340;Year;1984
7093;Sport;Swimming
6648;Season;Summer
7486;Season;Summer
3681;Sex;F
1234;NOC;TCH
1530;Games;1988 Summer
4327;Team;Yugoslavia
7452;Sex;M
5496;Age;54.0
1106;Sport;Speed Skating
7004;City;Los Angeles
468;Sport;Athletics
1613;Season;Summer
1736;Weight;102.0
4852;Year;2012
5301;City;Barcelona
4559;Height;181.0
4653;Season;Summer
3667;Year;1984
1909;Year;2004
338;City;Rio de Janeiro
876;NOC;USA
255;Season;Summer
670;Season;Summer
3594;Sport;Cycling
3810;Games;1952 Summer
92;Team;Switzerland
3455;Team;Spain
4043;Weight;57.0
3993;Sport;Bobsleigh
3333;Sex;M
1270;Height;160.0
7115;Year;1992
4791;Name;Christopher Guy Vere Chris Davidge
6650;City;London
5534;Games;1980 Summer
1263;Sport;Swimming
4260;Games;2008 Summer
5396;Games;1988 Winter
3188;Games;1980 Summer
5408;Weight;57.0
1720;Height;167.0
3609;Season;Summer
4867;Name;Nataliya Petrovna Artyomova
3305;NOC;ALG
1555;Sex;M
6549;Year;1972
1001;Year;1984
1911;Games;1964 Summer
2468;Height;177.0
478;NOC;ITA
4151;Height;189.0
250;Year;2000
6317;Games;1988 Summer
7377;Team;United States
4974;Weight;86.0
7491;Age;30.0
6506;Season;Winter
4437;Sport;Gymnastics
6620;Weight;50.0
1541;Sex;M
861;Sex;F
2807;Weight;70.0
1247;Height;160.0
5536;Height;185.0
2568;Season;Summer
7423;NOC;USA
3609;Games;2000 Summer
5756;Team;Hungary
3559;Team;Poland
3583;Weight;78.0
4442;Year;1972
1623;Year;1988
3190;Weight;64.0
200;Games;1964 Summer
6935;Sex;M
2331;Weight;74.0
2694;Age;26.0
3953;NOC;ITA
3699;Weight;87.0
2615;Height;189.0
3666;Year;2008
6971;Sport;Athletics
152;Year;1924
4778;Height;188.0
5745;Season;Summer
1563;NOC;ITA
4414;Season;Summer
5109;Height;166.0
1608;Team;Netherlands
4685;Games;1992 Summer
1323;Weight;54.0
6267;Weight;100.0
4953;Sport;Diving
6350;NOC;SUI
4990;Age;25.0
3887;Name;Agnese boltia
1078;Team;Cuba
5453;NOC;IND
3032;NOC;BRA
6436;Sex;M
4061;Season;Winter
5224;NOC;GER
5644;Height;163.0
6440;Year;1996
3198;Year;2002
7269;Sport;Gymnastics
3349;Height;171.0
1737;NOC;DEN
1524;NOC;NED
7420;Name;Georgia Bonora
573;Year;2008
1837;Year;2012
7254;Age;30.0
5677;Sex;M
1488;City;Moskva
6379;Games;1998 Winter
1119;Height;173.0
5611;Team;France
1235;Season;Summer
5155;Games;2012 Summer
5115;Weight;120.0
5886;Name;Onyekachi Apam
4145;Games;1992 Summer
2970;Sex;M
4009;Sport;Rowing
1779;Sport;Swimming
89;Sex;M
4028;City;Tokyo
7033;NOC;ITA
3818;Height;186.0
5265;Sport;Equestrianism
6519;Height;172.0
7296;Name;Carlos Alberto Aro
7180;Name;Magnus Peter Bckstedt
5348;Weight;68.0
25;Team;Cuba
718;Season;Summer
3786;Season;Summer
6256;Sex;F
3201;Name;Aaron Feltham
5435;NOC;BLR
1562;Team;Czech Republic
5617;NOC;TCH
5060;Year;2008
2354;Sex;M
1120;NOC;SUI
6786;City;Nagano
328;Sex;M
5024;Age;19.0
2282;Season;Summer
503;Height;185.0
