1148;Bact;4026
249;Pb;8.77
375;Bact;1771
680;Year;2020
123;Year;2022
113;Pb;5.72
1283;Source;Lake
1181;Bact;4389
106;IMR;21.41
33;Treatment;Boiling
80;Source;River
362;Bact;1244
416;Treatment;No Treatment
206;GDP;76459
1200;Pb;5.08
19;AccessClean;48.04
627;Sanit;28.38
256;Country;Ethiopia
1216;Treatment;Boiling
1037;Contam;6.4
914;Diarrhea;317
515;NO3;17.13
1265;Bact;1757
719;pH;6.5
781;Bact;288
1356;AccessClean;52.02
439;pH;8.15
1475;AccessClean;90.76
1432;Country;China
974;NO3;41.16
516;Country;Mexico
120;Treatment;Chlorination
1009;Region;West
79;Sanit;69.67
921;Contam;5.74
632;Treatment;Chlorination
502;Sanit;36.78
762;IMR;41.54
404;Diarrhea;391
314;Region;Central
696;Source;Tap
643;Diarrhea;236
281;Year;2018
231;Pb;11.13
205;Source;Lake
340;Contam;0.21
256;AccessClean;42.83
1268;AccessClean;54.37
1008;Contam;4.36
193;NO3;22.98
384;Treatment;Filtration
185;AccessClean;98.19
1011;GDP;38051
1440;Pb;0.38
928;GDP;24966
962;Region;East
1296;NO3;6.53
844;Country;India
39;GDP;25131
1152;Pb;0.72
1499;Region;North
421;Pb;8.12
1121;NO3;32.94
985;Source;Spring
33;Sanit;92.08
230;Diarrhea;376
647;Region;South
1273;Treatment;Boiling
442;Treatment;Boiling
152;Sanit;33.27
1352;Contam;7.92
992;GDP;23538
807;Source;Pond
1106;Contam;9.42
1172;IMR;5.72
1110;Source;Well
1075;pH;6.54
329;Pb;19.87
1033;Contam;4.31
1281;Diarrhea;69
1194;Contam;8.93
1487;Bact;1730
1488;Diarrhea;233
710;Diarrhea;421
948;Year;2008
1316;NO3;35.04
1344;Year;2007
273;Bact;4762
987;GDP;41748
112;Pb;18.94
1037;Source;Lake
903;Bact;3232
993;Year;2014
621;Pb;3.58
1342;Source;Well
218;Country;China
212;AccessClean;93.1
936;Contam;6.16
1487;pH;6.6
856;pH;6.97
511;Diarrhea;21
307;Pb;10.95
397;Sanit;35.86
1383;Pb;6.53
289;Source;River
506;pH;6.06
877;Contam;4.09
1312;Contam;7.06
682;Contam;5.34
1285;Year;2011
1087;Country;Mexico
865;Bact;1384
1092;Region;West
296;Treatment;No Treatment
974;GDP;12060
1041;Year;2005
422;Source;Well
28;AccessClean;45.99
191;Year;2007
473;Treatment;Boiling
1386;GDP;82686
1304;Year;2013
1085;Diarrhea;437
1428;Treatment;Filtration
1051;GDP;3932
120;IMR;16.04
1001;Source;Lake
1262;Year;2022
915;Sanit;74.23
1322;Country;Bangladesh
906;Diarrhea;242
1385;Year;2001
337;Region;North
1395;AccessClean;70.85
1042;Year;2003
1395;Country;Nigeria
76;Country;Nigeria
310;NO3;45.6
643;Year;2013
1405;GDP;60952
1449;AccessClean;70.06
635;IMR;76.46
1411;GDP;46201
1227;Contam;6.87
405;Region;East
1202;Diarrhea;128
230;Source;Well
758;Treatment;Filtration
59;Bact;2380
42;IMR;21.85
16;IMR;15.24
619;AccessClean;59.77
776;Source;Spring
483;AccessClean;87.56
523;Pb;17.71
1307;IMR;43.93
143;GDP;87810
780;Year;2020
571;Sanit;34.4
847;Country;Pakistan
1031;pH;6.93
235;GDP;48992
1045;Pb;8.21
322;Diarrhea;123
1235;Diarrhea;392
205;Region;South
13;Diarrhea;401
1482;Year;2000
703;Source;River
379;Treatment;Boiling
206;Contam;1.8
684;IMR;74.02
557;Source;Spring
285;Sanit;52.91
1290;Year;2019
1098;Bact;3224
1304;pH;7.27
19;Sanit;78.59
1061;Region;East
74;NO3;2.03
822;Region;North
1004;Country;Indonesia
