1323;InertialMeasurementUnit L-SHOE Body_Ay;658
824;Accelerometer LH accX;694.0
721;InertialMeasurementUnit L-SHOE EuZ;173
721;InertialMeasurementUnit L-SHOE Body_Ay;675
1000;InertialMeasurementUnit LUA gyroX;-39.0
2387;InertialMeasurementUnit LLA accY;-1150.0
2285;InertialMeasurementUnit LUA gyroX;1586.0
1668;InertialMeasurementUnit R-SHOE Compass;-16
1966;Accelerometer LH accX;1211.0
1697;InertialMeasurementUnit R-SHOE Compass;23
1616;InertialMeasurementUnit R-SHOE AngVelNavFrameY;26
1259;Accelerometer LUA_ accX;21.0
2286;Accelerometer LUA_ accX;-393.0
169;InertialMeasurementUnit L-SHOE EuZ;220
715;Accelerometer HIP accZ;310.0
1603;InertialMeasurementUnit RUA gyroX;-129.0
2330;InertialMeasurementUnit LLA accY;-409.0
738;Accelerometer RUA^ accY;1021.0
1404;InertialMeasurementUnit R-SHOE AngVelNavFrameY;-106
693;InertialMeasurementUnit LLA accY;-183.0
1246;InertialMeasurementUnit L-SHOE Body_Ay;664
806;InertialMeasurementUnit RLA accX;-594.0
1169;Accelerometer HIP accZ;663.0
231;Accelerometer LUA_ accX;-452.0
1000;Accelerometer LUA_ accX;-87.0
920;InertialMeasurementUnit L-SHOE Nav_Az;1644
2198;InertialMeasurementUnit LLA accY;-316.0
2005;InertialMeasurementUnit RUA gyroX;649.0
404;InertialMeasurementUnit RUA gyroX;-67.0
1474;InertialMeasurementUnit L-SHOE Body_Ay;685
2282;InertialMeasurementUnit RUA gyroX;0.0
1432;Accelerometer LH accX;300.0
1471;InertialMeasurementUnit L-SHOE Body_Ay;645
1366;InertialMeasurementUnit RUA gyroX;-1683.0
480;Accelerometer HIP accZ;265.0
2140;InertialMeasurementUnit LLA accY;-578.0
748;InertialMeasurementUnit LLA accY;-266.0
503;Accelerometer LH accX;370.0
358;InertialMeasurementUnit LUA gyroX;-347.0
569;InertialMeasurementUnit L-SHOE Body_Ay;690
687;InertialMeasurementUnit R-SHOE Body_Ax;495
1287;InertialMeasurementUnit R-SHOE Compass;-1
1808;InertialMeasurementUnit LLA accY;139.0
830;InertialMeasurementUnit L-SHOE Body_Ay;649
2202;InertialMeasurementUnit L-SHOE Body_Ay;918
1913;InertialMeasurementUnit R-SHOE Body_Ax;723
1513;InertialMeasurementUnit L-SHOE EuZ;173
2277;Accelerometer LUA_ accX;38.0
105;InertialMeasurementUnit L-SHOE Nav_Az;41
1975;InertialMeasurementUnit L-SHOE Body_Ay;761
2056;Accelerometer LUA_ accX;-119.0
2209;InertialMeasurementUnit RLA accX;516.0
1687;InertialMeasurementUnit L-SHOE Nav_Az;-4
129;InertialMeasurementUnit R-SHOE AngVelNavFrameX;28
543;InertialMeasurementUnit R-SHOE Body_Ax;289
1342;InertialMeasurementUnit R-SHOE Compass;-2
335;InertialMeasurementUnit RUA gyroX;-1200.0
2085;Accelerometer LUA_ accX;-168.0
2359;InertialMeasurementUnit LUA gyroX;-118.0
1720;Accelerometer HIP accZ;43.0
816;InertialMeasurementUnit RLA accX;-518.0
640;InertialMeasurementUnit LUA gyroX;544.0
