310017;CHILTON HOSPITAL;97 WEST PARKWAY;POMPTON PLAINS;NJ;NJ - Paterson;11;57465.0;13635.0;12503.0;244;PERMANENT CARDIAC PACEMAKER IMPLANT WO CCMCC
?;SOUTHEAST MISSOURI HOSPITAL;?;CAPE GIRARDEAU;?;?;?;?;?;2263.0;310;CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS WO CCMCC
?;GETTYSBURG HOSPITAL;?;GETTYSBURG;?;?;25;?;?;?;?;?
?;?;?;BEVERLY;MA;?;69;13171.0;7871.0;?;65;?
330028;?;355 BARD AVENUE;?;NY;NY - Manhattan;?;20347.0;?;?;948;?
360180;?;9500 EUCLID AVENUE;?;OH;?;196;?;6388.0;?;?;?
50006;?;?;?;CA;CA - Redding;12;?;4987.0;4054.0;?;POISONING & TOXIC EFFECTS OF DRUGS WO MCC
?;?;3333 SILAS CREEK PARKWAY;?;NC;NC - Winston-Salem;31;11543.0;?;4791.0;202;?
?;ST RITA\S MEDICAL CENTER;?;LIMA;OH;OH - Dayton;?;?;9319.0;?;254;?
?;?;?;TACOMA;WA;WA - Tacoma;?;27803.0;5755.0;3438.0;195;SIMPLE PNEUMONIA & PLEURISY WO CCMCC
?;NORTHERN LOUISIANA MEDICAL CENTER;401 EAST VAUGHN AVENUE;?;LA;LA - Shreveport;?;?;?;3480.0;?;?
?;JOHN C LINCOLN DEER VALLEY HOSPITAL;19829 NORTH 27TH AVENUE;PHOENIX;?;?;?;?;?;?;177;RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC
430027;?;?;?;?;?;?;?;?;4508.0;?;?
?;?;1600 N ROSE AVE;OXNARD;CA;?;69;35177.0;6979.0;5322.0;603;?
150088;?;?;ANDERSON;?;IN - Indianapolis;51;?;?;5168.0;?;?
450099;PAMPA REGIONAL MEDICAL CENTER;?;PAMPA;TX;TX - Amarillo;13;?;?;?;?;?
60064;?;2525 S DOWNING ST;?;CO;?;12;58756.0;12287.0;9890.0;377;G--I-- HEMORRHAGE W MCC
360055;TRUMBULL MEMORIAL HOSPITAL;1350 EAST MARKET STREET;WARREN;?;OH - Youngstown;75;?;?;4718.0;?;SIMPLE PNEUMONIA & PLEURISY W CC
50764;SHASTA REGIONAL MEDICAL CENTER;?;?;?;CA - Redding;?;32580.0;7719.0;6772.0;194;SIMPLE PNEUMONIA & PLEURISY W CC
?;KAISER FOUNDATION HOSPITAL - SACRAMENTO;2025 MORSE AVENUE;?;CA;CA - Sacramento;?;22402.0;?;6525.0;683;?
?;HEARTLAND REGIONAL MEDICAL CENTER;?;MARION;IL;?;15;65132.0;8608.0;7786.0;482;?
?;MUNSON MEDICAL CENTER;1105 SIXTH STREET;?;MI;?;?;?;11288.0;?;254;?
?;?;2315 STOCKTON BOULEVARD;?;?;?;?;?;?;?;372;?
170142;MERCY REGIONAL HEALTH CENTER;1823 COLLEGE AVE;MANHATTAN;KS;KS - Topeka;35;?;10615.0;9587.0;247;?
?;?;?;BROOKLYN;NY;NY - Manhattan;?;10559.0;?;?;?;G--I-- HEMORRHAGE WO CCMCC
?;?;9600 GROSS POINT ROAD;?;?;?;?;75001.0;?;?;?;PERC CARDIOVASC PROC W DRUG-ELUTING STENT WO MCC
260193;?;?;BLUE SPRINGS;MO;MO - Kansas City;19;?;4132.0;?;?;CHRONIC OBSTRUCTIVE PULMONARY DISEASE WO CCMCC
520075;ST VINCENT HSPTL;835 S VAN BUREN ST;GREEN BAY;?;?;28;63153.0;14995.0;14111.0;?;OTHER VASCULAR PROCEDURES W CC
?;?;5601 LOCH RAVEN BLVD;BALTIMORE;?;MD - Baltimore;46;?;11363.0;10492.0;?;?
50057;KAWEAH DELTA MEDICAL CENTER;?;?;CA;CA - Bakersfield;21;?;41232.0;40331.0;?;?
50058;?;1420 S CENTRAL AVE;GLENDALE;CA;CA - Los Angeles;51;44657.0;?;?;?;?
50396;?;400 WEST PUEBLO;SANTA BARBARA;?;?;?;22212.0;?;?;?;?
?;HAZARD ARH REGIONAL MEDICAL CENTER;100 MEDICAL CENTER DRIVE;HAZARD;KY;?;63;16343.0;4287.0;?;948;SIGNS & SYMPTOMS WO MCC
?;?;500 J CLYDE MORRIS BLVD;NEWPORT NEWS;VA;VA - Newport News;70;14718.0;?;?;?;?
240004;HENNEPIN COUNTY MEDICAL CENTER;701 PARK AVENUE;?;?;?;11;?;?;6313.0;303;?
450229;?;?;?;?;?;43;107339.0;?;?;?;MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC
100232;PUTNAM COMMUNITY MEDICAL CENTER;?;?;?;?;11;?;49844.0;?;?;MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC
?;ALBERT EINSTEIN MEDICAL CENTER;5501 OLD YORK ROAD;?;?;?;?;?;?;?;?;RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC
?;MOUNT CARMEL HEALTH;?;COLUMBUS;OH;?;?;?;4985.0;?;?;KIDNEY & URINARY TRACT INFECTIONS WO MCC
100071;?;?;?;?;FL - Hudson;19;?;?;9700.0;?;G--I-- HEMORRHAGE W MCC
?;SAINT MARY\S REGIONAL MEDICAL CENTER;?;RENO;?;?;?;16703.0;?;?;312;SYNCOPE & COLLAPSE
?;?;1501 COULTER ROAD;?;TX;?;22;?;13604.0;?;?;?
450743;TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON;3000 N I-35;DENTON;TX;?;?;?;?;?;194;SIMPLE PNEUMONIA & PLEURISY W CC
?;?;?;?;IL;IL - Peoria;?;75507.0;14347.0;13816.0;377;?
?;INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL;?;?;IN;IN - South Bend;?;23251.0;5243.0;4386.0;191;CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC
?;?;?;?;OH;?;17;?;7812.0;?;?;PULMONARY EDEMA & RESPIRATORY FAILURE
?;MEDICAL ARTS HOSPITAL;2200 N BRYAN AVE;LAMESA;TX;?;20;7173.0;6660.0;5876.0;?;KIDNEY & URINARY TRACT INFECTIONS WO MCC
340131;?;?;?;?;?;36;47326.0;?;?;253;OTHER VASCULAR PROCEDURES W CC
150008;ST CATHERINE HOSPITAL INC;4321 FIR ST;EAST CHICAGO;IN;?;74;?;?;2947.0;313;CHEST PAIN
340061;?;?;?;NC;?;59;14508.0;?;10991.0;?;KIDNEY & URINARY TRACT INFECTIONS W MCC
360066;ST RITA\S MEDICAL CENTER;?;?;OH;OH - Dayton;98;?;?;10207.0;?;?
?;?;300 PASTEUR DRIVE;STANFORD;CA;CA - San Mateo County;16;?;25519.0;22553.0;?;DEGENERATIVE NERVOUS SYSTEM DISORDERS WO MCC
450684;?;18951 MEMORIAL NORTH;?;?;TX - Houston;11;56942.0;?;17076.0;238;MAJOR CARDIOVASC PROCEDURES WO MCC
500088;VALLEY MEDICAL CENTER;400 S 43RD ST;RENTON;?;WA - Seattle;?;46730.0;?;?;482;HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT WO CCMCC
?;HENRY COUNTY MEDICAL CENTER;?;PARIS;TN;TN - Jackson;?;17237.0;4176.0;3309.0;?;?
140084;?;1324 NORTH SHERIDAN ROAD;WAUKEGAN;IL;WI - Milwaukee;?;27620.0;5138.0;?;312;SYNCOPE & COLLAPSE
?;?;727 N BEERS ST;HOLMDEL;?;?;?;56735.0;10951.0;10438.0;64;?
380102;?;3333 RIVERBEND DRIVE;?;OR;OR - Eugene;?;12814.0;3992.0;?;313;CHEST PAIN
?;?;1100 NINTH AVENUE (PO BOX 900);?;?;WA - Seattle;?;?;?;?;330;MAJOR SMALL & LARGE BOWEL PROCEDURES W CC
?;FAXTON-ST LUKE\S HEALTHCARE;?;?;NY;?;?;13753.0;4128.0;?;?;CHRONIC OBSTRUCTIVE PULMONARY DISEASE WO CCMCC
200063;?;6 GLEN COVE DRIVE;ROCKPORT;?;?;27;28430.0;11013.0;?;193;SIMPLE PNEUMONIA & PLEURISY W MCC
?;?;550 N HILLSIDE ST;WICHITA;KS;?;24;38439.0;6595.0;?;439;?
100180;ST PETERSBURG GENERAL HOSPITAL;6500 38TH AVE N;?;FL;?;?;48916.0;6437.0;?;378;?
?;?;501 ROBERTSON BOULEVARD;?;?;SC - Charleston;?;29282.0;?;?;?;?
?;?;?;DERRY;?;NH - Manchester;28;14270.0;3402.0;?;?;CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS WO CCMCC
?;?;?;CHILLICOTHE;?;?;?;41365.0;16027.0;12709.0;?;OTHER VASCULAR PROCEDURES W CC
260183;ST FRANCIS MEDICAL CENTER;?;CAPE GIRARDEAU;MO;MO - Cape Girardeau;202;29247.0;?;?;194;SIMPLE PNEUMONIA & PLEURISY W CC
?;CAMBRIDGE HEALTH ALLIANCE;?;CAMBRIDGE;?;?;?;13903.0;12105.0;?;178;RESPIRATORY INFECTIONS & INFLAMMATIONS W CC
?;JOHN H STROGER JR HOSPITAL;?;?;IL;IL - Chicago;15;8626.0;9122.0;?;?;?
180056;METHODIST HOSPITAL;1305 N ELM ST;HENDERSON;KY;?;?;11464.0;4936.0;4222.0;638;?
490037;RIVERSIDE SHORE MEMORIAL HOSPITAL;?;NASSAWADOX;VA;?;36;?;4303.0;3334.0;690;KIDNEY & URINARY TRACT INFECTIONS WO MCC
?;?;?;PARIS;?;TX - Dallas;17;9257.0;?;?;301;?
330191;?;100 PARK STREET;?;NY;?;?;?;?;?;?;?
130002;?;?;?;ID;?;?;18554.0;?;7363.0;?;RESPIRATORY INFECTIONS & INFLAMMATIONS W CC
?;BAPTIST HOSPITAL EAST;4000 KRESGE WAY;?;KY;KY - Louisville;?;?;31691.0;?;870;SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS
50283;?;?;?;CA;CA - Alameda County;28;50080.0;?;7678.0;378;G--I-- HEMORRHAGE W CC
390226;?;?;?;?;PA - Philadelphia;?;32849.0;5738.0;?;312;?
140117;?;?;CHICAGO;?;?;19;?;4870.0;?;101;SEIZURES WO MCC
?;ST MARY\S MEDICAL CENTER;?;?;WV;WV - Huntington;67;?;?;10453.0;?;?
?;?;?;?;ME;ME - Portland;47;?;4996.0;?;?;KIDNEY & URINARY TRACT INFECTIONS WO MCC
?;?;3501 JOHNSON ST;?;FL;FL - Miami;?;?;4807.0;?;293;?
?;PARRISH MEDICAL CENTER;951 N WASHINGTON AVE;TITUSVILLE;FL;?;?;?;6306.0;?;65;INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC
?;LOUIS A WEISS MEMORIAL HOSPITAL;?;CHICAGO;IL;?;13;17191.0;?;?;897;ALCOHOLDRUG ABUSE OR DEPENDENCE WO REHABILITATION THERAPY WO MCC
?;PROVIDENCE ALASKA MEDICAL CENTER;BOX 196604;ANCHORAGE;?;?;17;25251.0;6544.0;?;101;?
360115;UHHS BEDFORD MEDICAL CENTER;?;?;?;?;19;13143.0;4338.0;3501.0;?;CELLULITIS WO MCC
250122;?;129 JEFFERSON DAVIS BLVD BOX 1203;?;?;?;?;?;?;?;690;?
