riga;nome attributo;valore da imputare;valore imputato
75;Order_Total;2;3
285;Delivery_Year_;2004;2010
805;Region;East Asia;North America
804;Country;USA;USA
688;Region;Oceania;North America
291;Model_Series;747-400;707/720
487;Order_Month;Nov;Jan
526;Order_Total;2;3
531;Delivery_Total;4;3
432;Engine;PW;PW
370;Order_Year;1967;2006
173;Model_Series;787-9;727
233;Country;USA;Chile
320;Delivery_Total;1;3
606;Order_Total;1;3
19;Region;Europe;North America
329;Order_Total;8;3
225;Customer_Name;GATX Financial Corporation;Garuda Indonesia
84;Model_Series;727;707/720
535;Model_Series;737-300;707/720
389;Delivery_Total;2;3
362;Order_Total;3;3
447;Order_Year;1966;2006
68;Order_Total;1;3
586;Model_Series;727;707/720
245;Order_Year;1987;2006
160;Order_Year;2008;2006
892;Engine;PW;PW
752;Region;North America;North America
89;Order_Year;2006;2006
607;Region;East Asia;North America
166;Delivery_Year_;2000;1976
701;Order_Total;4;3
709;Order_Total;4;3
226;Order_Month;Feb;May
226;Delivery_Year_;2000;1976
263;Order_Year;1963;2006
707;Order_Year;2017;2006
503;Order_Year;1989;2006
118;Customer_Name;Kenya Airways;Garuda Indonesia
865;Model_Series;767-300F;707/720
374;Customer_Name;Pelita Air Service;Garuda Indonesia
874;Customer_Name;777 Partners;Garuda Indonesia
332;Model_Series;737-800;727
2;Region;Europe;North America
589;Order_Total;1;3
887;Order_Year;1971;2006
815;Region;South America;North America
74;Order_Total;1;3
486;Delivery_Total;1;3
262;Model_Series;757-200;707/720
578;Country;United Kingdom;USA
75;Country;United Kingdom;USA
168;Delivery_Year_;1991;1976
676;Customer_Name;CAAC-Civil Aviation of China;Garuda Indonesia
483;Delivery_Year_;1976;1976
257;Customer_Name;Linjeflyg;Air Europe
760;Order_Total;11;3
380;Customer_Name;Norwegian Air Shuttle;Ryanair
592;Engine;PW;GE
404;Country;USA;USA
28;Region;East Asia;North America
151;Delivery_Total;2;3
270;Model_Series;777F;707/720
195;Order_Total;1;3
269;Delivery_Year_;1999;2002
714;Engine;CF;PW
128;Engine;CF;GE
571;Order_Year;1974;2006
763;Order_Year;2019;2006
671;Engine;GE;PW
233;Order_Month;Jan;Jan
524;Country;USA;USA
95;Order_Year;1968;2006
742;Region;Europe;North America
820;Order_Total;1;3
117;Order_Year;1984;2006
823;Order_Total;1;?
638;Country;USA;USA
611;Model_Series;727;727
574;Order_Year;1984;2006
41;Model_Series;787-9;707/720
359;Order_Month;Feb;Jan
122;Order_Month;Mar;May
521;Customer_Name;Dutch Caribbean Airlines;Garuda Indonesia
495;Order_Year;1966;2006
398;Engine;PW;PW
308;Order_Month;Dec;May
243;Model_Series;DC-10;727
178;Order_Year;2014;2006
32;Region;East Asia;North America
739;Order_Year;1996;2006
356;Customer_Name;PLUNA;Garuda Indonesia
212;Country;China;USA
297;Customer_Name;MyTravel Airways;Garuda Indonesia
503;Order_Month;Feb;May
399;Delivery_Year_;1963;1976
472;Order_Month;May;Apr
708;Country;Venezuela;USA
262;Order_Year;1993;2006
125;Order_Total;4;3
877;Region;Europe;North America
484;Delivery_Year_;1966;1976
351;Delivery_Year_;2018;1976
121;Order_Total;1;3
604;Delivery_Total;5;3
721;Country;Kazakhstan;USA
708;Order_Year;1967;2006
629;Order_Month;Jan;May
108;Delivery_Year_;2013;1976
13;Country;Netherlands;USA
255;Delivery_Total;1;3
258;Model_Series;777F;707/720
508;Country;Australia;USA
523;Customer_Name;All Nippon Airways Co. Ltd.;Garuda Indonesia
319;Delivery_Year_;1968;1976
323;Customer_Name;Wien Air Alaska;Garuda Indonesia
511;Customer_Name;Monarch Airlines;ATA Airlines Inc.
252;Delivery_Year_;2017;2002
816;Delivery_Total;2;3
469;Engine;CF;PW
860;Delivery_Year_;1981;2000
287;Customer_Name;Maersk Air;Garuda Indonesia
556;Order_Year;2011;2006
225;Order_Total;2;3
383;Order_Total;1;3
372;Model_Series;777F;707/720
