riga;nome attributo;valore da imputare;valore imputato
508;Country;Australia;?
872;Country;USA;?
880;Country;China;?
816;Country;Switzerland;?
457;Country;USA;?
803;Country;French Polynesia;?
207;Country;Saudi Arabia;?
221;Country;Thailand;?
290;Country;USA;?
621;Country;Belgium;?
122;Country;USA;?
810;Country;USA;?
287;Country;Denmark;Romania
81;Country;Brazil;?
770;Country;Mauritius;?
198;Country;USA;Gibraltar
476;Country;United Arab Emirates;?
401;Country;Taiwan;?
186;Country;Brazil;?
817;Country;Israel;?
408;Country;Brazil;?
456;Country;China;Hong Kong
583;Country;Iceland;?
670;Country;USA;?
847;Country;USA;?
548;Country;USA;?
84;Country;USA;State of Libya
327;Country;United Kingdom;Sudan
844;Country;France;?
208;Country;Russian Federation;Romania
158;Country;USA;?
381;Country;USA;?
45;Country;China;Mexico
627;Country;China;?
827;Country;Costa Rica;Costa Rica
464;Country;Japan;?
486;Country;Cameroon;?
477;Country;Trinidad and Tobago;Trinidad and Tobago
828;Country;Germany;?
201;Country;Equatorial Guinea;?
421;Country;Kuwait;?
261;Country;Morocco;?
338;Country;Chile;?
220;Country;Ireland;Romania
139;Country;Belgium;?
587;Country;Ghana;?
595;Country;USA;?
690;Country;United Kingdom;?
601;Country;Cte dIvoire;?
822;Country;Canada;?
736;Country;China;?
648;Country;Israel;?
199;Country;Brazil;Portugal
361;Country;Taiwan;?
275;Country;Serbia;Romania
292;Country;Ireland;?
875;Country;South Korea;?
114;Country;China;?
591;Country;Egypt;?
69;Country;United Arab Emirates;?
659;Country;USA;?
470;Country;Madagascar;?
778;Country;State of Libya;?
584;Country;Kuwait;?
771;Country;Syrian Arab Republic;?
228;Country;Jamaica;?
259;Country;United Kingdom;Oman
305;Country;Canada;?
710;Country;Iraq;?
22;Country;Ireland;?
645;Country;Germany;?
858;Country;USA;?
607;Country;China;?
71;Country;USA;?
249;Country;USA;Venezuela
848;Country;Japan;?
147;Country;USA;?
503;Country;USA;?
272;Country;Austria;?
188;Country;USA;?
897;Country;Singapore;?
48;Country;South Africa;Nigeria
303;Country;Ireland;?
796;Country;China;?
27;Country;Germany;Slovakia (Slovak Republic)
576;Country;China;?
860;Country;Switzerland;?
349;Country;Italy;?
404;Country;USA;?
35;Country;USA;Italy
127;Country;Japan;Thailand
484;Country;USA;?
193;Country;USA;?
55;Country;Brazil;?
868;Country;Japan;?
485;Country;China;?
172;Country;Jamaica;?
856;Country;Belgium;?
294;Country;China;?
383;Country;Taiwan;?
711;Country;USA;?
245;Country;France;?
222;Country;USA;?
124;Country;Canada;?
367;Country;Fiji;?
726;Country;Bangladesh;Bangladesh
577;Country;China;?
776;Country;USA;?
553;Country;USA;?
762;Country;Chile;?
481;Country;Belgium;?
91;Country;USA;?
632;Country;USA;?
171;Country;United Arab Emirates;?
551;Country;Netherlands;?
610;Country;Turkmenistan;?
306;Country;USA;?
175;Country;China;?
808;Country;Ukraine;?
196;Country;Zimbabwe;?
890;Country;Egypt;?
389;Country;USA;?
251;Country;Angola;?
438;Country;State of Libya;?
173;Country;Japan;?
350;Country;Italy;?
505;Country;USA;?
215;Country;Dominican Republic;?
809;Country;USA;?
560;Country;Ireland;?
800;Country;Taiwan;?
87;Country;Czech Republic;Panama
340;Country;United Kingdom;?
859;Country;Bermuda;?
354;Country;Portugal;?
517;Country;Poland;?
682;Country;United Kingdom;?
4;Country;USA;Switzerland
664;Country;Malta;Bermuda
590;Country;France;Sudan
51;Country;Malta;?
802;Country;Morocco;?
392;Country;Brazil;?
730;Country;Germany;?
283;Country;South Korea;?
285;Country;Turkey;Romania
57;Country;Ukraine;Turkey
133;Country;Philippines;?
426;Country;Saudi Arabia;?
307;Country;Yemen;?
363;Country;Angola;?
66;Country;USA;Spain
836;Country;Rwanda;?
613;Country;USA;?
442;Country;Austria;?
357;Country;Angola;?
192;Country;China;?
5;Country;Russian Federation;?
30;Country;Germany;?
106;Country;Italy;?
310;Country;Taiwan;?
516;Country;China;?
895;Country;Uzbekistan;?
642;Country;Honduras;?
886;Country;Australia;?
202;Country;Portugal;?
323;Country;USA;?
3;Country;Netherlands;Hungary
639;Country;USA;?
250;Country;Oman;?
849;Country;United Kingdom;Romania
684;Country;Austria;?
534;Country;Egypt;?
102;Country;USA;?
