riga;nome attributo;valore da imputare;valore imputato
398;Car;Ford Grenada l;?
397;Horsepower;92.00;108.0
328;MPG;37.0;24.0
345;Acceleration;17.0;14.5
73;Acceleration;13.0;11.5
30;Horsepower;113.0;95.00
371;Car;Datsun 810 Maxima;?
352;Origin;US;Japan
246;MPG;33.5;26.0
77;Displacement;350.0;307.0
114;Car;Oldsmobile Vista Cruiser;?
51;Displacement;400.0;318.0
39;Horsepower;0;95.00
340;Car;Volkswagen Rabbit;Toyota Corolla Liftback
141;Displacement;250.0;97.50
33;Car;Chevy C20;Buick Skylark 320
147;MPG;14.0;13.0
357;Car;Mazda GLC 4;?
213;Weight;2155.;2264.
59;Model;71;70
373;Cylinders;8;8
395;Car;Buick Century Limited;Volvo 244DL
312;Origin;Europe;Japan
360;Acceleration;20.7;?
320;Displacement;86.00;?
75;Model;72;?
224;Displacement;98.00;?
369;Horsepower;76.00;?
232;Acceleration;14.9;?
286;Model;78;?
18;Model;70;70
184;Car;AMC Pacer;Buick Skylark 320
23;Model;70;70
233;Weight;3520.;?
61;Car;Toyota Corolla 1200;Toyota Corolla Mark ii
328;Cylinders;4;8
328;Horsepower;92.00;95.00
269;Weight;3410.;?
14;Origin;US;Europe
349;Weight;2725.;2595.
42;Car;Plymouth Satellite Custom;Toyota Corolla Mark ii
317;Displacement;98.00;250.0
132;Displacement;350.0;307.0
84;Weight;2933.;4456.
205;MPG;29.0;29.0
203;Model;76;80
382;Acceleration;16.4;?
379;MPG;31.0;?
294;Origin;US;US
231;Horsepower;145.0;150.0
196;Acceleration;13.0;12.0
208;Acceleration;21.0;14.5
346;Weight;2490.;?
264;Weight;3430.;3380.
392;Acceleration;15.0;15.7
254;Model;78;79
172;Displacement;231.0;?
27;Horsepower;87.00;81.00
328;Car;Datsun 510 Hatchback;Toyota Corolla Mark ii
358;Cylinders;4;?
160;Acceleration;16.0;16.0
8;Displacement;440.0;307.0
204;Displacement;98.00;140.0
9;Model;70;70
350;Cylinders;4;4
3;Origin;US;US
274;Model;78;80
334;Cylinders;4;4
377;MPG;27.0;28.0
100;Model;73;70
346;MPG;27.2;?
286;Weight;1990.;?
141;Origin;US;US
9;MPG;14.0;15.0
355;Cylinders;4;4
30;Car;BMW 2002;Plymouth Duster
137;Model;74;70
137;Origin;Japan;US
283;Acceleration;13.6;?
256;MPG;36.1;?
320;Horsepower;65.00;?
101;Model;73;70
118;Car;Datsun 610;Datsun PL510
241;MPG;29.0;?
308;MPG;23.9;19.9
372;Displacement;231.0;262.0
280;Car;Oldsmobile Starfire SX;?
311;Model;79;80
114;MPG;12.0;?
230;Origin;US;US
92;Horsepower;88.00;95.00
210;Horsepower;95.00;110.0
87;Cylinders;4;?
19;Model;70;70
13;Model;70;70
22;Origin;US;Europe
313;Horsepower;90.00;85.00
78;Cylinders;8;?
219;Horsepower;120.0;165.0
317;Cylinders;4;8
199;Weight;3233.;2264.
151;Acceleration;14.5;15.5
125;Origin;Europe;Europe
113;Weight;4654.;3850.
403;Weight;2130.;?
370;Displacement;168.0;?
25;Model;70;73
292;Origin;US;US
388;Origin;US;US
33;MPG;10.0;18.0
341;Weight;2910.;?
287;Acceleration;16.6;?
96;Displacement;302.0;307.0
116;Acceleration;19.0;14.5
281;Displacement;119.0;?
144;Model;74;72
164;Cylinders;8;8
79;Acceleration;13.5;11.5
270;Weight;3425.;?
387;Car;Plymouth Horizon Miser;Volkswagen Rabbit l
159;Horsepower;67.00;130.0
346;Cylinders;4;?
18;Car;Ford Mustang Boss 302;Buick Skylark 320
138;Acceleration;16.5;18.5
94;Displacement;304.0;307.0
32;Origin;US;Europe
233;Acceleration;16.4;?
82;Acceleration;16.0;12.0
208;MPG;18.0;28.0
384;Weight;1980.;2160.
291;Model;79;?
110;Horsepower;46.00;90.00
11;Cylinders;4;8
76;Car;Buick LeSabre Custom;Chevrolet Impala
368;Car;Saab 900s;?
245;Cylinders;4;8
355;Model;81;79
21;Horsepower;95.00;95.00
100;MPG;13.0;18.0
7;Model;70;70
11;Model;70;70
146;Origin;US;US
361;Origin;Europe;US
221;Displacement;350.0;?
88;Cylinders;4;8
47;Displacement;400.0;307.0
348;Model;81;?
238;Car;Chevrolet Monte Carlo Landau;?
313;Cylinders;4;4
304;Car;AMC Spirit DL;?
24;Weight;2587.;3504.
223;Weight;3755.;?
136;Acceleration;17.0;13.0
276;Model;78;71
183;Displacement;90.00;250.0
268;MPG;18.6;?
272;Weight;3205.;?
380;MPG;29.0;?
148;Weight;4257.;3436.
20;Cylinders;8;8
99;Weight;4464.;3504.
333;Acceleration;21.7;23.7
88;Origin;US;US
312;Horsepower;69.00;53.00
148;Car;AMC Matador (sw);AMC Rebel SST
146;Model;74;70
155;Car;Fiat 128;Opel Manta
228;Origin;Japan;US
234;Model;77;78
262;Origin;US;US
277;Weight;2230.;?
92;Model;72;70
346;Model;81;?
194;Model;76;?
280;Acceleration;17.6;?
342;Acceleration;12.5;?
220;Horsepower;180.0;165.0
237;Horsepower;180.0;150.0
189;Acceleration;17.5;15.0
302;Origin;Japan;Japan
336;Acceleration;21.8;?
347;Acceleration;16.4;16.9
371;MPG;24.2;?
141;Car;Chevrolet Chevelle Malibu Classic;AMC Rebel SST
303;Car;Dodge Colt Hatchback Custom;Ford Fiesta
148;Cylinders;8;8
41;Model;71;73
125;MPG;29.0;27.0
318;Weight;1968.;?
235;Weight;3630.;?
315;Acceleration;12.9;?
221;Horsepower;145.0;?
248;Displacement;97.00;113.0
87;Origin;Europe;?
304;Origin;US;?
358;Car;Plymouth Horizon 4;?
36;Acceleration;14.5;15.0
23;Displacement;199.0;307.0
265;Acceleration;17.2;?
232;Origin;US;?
34;Horsepower;210.0;130.0
79;Displacement;70.00;307.0
91;Cylinders;4;4
335;Displacement;121.0;?
379;Model;82;?
397;Acceleration;14.5;?
172;Car;Buick Skyhawk;?
127;Origin;Europe;US
69;Horsepower;86.00;193.0
152;Horsepower;52.00;193.0
351;Origin;Japan;US
78;Displacement;400.0;?
277;Car;Dodge Omni;?
381;MPG;27.0;33.5
3;Cylinders;8;8
172;Cylinders;6;?
184;Cylinders;6;8
310;Displacement;105.0;?
292;Displacement;225.0;?
96;Acceleration;14.5;11.5
232;Car;Mercury Cougar Brougham;?
302;Cylinders;4;4
228;Cylinders;4;4
21;MPG;24.0;24.0
262;Displacement;200.0;?
251;Origin;Japan;US
314;Model;79;?
69;Weight;2226.;4732.
41;Weight;2634.;4082.
356;Origin;Japan;?
99;Origin;US;US
166;Weight;4498.;?
223;MPG;13.0;?
335;Cylinders;5;?
1;Acceleration;12.0;11.5
300;Car;Chrysler Lebaron Town @ Country (sw);Pontiac Phoenix
15;Acceleration;11.0;11.5
56;Car;Ford Mustang;Chevrolet Chevelle Malibu
144;MPG;16.0;14.0
314;Origin;US;US
211;Origin;Europe;Europe
161;Origin;US;US
312;Cylinders;4;4
158;MPG;26.0;27.0
187;Acceleration;14.5;18.0
228;Weight;1945.;1825.
172;MPG;21.0;?
305;Displacement;183.0;?
73;Weight;4129.;3504.
31;Car;AMC Gremlin;Buick Skylark 320
271;Horsepower;165.0;105.0
337;Model;80;?
209;Weight;3645.;4082.
130;Cylinders;4;6
395;Horsepower;110.0;95.00
271;Model;78;?
119;Cylinders;3;8
194;Cylinders;4;?
322;MPG;26.4;?
128;Model;73;?
279;Car;Plymouth Sapporo;Buick Skylark
291;Acceleration;18.2;?
315;MPG;26.8;?
244;Horsepower;89.00;90.00
246;Acceleration;15.9;11.5
136;Weight;3336.;4082.
284;MPG;21.6;?
202;Acceleration;17.6;11.5
255;Cylinders;4;?
146;Displacement;318.0;318.0
356;Model;81;?
313;Weight;2670.;3504.
343;Cylinders;4;8
135;Origin;US;US
289;Cylinders;6;4
180;Displacement;90.00;113.0
213;Acceleration;16.4;15.5
345;Model;80;82
398;Acceleration;14.7;?
399;Weight;2665.;1970.
54;Acceleration;19.0;19.5
389;Car;Nissan Stanza XE;Chevrolet Chevelle Malibu
313;Origin;US;US
71;Weight;4385.;3850.
239;Model;77;?
324;Car;Dodge Aspen;?
117;MPG;21.0;20.0
95;Weight;3988.;3504.
40;Weight;1978.;3504.
85;Car;Volkswagen 411 (sw);Chevrolet Vega
115;Acceleration;15.0;13.0
5;Cylinders;8;8
71;MPG;14.0;0
151;Cylinders;4;4
338;Model;80;70
336;Model;80;?
317;Model;80;75
367;Model;81;?
42;MPG;16.0;24.0
55;Car;Pontiac Firebird;Chevrolet Chevelle Malibu
401;Acceleration;17.3;13.2
399;Displacement;144.0;91.00
201;Origin;US;Europe
195;MPG;17.5;18.5
14;Model;70;70
214;Weight;2565.;?
387;Horsepower;63.00;75.00
312;Model;79;?
288;Acceleration;15.4;?
382;MPG;24.0;?
211;Car;Volkswagen Rabbit;Datsun F-10 Hatchback
214;Car;Ford Pinto;?
57;Acceleration;14.0;14.0
330;Car;Mazda GLC;Datsun 210
396;MPG;38.0;?
32;MPG;10.0;24.0
372;Acceleration;15.8;21.0
125;Acceleration;19.5;14.5
395;Acceleration;16.4;19.0
48;Cylinders;8;8
44;MPG;19.0;24.0
112;Model;73;70
330;Model;80;80
103;Origin;US;US
203;Cylinders;4;4
94;MPG;14.0;18.0
124;Origin;US;US
388;Model;82;74
90;Horsepower;97.00;90.00
227;MPG;25.5;?
165;Displacement;350.0;307.0
385;Model;82;?
63;MPG;27.0;?
3;Model;70;70
288;Horsepower;115.0;?
19;Origin;US;US
20;Car;Buick Estate Wagon (sw);Buick Skylark 320
358;Model;81;?
233;Cylinders;6;?
212;MPG;32.0;?
240;MPG;16.0;?
