riga;nome attributo;valore da imputare;valore imputato
2698;height_cm;183.0;?
2177;Player;Stephen Curry;?
2528;draft_team;San Antonio Spurs;?
2197;high_school;Makelanrinne;?
2559;high_school;Emery County High School;?
2628;Stage;International;?
674;Player;Larry Nance Jr.;?
1238;nationality;England / United States;United States / Philippines
1978;Stage;Regular_Season;?
1605;PTS;773;?
1676;draft_team;Houston Rockets;?
118;Season;2019 - 2020;?
1758;Stage;Playoffs;?
2427;Season;1999 - 2000;?
2651;League;NBA;?
2399;League;NBA;Slovakian-Extraliga
209;draft_team;Toronto Raptors;?
2656;Player;Randolph Childress;?
459;height_cm;211.0;?
2236;PTS;647;?
1943;high_school;Gonzaga Preparatory School;Gonzaga Preparatory School
236;Stage;Regular_Season;?
3075;nationality;United States;Canada / Bahamas
328;draft_team;Atlanta Hawks;?
978;Player;Danny Green;?
850;Season;2003 - 2004;1999 - 2000
2388;draft_team;Utah Jazz;?
2070;Stage;Playoffs;?
1073;height_cm;206.0;?
1345;height_cm;208.0;?
1220;League;NBA;?
1774;Stage;Regular_Season;?
2110;Team;BES;?
1296;high_school;Dominguez High School;Davidson High School
238;Stage;Regular_Season;?
470;League;NBA;Bulgarian-NBL
2923;draft_team;Denver Nuggets;?
2772;PTS;323;?
639;League;NBA;Turkish-BSL
2329;Stage;International;?
1281;height_cm;180.0;?
266;League;NBA;Slovakian-Extraliga
1183;weight_kg;107.0;?
1878;height_cm;203.0;?
975;weight_kg;93.0;?
2912;Player;Kosta Koufos;?
1547;League;NBA;Slovakian-Extraliga
2218;weight_kg;113.0;?
1488;draft_team;Cleveland Cavaliers;?
303;draft_team;Orlando Magic;?
600;PTS;131;?
2116;high_school;DeMatha Catholic High School;?
2048;high_school;Kamloops High School;?
146;Player;E'Twaun Moore;?
1032;draft_team;Seattle SuperSonics;?
1752;Season;2009 - 2010;?
2825;Stage;Regular_Season;?
2070;high_school;Parkview Arts and Science Magnet High School;?
1408;height_cm;203.0;?
930;Stage;International;?
1233;Season;2011 - 2012;?
1341;Season;2013 - 2014;?
1337;Player;Jacque Vaughn;Paul Pierce
651;high_school;Jefferson High School;Jefferson High School
2907;height_cm;183.0;?
2368;height_cm;203.0;?
1425;birth_year;1988.0;?
2563;nationality;United States;Canada / Bahamas
1791;birth_year;1991.0;?
948;height_cm;213.0;218.0
2670;Stage;Regular_Season;?
392;Team;NJN;?
1498;League;Japanese-BLeague;FIBA-Europe-Cup
726;Team;MIA;?
1772;PTS;740;?
94;PTS;334;?
890;weight_kg;93.0;?
59;PTS;57;?
839;Player;Aaron Brooks;?
1334;PTS;1098;?
2142;Player;Erick Dampier;?
327;nationality;France;United States / Germany
830;height_cm;185.0;?
2393;nationality;Gabon;United States / Greece
1256;Stage;Regular_Season;?
186;height_cm;193.0;?
838;Stage;International;?
2465;Season;2017 - 2018;?
28;height_cm;188.0;?
2275;draft_team;Houston Rockets;?
2189;Team;SAS;?
1438;Team;GSW;?
331;League;NBA;NBA
2731;Team;OKC;MIL
586;Stage;Playoffs;?
1287;PTS;1117;?
474;Season;2002 - 2003;?
1794;nationality;United States;?
1216;birth_year;1987.0;?
2012;birth_year;1978.0;?
318;birth_year;1975.0;?
340;Team;CHI;?
1590;Player;Maarty Leunen;?
1932;Team;CHA;?
245;Season;2018 - 2019;?
723;weight_kg;88.0;?
2838;Player;Jason Maxiell;?
1921;weight_kg;109.0;147.0
465;Player;Earl Clark;Morris Peterson
266;weight_kg;100.0;?
2601;Season;2008 - 2009;?
131;draft_team;Indiana Pacers;?
912;birth_year;1987.0;?
348;PTS;114;?
1564;Season;2016 - 2017;?
1933;Season;2015 - 2016;?
2744;Team;GST;TREV
1045;PTS;375;?
2715;Stage;Regular_Season;?
2806;PTS;511;?
1672;high_school;Dunbar High School ;?
2904;birth_year;1986.0;?
469;Team;BER;FUJ
1877;high_school;Paseo Academy;?
295;high_school;Seagoville High School;Westlake High School
1615;PTS;151;?
169;height_cm;208.0;?
2180;Season;2010 - 2011;?
298;Season;2016 - 2017;?
810;weight_kg;125.0;?
2286;weight_kg;106.0;?
140;Stage;International;?
1107;birth_year;1986.0;?
2297;PTS;418;?
241;League;NBA;Israeli-BSL
1668;League;NBA;New-Zealand-NBL
1545;PTS;171;?
611;birth_year;1987.0;?
2850;birth_year;1988.0;?
1132;Stage;International;?
523;Player;Walter McCarty;?
54;League;NBA;Bulgarian-NBL
1570;nationality;United States;United States
2323;PTS;221;?
2463;Team;BOS;?
1469;nationality;United States;?
1076;weight_kg;86.0;?
2682;draft_team;Minnesota Timberwolves;?
1269;weight_kg;95.0;?
1827;Player;Tim Hardaway Jr.;?
1445;Season;1999 - 2000;?
1122;PTS;255;1955
1010;height_cm;188.0;?
595;Player;Bobby Jackson;Doug Christie
3080;high_school;Glen Falls High School;?
2931;height_cm;206.0;?
1857;Player;Daniel Ewing;?
2119;height_cm;203.0;?
110;weight_kg;95.0;?
952;high_school;College et Lycee Raponda Walker;?
2183;PTS;705;?
2305;Team;NYK;HAPJ
1621;height_cm;196.0;?
499;birth_year;1988.0;?
2133;League;NBA;Slovakian-Extraliga
2754;birth_year;1983.0;?
2905;Stage;Regular_Season;?
77;weight_kg;91.0;?
386;birth_year;1978.0;?
351;Player;Tyson Chandler;?
1609;League;NBA;?
755;nationality;United States;Canada / Haiti
1555;Season;2004 - 2005;?
1901;PTS;170;?
3104;Team;UNI;?
2057;PTS;522;?
3163;Player;Bam Adebayo;?
923;weight_kg;92.0;?
574;PTS;595;?
2924;Player;Tracy McGrady;?
37;Season;2008 - 2009;?
1948;PTS;1022;?
2691;League;NBA;Greek-HEBA-A1
159;weight_kg;102.0;?
1562;Stage;Regular_Season;?
3107;Team;POR;?
2644;Player;Chris Webber;?
2055;draft_team;Los Angeles Clippers;?
2262;Stage;International;?
1195;nationality;Canada / Haiti;Canada / Haiti
1187;high_school;Broughton High School;Eastside Catholic High School
2271;birth_year;1991.0;?
