riga;nome attributo;valore da imputare;valore imputato
42;city;w. hollywood;?
43;city;santa monica;?
512;type;asian;?
513;type;mediterranean;?
514;type;asian;?
544;addr;3555 las vegas blvd. s;?
218;addr;3127 fillmore st.;?
219;addr;545 post st.;?
220;addr;545 post st.;?
221;addr;600 stockton st.;600 stockton st.
757;phone;212-535-5223;?
64;class;31;31
65;class;32;?
66;class;32;?
67;class;33;33
301;type;coffee bar;?
302;type;american;?
303;type;latin american;?
422;city;new york;?
423;city;new york;?
424;city;new york;?
479;type;asian;?
480;type;middle eastern;?
481;type;american;?
323;addr;385 broome st. at mulberry;?
625;city;san francisco;?
626;city;san francisco;?
627;city;san francisco;?
628;city;san francisco;?
755;city;new york city;?
756;city;new york city;?
756;phone;212-996-0660;?
581;phone;415/788-9900;?
582;phone;415/362-0404;?
583;phone;415/982-2000;?
211;phone;415/495-5775;?
212;phone;415-495-5775;?
426;addr;28 1/2 bowery at bayard st.;?
427;addr;2 w. 19th st.;?
428;addr;145 w. broadway at thomas st.;?
429;addr;322 w. 46th st.;?
155;type;french;?
723;type;diners;?
724;type;greek;?
706;type;pacific new wave;?
707;type;japanese;?
183;addr;181 peachtree st.;181 peachtree st.
96;class;47;47
97;class;48;?
98;class;48;?
99;class;49;?
675;city;long beach;?
676;city;la;?
677;city;studio city;?
413;class;300;?
186;class;92;92
187;class;93;?
188;class;93;?
23;type;french;?
679;addr;8393 w. beverly blvd.;?
680;addr;10506 little santa monica blvd.;?
717;class;605;?
718;class;606;?
719;class;607;?
720;class;608;?
434;addr;1065 1st ave.  at 58th st.;?
698;class;586;?
699;class;587;?
803;addr;1655 mclendon ave.;?
804;addr;1031 peachtree st. ne;?
679;phone;213-655-9045;?
680;phone;310-470-4992;?
681;phone;310-456-6299;?
103;name;park avenue cafe;?
104;name;park avenue cafe (new york city);?
531;city;atlanta;?
532;city;atlanta;?
533;city;atlanta;?
5;city;bel air;?
746;class;634;?
747;class;635;?
748;class;636;?
371;type;asian;?
372;type;italian;?
373;type;american;?
374;type;american;?
818;type;southwestern;?
748;addr;19 old fulton st.;?
749;addr;178 broadway;?
705;class;593;?
286;city;new york;?
287;city;new york;?
288;city;new york;?
289;city;new york;?
492;phone;404/876-8532;?
493;phone;404/525-2062;?
494;phone;404/264-9546;?
439;phone;212/274-8883;?
440;phone;212/535-1100;?
51;name;aureole;?
52;name;aureole;?
53;name;cafe lalo;?
139;addr;3000 w. paradise rd.;?
503;name;city grill;?
417;name;match;?
418;name;matthew's;?
503;city;atlanta;?
279;city;los angeles;?
280;city;los angeles;?
281;city;los angeles;?
26;addr;8284 melrose ave.;8284 melrose ave.
27;addr;3rd st.;8638 w. third st.
105;phone;212/245-2214;?
106;phone;212-245-2214;?
107;phone;212/724-8585;?
108;phone;212-724-8585;?
753;phone;212-687-4855;?
754;phone;718-937-3030;?
755;phone;212-755-1780;?
596;name;il fornaio levi's plaza;?
597;name;izzy's steak & chop house;?
534;city;atlanta;?
477;phone;212/941-3900;?
478;phone;212/988-4858;?
296;class;183;?
297;class;184;?
298;class;185;?
299;class;186;?
569;city;san francisco;?
570;city;san francisco;?
571;city;san francisco;?
572;city;san francisco;?
267;phone;818/761-9126;?
671;name;jody maroni's sausage kingdom;?
675;class;563;?
676;class;564;?
309;class;196;?
763;addr;689 ninth ave.;?
764;addr;107th fl.;?
765;addr;205 e. 49th st.;?
354;addr;1900 broadway  between 63rd and 64th sts.;?
355;addr;522 columbus ave.  between 85th and 86th sts.;?
60;phone;212-757-2245;?
61;phone;212/966-6960;?
62;phone;212-966-6960;?
63;phone;212/288-0033;?
385;type;french;?
339;city;new york;?
340;city;new york;?
344;class;231;?
345;class;232;?
346;class;233;?
271;class;158;?
272;class;159;334
2;phone;310-246-1501;310/246-1501
432;class;319;?
684;city;westlake village;?
685;city;rancho park;?
686;city;la;?
687;city;st. hermosa beach;?
167;name;heera of india;heera of india
350;city;new york;?
351;city;new york;?
189;phone;415/387-0408;?
470;city;new york;?
471;city;new york;?
472;city;new york;?
63;city;new york;?
64;city;new york city;?
628;class;515;?
272;phone;310/393-6545;212/581-4242
157;name;buckhead diner;?
158;name;buckhead diner;?
159;name;ciboulette;?
160;name;ciboulette restaurant;?
349;type;italian;?
350;type;french;?
333;name;cite;?
334;name;coco pazzo;?
335;name;columbus bakery;?
210;phone;415-776-5577;415/776-5577
261;city;los angeles;?
262;city;los angeles;?
12;name;chinois on main;chinois on main
13;name;citrus;citrus
582;addr;161 sutter st.;?
583;addr;1300 battery st.;?
151;type;international;?
152;type;californian;?
153;type;american;?
27;type;italian;?
28;type;italian;?
29;type;asian;?
573;name;buca giovanni;?
574;name;cafe adriano;?
575;name;cafe marimba;?
600;name;katia's;?
601;name;kuleto's;?
602;name;kyo-ya. sheraton palace hotel;?
603;name;l'osteria del forno;?
390;class;277;?
114;class;56;?
113;city;brooklyn;?
114;city;brooklyn;?
115;city;new york;new york city
328;addr;150 wooster st.  between houston and prince sts.;?
329;addr;45 mercer st.  between broome and grand sts.;?
330;addr;72 macdougal st.  between w. houston and bleecker sts.;?
331;addr;160 e. 48th st.;?
848;name;la taqueria;?
849;name;mario's bohemian cigar store cafe;?
313;phone;212/484-5120;?
314;phone;212/724-5846;?
315;phone;212/873-7411;?
605;addr;133 clement st.;?
606;addr;607 front st.;?
607;addr;3226 mission st.;?
312;city;new york;?
313;city;new york;?
439;addr;109 spring st.  between greene and mercer sts.;?
440;addr;1423 2nd ave.  between 74th and 75th sts.;?
593;addr;5322 geary blvd.;?
594;addr;2332 clement st.;?
599;class;486;?
600;class;487;?
601;class;488;?
602;class;489;?
547;phone;702/731-5311;?
548;phone;702/252-7777;?
549;phone;702/386-2512;?
550;phone;702/734-0410;?
424;phone;212/581-8030;?
425;phone;212/ 947-8482;?
426;phone;212/349-0923;?
427;phone;212/255-3996;?
358;class;245;?
359;class;246;?
360;class;247;?
358;addr;348 e. 62nd st.;?
359;addr;21 west 17th st.  between 5th and 6th aves.;?
360;addr;6 w. 24th st.;?
361;addr;54 pearl st. at broad st.;?
430;class;317;?
431;class;318;?
50;name;aquavit;aquavit
770;type;seafood;?
771;type;seafood;?
772;type;italian;?
430;type;italian;?
711;class;599;?
712;class;600;?
713;class;601;?
714;class;602;?
444;class;331;?
445;class;332;?
446;class;333;?
330;phone;212/505-0727;?
331;phone;212/371-2323;?
332;phone;212/333-7788;?
333;phone;212/956-7100;?
641;addr;427 battery st.;?
642;addr;1220 9th ave.;?
643;addr;1611 post st.;?
410;addr;2182 broadway  between 77th and 78th sts.;?
411;addr;446 columbus ave.  between 81st and 82nd sts.;?
70;city;new york city;?
71;city;new york;new york
72;city;new york city;?
733;phone;212-317-2802;?
734;phone;212-874-2780;?
735;phone;212-752-1495;?
736;phone;718-399-7100;?
105;type;french;?
494;city;atlanta;?
495;city;atlanta;?
496;city;atlanta;?
497;city;atlanta;?
610;phone;415/487-9800;?
191;name;aqua;?
192;name;aqua;?
184;class;91;91
55;addr;1 w. 67th st.;?
56;addr;1 w. 67th st.;?
57;addr;2450 broadway  between 90th and 91st sts.;?
58;addr;2450 broadway;?
709;type;noodle shops;?
710;type;hamburgers;?
711;type;diners;?
664;phone;310-208-4444;?
665;phone;310-475-0400;?
666;phone;213-933-0358;?
841;name;ebisu;?
235;name;canter's;?
236;name;cava;?
237;name;cha cha cha;?
494;addr;3195 roswell rd.;?
495;addr;3109 piedmont rd.  just south of peachtree rd.;?
536;type;italian;?
537;type;buffets;?
538;type;asian;?
539;type;italian;?
541;addr;128 fremont st.;?
542;addr;3400 las vegas blvd. s;?
543;addr;4111 boulder hwy.;?
414;phone;212/777-6314;?
415;phone;212/370-1866;?
416;phone;212/229-9313;?
749;class;637;?
750;class;638;?
751;class;639;?
755;class;643;?
756;class;644;?
757;class;645;?
758;class;646;?
131;class;65;?
132;class;65;?
474;class;361;?
475;class;362;?
293;class;180;?
3;addr;12224 ventura blvd.;?
4;addr;12224 ventura blvd.;?
5;addr;701 stone canyon rd.;701 stone canyon rd.
296;name;arturo's;?
73;city;new york;?
781;name;piero's restaurant;?
64;phone;212-288-0033;?
65;phone;212/355-7555;?
66;phone;212-355-7555;?
491;name;zoe;?
492;name;abbey;?
493;name;aleck's barbecue heaven;?
