riga;nome attributo;valore da imputare;valore imputato
194;Displacement;101.0;?
90;Model;72;?
144;Origin;US;?
391;Origin;Japan;?
257;Horsepower;110.0;?
168;Displacement;231.0;?
346;Horsepower;84.00;?
196;Car;Dodge Coronet Brougham;Buick Century Luxus (sw)
66;Displacement;97.50;?
250;Cylinders;4;?
303;Cylinders;4;?
171;Displacement;225.0;?
313;Car;Buick Skylark Limited;?
386;Weight;1970.;?
113;Displacement;360.0;?
182;Displacement;171.0;?
93;Weight;4100.;3821.
218;MPG;19.0;?
338;Model;80;?
367;Acceleration;20.4;?
316;Model;79;?
171;Model;75;?
186;Displacement;120.0;?
231;Model;77;?
224;Horsepower;68.00;?
19;Displacement;400.0;?
374;Car;Ford Grenada gl;?
282;Weight;2830.;?
120;Displacement;122.0;?
205;Cylinders;4;?
391;Displacement;108.0;?
47;Acceleration;11.5;?
401;Model;82;?
133;Weight;3102.;2914.
151;Car;Opel Manta;Fiat 124 Sport Coupe
169;Displacement;250.0;?
383;Origin;US;?
4;Acceleration;12.0;?
159;Displacement;79.00;?
110;Acceleration;21.0;?
77;Acceleration;13.5;?
27;Horsepower;87.00;?
256;Car;Honda Civic CVCC;?
225;Acceleration;14.8;?
2;Car;Buick Skylark 320;Ford Galaxie 500
69;Cylinders;4;?
54;MPG;22.0;?
145;MPG;13.0;?
42;Car;Plymouth Satellite Custom;Pontiac Ventura SJ
61;Origin;Japan;?
397;Acceleration;14.5;?
92;Displacement;97.00;?
384;Acceleration;15.3;?
231;Car;Dodge Monaco Brougham;Pontiac Firebird
373;Horsepower;105.0;?
79;Cylinders;3;?
26;Weight;1835.;?
329;Displacement;108.0;?
133;Origin;US;?
379;Cylinders;4;?
298;Model;79;?
32;Displacement;360.0;?
161;Model;75;?
140;Model;74;?
126;Weight;2158.;?
84;Model;72;?
189;Horsepower;53.00;?
84;Horsepower;112.0;?
74;Cylinders;8;?
6;Model;70;?
369;Cylinders;6;?
171;Cylinders;6;?
172;Acceleration;15.0;?
173;Cylinders;8;?
42;Model;71;?
145;Origin;US;?
4;Cylinders;8;?
86;Origin;Europe;?
311;MPG;31.8;?
328;Model;80;?
11;Car;Citroen DS-21 Pallas;Peugeot 505s Turbo Diesel
308;Displacement;260.0;?
9;MPG;14.0;?
112;Cylinders;8;?
205;Acceleration;14.2;?
383;Weight;3035.;?
349;Cylinders;6;?
40;MPG;0;?
103;Displacement;455.0;?
53;Displacement;258.0;?
373;Origin;US;?
125;Model;73;?
356;Acceleration;17.3;?
397;Origin;US;?
267;Car;Mercury Zephyr;Ford Pinto Runabout
179;Horsepower;96.00;?
274;Model;78;?
200;Displacement;250.0;?
79;Car;Mazda RX2 Coupe;Mazda 626
391;MPG;34.0;?
336;Car;Mercedes-Benz 240d;?
361;Model;81;?
292;Cylinders;6;?
394;MPG;38.0;?
250;Origin;Europe;?
187;Displacement;121.0;?
101;Displacement;318.0;?
86;Cylinders;4;?
32;Model;70;?
101;Acceleration;14.5;?
278;Model;78;?
250;Model;77;?
64;Weight;1955.;?
328;Displacement;119.0;?
340;Horsepower;62.00;?
16;Horsepower;170.0;0
271;Displacement;231.0;?
213;Acceleration;16.4;?
193;Acceleration;17.7;?
176;Weight;2639.;2451.
150;Horsepower;67.00;?
20;Displacement;455.0;?
367;Weight;3230.;?
23;Origin;US;?
284;Car;Saab 99gle;Dodge Colt Hardtop
252;Origin;Europe;?
46;Cylinders;8;?
302;Origin;Japan;?
336;Model;80;?
202;Horsepower;90.00;?
310;Car;Plymouth Horizon TC3;AMC Spirit DL
372;Car;Buick Century;?
166;Displacement;318.0;?
83;Horsepower;150.0;?
354;Car;Subaru;Volkswagen Dasher (diesel)
183;Weight;1937.;?
283;Cylinders;6;?
169;Origin;US;?
119;Acceleration;13.5;?
99;Car;Chevrolet Caprice Classic;?
255;Car;Datsun B210 GX;Honda Accord CVCC
65;Acceleration;15.5;?
284;Cylinders;4;?
364;Cylinders;4;?
18;MPG;0;?
378;Origin;US;?
339;Car;Subaru DL;?
123;Horsepower;145.0;?
59;Acceleration;19.5;?
96;Acceleration;14.5;?
164;Weight;4668.;?
294;Acceleration;13.4;?
66;Origin;US;?
200;MPG;22.0;?
12;MPG;0;?
316;Weight;2556.;?
96;Cylinders;8;?
43;Acceleration;15.5;?
255;Weight;2070.;?
169;Acceleration;18.5;?
224;MPG;31.5;?
68;Displacement;140.0;?
67;Model;72;?
98;MPG;12.0;?
356;Weight;2050.;1755.
295;Acceleration;13.2;?
94;Displacement;304.0;?
362;Acceleration;15.8;?
331;Weight;2800.;?
