riga;nome attributo;valore da imputare;valore imputato
953;Body_length;47;?
342;Fur_colour_dominant;brown/chocolate;?
829;Age_in_months;61;?
877;Fur_colour_dominant;seal;?
413;Age_in_months;53;?
893;Neutered_or_spayed;True;?
338;Neutered_or_spayed;True;?
467;Country;USA;?
803;Weight;5.38;?
53;Body_length;38;?
851;Body_length;40;?
308;Country;UK;?
990;Body_length;49;?
461;Fur_colour_dominant;black;?
46;Weight;3.4;?
722;Breed;Ragdoll;Angora
581;Country;USA;?
657;Age_in_months;57;?
122;Body_length;36;?
166;Fur_colour_dominant;white;?
1024;Weight;0.8;?
475;Fur_pattern;tabby;?
55;Fur_colour_dominant;white;?
687;Fur_colour_dominant;seal;?
450;Neutered_or_spayed;False;?
343;Fur_colour_dominant;black;?
403;Breed;Maine coon;Angora
377;Fur_pattern;tabby;?
45;Fur_colour_dominant;white;?
245;Fur_colour_dominant;white;?
278;Body_length;40;?
730;Breed;Ragdoll;Angora
721;Age_in_years;2.67;?
1057;Neutered_or_spayed;False;?
423;Allowed_outdoor;False;?
765;Fur_colour_dominant;red/cream;?
426;Age_in_years;4.92;?
678;Age_in_months;68;?
60;Body_length;36;?
530;Allowed_outdoor;False;?
672;Age_in_years;1.5;?
970;Fur_colour_dominant;red/cream;?
205;Neutered_or_spayed;True;?
919;Fur_colour_dominant;brown/chocolate;?
879;Breed;Ragdoll;Angora
370;Fur_pattern;solid;?
717;Fur_colour_dominant;seal;?
1052;Breed;Angora;Angora
53;Fur_pattern;tabby;?
978;Country;USA;?
241;Age_in_years;7.58;7.42
1004;Breed;Ragdoll;Angora
373;Neutered_or_spayed;False;?
547;Neutered_or_spayed;False;?
477;Fur_colour_dominant;red/cream;?
946;Age_in_years;8.17;?
814;Fur_colour_dominant;seal;?
865;Age_in_months;73;?
161;Allowed_outdoor;False;?
583;Allowed_outdoor;True;?
883;Fur_colour_dominant;brown/chocolate;?
781;Age_in_months;46;?
531;Age_in_years;7.67;?
542;Weight;10.4;?
747;Age_in_years;3.17;?
545;Breed;Maine coon;Angora
185;Neutered_or_spayed;True;?
176;Neutered_or_spayed;False;?
436;Fur_pattern;solid;?
513;Weight;7.0;?
752;Weight;7.78;?
742;Body_length;48;?
854;Age_in_months;70;?
903;Body_length;43;?
821;Fur_colour_dominant;seal;?
661;Fur_colour_dominant;seal;?
917;Fur_pattern;colorpoint;?
582;Fur_colour_dominant;black;?
718;Body_length;40;?
42;Weight;2.9;?
753;Country;USA;?
247;Neutered_or_spayed;True;?
891;Fur_colour_dominant;lilac;?
203;Allowed_outdoor;False;?
992;Fur_pattern;colorpoint;?
23;Breed;Angora;Angora
1065;Age_in_months;2;?
398;Breed;Maine coon;Angora
318;Neutered_or_spayed;False;?
52;Neutered_or_spayed;True;?
659;Allowed_outdoor;False;?
388;Body_length;75;?
60;Age_in_months;28;?
25;Body_length;39;?
393;Age_in_months;46;?
100;Body_length;35;?
535;Neutered_or_spayed;True;?
189;Age_in_months;84;?
346;Neutered_or_spayed;False;?
502;Fur_colour_dominant;black;?
565;Age_in_years;7.33;?
474;Allowed_outdoor;False;?
465;Fur_colour_dominant;red/cream;?
391;Breed;Maine coon;Angora
1045;Weight;0.8;?
878;Age_in_months;75;?
692;Body_length;27;?
858;Allowed_outdoor;False;?
431;Fur_pattern;tabby;?
574;Weight;8.3;?
709;Age_in_months;28;?
988;Allowed_outdoor;False;?
589;Fur_pattern;solid;?
67;Age_in_years;2.67;2.5
186;Breed;Angora;Angora
805;Fur_pattern;colorpoint;?
245;Age_in_years;7.33;7.17
537;Age_in_years;7.92;?
2;Age_in_years;0.33;0.25
165;Country;USA;?
416;Breed;Maine coon;Angora
550;Country;USA;?
796;Allowed_outdoor;False;?
190;Allowed_outdoor;False;?
936;Fur_colour_dominant;seal;?
998;Fur_colour_dominant;seal;?
283;Country;USA;?
419;Country;USA;?
489;Weight;9.4;?
53;Allowed_outdoor;False;?
14;Country;France;?
215;Country;USA;?
871;Breed;Ragdoll;Angora
541;Country;USA;?
648;Fur_colour_dominant;seal;?
754;Age_in_years;3.25;?
977;Breed;Ragdoll;Angora
1055;Fur_pattern;solid;?
132;Age_in_months;62;?
244;Weight;3.7;?
901;Weight;9.0;?
494;Country;Germany;?
963;Weight;6.79;?
529;Fur_colour_dominant;black;?
223;Breed;Angora;Angora
698;Neutered_or_spayed;True;?
623;Country;UK;?
952;Age_in_years;8.42;?
724;Fur_pattern;bicolor;?
290;Country;UK;?
136;Neutered_or_spayed;True;?
451;Age_in_years;5.58;?
923;Breed;Ragdoll;Angora
1057;Allowed_outdoor;False;?
648;Neutered_or_spayed;False;?
960;Country;USA;?
296;Weight;3.0;?
927;Fur_pattern;bicolor;?
106;Fur_colour_dominant;white;?
780;Weight;7.54;?
313;Allowed_outdoor;False;?
696;Body_length;23;?
514;Fur_pattern;solid;?
656;Age_in_years;1.17;?
308;Fur_colour_dominant;brown/chocolate;?
959;Weight;6.37;?
568;Neutered_or_spayed;True;?
247;Age_in_months;109;?
294;Neutered_or_spayed;False;?
106;Allowed_outdoor;False;?
309;Weight;3.9;?
210;Age_in_months;93;?
786;Country;USA;?
183;Fur_pattern;solid;?
373;Country;USA;?
387;Neutered_or_spayed;False;?
698;Fur_pattern;colorpoint;?
349;Fur_pattern;tabby;?
630;Age_in_years;1.5;?
844;Fur_colour_dominant;seal;?
527;Fur_pattern;solid;?
139;Fur_colour_dominant;white;?
473;Fur_colour_dominant;black;?
806;Body_length;46;?
121;Breed;Angora;Angora
650;Age_in_years;4.08;?
292;Body_length;38;?
915;Neutered_or_spayed;True;?
295;Weight;3.8;?
73;Country;USA;?
60;Allowed_outdoor;False;?
993;Fur_colour_dominant;brown/chocolate;?
693;Age_in_years;2.0;?
556;Age_in_years;8.67;?
803;Breed;Ragdoll;Angora
182;Breed;Angora;Angora
857;Neutered_or_spayed;True;?
352;Neutered_or_spayed;False;?
1020;Age_in_months;37;?
530;Country;USA;?
941;Country;USA;?
253;Weight;4.1;?
241;Body_length;36;?
594;Body_length;65;?
220;Allowed_outdoor;False;?
618;Country;UK;?
356;Country;UK;?
401;Neutered_or_spayed;True;?
958;Neutered_or_spayed;False;?
298;Country;UK;?
235;Age_in_years;7.17;7.0
98;Fur_colour_dominant;white;?
374;Weight;7.1;?
121;Body_length;37;?
470;Country;USA;?
51;Breed;Angora;Angora
752;Breed;Ragdoll;Angora
912;Age_in_months;91;?
381;Age_in_years;3.17;?
674;Age_in_months;41;?
376;Fur_pattern;solid;?
366;Age_in_months;31;?
682;Age_in_months;47;?
955;Age_in_months;102;?
206;Weight;3.1;?
1054;Breed;Angora;Angora
798;Weight;4.75;?
100;Age_in_years;4.08;4.0
111;Age_in_years;4.5;4.33
14;Fur_pattern;solid;?
