riga;nome attributo;valore da imputare;valore imputato
7357;AH;0.9697;?
1952;NOx(GT);27.0;?
3890;AH;1.9264;?
7891;PT08.S2(NMHC);1132.0;?
6198;PT08.S5(O3);1817.0;?
1721;PT08.S2(NMHC);1214.0;?
4278;PT08.S5(O3);926.0;?
3348;AH;0.9982;?
107;C6H6(GT);4.0;4.0
2931;PT08.S5(O3);647.0;?
4875;T;21.6;?
3327;AH;1.3714;?
5876;AH;0.8296;0.8298
4749;NO2(GT);145.0;?
5957;RH;55.2;?
5522;PT08.S1(CO);1664.0;?
8096;NMHC(GT);-200.0;?
8031;CO(GT);2.1;?
125;PT08.S4(NO2);1856.0;?
5870;T;6.7;?
6791;NOx(GT);157.0;?
4309;C6H6(GT);3.1;3.1
8113;NOx(GT);1061.0;?
2851;NMHC(GT);-200.0;?
3162;PT08.S1(CO);1245.0;?
805;NO2(GT);99.0;?
7791;PT08.S3(NOx);1163.0;?
7238;CO(GT);0.7;?
6813;RH;73.1;?
7094;PT08.S1(CO);820.0;?
3771;RH;41.8;?
7830;CO(GT);1.3;?
6692;PT08.S3(NOx);481.0;?
6381;T;13.7;?
6152;NMHC(GT);-200.0;?
2259;PT08.S1(CO);1048.0;?
8733;PT08.S2(NMHC);988.0;?
8416;NOx(GT);645.0;?
6096;CO(GT);7.5;?
5888;PT08.S4(NO2);1271.0;?
5615;PT08.S1(CO);1394.0;?
7495;RH;44.2;?
7033;PT08.S4(NO2);1370.0;?
4101;CO(GT);-200.0;?
153;T;14.1;?
1946;NOx(GT);89.0;?
2617;NO2(GT);110.0;?
5548;PT08.S3(NOx);748.0;?
5055;RH;62.4;?
7878;NO2(GT);137.0;?
4543;NOx(GT);339.0;?
4423;PT08.S5(O3);1081.0;?
3364;PT08.S1(CO);960.0;?
7514;T;7.8;?
7972;AH;0.3874;?
7289;RH;66.7;?
4612;CO(GT);1.5;?
1010;RH;33.7;?
1930;PT08.S4(NO2);1418.0;?
4584;PT08.S4(NO2);1660.0;?
6427;PT08.S2(NMHC);1144.0;?
5044;RH;57.9;?
5857;CO(GT);3.5;?
4546;NO2(GT);-200.0;?
4624;PT08.S3(NOx);806.0;?
8301;NMHC(GT);-200.0;?
90;PT08.S3(NOx);878.0;?
3144;PT08.S2(NMHC);1205.0;?
7979;PT08.S2(NMHC);624.0;?
5109;PT08.S5(O3);1062.0;?
927;PT08.S4(NO2);1459.0;?
3519;PT08.S5(O3);1607.0;?
6309;NOx(GT);346.0;?
3178;PT08.S4(NO2);1440.0;?
6152;C6H6(GT);8.2;8.2
5308;RH;57.6;?
764;AH;0.5955;?
3914;PT08.S1(CO);984.0;?
6596;PT08.S3(NOx);849.0;?
2506;PT08.S3(NOx);1170.0;?
7662;C6H6(GT);5.4;5.4
7978;PT08.S1(CO);914.0;?
8821;NOx(GT);55.0;?
628;NMHC(GT);178.0;?
6496;PT08.S4(NO2);2018.0;?
6187;PT08.S4(NO2);1831.0;?
768;PT08.S2(NMHC);672.0;?
1046;PT08.S5(O3);1541.0;?
3489;T;27.1;?
3995;RH;42.6;?
6321;PT08.S3(NOx);715.0;?
8647;T;6.8;?
137;PT08.S5(O3);1843.0;?
5984;NO2(GT);44.0;?
6295;RH;79.4;?
1583;NO2(GT);86.0;?
6037;NO2(GT);81.0;?
7998;C6H6(GT);2.4;2.4
5554;NO2(GT);-200.0;?
3181;PT08.S4(NO2);1634.0;?
2563;PT08.S3(NOx);808.0;?
6353;PT08.S1(CO);1312.0;?
7569;NMHC(GT);-200.0;?
8558;PT08.S5(O3);866.0;?
6088;CO(GT);5.9;?
94;PT08.S3(NOx);1081.0;?
1038;NOx(GT);-200.0;?
3348;NOx(GT);61.0;?
4154;AH;1.4616;?
6223;PT08.S1(CO);1311.0;?
7386;NO2(GT);191.0;?
8565;NMHC(GT);-200.0;?
6562;T;15.2;?
8429;RH;81.2;?
1710;NOx(GT);141.0;?
4061;NOx(GT);68.0;?
2730;PT08.S4(NO2);1745.0;?
818;AH;0.7815;?
6407;PT08.S2(NMHC);1291.0;?
1738;T;17.9;?
