riga;nome attributo;valore da imputare;valore imputato
2247;number;27.0;?
2131;team_name;NGM Forward Racing;?
1902;rider_name;Quartararo Fabio;Quartararo Fabio
2763;circuit_name;Rio Hondo;?
638;circuit_name;Silverstone;?
851;country;ES;ES
212;bike_name;Speed Up;?
952;team_name;Repsol Honda Team;?
2852;points;25;?
1473;shortname;NED;?
2014;rider_name;Lorenzo Jorge;?
821;shortname;JPN;?
2854;rider_name;Zarco Johann;?
1646;rider;1988;1988
2854;category;MotoGP;?
1421;country;ES;ES
1080;circuit_name;Ricardo Tormo;?
1581;rider;2080;2080
2741;number;11.0;?
908;rider;2553;2553
2861;rider_name;Bastianini Enea;Bastianini Enea
1489;team_name;LCR Honda MotoGP;?
2678;number;33.0;?
1337;rider_name;Rossi Valentino;Rossi Valentino
2205;team_name;Speed Up Racing;?
1598;bike_name;Honda;?
615;shortname;QAT;?
2222;country;ES;ES
1299;bike_name;Caterham Suter;?
2100;year;2016;?
1266;bike_name;Honda;?
1098;country;ES;ES
2859;bike_name;Suzuki;?
362;circuit_name;Ricardo Tormo;?
2718;points;20;?
1268;rider_name;Hofmann Alex;?
973;number;5.0;?
828;position;4;3
1719;points;13;?
2715;shortname;CZE;?
1700;number;75.0;?
1879;shortname;ARG;?
966;bike_name;Energica;?
2261;bike_name;Kalex;?
88;number;97.0;?
1528;bike_name;KTM;?
2610;rider;2037;2037
2804;year;2018;?
200;team_name;Ongetta-Rivacold;?
36;year;2018;?
1985;category;Moto3;?
429;rider;2218;2218
624;category;Moto3;?
1467;shortname;NED;?
2910;shortname;AME;?
1160;rider_name;Bezzecchi Marco;Bezzecchi Marco
939;rider_name;Marquez Marc;?
2374;rider_name;Barbera Hector;?
1630;country;IT;IT
1671;rider_name;Iannone Andrea;Iannone Andrea
1672;country;ES;ES
1701;rider;2064;2064
2706;country;AU;AU
390;bike_name;KTM;?
268;country;CZ;CZ
1305;shortname;FRA;?
1801;shortname;FRA;?
1124;points;16;?
182;year;2020;?
2360;country;US;FR
1130;number;4.0;?
99;number;25.0;44.0
1550;year;2008;?
642;category;125cc;125cc
2736;points;11;?
2173;country;IT;IT
2423;rider_name;Gibernau Sete;Gibernau Sete
277;position;3;2
46;bike_name;KTM;KTM
293;country;US;FR
1893;circuit_name;Mugello;?
2191;shortname;FRA;?
274;bike_name;Aprilia;?
2570;circuit_name;Le Mans;?
1134;shortname;CZE;?
50;shortname;VAL;VAL
1595;rider;2471;?
2459;team_name;San Carlo Honda Gresini;?
1459;number;30.0;?
1234;year;2007;?
1290;category;Moto3;?
2611;team_name;Ajo Interwetten;?
1498;year;2015;?
2545;circuit_name;Jerez;?
1377;position;3;5
2720;position;4;4
810;number;99.0;?
1984;position;1;2
1219;rider;1981;1981
2974;points;13;?
907;category;125cc;?
1927;country;CZ;CZ
1031;rider_name;Fenati Romano;Fenati Romano
489;category;MotoGP;?
2781;circuit_name;Catalunya;?
1683;bike_name;Honda;?
1248;points;25;?
2461;rider_name;Martin Jorge;Martin Jorge
420;rider_name;Binder Brad;Binder Brad
470;shortname;ARA;?
1496;shortname;NED;?
1420;points;11;?
442;category;MotoGP;?
439;rider_name;Nakagami Takaaki;Nakagami Takaaki
1116;shortname;STY;?
1327;number;79.0;?
2093;rider_name;Lorenzo Jorge;Lorenzo Jorge
775;points;25;?
2616;year;2021;?
502;year;2021;?
338;rider_name;Luthi Thomas;Luthi Thomas
2295;shortname;GER;?
2771;year;2014;?
2539;year;2013;?
2699;bike_name;Suzuki;?
256;rider;1981;1981
2530;points;25;?
1981;team_name;Avant-AirAsia-Ajo;?
1625;year;2021;?
495;country;ES;ES
604;circuit_name;Phillip Island;?
764;team_name;Fiat Yamaha Team;?
56;bike_name;Honda;?
2567;points;11;?
1267;team_name;Calvo Team;?
1908;points;16;?
756;circuit_name;Le Mans;?
985;position;5;4
1767;circuit_name;Sachsenring;?
402;category;Moto3;?
2857;circuit_name;Le Mans;?
2255;position;5;4
889;number;65.0;?
1831;team_name;Bancaja Aspar Team 125cc;?
2891;bike_name;Honda;?
219;country;ES;ES
1467;points;16;?
2503;category;MotoGP;?
2461;category;Moto2;?
2691;country;JP;JP
1015;team_name;Master - MVA Aspar Team;?
519;category;MotoGP;MotoGP
987;points;11;?
2589;position;4;4
2632;number;65.0;?
2397;rider_name;Koyama Tomoyoshi;Koyama Tomoyoshi
2411;position;1;2
291;rider_name;Quartararo Fabio;Quartararo Fabio
529;bike_name;KTM;?
2585;shortname;JPN;?
1356;year;2020;?
440;year;2018;?
2192;year;2009;?
2029;year;2006;?
596;team_name;Estrella Galicia 00;?
2757;shortname;AUT;?
1308;bike_name;KTM;?
939;rider;2293;?
1800;rider_name;Lorenzo Jorge;Lorenzo Jorge
2374;rider;2052;?
1043;shortname;EMI;?
204;number;75.0;?
1653;shortname;NED;?
1920;country;ES;ES
1902;circuit_name;Aragon;?
1463;country;IT;IT
427;category;Moto3;?
999;category;125cc;?
2566;shortname;SPA;?
1482;team_name;Bancaja Aspar Team 125cc;?
1079;position;2;3
2299;year;2006;?
644;position;3;2
2275;category;MotoGP;?
1281;shortname;FRA;?
924;bike_name;Aprilia;?
687;rider;2293;2293
1047;circuit_name;Motegi;?
163;rider_name;Elias Toni;Elias Toni
1090;category;125cc;?
2652;circuit_name;Le Mans;?
1902;shortname;ARA;?
1368;points;25;?
