riga;nome attributo;valore da imputare;valore imputato
1942;FilmID;tt0112792;?
1247;FilmID;tt0773318;?
1725;Film;Delirium;Delirium
3421;Votes;357;?
3253;Film;Feel the Noise;?
2257;Votes;6215;?
1994;Film;Hollywood Dirt;?
224;Actor;Karole Rocher;?
370;Actor;Dabney Coleman;?
1510;FilmID;tt0499549;?
2314;ActorID;nm0297578;?
3119;Votes;255;?
3708;Year;1999;?
3199;Year;1987;?
2143;Actor;Dev Patel;?
2725;Year;2003;?
1256;ActorID;nm0673824;nm0673824
3811;Film;Whiffs;?
527;Actor;Rip Torn;Rip Torn
3984;Film;Crank: High Voltage;?
2151;Actor;Robert Carradine;?
1641;Film;Philadelphia;?
1192;Film;The Misfits;?
1847;Rating;6.2;?
62;Rating;6.1;?
1044;ActorID;nm0644897;?
1441;Votes;2053;?
278;Actor;Jean Arthur;?
1445;Votes;11165;?
3314;FilmID;tt3385516;?
1182;FilmID;tt0256415;?
3722;FilmID;tt0201726;?
2043;Year;2013;?
3959;Actor;David Warner;David Warner
3096;Film;Phobia;?
179;ActorID;nm0464305;?
258;Rating;8.0;?
2003;FilmID;tt3317696;?
3104;FilmID;tt5113040;?
2589;ActorID;nm0000611;?
2221;Rating;6.9;6.9
3490;ActorID;nm3310211;?
2532;Rating;6.0;?
581;ActorID;nm0000068;nm0000068
3229;Year;1988;?
3278;Actor;Blythe Danner;?
633;FilmID;tt1509788;?
2383;Year;2010;?
1690;Actor;Raymond Burr;Raymond Burr
3873;Actor;Missi Pyle;?
319;Rating;5.6;?
1560;Rating;7.0;?
430;ActorID;nm0151668;?
197;Votes;4028;?
1100;Rating;7.2;7.2
1359;Rating;5.8;5.8
1348;Year;1965;?
3285;Votes;191301;191301
1571;Actor;Shirley Knight;?
1867;Rating;6.5;6.5
311;Film;Campus Code;?
3900;ActorID;nm0000521;?
2042;Votes;1127675;?
1661;Votes;1379;?
376;FilmID;tt0192023;?
331;Film;Floods of Fear;?
1148;ActorID;nm0198925;?
3375;FilmID;tt9694312;?
1209;Rating;6.3;?
386;Film;A Place Nearby;?
3240;Year;2018;?
2949;FilmID;tt2473682;?
1955;Actor;Pippa Haywood;?
1146;Actor;Richard Griffiths;Richard Griffiths
1770;Votes;26694;?
1969;Rating;5.2;?
1602;Year;1983;?
3305;Film;Trick or Treat;?
1516;FilmID;tt0065032;?
2496;FilmID;tt0348505;?
320;ActorID;nm2687923;?
316;ActorID;nm0000342;nm0000342
2795;Film;The Affairs of Cellini;?
259;Rating;5.3;?
2430;Rating;5.5;5.5
3415;Actor;Patsy Kensit;?
1240;FilmID;tt0216651;?
328;Rating;5.9;?
273;Votes;24570;?
3592;Film;Walk Softly Stranger;?
2647;FilmID;tt0258100;?
783;Film;The Guitar;?
1934;FilmID;tt0276437;?
1895;Actor;Henry Ian Cusick;Henry Ian Cusick
621;Rating;3.9;?
1561;FilmID;tt6113488;?
2416;Year;2016;2016
583;Actor;Oliver Stone;?
2621;Film;Hail Caesar!;?
2457;Rating;6.3;?
947;Rating;5.5;?
1313;FilmID;tt2087989;?
161;ActorID;nm0005169;nm0005169
524;ActorID;nm0063944;?
2627;Rating;6.1;?
3103;Rating;6.9;?
2686;Rating;5.1;?
3078;Actor;Taissa Farmiga;?
3917;Rating;6.9;7.2
