riga;nome attributo;valore da imputare;valore imputato
2357;height_cm;203.0;?
1024;League;Euroleague;FIBA-Europe-Cup
3188;height_cm;198.0;?
547;Season;2011 - 2012;1999 - 2000
2948;Team;DET;?
3008;League;NBA;Canadian-NBL
2490;Stage;Playoffs;?
305;high_school;Louisiana State University Laboratory School;Schenley High School
2218;nationality;Canada / Haiti;United States / Greece
235;Season;2017 - 2018;2017 - 2018
3138;birth_year;1998.0;?
1118;PTS;462;?
1580;birth_year;1966.0;1969.0
561;PTS;50;?
281;Player;Trent Plaisted;?
231;height_cm;191.0;?
177;Player;Brandon Jennings;?
1276;nationality;United States;United States / Greece
325;height_cm;216.0;?
1650;birth_year;1983.0;?
493;Player;Richard Jefferson;?
422;birth_year;1981.0;?
1718;Stage;Regular_Season;?
1486;high_school;Norcross High School;?
1794;draft_team;Houston Rockets;?
2433;Stage;Regular_Season;?
3020;nationality;United States;Australia
2012;Stage;Playoffs;?
2190;nationality;United States;United States
2269;Season;2002 - 2003;?
590;Stage;Regular_Season;?
1238;birth_year;1983.0;?
2440;high_school;Christian Brothers College High School;?
640;League;NBA;FIBA-Europe-Cup
2148;weight_kg;95.0;?
210;Stage;Regular_Season;?
1602;Season;2011 - 2012;?
1063;weight_kg;84.0;147.0
1824;nationality;United States;Australia
172;PTS;27;?
835;high_school;Huntington Prep;Pentecostal Christian Academy 
2358;nationality;United States;Australia
2384;draft_team;Boston Celtics;?
332;nationality;United States;South Sudan / Australia
625;high_school;Lanier High School;?
2033;League;Euroleague;Greek-HEBA-A1
2180;height_cm;201.0;?
468;height_cm;203.0;?
2248;Stage;International;?
630;Stage;Playoffs;?
1993;draft_team;Phoenix Suns;?
703;Stage;Regular_Season;?
1444;Team;ORL;?
1590;draft_team;Houston Rockets;?
2846;high_school;Latta High School;?
1573;PTS;17;?
1473;League;NBA;FIBA-Europe-Cup
430;draft_team;Cleveland Cavaliers;?
1408;birth_year;1980.0;?
639;Season;2012 - 2013;2018 - 2019
2103;Team;MIA;?
1499;Stage;International;?
2281;weight_kg;86.0;?
2460;birth_year;1988.0;?
732;Season;2016 - 2017;2017 - 2018
2393;height_cm;203.0;?
2080;Team;SAS;?
610;nationality;United States;United States / Venezuela
2399;Team;LAL;?
1962;nationality;United States;?
2336;Season;2011 - 2012;?
890;height_cm;193.0;?
806;high_school;St. Mark's High School;?
346;birth_year;1973.0;1972.0
367;PTS;428;?
3082;Stage;Playoffs;?
2825;Season;2012 - 2013;?
1398;draft_team;Memphis Grizzlies;?
2854;Team;CLE;?
2619;high_school;Quitman High School;?
3003;weight_kg;111.0;?
668;nationality;United States;United States / Greece
553;height_cm;201.0;?
3070;Player;Patty Mills;?
1397;birth_year;1982.0;?
1432;PTS;71;?
207;draft_team;Seattle SuperSonics;?
331;Team;SAC;?
1131;Player;Tommy Smith;?
742;Team;ATL;?
2325;League;Japanese-BLeague;Australian-NBL
2355;Player;Jordan Hill;?
2861;weight_kg;122.0;?
1532;nationality;United States;South Sudan / Australia
951;weight_kg;90.0;?
2202;PTS;342;?
2814;nationality;United States;Democratic Republic of the Congo
2465;weight_kg;85.0;?
603;weight_kg;95.0;?
292;draft_team;Los Angeles Lakers;?
296;high_school;Grand Ledge High School;?
1755;nationality;United States;United States / Greece
1211;Stage;Regular_Season;?
1757;Stage;Regular_Season;?
394;Stage;International;?
1084;draft_team;Charlotte Hornets;?
2997;Season;2016 - 2017;?
2543;Player;Olden Polynice;Olden Polynice
2885;birth_year;1974.0;?
2243;Stage;Playoffs;?
2110;high_school;Alief Elsik High School;?
1062;Player;Daequan Cook;?
2272;League;NBA;Eurocup
2440;draft_team;Philadelphia Sixers;?
1024;birth_year;1990.0;1969.0
2196;weight_kg;117.0;?
586;Season;2009 - 2010;1999 - 2000
1683;weight_kg;86.0;?
1050;high_school;Peekskill High School;Strake Jesuit College Preparatory
727;League;Italian-Lega-Basket-Serie-A;FIBA-Europe-Cup
3197;League;NBA;Japanese-BLeague
852;Stage;International;?
1298;height_cm;208.0;?
867;Season;2006 - 2007;2004 - 2005
355;weight_kg;84.0;147.0
2128;Stage;Regular_Season;?
2544;draft_team;Philadelphia Sixers;?
1059;birth_year;1991.0;?
345;birth_year;1986.0;?
1603;nationality;United States;Democratic Republic of the Congo
403;weight_kg;120.0;?
656;League;NBA;FIBA-Europe-Cup
1683;height_cm;206.0;?
267;birth_year;1977.0;?
1284;draft_team;Portland Trail Blazers;?
406;birth_year;1988.0;?
907;nationality;United States;South Sudan / Australia
847;League;NBA;FIBA-Europe-Cup
1709;draft_team;Denver Nuggets;?
883;birth_year;1981.0;?
871;birth_year;1994.0;?
2970;birth_year;1983.0;?
1169;draft_team;Washington Wizards;?
732;Team;CLE;?
1170;nationality;United States;Dominican Republic
754;height_cm;185.0;?
678;PTS;775;?
459;height_cm;211.0;221.0
1865;Player;Jarrett Jack;?
3176;Team;NJN;?
2954;Player;Scottie Pippen;?
1814;League;French-Jeep-Elite;Canadian-NBL
875;height_cm;206.0;229.0
1228;Player;J.R. Smith;?
1409;weight_kg;107.0;86.0
1581;birth_year;1977.0;?
2882;League;NBA;Bosnian-BiH-Liga
349;Stage;Regular_Season;?
994;Stage;Regular_Season;?
2577;Team;LAL;?
2132;height_cm;196.0;?
2825;high_school;South Oak Cliff High School;?
3197;Stage;Regular_Season;?
1775;League;NBA;Argentinian-Liga-A
1271;League;NBA;FIBA-Europe-Cup
2974;draft_team;San Antonio Spurs;?
1961;height_cm;193.0;?
3160;draft_team;Miami Heat;?
728;Team;ZCB;?
443;Team;DEN;?
3065;League;Spanish-ACB;Canadian-NBL
2306;nationality;United States;United States / Montenegro
1097;PTS;305;?
183;Player;Andrew Wiggins;Chauncey Billups
439;Team;ATL;?
663;draft_team;Charlotte Hornets;?
1513;Player;Ruben Patterson;?
882;League;NBA;Eurocup
1471;birth_year;1980.0;?
1533;Team;PAN;?
8;PTS;43;?
586;high_school;Bryan Adams High School;?
1144;nationality;United States;Dominican Republic
2741;PTS;436;?
888;PTS;460;?
751;Player;Draymond Green;Draymond Green
1999;nationality;United States;Australia
2003;Team;BER;?
1207;PTS;46;?
920;PTS;197;?
2185;weight_kg;100.0;?
2407;League;NBA;Canadian-NBL
1102;Season;2012 - 2013;2017 - 2018
302;high_school;Grant High School;?
1327;draft_team;Boston Celtics;?
955;Season;2000 - 2001;2005 - 2006
1967;Player;Livio Jean-Charles;?
2552;Season;2018 - 2019;?
915;high_school;Woodbridge High School;?
1460;height_cm;206.0;198.0
313;draft_team;San Antonio Spurs;?
1302;Stage;Regular_Season;?
465;draft_team;Phoenix Suns;?
1496;Team;SAS;?
905;Season;2009 - 2010;2017 - 2018
289;Player;Robert Horry;?
2034;Stage;International;?
52;birth_year;1984.0;?
2676;Team;ATL;?
370;draft_team;Charlotte Hornets;?
2216;nationality;United States;Australia
2640;Stage;Regular_Season;?
1156;Team;MEM;?
1627;birth_year;1972.0;?
2714;Season;2014 - 2015;?
652;Player;Jason Smith;Marcus Thornton
2923;draft_team;Denver Nuggets;?
1461;Stage;Regular_Season;?
552;weight_kg;95.0;?
1787;Player;Taj Gibson;?
37;PTS;204;1409
1106;PTS;95;?
3024;Stage;Playoffs;?
848;birth_year;1991.0;?
248;Team;DAL;?
189;draft_team;Minnesota Timberwolves;?
1215;nationality;United States;United States / Philippines
669;weight_kg;102.0;?
1712;height_cm;201.0;?
3167;high_school;Christ School;?
2437;Stage;Regular_Season;?
3012;high_school;Maine Central Institute;?
3055;nationality;United States;Australia
1352;birth_year;1988.0;?
349;League;NBA;?
2521;height_cm;201.0;?
1973;Stage;International;?
3060;PTS;653;?
2908;high_school;Blair Academy;?
609;weight_kg;100.0;147.0
2829;height_cm;188.0;206.0
3059;Player;Carmelo Anthony;?
2885;height_cm;211.0;?
1029;Player;Theo Ratliff;Theo Ratliff
923;Season;2019 - 2020;2000 - 2001
911;Team;HOU;?
508;high_school;Bremerton High School;?
525;League;Turkish-BSL;NBA
747;weight_kg;84.0;86.0
325;Stage;International;?
3048;birth_year;1992.0;1994.0
832;high_school;Maine Central Institute;?
402;draft_team;Washington Wizards;?
1715;League;NBA;Argentinian-Liga-A
1957;Stage;Playoffs;?
509;weight_kg;86.0;?
2768;birth_year;1975.0;?
729;Season;2010 - 2011;1999 - 2000
1846;Season;2004 - 2005;1999 - 2000
1859;high_school;Lake Howell High School;?
2877;Season;2009 - 2010;?
2323;League;German-BBL;Canadian-NBL
687;nationality;United States;United States / Greece
2156;birth_year;1979.0;?
916;PTS;1186;?
141;Player;James Harden;?
968;Player;Willie Warren;?
457;Team;PAN;?
1877;Team;MIN;?
1292;height_cm;203.0;206.0
2770;height_cm;198.0;?
854;Season;1999 - 2000;2004 - 2005
1118;Player;Jason Collins;?
3179;Stage;International;?
635;weight_kg;86.0;131.0
1551;height_cm;211.0;?
2529;birth_year;1967.0;?
2253;nationality;United States;Australia
1481;PTS;765;?
819;Player;Andy Rautins;?
2849;Team;IND;?
480;draft_team;Minnesota Timberwolves;?
751;nationality;United States;United States / Greece
2484;PTS;138;?
1192;Season;2016 - 2017;1999 - 2000
1399;Stage;International;?
2375;League;NBA;Canadian-NBL
2499;weight_kg;107.0;?
2211;Team;SSS;?
632;weight_kg;109.0;107.0
2771;Season;2007 - 2008;?
3052;Stage;Playoffs;?
2622;nationality;United States;Australia
933;Team;TOR;?
1366;Player;Raymond Felton;?
785;draft_team;Orlando Magic;?
1674;birth_year;1979.0;?
281;Team;RUL;?
2307;height_cm;206.0;?
2228;Stage;Regular_Season;?
2859;birth_year;1984.0;?
2658;weight_kg;104.0;?
1068;League;NBA;Argentinian-Liga-A
2529;high_school;Northern High School;?
1670;PTS;323;987
123;nationality;United States;United States / Greece
1286;draft_team;Detroit Pistons;?
291;Player;Craig Brackins;?
1813;Stage;Regular_Season;?
237;Team;SAC;?
2724;high_school;John Muir High School;?
