riga;nome attributo;valore da imputare;valore imputato
54;Country;Mexico;?
519;Country;Germany;Germany
724;Country;USA;?
249;Country;USA;USA
694;Country;United Kingdom;United Kingdom
161;Country;Vietnam;Vietnam
147;Country;USA;Argentina
163;Country;Chile;Chile
165;Country;China;?
533;Country;Jordan;?
403;Country;China;?
588;Country;Japan;Japan
196;Country;Zimbabwe;Zimbabwe
592;Country;Mozambique;?
709;Country;Canada;Canada
261;Country;Morocco;?
805;Country;China;China
852;Country;Canada;Canada
338;Country;Chile;?
199;Country;Brazil;?
393;Country;Denmark;Denmark
634;Country;Spain;United Kingdom
487;Country;Taiwan;?
786;Country;USA;USA
374;Country;Indonesia;?
822;Country;Canada;Canada
818;Country;Russian Federation;Russian Federation
638;Country;USA;USA
162;Country;Canada;Canada
355;Country;Saudi Arabia;?
859;Country;Bermuda;?
100;Country;Egypt;?
501;Country;Mexico;?
360;Country;USA;USA
76;Country;USA;USA
211;Country;Czech Republic;?
88;Country;Fiji;Fiji
710;Country;Iraq;?
170;Country;Philippines;Philippines
879;Country;Lebanon;?
391;Country;Netherlands;Netherlands
389;Country;USA;?
227;Country;Australia;Australia
469;Country;Oman;?
705;Country;Saudi Arabia;Saudi Arabia
632;Country;USA;USA
562;Country;USA;?
308;Country;China;?
7;Country;Indonesia;Indonesia
12;Country;Turkey;Turkey
252;Country;Cyprus;Cyprus
53;Country;USA;?
29;Country;USA;USA
728;Country;USA;?
493;Country;USA;USA
490;Country;China;China
171;Country;United Arab Emirates;United Arab Emirates
90;Country;China;China
454;Country;Australia;Australia
506;Country;Norway;?
18;Country;Germany;Germany
140;Country;USA;Argentina
762;Country;Chile;?
742;Country;Greece;Greece
253;Country;Tanzania United Republic of;Tanzania United Republic of
290;Country;USA;USA
2;Country;Ireland;Finland
300;Country;USA;USA
759;Country;Gabon;?
847;Country;USA;USA
24;Country;Turkey;?
544;Country;Nigeria;Nigeria
255;Country;United Arab Emirates;United Arab Emirates
420;Country;Namibia;?
102;Country;USA;?
394;Country;Germany;?
481;Country;Belgium;Belgium
237;Country;Sudan;?
505;Country;USA;?
302;Customer_Name;Lion Air;?
190;Customer_Name;Air Gabon;?
513;Customer_Name;Republic of Iraq;?
36;Customer_Name;Azerbaijan Airlines;?
259;Customer_Name;easyJet;?
268;Customer_Name;Sky Airlines;?
31;Customer_Name;Tanzania;?
625;Customer_Name;Socialist Republic of Romania;?
719;Customer_Name;British Airways;?
890;Customer_Name;AMC Airlines;?
205;Customer_Name;Avianca El Salvador;?
174;Customer_Name;Northwest-Merged w Delta;?
491;Customer_Name;Unidentified Customer(s);?
453;Customer_Name;China Eastern Airlines;?
565;Customer_Name;BDS Japan International Tanker;?
203;Customer_Name;TAROM Romanian Air Transport;?
208;Customer_Name;Sberbank Leasing;?
405;Customer_Name;buzz;?
735;Customer_Name;Silk Way Airlines;?
286;Customer_Name;easyJet;?
295;Customer_Name;AirBridgeCargo Airlines;?
347;Customer_Name;SMBC Aviation Capital;?
523;Customer_Name;All Nippon Airways Co. Ltd.;?
356;Customer_Name;PLUNA;?
841;Customer_Name;Aeroflot - Russian Airlines;?
217;Customer_Name;Lufthansa;?
149;Customer_Name;Nok Air;?
229;Customer_Name;Bank of Communications Leasing;?
747;Customer_Name;North Central Airlines;?
840;Customer_Name;Avolon - Ireland;?
611;Customer_Name;TunisAir;?
225;Customer_Name;GATX Financial Corporation;?
833;Customer_Name;TUI Travel PLC;?
425;Customer_Name;AVENSA;?
41;Customer_Name;Air Lease Corporation;?
526;Customer_Name;Aer Lingus;?
702;Customer_Name;Emirates;?
56;Customer_Name;Azerbaijan Airlines;?
872;Customer_Name;AirTran Airways (Merged with S;?
758;Customer_Name;British Caledonian Airways;?
610;Customer_Name;Turkmenhowayollary Agency;?
389;Customer_Name;American Flyers Airlines;?
3;Customer_Name;KLM Royal Dutch Airlines;?
602;Customer_Name;Republic of France;?
57;Customer_Name;Goiania;?
58;Customer_Name;Iberia Airlines;?
421;Customer_Name;ALAFCO;?
736;Customer_Name;China Eastern Airlines Wuhan;?
451;Customer_Name;Nordair;?
740;Customer_Name;Pacific Western Airlines;?
415;Customer_Name;Transavia Company SAS;?
128;Customer_Name;Mauritania Airlines;?
707;Customer_Name;BDS Indian Navy P-8I;?
85;Customer_Name;Tassili Airlines;?
188;Customer_Name;NASA;?
55;Customer_Name;GOL Linhas Aereas;?
273;Customer_Name;Cameroon Airlines;?
882;Customer_Name;SpiceJet;?
724;Customer_Name;Tigerair;?
23;Customer_Name;Swissair;?
470;Customer_Name;Air Madagascar;?
15;Customer_Name;U.S. Air Force;?
141;Customer_Name;Chilean Air Force Mission;?
566;Customer_Name;Tracinda Corp.;?
424;Customer_Name;AIR ITALY S.p.A.;?
793;Customer_Name;Pacific Air Lines;?
734;Customer_Name;Monarch Airlines;?
488;Customer_Name;Japan Airlines;?
285;Customer_Name;Turkish Air Force Peace Eagle;?
653;Customer_Name;Security Pacific EuroFinance;?
587;Customer_Name;Ghana Airways;?
87;Customer_Name;CSA;?
615;Customer_Name;Qatar Airways;?
380;Customer_Name;Norwegian Air Shuttle;?
235;Delivery_Year_;1967;1965
865;Delivery_Year_;2009;2012
870;Delivery_Year_;1983;?
322;Delivery_Year_;2017;2016
329;Delivery_Year_;2014;2015
682;Delivery_Year_;1971;?
540;Delivery_Year_;1967;?
330;Delivery_Year_;2022;2019
94;Delivery_Year_;1981;?
85;Delivery_Year_;2011;?
290;Delivery_Year_;1981;1982
400;Delivery_Year_;1969;1970
872;Delivery_Year_;2006;?
798;Delivery_Year_;1967;1968
161;Delivery_Year_;2004;?
686;Delivery_Year_;2015;?
131;Delivery_Year_;1988;?
566;Delivery_Year_;1968;?
542;Delivery_Year_;1993;1991
556;Delivery_Year_;2014;?
37;Delivery_Year_;1985;?
354;Delivery_Year_;1968;?
104;Delivery_Year_;2000;2001
41;Delivery_Year_;2017;2021
78;Delivery_Year_;2021;?
357;Delivery_Year_;2008;?
375;Delivery_Year_;1991;1992
808;Delivery_Year_;1999;?
495;Delivery_Year_;1966;?
475;Delivery_Year_;1991;?
635;Delivery_Year_;2011;?
507;Delivery_Year_;2000;2002
779;Delivery_Year_;2013;?
332;Delivery_Year_;2005;?
743;Delivery_Year_;2012;2015
477;Delivery_Year_;1987;?
775;Delivery_Year_;2017;2018
243;Delivery_Year_;1973;?
737;Delivery_Year_;2019;?
633;Delivery_Year_;1977;?
760;Delivery_Year_;2003;2004
692;Delivery_Year_;1966;?
114;Delivery_Year_;2007;2008
752;Delivery_Year_;2013;2012
508;Delivery_Year_;1969;?
132;Delivery_Year_;1991;?
691;Delivery_Year_;1975;?
553;Delivery_Year_;1967;?
516;Delivery_Year_;2017;2017
259;Delivery_Year_;2002;?
280;Delivery_Year_;2003;2005
388;Delivery_Year_;1988;?
596;Delivery_Year_;2018;?
738;Delivery_Year_;1981;?
207;Delivery_Year_;1967;?
366;Delivery_Year_;1995;?
50;Delivery_Year_;1997;1996
232;Delivery_Year_;2015;2016
423;Delivery_Year_;1989;1991
876;Delivery_Year_;1973;?
676;Delivery_Year_;1985;?
765;Delivery_Year_;1971;?
402;Delivery_Year_;1987;?
489;Delivery_Year_;1979;1978
701;Delivery_Year_;2006;?
479;Delivery_Year_;2010;?
860;Delivery_Year_;1981;?
10;Delivery_Year_;1996;1994
662;Delivery_Year_;1978;1977
23;Delivery_Year_;1968;1965
396;Delivery_Year_;1963;1964
525;Delivery_Year_;1973;1973
257;Delivery_Year_;1991;1990
725;Delivery_Year_;2016;?
693;Delivery_Year_;1999;?
293;Delivery_Year_;2013;?
548;Delivery_Year_;1991;?
428;Delivery_Year_;2013;?
100;Delivery_Year_;1984;?
626;Delivery_Year_;1974;?
772;Delivery_Year_;2016;2017
294;Delivery_Year_;2015;2016
584;Delivery_Year_;1992;?
723;Delivery_Year_;1985;?
455;Delivery_Year_;2016;2017
634;Delivery_Year_;2011;?
608;Delivery_Year_;1970;?
8;Delivery_Year_;2002;2002
117;Delivery_Year_;1986;?
298;Delivery_Year_;1960;?
415;Engine;CF;?
738;Engine;GE;?
679;Engine;PW;?
791;Engine;PW;?
525;Engine;PW;?
431;Engine;PW;?
874;Engine;CF;?
126;Engine;PW;CF
288;Engine;CF;?
18;Engine;PW;PW
350;Engine;PW;?
387;Engine;CF;?
789;Engine;PW;?
725;Engine;CF;?
85;Engine;CF;PW
632;Engine;PW;PW
253;Engine;PW;PW
247;Engine;GE;GE
280;Engine;GE;?
346;Engine;CF;CF
572;Engine;PW;?
776;Engine;CF;CF
784;Engine;GE;?
794;Engine;GE;?
770;Engine;GE;?
476;Engine;CF;CF
376;Engine;PW;?
600;Engine;CF;?
673;Engine;PW;PW
230;Engine;PW;?
51;Engine;PW;GE
796;Engine;CF;?
633;Engine;PW;?
746;Engine;CF;?
763;Engine;GE;GE
29;Engine;CF;CF
482;Engine;CF;CF
507;Engine;CF;CF
262;Engine;RR;?
308;Engine;RR;?
88;Engine;CF;CF
729;Engine;PW;?
256;Engine;CF;CF
520;Engine;GE;?
108;Engine;GE;GE
752;Engine;CF;CF
521;Engine;PW;?
55;Engine;CF;CF
464;Engine;GE;?
264;Engine;GE;?
568;Engine;CF;CF
293;Engine;CF;?
504;Engine;PW;?
38;Engine;PW;PW
418;Engine;GE;?
857;Engine;PW;?
547;Engine;RR;?
767;Engine;RR;?
730;Engine;CF;?
806;Engine;CF;?
782;Engine;RR;RR
74;Engine;PW;PW
824;Engine;PW;?
99;Engine;RR;RR
492;Engine;RR;?
102;Engine;PW;?
756;Engine;PW;?
597;Engine;PW;?
541;Engine;CF;?
505;Engine;PW;?
785;Engine;PW;?
223;Engine;PW;PW
340;Engine;RR;?
365;Engine;PW;?
283;Engine;PW;?
604;Engine;CF;?
736;Engine;CF;?
758;Engine;GE;?
660;Engine;CF;?
201;Engine;GE;GE
332;Engine;CF;?
119;Engine;GE;?
638;Engine;PW;?
188;Model_Series;737-100;?
