riga;nome attributo;valore da imputare;valore imputato
228;Origin;Japan;?
386;Car;Mazda GLC Custom;?
80;Acceleration;12.5;11.5
393;Weight;1965.;?
207;Displacement;225.0;?
192;Car;Capri ii;?
361;Car;Volkswagen Jetta;?
372;Displacement;231.0;?
47;Horsepower;175.0;?
361;Model;81;?
79;Cylinders;3;6
335;Model;80;?
36;Acceleration;14.5;8.5
162;Origin;US;?
357;Weight;1985.;?
239;Origin;US;US
394;Origin;Japan;?
371;Horsepower;120.0;?
251;Weight;2720.;?
31;Car;AMC Gremlin;Plymouth Duster
48;MPG;14.0;0
143;Car;Plymouth Satellite Sebring;?
249;Model;77;?
79;Displacement;70.00;250.0
123;Displacement;350.0;454.0
10;MPG;15.0;?
139;Acceleration;21.0;13.5
19;Model;70;73
202;Weight;3085.;?
297;MPG;16.9;?
67;Acceleration;23.5;14.5
129;Model;73;?
128;Car;Volvo 144ea;?
285;Weight;3410.;?
104;Model;73;?
236;Model;77;?
102;Displacement;440.0;400.0
307;Displacement;141.0;?
257;MPG;19.9;?
148;Model;74;?
250;Car;BMW 320i;?
293;Weight;3840.;?
30;Origin;Europe;Europe
289;Car;Mercury Zephyr 6;?
214;Model;76;?
171;MPG;18.0;?
230;Origin;US;?
142;Origin;US;Europe
392;Origin;Japan;Europe
205;Horsepower;70.00;?
327;Acceleration;17.5;17.0
380;Car;Dodge Aries SE;?
395;Displacement;181.0;?
145;Weight;4699.;?
318;Acceleration;18.8;20.0
184;Weight;3211.;3193.
231;Origin;US;US
156;Displacement;116.0;?
125;Cylinders;4;3
319;Origin;US;?
174;Acceleration;12.0;11.5
381;Displacement;151.0;?
150;Horsepower;67.00;?
99;Model;73;?
126;Horsepower;75.00;?
203;Acceleration;22.2;?
63;Model;71;?
188;Origin;Europe;?
340;Model;80;?
124;Cylinders;8;?
327;Origin;Japan;?
273;Car;Dodge Magnum XE;?
174;Displacement;302.0;?
324;Origin;US;?
348;Horsepower;92.00;?
383;Model;82;?
166;Acceleration;14.5;13.0
84;Displacement;121.0;?
276;Horsepower;97.00;?
57;Origin;US;Europe
138;Car;Ford Pinto;?
173;Weight;3221.;?
399;Model;82;?
313;MPG;28.4;0
254;Horsepower;52.00;?
340;Origin;Europe;?
355;Origin;Japan;Europe
183;Acceleration;14.0;12.2
107;Model;73;?
238;Origin;US;Europe
16;Horsepower;170.0;?
38;Acceleration;14.0;?
252;Horsepower;48.00;?
314;Displacement;173.0;?
362;Model;81;?
260;Model;78;?
166;Weight;4498.;?
170;Horsepower;110.0;?
36;Weight;2130.;2278.
61;Model;71;?
337;Car;Honda Civic 1500 gl;?
9;Model;70;?
379;Car;Pontiac J2000 SE Hatchback;?
269;MPG;18.1;15.0
310;Displacement;105.0;?
127;Weight;2582.;?
25;Cylinders;4;8
174;MPG;13.0;15.0
242;Origin;US;?
366;Displacement;120.0;?
403;Cylinders;4;8
318;Model;80;?
226;Horsepower;58.00;?
397;Displacement;156.0;?
105;MPG;18.0;?
112;Horsepower;167.0;?
399;Horsepower;96.00;?
260;Displacement;231.0;?
406;Car;Chevy S-10;?
98;Horsepower;198.0;225.0
298;Cylinders;8;8
403;MPG;44.0;27.0
318;Displacement;89.00;?
45;Origin;US;US
298;MPG;15.5;?
101;Horsepower;150.0;?
57;Acceleration;14.0;14.0
178;Acceleration;18.5;?
115;Horsepower;100.0;?
66;Car;Dodge Colt Hardtop;?
352;Origin;US;?
164;Acceleration;11.5;10.0
266;Horsepower;105.0;90.00
372;Cylinders;6;6
232;Horsepower;130.0;?
324;Acceleration;18.7;17.7
272;Acceleration;11.2;9.0
265;Model;78;?
189;Cylinders;4;?
372;MPG;22.4;?
293;Car;Chevrolet Caprice Classic;?
275;Origin;Japan;?
158;Weight;2391.;?
21;Horsepower;95.00;?
392;Car;Honda Civic;?
237;Acceleration;11.1;11.4
312;Displacement;91.00;?
134;Origin;US;US
261;Weight;3155.;?
217;Horsepower;88.00;?
182;MPG;18.0;?
85;Horsepower;76.00;95.00
197;Weight;3962.;?
323;MPG;24.3;?
34;MPG;11.0;18.0
406;Origin;US;?
340;Weight;1845.;?
401;Origin;US;?
349;Origin;US;Japan
30;Car;BMW 2002;?
349;Cylinders;6;6
13;Cylinders;8;8
228;Weight;1945.;?
74;Weight;3672.;?
42;Acceleration;15.5;11.5
380;Acceleration;16.0;?
51;Horsepower;170.0;180.0
63;Acceleration;19.0;?
160;Horsepower;95.00;?
272;MPG;18.1;17.5
19;Acceleration;9.5;13.0
39;Cylinders;4;8
403;Acceleration;24.6;13.5
305;Car;Mercedes Benz 300d;?
338;Car;Renault Lecar Deluxe;?
208;Displacement;250.0;?
135;Acceleration;16.0;24.8
301;Model;79;?
258;Origin;US;?
63;Weight;1834.;?
295;Displacement;351.0;?
31;Displacement;199.0;198.0
64;Weight;1955.;?
32;Model;70;?
164;Weight;4668.;?
173;Horsepower;110.0;?
146;MPG;14.0;0
50;Model;71;?
306;Acceleration;17.4;21.9
314;Weight;2595.;?
102;Weight;4735.;?
396;Model;82;?
113;Origin;US;?
185;Horsepower;95.00;0
56;MPG;18.0;18.0
87;Origin;Europe;Japan
28;Acceleration;14.5;20.5
127;Cylinders;4;?
347;Car;Buick Skylark;?
374;Acceleration;17.1;?
15;Cylinders;8;5
223;Origin;US;?
402;Origin;US;?
137;Model;74;?
150;Weight;1963.;?
57;Cylinders;4;8
185;MPG;23.0;0
193;Displacement;98.00;?
10;Cylinders;8;?
135;Car;AMC Hornet;?
295;MPG;16.5;?
223;Displacement;318.0;?
227;Car;Plymouth Arrow GS;?
248;Displacement;97.00;?
252;Model;78;?
316;Model;79;?
1;Weight;3504.;4376.
259;Horsepower;139.0;?
342;Weight;2420.;?
208;Acceleration;21.0;19.5
96;MPG;14.0;0
377;Horsepower;88.00;?
307;Origin;Europe;?
319;Model;80;?
337;Cylinders;4;8
246;Cylinders;4;8
238;Car;Chevrolet Monte Carlo Landau;?
325;Origin;Europe;?
270;MPG;19.2;15.0
201;Weight;3012.;?
257;Displacement;260.0;?
404;Horsepower;84.00;?
313;Cylinders;4;8
377;Cylinders;4;3
167;Horsepower;148.0;158.0
267;MPG;20.8;18.0
159;Model;74;?
336;Cylinders;4;?
100;Model;73;?
63;Cylinders;4;8
224;MPG;31.5;39.4
84;Model;72;?
354;Displacement;97.00;?
209;MPG;18.5;0
15;Displacement;360.0;198.0
41;Horsepower;100.0;?
152;Car;Toyota Corolla;?
379;Cylinders;4;?
64;Cylinders;4;?
85;Displacement;121.0;?
312;Horsepower;69.00;88.00
350;Car;Plymouth Reliant;?
22;MPG;22.0;18.0
259;Weight;3570.;?
33;MPG;10.0;18.0
76;Weight;4502.;?
47;Displacement;400.0;429.0
67;Origin;Europe;Japan
126;Acceleration;15.5;?
248;MPG;30.5;26.0
175;Weight;2171.;?
330;Origin;Japan;Europe
302;Weight;1975.;?
218;Car;Toyota Mark II;?
78;Acceleration;12.5;?
195;Horsepower;140.0;165.0
94;Horsepower;150.0;?
171;Displacement;225.0;?
68;Acceleration;19.5;16.5
402;Cylinders;4;4
189;Model;75;?
329;Displacement;108.0;?
106;Horsepower;100.0;?
171;Car;Plymouth Fury;?
292;Horsepower;110.0;?
125;MPG;29.0;30.0
326;Weight;2711.;?
170;MPG;15.0;?
281;Car;Datsun 200-SX;?
96;Cylinders;8;?
269;Car;AMC Concord d/l;?
391;Displacement;108.0;?
218;Acceleration;15.5;11.5
310;Model;79;?
226;Car;Renault 5 GTL;?
122;Cylinders;4;8
148;Cylinders;8;8
9;Displacement;455.0;454.0
272;Cylinders;8;8
298;Model;79;?
261;Model;78;?
110;Model;73;?
283;Origin;Europe;?
324;Model;80;?
149;Cylinders;4;8
27;Model;70;?
189;Horsepower;53.00;?
345;Model;80;?
82;Cylinders;8;6
54;Weight;2408.;?
232;Model;77;?
205;MPG;29.0;?
254;Cylinders;4;4
23;MPG;18.0;18.0
101;Model;73;?
276;Weight;2300.;?
281;Displacement;119.0;?
81;MPG;13.0;14.0
79;Acceleration;13.5;?
233;Cylinders;6;?
6;Acceleration;10.0;11.5
1;Horsepower;130.0;?
11;Cylinders;4;6
16;Displacement;383.0;429.0
152;Cylinders;4;4
326;MPG;29.8;?
197;Origin;US;?
169;Car;Chevrolete Chevelle Malibu;?
91;Weight;2164.;?
104;Horsepower;175.0;120.0
75;Horsepower;208.0;?
28;Weight;2430.;?
134;Cylinders;6;6
20;MPG;14.0;14.0
328;MPG;37.0;?
26;MPG;26.0;32.0
276;Car;Datsun 510;?
390;Acceleration;14.5;?
46;MPG;14.0;25.0
36;Cylinders;4;8
86;Model;72;75
6;Displacement;429.0;429.0
206;Car;Honda Civic;?
156;Origin;Europe;Europe
329;Car;Toyota Corolla;?
111;Origin;US;US
10;Origin;US;US
223;Cylinders;8;8
19;Origin;US;US
291;Cylinders;6;8
85;Acceleration;18.0;15.1
134;Displacement;200.0;200.0
43;MPG;17.0;0
180;Origin;Europe;Japan
262;Acceleration;15.8;16.7
200;Displacement;250.0;?
360;Model;81;?
342;Cylinders;3;6
27;Horsepower;87.00;0
299;Acceleration;15.0;9.0
401;Weight;2950.;2605.
315;Cylinders;6;5
53;MPG;18.0;18.0
389;Car;Nissan Stanza XE;?
351;Acceleration;16.9;?
368;Model;81;?
163;Displacement;250.0;?
63;Horsepower;60.00;115.0
215;Car;Volvo 245;Volvo 244DL
160;Model;75;?
197;Cylinders;8;6
184;Model;75;?
287;Acceleration;16.6;13.5
103;Cylinders;8;5
274;Car;Chevrolet Chevette;?
236;Car;Ford Grenada;?
107;MPG;18.0;18.0
241;Weight;1940.;?
210;Model;76;?
232;Origin;US;?
175;MPG;29.0;24.0
358;Car;Plymouth Horizon 4;?
142;Cylinders;6;8
152;Displacement;76.00;?
398;Acceleration;14.7;?
40;Displacement;97.00;?
146;Acceleration;13.5;11.5
277;Horsepower;75.00;?
309;Cylinders;4;?
