riga;nome attributo;valore da imputare;valore imputato
8385;NMHC(GT);-200.0;?
250;NOx(GT);-200.0;-200.0
2601;T;25.2;?
4342;NMHC(GT);-200.0;?
7819;AH;0.3488;?
157;PT08.S4(NO2);1289.0;?
7011;NOx(GT);263.0;?
2425;T;-200.0;-200.0
2263;RH;45.2;?
6548;AH;1.0562;?
8858;CO(GT);6.5;?
3610;NO2(GT);-200.0;?
6339;PT08.S1(CO);1114.0;?
1097;AH;0.7236;?
3942;PT08.S1(CO);904.0;?
2396;NOx(GT);112.0;?
2509;PT08.S5(O3);819.0;?
8810;PT08.S1(CO);1177.0;?
8699;RH;59.4;?
3345;NMHC(GT);-200.0;?
2802;PT08.S1(CO);1059.0;?
3795;T;30.6;?
2896;RH;32.0;?
4341;CO(GT);1.4;?
7423;PT08.S1(CO);1183.0;?
5868;PT08.S4(NO2);942.0;?
5591;AH;1.751;?
6481;PT08.S3(NOx);744.0;?
7648;CO(GT);-200.0;?
2093;CO(GT);0.8;?
8052;C6H6(GT);-200.0;-200.0
1238;PT08.S1(CO);1012.0;?
3624;PT08.S1(CO);908.0;?
3691;PT08.S1(CO);1066.0;?
4024;AH;1.7753;?
845;PT08.S2(NMHC);892.0;?
4786;NOx(GT);-200.0;?
5356;RH;69.0;?
8970;PT08.S4(NO2);1378.0;?
1887;NOx(GT);-200.0;?
1448;NMHC(GT);-200.0;?
2783;PT08.S5(O3);489.0;?
140;PT08.S4(NO2);1998.0;?
8513;RH;45.2;?
6365;T;9.6;?
1851;CO(GT);-200.0;?
1259;C6H6(GT);3.3;3.3
6471;AH;0.943;?
8642;NMHC(GT);-200.0;?
1473;AH;1.0031;0.9799
8042;PT08.S2(NMHC);-200.0;-200.0
3680;NOx(GT);47.0;?
526;PT08.S3(NOx);-200.0;-200.0
5716;PT08.S5(O3);1143.0;?
1026;NO2(GT);-200.0;-200.0
6029;PT08.S3(NOx);791.0;?
8387;PT08.S2(NMHC);516.0;?
6281;NOx(GT);699.0;?
2969;C6H6(GT);6.8;6.8
949;RH;70.9;?
7761;PT08.S3(NOx);1120.0;?
436;C6H6(GT);3.3;?
2101;T;16.8;?
8644;CO(GT);3.2;?
5124;NOx(GT);56.0;?
