riga;nome attributo;valore da imputare;valore imputato
231;Origin;US;?
232;Origin;US;?
233;Origin;US;?
186;Model;75;?
131;Car;Toyota Mark II;?
132;Car;Oldsmobile Omega;?
188;Model;75;?
189;Model;75;76
190;Model;76;?
400;MPG;36.0;?
401;MPG;27.0;?
402;MPG;27.0;?
165;Model;75;?
312;Origin;Europe;?
124;MPG;16.0;15.0
125;MPG;29.0;30.0
126;MPG;24.0;24.0
334;Origin;Europe;?
335;Origin;Europe;?
336;Origin;Europe;Europe
380;Model;82;?
175;Origin;Japan;Japan
176;Origin;US;US
381;Weight;2735.0;?
382;Weight;2865.0;?
116;Acceleration;19.0;?
117;Acceleration;19.5;19.0
118;Acceleration;16.5;?
364;Origin;Japan;Japan
365;Origin;Japan;Japan
343;Displacement;122.0;?
55;MPG;19.0;17.0
56;MPG;18.0;17.0
351;Cylinders;4;4
352;Cylinders;4;?
353;Cylinders;4;4
207;MPG;20.0;19.0
208;MPG;18.0;15.0
209;MPG;18.5;18.0
298;Acceleration;14.3;?
58;Weight;2123.0;?
59;Weight;2074.0;?
357;Weight;1985.0;?
358;Weight;2215.0;?
359;Weight;2045.0;?
69;Displacement;122.0;?
70;Displacement;350.0;350.0
354;Displacement;97.0;?
355;Displacement;85.0;?
356;Displacement;89.0;?
254;Weight;1985.0;?
255;Weight;2070.0;?
256;Weight;1800.0;?
177;Horsepower;100.0;?
178;Horsepower;78.0;?
74;MPG;17.0;18.0
75;MPG;11.0;15.0
342;Origin;Japan;Japan
343;Origin;Europe;?
344;Origin;US;US
161;Weight;3459.0;?
162;Weight;3432.0;?
163;Weight;3158.0;?
23;Car;AMC Hornet;?
400;Car;Dodge Charger 2.2;?
401;Car;Chevrolet Camaro;?
199;Weight;3233.0;?
339;Horsepower;67.0;?
171;Displacement;225.0;198.0
260;Acceleration;19.2;?
349;Car;Chevrolet Citation;?
350;Car;Plymouth Reliant;?
162;Cylinders;6;6
163;Cylinders;6;6
164;Cylinders;8;?
296;Horsepower;135.0;?
297;Horsepower;155.0;?
298;Horsepower;142.0;?
373;Weight;3725.0;?
374;Weight;3060.0;?
375;Weight;3465.0;?
222;Origin;US;US
131;Weight;2807.0;?
132;Weight;3664.0;?
133;Weight;3102.0;?
291;Acceleration;18.2;?
292;Acceleration;16.6;?
3;Origin;US;US
142;Cylinders;6;6
143;Cylinders;6;6
144;Cylinders;8;8
25;Horsepower;88.0;88.0
333;Weight;2085.0;?
334;Weight;2335.0;?
335;Weight;2950.0;?
202;Cylinders;6;4
203;Cylinders;4;4
71;Car;Pontiac Catalina;?
72;Car;Plymouth Fury III;?
61;Weight;1773.0;?
62;Weight;1613.0;?
250;Displacement;121.0;?
251;Displacement;80.0;?
127;MPG;20.0;25.0
326;Horsepower;90.0;?
327;Horsepower;75.0;?
286;Car;Volkswagen Scirocco;?
145;Car;Buick Century Luxus (sw);?
108;Horsepower;88.0;?
109;Horsepower;95.0;?
400;Acceleration;13.0;?
64;Origin;US;?
65;Origin;Japan;Japan
39;Displacement;98.0;?
391;Origin;Japan;Japan
392;Origin;Japan;Japan
393;Origin;Japan;?
326;Displacement;134.0;?
363;Horsepower;75.0;?
364;Horsepower;75.0;?
365;Horsepower;100.0;?
154;Weight;2125.0;?
155;Weight;2108.0;?
156;Weight;2246.0;?
242;Displacement;151.0;?
100;MPG;13.0;14.0
151;Weight;2300.0;?
252;Car;Volkswagen Rabbit Custom Diesel;?
253;Car;Ford Fiesta;?
254;Car;Mazda GLC Deluxe;?
262;Model;78;?
263;Model;78;?
264;Model;78;?
382;Model;82;?
383;Model;82;?
384;Model;82;?
359;Origin;US;?
360;Origin;US;?
337;Model;80;?
338;Model;80;?
323;Model;80;?
324;Model;80;?
325;Model;80;?
112;Horsepower;167.0;?
167;Model;75;73
168;Model;75;?
169;Model;75;?
265;Origin;US;US
266;Origin;US;?
267;Origin;US;US
26;Horsepower;46.0;?
27;Horsepower;87.0;?
28;Horsepower;90.0;?
388;Acceleration;17.3;?
63;Weight;1834.0;?
64;Weight;1955.0;?
220;MPG;16.5;10.0
221;MPG;13.0;14.5
364;Model;81;?
365;Model;81;?
107;Cylinders;6;6
211;Horsepower;71.0;?
79;Acceleration;13.5;?
249;Acceleration;14.5;?
250;Acceleration;12.8;?
318;Acceleration;18.8;?
218;Car;Toyota Mark II;?
307;MPG;27.2;?
108;Cylinders;6;6
