riga;nome attributo;valore da imputare;valore imputato
782;humidity;77.7;?
1590;motion;0;0
2712;humidity;76.5;?
2217;co;0.0042;?
1992;co;0.0026;0.0028
2875;motion;0;0
434;light;0;?
2533;humidity;75.7;?
1243;light;0;0
2305;lpg;0.0077;0.0077
1436;humidity;51.1;?
2346;motion;0;0
1158;temp;22.6;22.6
780;co;0.0051;?
2415;humidity;51.3;?
370;device;1c:bf:ce:15:ec:4d;?
1674;temp;22.6;?
2006;motion;0;0
757;temp;22.4;22.6
1690;humidity;50.1;?
1316;humidity;51.1;?
1190;humidity;78.0;?
251;motion;0;0
939;lpg;0.0077;?
1000;smoke;0.018000000000000002;?
372;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
2279;light;0;0
332;co;0.0043;?
1935;co;0.0042;?
2874;smoke;0.02;?
137;lpg;0.006999999999999999;?
1841;temp;26.8;?
593;light;1;1
2284;smoke;0.021;?
1182;co;0.0051;?
2703;temp;26.7;?
1251;temp;22.6;?
1920;device;1c:bf:ce:15:ec:4d;?
1368;humidity;76.3;?
972;co;0.0043;?
1594;lpg;0.0069;0.006999999999999999
799;humidity;51.1;?
1015;co;0.005;0.005
2771;co;0.0049;?
470;smoke;0.021;?
97;motion;0;0
2554;motion;0;0
2150;light;0;?
2416;temp;19.7;?
1676;temp;22.6;?
1926;lpg;0.0068;0.006999999999999999
1378;light;1;1
1379;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
1742;light;0;?
1893;temp;22.0;?
1902;humidity;75.0;?
1102;smoke;0.021;?
22;device;1c:bf:ce:15:ec:4d;?
2320;lpg;0.0048;0.0051
2139;lpg;0.0077;?
2471;co;0.0043;?
1206;temp;19.7;?
446;co;0.005;?
1148;motion;0;0
2369;temp;19.7;?
2539;motion;0;0
2329;temp;26.8;?
743;lpg;0.0078;?
2591;temp;22.6;?
2531;smoke;0.02;?
1096;co;0.0043;?
1035;motion;0;0
1006;co;0.0051;0.005
357;motion;0;0
543;humidity;75.4;74.2
1248;device;1c:bf:ce:15:ec:4d;?
614;co;0.0046;?
324;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
864;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
1737;motion;0;0
2521;motion;0;0
364;humidity;49.1;51.0
1869;smoke;0.018000000000000002;?
1468;device;1c:bf:ce:15:ec:4d;?
2674;lpg;0.0077;?
1099;temp;19.7;19.7
2242;co;0.0026;0.0028
2704;lpg;0.0076;?
1175;smoke;0.021;?
609;lpg;0.006999999999999999;0.006999999999999999
2023;temp;19.5;?
509;humidity;49.5;51.0
519;temp;19.5;19.7
1335;motion;0;0
1700;humidity;77.7;?
2327;humidity;77.6;?
2588;co;0.005;?
771;motion;0;0
403;lpg;0.0051;0.0051
1571;light;0;?
490;device;1c:bf:ce:15:ec:4d;?
1530;co;0.005;?
2890;temp;19.9;?
2552;temp;22.6;?
830;lpg;0.006999999999999999;?
308;light;1;1
133;humidity;76.2;74.2
1495;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
695;co;0.005;?
2140;co;0.0042;?
1615;light;0;0
1427;smoke;0.021;?
519;light;0;?
1341;lpg;0.0048;0.0051
282;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2121;temp;19.6;?
2914;motion;0;0
2629;temp;22.6;?
2425;co;0.0025;0.0028
2041;co;0.005;?
1973;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1357;smoke;0.018000000000000002;?
973;motion;0;0
2634;temp;22.6;?
1824;smoke;0.021;0.02
2286;motion;0;0
1189;smoke;0.021;?
2153;motion;0;0
1988;humidity;77.7;?
573;temp;27.0;1.3
619;light;1;1
202;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
1021;light;1;1
1783;light;0;0
2878;motion;0;0
1957;motion;0;0
2577;lpg;0.0047;0.0051
533;temp;19.5;19.7
1082;light;1;1
258;light;0;?
1247;motion;0;0
985;lpg;0.0077;?
1841;co;0.0043;?
2917;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
673;temp;27.0;1.3
815;light;0;?
2605;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
34;motion;0;0
225;motion;0;0
1124;humidity;51.2;?
2810;light;1;?
553;motion;0;0
2639;temp;19.8;?
578;lpg;0.0071;?
2752;lpg;0.006999999999999999;0.006999999999999999
2435;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2488;temp;22.6;?
169;motion;0;0
1271;humidity;76.3;?
2338;lpg;0.0068;?
2192;device;1c:bf:ce:15:ec:4d;?
191;lpg;0.0051;0.0051
2738;lpg;0.0069;?
2196;motion;0;0
273;humidity;50.9;51.0
540;humidity;75.3;74.2
521;smoke;0.021;0.02
873;temp;22.5;?
495;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1821;temp;22.2;?
1208;co;0.0043;0.005
1344;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
211;lpg;0.0051;0.0051
2556;humidity;75.7;?
2333;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
1718;co;0.005;?
2330;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2758;humidity;76.6;?
2006;lpg;0.0077;?
689;lpg;0.0078;?
209;device;1c:bf:ce:15:ec:4d;?
846;humidity;51.1;?
464;humidity;74.7;74.2
1285;device;1c:bf:ce:15:ec:4d;?
1088;humidity;51.2;?
2650;humidity;76.9;?
1918;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
1649;motion;0;0
2626;motion;0;0
2820;light;0;?
1426;smoke;0.018000000000000002;?
312;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
443;humidity;74.5;74.2
2902;smoke;0.02;?
218;smoke;0.02;?
2805;smoke;0.02;?
2376;humidity;51.2;?
2244;humidity;51.3;?
1396;humidity;51.1;?
133;motion;0;0
2410;temp;19.7;?
1225;smoke;0.021;?
2497;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
682;motion;0;0
1941;light;1;1
1569;co;0.005;?
2670;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
1621;motion;0;0
308;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
25;co;0.005;?
2490;light;1;?
1515;humidity;77.6;?
1783;motion;0;0
2367;light;0;?
2144;smoke;0.018000000000000002;?
330;smoke;0.021;?
2973;lpg;0.0076;?
482;lpg;0.0051;0.0051
2752;temp;26.7;?
1587;lpg;0.006999999999999999;?
2305;humidity;51.3;?
52;smoke;0.021;?
15;light;0;0
2984;humidity;76.7;?
434;smoke;0.013000000000000001;0.013000000000000001
865;device;1c:bf:ce:15:ec:4d;?
2356;co;0.0026;0.0028
2623;light;0;?
2678;device;1c:bf:ce:15:ec:4d;?
101;co;0.005;?
2510;light;0;?
396;smoke;0.013000000000000001;0.013000000000000001
237;light;0;?
993;motion;0;0
2455;lpg;0.0068;0.006999999999999999
1274;motion;0;0
52;co;0.005;?
2631;humidity;51.2;?
1139;humidity;76.0;?
1947;humidity;78.1;?
1782;co;0.005;?
2601;lpg;0.0046;0.0051
2441;device;1c:bf:ce:15:ec:4d;?
1059;light;0;?
876;light;0;?
1029;humidity;76.2;?
440;temp;22.1;22.6
64;light;0;?
846;motion;0;0
1291;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2011;lpg;0.0077;?
1764;smoke;0.018000000000000002;0.02
2872;co;0.0024;0.0028
1892;temp;22.0;?
205;smoke;0.021;?
2897;temp;19.9;?
1197;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
725;light;0;?
109;co;0.0044;0.005
2931;co;0.0049;?
2031;motion;0;0
353;smoke;0.013000000000000001;0.013000000000000001
2867;humidity;76.7;?
1873;co;0.0026;0.0028
2508;temp;22.6;?
1330;motion;0;0
4;temp;27.0;?
258;humidity;51.1;51.0
633;smoke;0.021;?
2586;light;0;?
2126;light;1;1
