riga;nome attributo;valore da imputare;valore imputato
453;Engine;CF;?
519;Order_Total;12;?
133;Delivery_Total;1;1
421;Engine;CF;CF
645;Model_Series;737-800;?
61;Delivery_Total;2;2
632;Delivery_Total;1;1
356;Order_Year;1969;?
806;Country;China;China
39;Engine;CF;GE
373;Region;Central Asia;Central Asia
570;Order_Month;Apr;?
261;Customer_Name;Royal Moroccan Air Force;?
856;Order_Total;2;2
278;Delivery_Year_;2011;2011
546;Order_Month;Feb;?
542;Delivery_Total;2;?
778;Region;Africa;Africa
33;Engine;PW;PW
506;Customer_Name;BDS Norway P-8;?
328;Engine;PW;PW
49;Order_Year;2014;2010
520;Customer_Name;Kuwait Airways;?
768;Delivery_Year_;1967;?
117;Model_Series;MD-80;MD-80
469;Order_Total;1;1
613;Order_Month;Apr;?
331;Engine;CF;CF
462;Engine;CF;CF
799;Engine;PW;?
94;Order_Month;Nov;Mar
59;Delivery_Total;6;6
387;Engine;CF;CF
685;Delivery_Total;1;1
762;Delivery_Year_;2010;?
446;Delivery_Year_;2017;?
394;Model_Series;DC-9;?
459;Region;Africa;Africa
447;Region;North America;North America
512;Order_Month;Feb;?
128;Order_Month;Jul;?
253;Delivery_Total;1;1
540;Model_Series;727;?
5;Order_Total;3;3
99;Customer_Name;China Xinjiang Airlines;China Xinjiang Airlines
185;Region;Europe;Europe
799;Customer_Name;Itel Air;?
580;Order_Month;Sep;?
172;Delivery_Year_;1974;?
533;Model_Series;787-8;?
209;Country;Australia;?
825;Country;USA;?
506;Delivery_Total;5;5
519;Engine;CF;?
245;Order_Total;1;1
226;Region;North America;North America
247;Order_Year;2004;2005
484;Engine;PW;?
511;Country;United Kingdom;United Kingdom
700;Order_Year;1978;1978
794;Region;South America;South America
205;Order_Total;1;1
506;Order_Month;Jan;?
212;Delivery_Total;2;2
582;Customer_Name;DAE Aerospace Enterprise;?
176;Order_Year;2007;2007
326;Order_Year;1980;1980
552;Country;Taiwan;Taiwan
644;Order_Year;1968;?
301;Order_Total;1;1
372;Model_Series;777F;?
812;Customer_Name;Great China Airlines;?
631;Order_Month;Mar;?
365;Order_Year;1986;1987
180;Model_Series;DC-9;?
225;Region;North America;North America
377;Country;Germany;?
187;Order_Year;1970;1970
264;Delivery_Total;1;1
595;Region;North America;North America
58;Order_Month;Jan;?
84;Delivery_Total;9;9
743;Order_Year;2010;2010
797;Region;East Asia;East Asia
191;Order_Total;1;1
102;Order_Year;1980;1978
178;Customer_Name;MG Aviation Limited;?
29;Engine;CF;CF
249;Engine;GE;GE
593;Customer_Name;Sterling Air A/S;?
330;Region;North America;North America
141;Model_Series;737-500;?
296;Country;Bahamas;?
838;Delivery_Year_;1976;1976
107;Delivery_Year_;1968;1967
630;Engine;PW;?
827;Order_Total;1;?
843;Delivery_Year_;2011;?
660;Delivery_Year_;1996;?
507;Order_Month;Jan;?
324;Engine;GE;GE
393;Delivery_Total;1;1
763;Order_Month;Nov;?
510;Delivery_Total;3;?
625;Order_Year;1979;?
104;Order_Month;Dec;?
332;Delivery_Total;2;2
321;Region;Europe;Europe
482;Model_Series;737-400;?
143;Delivery_Year_;1990;1991
19;Order_Year;1991;?
689;Order_Year;1988;?
401;Country;Taiwan;Taiwan
550;Order_Year;1979;1982
356;Customer_Name;PLUNA;?
703;Model_Series;DC-9;?
656;Customer_Name;TAME;?
485;Delivery_Total;1;?
896;Order_Month;Feb;?
128;Country;Mauritania;?
491;Order_Month;Feb;?
745;Delivery_Total;1;1
876;Engine;PW;?
291;Region;Southeast Asia;Southeast Asia
76;Delivery_Year_;1994;1995
579;Order_Total;1;?
827;Order_Year;1978;1978
756;Delivery_Total;1;1
354;Delivery_Year_;1968;1971
290;Model_Series;MD-80;?
45;Delivery_Year_;1985;1986
488;Order_Year;1956;1960
859;Region;Caribbean;Caribbean
344;Model_Series;737-700C;?
723;Region;Europe;Europe
592;Delivery_Total;1;1
591;Engine;PW;PW
692;Order_Year;1965;1966
