riga;nome attributo;valore da imputare;valore imputato
1241;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
1124;humidity;51.2;50.9
899;temp;22.5;22.7
1979;light;1;?
219;smoke;0.013000000000000001;0.013000000000000001
1899;light;0;?
366;co;0.0043;0.0044
2119;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2803;smoke;0.018000000000000002;?
1688;motion;0;0
1352;humidity;76.2;?
2172;temp;22.5;22.7
979;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
582;smoke;0.018000000000000002;0.013000000000000001
2382;light;0;?
2449;humidity;51.3;50.9
1001;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2885;co;0.0024;?
283;humidity;75.2;?
2917;co;0.0049;0.0044
2787;lpg;0.0069;?
2359;co;0.0042;?
1040;smoke;0.021;0.02
1546;smoke;0.018000000000000002;0.02
241;smoke;0.021;0.02
2494;motion;0;0
2343;smoke;0.018000000000000002;?
1805;device;1c:bf:ce:15:ec:4d;?
1086;lpg;0.0048;0.0051
424;temp;27.0;1.3
402;temp;27.0;1.3
1868;temp;19.5;?
1303;motion;0;0
1283;smoke;0.021;?
1168;lpg;0.0049;0.0051
1318;device;00:0f:00:70:91:0a;?
1113;lpg;0.0068;0.0077
2432;temp;22.6;?
1344;light;0;?
2358;humidity;51.3;50.9
894;humidity;77.9;?
459;device;00:0f:00:70:91:0a;?
2324;smoke;0.012;0.013000000000000001
440;co;0.005;0.0044
2680;temp;22.6;?
2104;temp;26.8;1.3
1335;lpg;0.0077;0.0066
2826;humidity;76.8;?
796;light;0;?
2664;light;1;?
743;smoke;0.021;?
2164;smoke;0.018000000000000002;0.02
1241;smoke;0.018000000000000002;0.02
2946;motion;0;0
1107;lpg;0.0078;0.0077
2128;motion;0;0
1150;temp;26.9;1.3
241;light;0;?
2469;lpg;0.0069;?
1906;humidity;49.6;50.9
294;light;0;?
1812;motion;0;0
2728;temp;22.6;?
568;device;00:0f:00:70:91:0a;?
2327;humidity;77.6;?
1096;motion;0;0
2586;lpg;0.0076;0.0077
2602;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2094;temp;19.6;?
496;temp;27.0;?
2579;temp;22.6;22.7
106;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
172;temp;27.0;27.0
158;temp;27.0;27.0
132;co;0.005;0.0044
2981;light;0;?
2236;temp;26.8;1.3
1750;light;1;?
265;device;00:0f:00:70:91:0a;?
72;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
1338;humidity;76.2;74.2
1649;lpg;0.0048;?
159;co;0.0028;0.0028
2996;temp;22.6;?
1860;lpg;0.0048;0.0051
927;humidity;76.3;74.2
1717;temp;26.9;1.3
498;lpg;0.0051;0.0051
805;motion;0;0
1947;lpg;0.0068;?
1703;device;1c:bf:ce:15:ec:4d;?
2063;co;0.005;?
2357;lpg;0.0077;?
1483;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
662;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2321;light;0;?
2657;smoke;0.018000000000000002;?
989;motion;0;0
2816;temp;26.7;1.3
2831;co;0.005;?
321;lpg;0.0077;0.0077
1107;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
502;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1708;light;0;?
2396;humidity;77.7;?
719;light;0;?
592;smoke;0.013000000000000001;0.013000000000000001
1779;motion;0;0
2581;device;b8:27:eb:bf:9d:51;?
2487;motion;0;0
2571;motion;0;0
92;temp;27.0;27.0
2129;motion;0;0
2241;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2699;device;1c:bf:ce:15:ec:4d;?
1438;lpg;0.0068;?
1902;light;0;?
952;co;0.005;?
1992;humidity;75.3;?
2962;co;0.0049;0.0044
229;light;0;?
1469;light;0;?
1885;device;1c:bf:ce:15:ec:4d;?
2214;lpg;0.0068;0.0052
1297;smoke;0.012;?
2454;device;00:0f:00:70:91:0a;?
2132;device;b8:27:eb:bf:9d:51;?
1999;lpg;0.0077;0.0066
1398;smoke;0.021;?
217;humidity;75.8;74.2
722;temp;22.4;22.7
173;humidity;76.2;74.2
570;motion;0;0
337;lpg;0.0077;0.0077
1369;device;1c:bf:ce:15:ec:4d;?
2210;humidity;51.2;50.9
1230;humidity;51.1;50.9
424;co;0.0043;0.0044
2776;humidity;76.7;?
2027;smoke;0.018000000000000002;?
1957;smoke;0.018000000000000002;0.02
1211;temp;22.6;22.7
589;light;0;?
2517;motion;0;0
595;light;0;?
1089;light;0;?
2035;co;0.0026;?
1640;lpg;0.0068;?
14;temp;27.0;27.0
1203;device;00:0f:00:70:91:0a;?
2227;light;0;?
2927;temp;22.7;?
1089;humidity;51.2;50.9
1261;lpg;0.0077;0.0077
447;temp;22.1;?
942;motion;0;0
2204;smoke;0.02;0.02
1339;humidity;51.1;50.9
2330;smoke;0.021;?
2322;lpg;0.0077;0.0077
2292;lpg;0.0046;0.0051
2196;device;1c:bf:ce:15:ec:4d;?
2817;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
140;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
161;motion;0;0
714;co;0.0051;0.0044
1340;motion;0;0
2662;co;0.0024;0.0028
442;smoke;0.018000000000000002;0.02
1960;smoke;0.021;?
2301;co;0.005;0.0044
1667;motion;0;0
1970;temp;19.5;?
2754;temp;26.7;?
1567;motion;0;0
2850;humidity;76.7;?
598;smoke;0.019;0.02
1704;light;0;?
2655;smoke;0.012;?
1276;humidity;51.2;?
2380;temp;22.5;22.7
2146;motion;0;0
782;motion;0;0
2137;temp;19.6;?
2046;humidity;77.9;79.3
661;humidity;50.5;50.9
2933;humidity;51.4;50.9
1535;temp;22.7;?
2860;lpg;0.0045;0.0051
2228;motion;0;0
2680;smoke;0.021;?
1402;co;0.0026;?
1461;light;0;?
2631;smoke;0.02;?
2619;humidity;76.4;?
2084;motion;0;0
966;temp;27.0;1.3
2535;humidity;76.2;?
879;smoke;0.021;?
