riga;nome attributo;valore da imputare;valore imputato
845;Customer_Name;Malaysia Airlines;?
696;Customer_Name;Air Asia Company;Ansett Worldwide Av. Equipment
258;Region;North America;Middle East
335;Region;North America;?
874;Model_Series;737 MAX;?
507;Delivery_Year_;2000;?
416;Country;United Kingdom;?
606;Engine;CF;?
27;Delivery_Year_;2010;1982
75;Order_Year;1987;1960
289;Region;Oceania;Central America and Mexico
354;Delivery_Year_;1968;?
838;Order_Total;3;?
157;Customer_Name;Korean Air Force Peace Eye;Air Lease Corporation
713;Delivery_Year_;2019;?
728;Region;North America;?
288;Country;China;Kenya
792;Delivery_Year_;1988;?
368;Customer_Name;Ansett Australia;Ansett Worldwide Av. Equipment
799;Region;North America;North America
842;Country;United Kingdom;?
824;Model_Series;727;?
119;Delivery_Total;1;10
600;Order_Month;Mar;Sep
118;Order_Year;1997;?
315;Order_Total;5;16
217;Order_Total;1;?
401;Order_Total;1;?
130;Customer_Name;Novus Aviation Capital;Adria Airways d.d.
571;Model_Series;727;?
51;Delivery_Total;3;?
368;Engine;PW;?
465;Engine;GE;?
22;Order_Total;1;?
2;Order_Total;2;?
35;Model_Series;707/720;BBJ
575;Customer_Name;Ryanair;?
868;Delivery_Year_;2005;?
476;Delivery_Year_;2010;?
318;Customer_Name;TWA;Executive Jet Aviation
151;Region;Europe;Caribbean
483;Customer_Name;Republic of Venezuela;?
117;Order_Total;2;10
367;Order_Year;2017;?
875;Delivery_Year_;1985;?
587;Order_Year;1977;?
330;Model_Series;777F;?
23;Order_Year;1966;1965
557;Order_Year;1979;?
100;Delivery_Total;3;?
123;Delivery_Total;2;?
789;Model_Series;707/720;?
246;Delivery_Year_;1979;1965
318;Country;USA;?
893;Order_Total;1;?
396;Order_Year;1963;?
693;Model_Series;737-700;?
146;Order_Month;Jan;Jan
218;Model_Series;737-800;?
801;Order_Total;3;?
273;Engine;PW;?
242;Delivery_Year_;1997;1976
735;Order_Year;2015;?
315;Order_Year;1992;?
689;Engine;CF;?
561;Order_Total;1;?
501;Order_Year;1973;?
614;Delivery_Total;7;14
840;Model_Series;737-800;?
474;Delivery_Total;2;?
757;Delivery_Year_;1968;?
267;Country;USA;?
449;Engine;CF;?
494;Order_Total;1;?
853;Order_Total;2;?
851;Engine;RR;?
205;Country;El Salvador;?
372;Model_Series;777F;?
328;Order_Month;Feb;Jul
830;Delivery_Year_;2016;1961
416;Region;Europe;?
651;Delivery_Year_;1982;?
855;Order_Month;Feb;?
735;Model_Series;747-8F;?
512;Customer_Name;SunExpress Airlines;?
476;Order_Month;Jul;?
110;Engine;PW;?
665;Order_Total;1;16
320;Order_Year;1991;?
89;Delivery_Total;1;10
