riga;nome attributo;valore da imputare;valore imputato
1705;City;Woodinville;?
1060;County;King;?
2736;Model_Year;2023;?
2117;Model;X5;?
753;Legislative_District;16.0;?
1879;Make;TESLA;TESLA
2742;Make;BMW;VOLKSWAGEN
321;Model;X5;?
243;Make;TESLA;?
1293;Model;MODEL S;MODEL X
602;State;WA;WA
2969;Legislative_District;49.0;?
378;Electric_Range;0;?
2103;Electric_Range;266;?
1554;County;King;King
3578;Legislative_District;48.0;?
3387;Model_Year;2022;2022
2845;Make;TESLA;?
3915;Legislative_District;5.0;?
617;Model_Year;2021;?
345;Electric_Range;0;?
901;State;WA;WA
1734;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Eligibility unknown as battery range has not been researched;Eligibility unknown as battery range has not been researched
906;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Eligibility unknown as battery range has not been researched;?
3551;Make;CHEVROLET;CHEVROLET
1979;Model;FUSION;FOCUS
826;Legislative_District;10.0;?
1806;Electric_Range;210;?
1255;County;King;?
2829;Legislative_District;5.0;?
830;State;WA;WA
2839;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Clean Alternative Fuel Vehicle Eligible;Not eligible due to low battery range
398;Electric_Range;13;?
1396;County;Benton;Benton
3080;County;Cowlitz;?
1712;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Clean Alternative Fuel Vehicle Eligible;?
1825;Model;MODEL 3;MODEL 3
18;State;WA;WA
1967;Electric_Range;0;?
2931;Electric_Range;0;?
3588;Electric_Vehicle_Type;Plug-in Hybrid Electric Vehicle (PHEV);Plug-in Hybrid Electric Vehicle (PHEV)
1616;City;Woodinville;?
3489;State;WA;WA
606;Make;TESLA;?
3700;Electric_Range;210;?
3912;State;WA;WA
2606;City;Kirkland;?
3577;Legislative_District;25.0;?
2220;Legislative_District;43.0;?
1971;Make;TOYOTA;?
1331;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Not eligible due to low battery range;?
425;Make;VOLVO;?
1117;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Clean Alternative Fuel Vehicle Eligible;Clean Alternative Fuel Vehicle Eligible
3585;City;Renton;?
3388;Legislative_District;48.0;?
3314;State;WA;WA
2071;Electric_Range;42;?
3322;Model;VOLT;?
2098;Model;MODEL Y;?
2310;County;King;King
979;Electric_Range;0;?
3167;Make;TESLA;?
3232;Electric_Range;84;?
1997;City;Seattle;?
1428;City;Beaux Arts;?
1981;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Eligibility unknown as battery range has not been researched;Eligibility unknown as battery range has not been researched
3187;Model;MODEL S;?
1428;Model;MODEL 3;?
3287;State;WA;WA
3205;City;Tukwila;?
1003;State;WA;WA
