riga;nome attributo;valore da imputare;valore imputato
126;Car;Opel Manta;?
67;Car;Volkswagen Type 3;?
134;Car;Ford Maverick;?
87;Car;Renault 12 (sw);?
122;Car;Fiat 124 Sport Coupe;?
355;Car;Datsun 210 MPG;?
330;Car;Mazda GLC;?
81;Car;Chevrolet Chevelle Concours (sw);?
211;Car;Volkswagen Rabbit;?
320;Car;Datsun 310;?
219;Car;Mercedes-Benz 280s;?
44;Car;Ford Torino 500;AMC Hornet
208;Car;Ford Grenada ghia;?
19;Car;Chevrolet Monte Carlo;AMC Ambassador DPL
397;Car;Chrysler Lebaron Medallion;?
177;Car;AMC Gremlin;?
74;Car;AMC Ambassador SST;Toyota Corolla Mark ii
347;Car;Buick Skylark;AMC Gremlin
117;Car;Chevrolet Vega;?
105;Car;Plymouth Valiant;?
316;Car;Pontiac Phoenix;?
297;Car;Buick Estate Wagon (sw);?
331;Car;Dodge Colt;?
200;Car;Chevrolet Nova;?
83;Car;Plymouth Satellite Custom (sw);Ford Galaxie 500
86;Car;Peugeot 504 (sw);Datsun 510 (sw)
269;Car;AMC Concord d/l;?
311;Car;Datsun 210;?
103;Car;Buick Electra 225 Custom;Buick Skylark 320
179;Car;Toyota Corolla;?
213;Car;Toyota Corolla;?
395;Car;Buick Century Limited;?
284;Car;Saab 99gle;?
203;Car;Chevrolet Chevette;?
164;Car;Pontiac Catalina;?
32;Car;Ford F250;Plymouth Custom Suburb
129;Car;Dodge Dart Custom;?
121;Car;Mercury Capri v6;?
5;Car;Ford Torino;Chevrolet Chevelle Malibu
169;Car;Chevrolete Chevelle Malibu;?
323;Car;AMC Concord;?
9;Car;Pontiac Catalina;Chevrolet Chevelle Malibu
309;Car;Plymouth Horizon;?
289;Car;Mercury Zephyr 6;?
334;Car;Volkswagen Dasher (diesel);?
159;Car;Fiat x1.9;?
147;Car;Ford Gran Torino (sw);?
285;Car;Peugeot 604sl;?
77;Car;Oldsmobile Delta 88 Royale;AMC Ambassador DPL
230;Car;Oldsmobile Cutlass Supreme;?
227;Car;Plymouth Arrow GS;?
85;Car;Volkswagen 411 (sw);Toyota Celica GT Liftback
97;Car;Dodge Coronet Custom;AMC Matador (sw)
385;Car;Mazda GLC Custom l;?
181;Car;Datsun 710;?
100;Car;Ford LTD;Ford Torino (sw)
283;Car;Volvo 264gl;?
393;Car;Honda Civic (auto);?
265;Car;AMC Concord;?
365;Car;Datsun 200SX;?
241;Car;Volkswagen Rabbit Custom;?
11;Car;Citroen DS-21 Pallas;Mercury Capri 2000
48;Car;Ford Galaxie 500;?
40;Car;Volkswagen Super Beetle 117;Mazda GLC Deluxe
339;Car;Subaru DL;?
207;Car;Dodge Aspen SE;?
42;Car;Plymouth Satellite Custom;Chevrolet Chevelle Malibu
72;Car;Plymouth Fury III;Plymouth Fury iii
