riga;nome attributo;valore da imputare;valore imputato
8313;C6H6(GT);8.3;8.3
4060;PT08.S3(NOx);-200.0;-200.0
2804;RH;17.3;?
1716;NOx(GT);38.0;?
3366;CO(GT);-200.0;?
627;NOx(GT);157.0;?
352;PT08.S5(O3);1175.0;?
841;PT08.S2(NMHC);1072.0;?
7542;PT08.S2(NMHC);758.0;?
45;PT08.S1(CO);1287.0;?
5986;RH;37.3;?
5211;T;14.8;?
8263;RH;48.7;?
2530;CO(GT);0.8;?
3271;NO2(GT);83.0;?
4171;C6H6(GT);14.1;14.1
126;PT08.S5(O3);1164.0;?
2729;PT08.S4(NO2);1952.0;?
5323;NMHC(GT);-200.0;?
2306;PT08.S3(NOx);972.0;?
441;NMHC(GT);23.0;?
8475;NMHC(GT);-200.0;?
6661;NOx(GT);178.0;?
6230;NMHC(GT);-200.0;?
2731;CO(GT);1.8;?
4316;PT08.S2(NMHC);814.0;?
4439;PT08.S5(O3);796.0;?
6432;NMHC(GT);-200.0;?
5648;PT08.S1(CO);1407.0;?
5449;NMHC(GT);-200.0;?
2440;NMHC(GT);-200.0;?
8778;PT08.S1(CO);-200.0;-200.0
1678;C6H6(GT);14.0;14.0
2007;NMHC(GT);-200.0;?
1376;NO2(GT);91.0;?
6444;AH;1.0928;?
963;NOx(GT);-200.0;-200.0
5430;PT08.S4(NO2);1509.0;?
2251;PT08.S2(NMHC);979.0;?
1145;NMHC(GT);155.0;?
69;PT08.S2(NMHC);924.0;?
283;NMHC(GT);-200.0;-200.0
3486;PT08.S1(CO);1097.0;?
5069;T;21.8;?
3018;NO2(GT);122.0;?
1202;T;20.2;?
5988;T;10.4;?
618;T;16.6;?
5455;CO(GT);2.9;?
1049;NMHC(GT);394.0;?
7578;PT08.S3(NOx);649.0;?
5752;AH;1.2897;?
2281;T;20.7;?
8855;PT08.S4(NO2);1308.0;?
4278;PT08.S3(NOx);706.0;?
7790;PT08.S1(CO);801.0;?
1346;PT08.S5(O3);802.0;?
7470;PT08.S5(O3);1414.0;?
8178;T;11.7;?
6813;RH;73.1;?
5433;PT08.S1(CO);989.0;?
2102;PT08.S5(O3);677.0;?
4766;CO(GT);0.6;?
1677;PT08.S1(CO);1208.0;?
4689;PT08.S4(NO2);1302.0;?
6974;CO(GT);0.4;?
654;PT08.S2(NMHC);752.0;?
987;PT08.S4(NO2);1958.0;?
5906;NO2(GT);166.0;?
7514;PT08.S3(NOx);384.0;?
1560;NOx(GT);162.0;?
271;PT08.S3(NOx);995.0;?
3717;PT08.S1(CO);949.0;?
6908;NOx(GT);707.0;?
6292;PT08.S3(NOx);573.0;?
5692;PT08.S1(CO);1461.0;?
7135;PT08.S1(CO);1078.0;?
2975;PT08.S4(NO2);1551.0;?
1920;PT08.S3(NOx);1247.0;?
5279;AH;0.9329;?
2155;PT08.S2(NMHC);1171.0;?
8415;CO(GT);3.1;?
5990;PT08.S3(NOx);1292.0;?
4757;C6H6(GT);2.0;2.0
4043;NMHC(GT);-200.0;?
7995;PT08.S1(CO);1002.0;?
1958;PT08.S1(CO);1108.0;?
4108;CO(GT);-200.0;?
7906;NOx(GT);-200.0;?
3165;PT08.S5(O3);1024.0;?
2553;PT08.S3(NOx);1030.0;?
4863;C6H6(GT);28.0;?
1275;RH;54.9;?
2745;RH;40.6;?
6565;PT08.S5(O3);457.0;?
6865;NOx(GT);445.0;?
1848;T;31.0;?
6582;NOx(GT);88.0;?
1593;NO2(GT);54.0;?
4381;NOx(GT);143.0;?
3366;PT08.S3(NOx);805.0;?
7901;CO(GT);1.8;?
6798;NO2(GT);146.0;?
5570;C6H6(GT);14.2;14.2
2854;T;41.0;?
6382;RH;73.0;?
6753;NMHC(GT);-200.0;?
186;PT08.S1(CO);1473.0;?
1268;NO2(GT);64.0;?
8332;AH;0.5994;?
2317;PT08.S4(NO2);1651.0;?
3296;NOx(GT);50.0;?
1472;RH;59.8;?
4916;PT08.S4(NO2);2005.0;?
3816;PT08.S4(NO2);1420.0;?
4918;NO2(GT);105.0;?
8148;NMHC(GT);-200.0;?
1149;PT08.S1(CO);1120.0;?
3779;PT08.S1(CO);789.0;?
2254;PT08.S4(NO2);1683.0;?
3213;T;42.8;?
2555;RH;50.2;?
849;NOx(GT);-200.0;-200.0
1970;NMHC(GT);-200.0;?
979;PT08.S4(NO2);1970.0;?
2727;RH;45.5;?
5696;PT08.S4(NO2);1620.0;?
1314;NMHC(GT);-200.0;?
