riga;nome attributo;valore da imputare;valore imputato
383;Order_Year;1994;?
856;Engine;PW;PW
224;Order_Year;1988;?
843;Delivery_Total;2;2
630;Region;Europe;Europe
271;Delivery_Year_;1974;?
676;Customer_Name;CAAC-Civil Aviation of China;?
307;Country;Yemen;Yemen
70;Engine;CF;CF
774;Customer_Name;Arkia Israeli Airlines;?
233;Order_Total;2;2
17;Country;Turkey;Turkey
818;Model_Series;747-8F;?
569;Delivery_Total;1;1
264;Order_Month;May;?
235;Customer_Name;Southern Airways - USA (Inacti;?
484;Order_Year;1965;?
581;Customer_Name;AirBridgeCargo Airlines;?
362;Region;Europe;Europe
521;Model_Series;MD-80;?
1;Country;USA;Venezuela
402;Delivery_Year_;1987;?
704;Delivery_Year_;1969;?
154;Country;Bermuda;Bermuda
866;Country;China;China
320;Region;East Asia;East Asia
770;Delivery_Total;2;2
702;Order_Month;Apr;?
359;Delivery_Year_;2012;?
204;Customer_Name;Jetstar - Duplicated (See JSA);?
483;Order_Year;1976;?
549;Region;East Asia;East Asia
123;Customer_Name;S7 Group;Volga-Dnepr UK Ltd
884;Order_Month;Feb;?
650;Engine;GE;GE
214;Delivery_Total;1;1
598;Region;North America;North America
234;Region;South America;South America
737;Region;Europe;East Asia
167;Engine;RR;RR
486;Order_Year;1978;?
33;Customer_Name;Libyan Airlines;?
276;Delivery_Total;4;4
662;Delivery_Year_;1978;?
776;Region;North America;North America
510;Order_Year;1958;?
386;Customer_Name;LADECO;LADECO
97;Customer_Name;AOF Leasing;?
522;Delivery_Total;1;1
598;Customer_Name;Boullioun Aviation Services;?
689;Region;Southeast Asia;Southeast Asia
858;Delivery_Total;3;3
898;Order_Total;1;1
390;Order_Total;3;3
280;Order_Month;Apr;Apr
583;Country;Iceland;Iceland
869;Country;Ireland;Ireland
233;Delivery_Year_;1996;?
329;Region;Southeast Asia;Southeast Asia
202;Order_Year;1969;?
599;Order_Year;1991;?
162;Delivery_Total;5;3
538;Delivery_Total;1;1
547;Customer_Name;Virgin Atlantic Airways;?
127;Order_Total;2;2
99;Order_Total;2;1
779;Customer_Name;Shanghai Airlines;?
642;Delivery_Year_;1974;?
863;Order_Month;Jan;?
356;Delivery_Total;1;1
483;Delivery_Total;1;1
81;Order_Total;1;?
485;Order_Month;May;?
147;Order_Year;1980;1980
177;Country;Slovenia;Slovenia
534;Order_Month;Jun;?
845;Engine;GE;?
817;Region;Middle East;Middle East
1;Customer_Name;Southern Airways - USA (Inacti;Garuda Indonesia
891;Order_Total;1;1
449;Order_Total;2;2
818;Delivery_Year_;2013;?
327;Model_Series;737-200;?
511;Customer_Name;Monarch Airlines;?
531;Order_Month;Dec;?
660;Delivery_Year_;1996;?
803;Customer_Name;Air Tahiti Nui;?
260;Customer_Name;Australian Wedgetail;?
649;Customer_Name;TAROM Romanian Air Transport;?
495;Customer_Name;Standard Airways;?
794;Region;South America;South America
768;Delivery_Year_;1967;?
787;Order_Year;2008;?
334;Order_Year;1985;1986
224;Engine;CF;?
643;Region;Europe;East Asia
349;Region;Europe;Europe
751;Region;Europe;East Asia
389;Delivery_Total;2;2
777;Model_Series;737-200;?
128;Order_Total;1;1
81;Model_Series;707/720;?
530;Order_Total;3;3
701;Model_Series;737-800;?
109;Delivery_Year_;2012;?
114;Order_Month;Jan;?
73;Order_Year;1969;1993
567;Customer_Name;Vietnam Airlines;?
676;Model_Series;737-200;?
293;Order_Month;Sep;?
735;Order_Year;2015;?
21;Region;North America;North America
720;Customer_Name;Pembroke Capital Limited;?
717;Delivery_Year_;1997;?
367;Engine;CF;CF
533;Country;Jordan;Jordan
896;Delivery_Year_;1973;?
238;Delivery_Total;1;1
898;Order_Year;1967;?
420;Engine;GE;?
420;Model_Series;747-400M;?
444;Region;East Asia;East Asia
376;Region;Europe;Europe
453;Engine;CF;CF
718;Region;Africa;Africa
500;Order_Year;1981;?
20;Delivery_Total;1;1
437;Region;South America;South America
853;Engine;GE;?
317;Engine;PW;RR
290;Customer_Name;McDonnell Douglas;Hawaiian Airlines
577;Order_Year;2006;2006
793;Order_Year;1966;?
690;Country;United Kingdom;United Kingdom
226;Delivery_Year_;2000;?
140;Customer_Name;AirTran Airways (Merged with S;?
114;Delivery_Total;2;2
469;Order_Year;2004;?
659;Delivery_Total;9;9
857;Customer_Name;Germanwings GmbH;?
763;Delivery_Total;1;1
299;Order_Year;2006;?
731;Customer_Name;ALAFCO;?
840;Order_Total;7;?
506;Order_Year;2019;?
71;Delivery_Total;2;2
286;Engine;CF;CF
439;Delivery_Year_;1985;?
523;Country;Japan;Japan
46;Delivery_Year_;2016;?
504;Region;Southeast Asia;Southeast Asia
544;Customer_Name;Midway Airlines;?
294;Order_Year;2013;2013
70;Model_Series;737-400;?
709;Order_Month;Jan;?
869;Order_Year;2015;?
461;Order_Year;2008;?
648;Delivery_Total;2;2
227;Delivery_Year_;2018;?
94;Delivery_Year_;1981;?
462;Delivery_Year_;2008;?
424;Order_Year;1986;?
199;Delivery_Total;3;3
156;Region;Europe;Europe
531;Country;China;China
500;Order_Month;Aug;?
86;Delivery_Total;1;1
651;Order_Year;1982;?
607;Order_Year;1987;?
446;Engine;CF;CF
794;Customer_Name;LATAM Airlines Brasil;?
19;Delivery_Year_;1993;1997
72;Country;Italy;Switzerland
570;Engine;CF;CF
179;Model_Series;MD-80;?
255;Order_Year;1999;1998
821;Region;Southeast Asia;Southeast Asia
84;Delivery_Year_;1967;?
239;Order_Total;3;3
371;Delivery_Total;4;4
802;Delivery_Total;1;1
23;Delivery_Total;5;3
250;Order_Month;Mar;Apr
87;Order_Month;Jan;?
332;Country;Australia;Australia
477;Engine;PW;?
259;Country;United Kingdom;United Kingdom
725;Engine;CF;?
468;Delivery_Year_;1971;?
136;Order_Month;Jun;Feb
682;Customer_Name;British Airways;?
550;Delivery_Year_;1980;?
303;Order_Year;1988;?
750;Delivery_Year_;1994;?
888;Order_Month;Nov;?
616;Delivery_Year_;1981;?
706;Region;Southeast Asia;Southeast Asia
639;Order_Month;Jan;?
93;Order_Month;Jan;?
700;Delivery_Total;1;?
701;Order_Month;Feb;?
607;Customer_Name;China Southern Airlines;?
26;Delivery_Year_;1980;1978
107;Order_Total;1;3
791;Order_Year;1985;?
291;Order_Total;1;1
21;Model_Series;737 MAX;DC-9
840;Model_Series;737-800;?
81;Delivery_Total;1;?
298;Country;USA;USA
645;Country;Germany;?
738;Country;Finland;?
553;Region;North America;North America
497;Delivery_Total;1;1
100;Model_Series;767-200ER;MD-80
821;Order_Month;May;?
365;Customer_Name;Finans AB Balans;?
365;Delivery_Total;1;1
549;Country;Japan;Japan
294;Order_Total;4;4
195;Order_Year;1983;?
124;Region;North America;North America
305;Engine;PW;PW
586;Delivery_Year_;1967;?
403;Delivery_Total;3;3
164;Order_Total;3;3
182;Delivery_Year_;1987;?
41;Country;USA;USA
802;Delivery_Year_;1995;?
229;Engine;GE;GE
196;Delivery_Year_;1990;?
372;Country;Unidentified;Unidentified
84;Delivery_Total;9;1
758;Engine;GE;?
590;Delivery_Year_;1973;?
607;Engine;RR;?
862;Delivery_Year_;2006;?
682;Model_Series;707/720;?
539;Model_Series;737-700;?
867;Engine;PW;PW
238;Model_Series;DC-9;?
813;Order_Year;2010;2010
294;Country;China;China
32;Country;China;Ireland
265;Delivery_Year_;1973;?
16;Customer_Name;Bavaria;KLM Royal Dutch Airlines
557;Delivery_Year_;1980;?
595;Delivery_Year_;1974;?
219;Country;China;China
712;Order_Year;2007;?
602;Order_Year;1987;?
493;Order_Total;1;1
369;Region;North America;North America
28;Country;China;China
134;Order_Month;Jun;?
189;Order_Month;Jan;?
445;Order_Month;Nov;?
358;Order_Total;1;1
855;Delivery_Year_;1992;?
544;Engine;PW;?
835;Region;North America;North America
879;Delivery_Total;2;2
461;Delivery_Total;2;2
352;Region;Europe;East Asia
9;Delivery_Total;2;2
871;Delivery_Year_;1968;?
191;Order_Year;2006;?
304;Engine;PW;PW
882;Delivery_Total;6;6
882;Country;India;India
819;Order_Total;1;1
827;Order_Year;1978;?
888;Engine;RR;?
329;Order_Month;Nov;Nov
472;Delivery_Year_;1969;?
599;Engine;PW;?
897;Order_Month;Jan;?
512;Order_Year;2014;?
26;Order_Month;Jan;Jan
690;Order_Month;Aug;?
687;Region;North America;North America
166;Country;USA;USA
408;Order_Month;Jan;?
106;Country;Italy;Italy
30;Customer_Name;Lufthansa Cargo;DAE 4 Ireland Limited
630;Engine;PW;?
700;Order_Total;1;?
432;Delivery_Total;3;?
216;Customer_Name;Flightlease;?
800;Order_Year;1996;?
516;Order_Month;May;?
799;Order_Year;1979;1979
465;Engine;GE;?
840;Delivery_Year_;2015;?
885;Region;North America;North America
660;Delivery_Total;2;2
742;Country;Greece;?
391;Order_Year;1991;?
848;Delivery_Total;1;1
167;Order_Total;1;1
559;Delivery_Total;2;2
272;Country;Austria;Romania
259;Model_Series;737-700;?
102;Order_Year;1980;?
776;Customer_Name;International Lease Finance Co;?
761;Engine;GE;?
296;Country;Bahamas;?
898;Customer_Name;British Eagle International;?
295;Delivery_Total;2;2
436;Engine;PW;?
241;Model_Series;747-400F;?
564;Customer_Name;Olympic Airlines;?
672;Delivery_Total;2;2
281;Customer_Name;Air Madagascar;?
178;Customer_Name;MG Aviation Limited;?
744;Delivery_Total;1;1
366;Engine;CF;?
183;Country;Ireland;Ireland
756;Delivery_Year_;1978;?
843;Engine;CF;?
813;Model_Series;737-900ER;?
499;Order_Month;Feb;?
732;Region;North America;North America
894;Customer_Name;Flightpath;?
614;Order_Year;2017;?
128;Country;Mauritania;Mauritania
584;Delivery_Total;1;1
763;Country;Malaysia;Malaysia
173;Order_Year;2018;?
171;Country;United Arab Emirates;United Arab Emirates
135;Order_Month;Mar;Apr
437;Model_Series;707/720;?
785;Order_Month;Mar;?
708;Customer_Name;Aeropostal;?
521;Customer_Name;Dutch Caribbean Airlines;?
342;Order_Year;2016;2016
895;Region;Central Asia;Central Asia
439;Order_Month;Sep;?
157;Delivery_Total;1;1
86;Order_Year;1988;?
555;Order_Total;2;2
280;Country;Italy;Italy
27;Customer_Name;Deucalion Capital VII Limited;DAE 4 Ireland Limited
528;Delivery_Total;3;3
120;Delivery_Year_;1974;?
829;Region;East Asia;East Asia
640;Delivery_Year_;1996;?
383;Engine;PW;?
16;Delivery_Total;2;2
697;Delivery_Total;2;2
800;Region;Southeast Asia;Southeast Asia
818;Delivery_Total;2;2
745;Region;Europe;Europe
181;Order_Month;Jan;?
512;Country;Turkey;Turkey
53;Model_Series;747-8;?
687;Order_Total;1;1
681;Delivery_Total;1;1
527;Engine;CF;?
466;Customer_Name;Standard Chartered Aviation Fi;?
340;Order_Month;Aug;?
413;Region;North America;North America
659;Customer_Name;777 Partners;?
599;Delivery_Year_;1991;?
264;Model_Series;777-200LR;?
241;Order_Month;Jan;Jan
592;Order_Total;1;1
798;Model_Series;DC-8;?
261;Model_Series;707/720;?
808;Engine;CF;?
412;Model_Series;DC-9;?
564;Model_Series;727;?
870;Customer_Name;NATO;?
836;Order_Total;2;2
606;Delivery_Year_;2022;?
323;Engine;PW;PW
668;Delivery_Total;1;1
230;Country;Yemen;?
43;Customer_Name;China Cargo;Jade Cargo International
594;Customer_Name;Japan Airlines;?
837;Customer_Name;Ardennes Epsilon;?
642;Model_Series;737-200;?
6;Order_Month;Jan;Jan
78;Delivery_Year_;2021;?
391;Region;Europe;Europe
883;Delivery_Total;1;1
748;Order_Year;2007;?
358;Customer_Name;Ruili Airlines;Okay Airways Company Limited
844;Customer_Name;Union Aeromaritime Transport;?
608;Delivery_Total;1;1
634;Order_Month;Mar;?
249;Order_Month;Feb;?
589;Country;Switzerland;Switzerland
164;Order_Month;Dec;Dec
712;Model_Series;737-800;?
741;Engine;CF;CF
846;Delivery_Total;1;1
129;Customer_Name;Finnair;Republic of Portugal
787;Order_Total;2;2
306;Delivery_Year_;1967;?
309;Order_Month;Feb;?
135;Country;United Arab Emirates;United Arab Emirates
739;Region;North America;North America
2;Region;Europe;East Asia
369;Order_Total;2;2
539;Engine;CF;?
13;Order_Total;1;1
737;Order_Total;1;1
858;Region;North America;North America
569;Customer_Name;West Coast Airlines - UK (Inac;?
631;Customer_Name;BDS Indian Navy P-8I;?
761;Country;USA;USA
626;Region;North America;North America
258;Customer_Name;Boeing Capital Corporation;Boeing Capital Corporation
362;Delivery_Year_;1988;?
513;Order_Year;2008;?
626;Customer_Name;Transair (Inactive);?
423;Customer_Name;AIR ITALY S.p.A.;?
706;Delivery_Total;2;2
817;Order_Month;Jul;?
9;Country;USA;USA
478;Order_Year;1988;?
637;Model_Series;737-200;?
41;Customer_Name;Air Lease Corporation;?
45;Region;East Asia;East Asia
66;Customer_Name;American Airlines;?
783;Region;Southeast Asia;Southeast Asia
38;Delivery_Total;2;2
877;Customer_Name;Air Berlin;?
92;Country;Taiwan;Taiwan
517;Delivery_Year_;1994;?
774;Delivery_Year_;1983;?
253;Order_Year;1978;?
886;Region;Oceania;Oceania
391;Delivery_Total;3;3
432;Order_Total;3;?
108;Order_Total;3;3
287;Delivery_Year_;1989;?
111;Order_Month;Mar;?
225;Order_Total;2;2
635;Model_Series;737-800;?
36;Country;Azerbaijan;Azerbaijan
459;Region;Africa;Africa
753;Country;Sudan;Sudan
184;Region;North America;North America
26;Order_Year;1979;1978
19;Country;Hungary;Turkey
455;Order_Total;4;4
693;Delivery_Year_;1999;?
