riga;nome attributo;valore da imputare;valore imputato
521;Country;Netherlands;?
52;Country;Brazil;?
702;Country;United Arab Emirates;?
687;Country;USA;USA
707;Country;India;India
514;Country;USA;?
536;Country;Germany;Germany
342;Country;China;?
483;Country;Venezuela;?
847;Country;USA;?
159;Country;Azerbaijan;?
823;Country;Nepal;Nepal
184;Country;USA;?
317;Country;India;?
856;Country;Belgium;?
276;Country;Indonesia;?
438;Country;State of Libya;?
673;Country;USA;?
539;Country;Slovakia (Slovak Republic);?
777;Country;Kuwait;?
691;Country;USA;?
498;Country;Italy;?
274;Country;USA;?
717;Country;Belgium;?
72;Country;Italy;?
32;Country;China;?
396;Country;USA;?
5;Country;Russian Federation;?
841;Country;Russian Federation;?
385;Country;China;?
347;Customer_Name;SMBC Aviation Capital;?
162;Customer_Name;CP Air;?
873;Customer_Name;SAS Norway;?
630;Customer_Name;Austrian Airlines;?
825;Customer_Name;United Airlines;?
156;Customer_Name;TAP Portugal;?
292;Customer_Name;Timaero Ireland Limited;?
607;Customer_Name;China Southern Airlines;?
395;Customer_Name;TAME;?
532;Customer_Name;SABENA Aerospace;?
806;Customer_Name;Okay Airways Company Limited;?
632;Customer_Name;Delta Air Lines;?
169;Customer_Name;Vistara;?
471;Customer_Name;Indonesian Air Force-DUPLICATE;?
423;Customer_Name;AIR ITALY S.p.A.;?
668;Customer_Name;ITOCHU Corporation;?
285;Customer_Name;Turkish Air Force Peace Eagle;?
381;Customer_Name;TWA;?
809;Customer_Name;FedEx Express;?
428;Customer_Name;MIAT Mongolian Airlines;?
284;Customer_Name;Ceiba Intercontinental;?
276;Customer_Name;Lion Air;?
523;Customer_Name;All Nippon Airways Co. Ltd.;?
660;Customer_Name;Brussels Airlines SA/NV;?
197;Customer_Name;Transtar Airlines Corporation;?
650;Customer_Name;Juneyao Air Co. LTD.;?
19;Customer_Name;Malev Hungarian Airlines Ltd.;?
73;Customer_Name;US Airways Inc.;?
135;Customer_Name;Etihad Airways;?
167;Customer_Name;LTU;?
680;Customer_Name;Euralair;?
302;Delivery_Year_;2014;?
511;Delivery_Year_;1983;?
51;Delivery_Year_;1983;?
654;Delivery_Year_;1975;?
405;Delivery_Year_;1992;?
93;Delivery_Year_;1975;?
646;Delivery_Year_;1980;?
192;Delivery_Year_;2013;?
442;Delivery_Year_;1978;?
289;Delivery_Year_;1992;?
705;Delivery_Year_;1986;?
387;Delivery_Year_;2020;?
515;Delivery_Year_;1968;?
667;Delivery_Year_;1980;?
224;Delivery_Year_;1991;?
