riga;nome attributo;valore da imputare;valore imputato
6050;NOC;FRG;?
2388;Height;178.0;?
804;Weight;90.0;115.0
6051;Year;2016;?
2726;Season;Summer;Summer
320;City;Barcelona;?
2991;NOC;BLR;?
351;Games;2014 Winter;2014 Winter
4830;Year;1996;?
6513;Year;1968;?
1565;Age;33.0;?
412;Team;South Africa;?
2098;Weight;72.0;115.0
5308;Weight;64.0;?
4025;Games;2012 Summer;2008 Summer
2946;Games;1972 Summer;2008 Summer
5692;Weight;72.0;?
4600;Team;United States;?
7023;Age;22.0;?
550;Sport;Cross Country Skiing;?
6335;NOC;GBR;?
1725;Year;1980;?
1414;Year;1976;?
1656;Weight;71.0;115.0
4610;Name;Jay Thomas Tommy Evans;Felix Aronovich
2822;Height;166.0;?
6392;Name;Carola Dombeck;?
1618;City;Roma;?
3143;Games;1976 Summer;2008 Summer
4579;NOC;COL;?
4259;Season;Summer;Winter
1118;Height;164.0;?
1637;Sport;Wrestling;?
4007;Year;2014;?
2932;Name;Giovanni De Benedictis;Hartmut Faust
3289;City;Seoul;?
448;Height;182.0;206.0
2498;Sport;Rowing;?
2085;Season;Summer;Summer
1686;Height;168.0;?
6991;Name;Bengt Mikael Andersson;Daniel Bowker
6224;Season;Summer;Summer
230;Year;2008;1924
2295;Height;165.0;?
502;Games;1996 Summer;2008 Summer
5633;Sex;F;M
5302;Weight;74.0;?
5600;Season;Summer;Summer
88;Team;Mexico;?
4105;Year;2012;?
5849;Team;Australia;?
3327;Height;153.0;?
2690;NOC;CAN;?
33;Sex;M;M
5843;Year;2016;?
2720;Weight;56.0;158.0
703;Age;30.0;?
4494;Sport;Rowing;?
5170;NOC;KOR;?
3700;Team;Ukraine;?
6379;Age;20.0;?
1572;Sex;M;M
3330;NOC;NED;?
2716;Name;Jorge de Crdenas Pl;Carl Crawford
1284;Age;14.0;?
827;Age;18.0;?
3552;Weight;52.0;158.0
3933;Season;Summer;Winter
1973;NOC;SEN;?
4981;Height;172.0;?
5789;Team;Poland;?
1279;Sport;Athletics;?
1779;Age;22.0;48.0
4327;City;Seoul;?
5577;NOC;ITA;?
7233;Weight;69.0;?
2563;Team;Brazil;?
7441;Weight;58.0;?
1904;Weight;75.0;115.0
561;Season;Summer;Summer
5650;Height;193.0;?
2922;Name;Raychin Antonov;Peter Brtschi
5060;Weight;81.0;?
4163;Height;175.0;183.0
4103;NOC;FRA;?
5785;Age;27.0;25.0
3736;NOC;FRG;?
5119;Year;2008;?
3739;Team;Morocco;?
1998;Sex;M;M
7184;City;Beijing;?
1713;NOC;ROU;?
3599;Weight;72.0;115.0
4751;NOC;CAN;?
662;Team;Bermuda;?
5083;Weight;65.0;102.0
1768;Age;21.0;?
5753;Year;1996;?
635;Weight;62.0;115.0
7424;Season;Summer;?
2631;NOC;YUG;?
3856;NOC;ESP;?
40;Season;Summer;Summer
2234;City;Roma;?
6190;Year;1960;?
5336;Games;1936 Summer;2008 Summer
853;Sex;F;M
1104;Year;2012;?
5854;NOC;ARG;?
6557;Team;Bulgaria;?
5209;City;Calgary;?
1860;City;Los Angeles;?
5249;Height;182.0;?
6485;Sex;F;M
4432;Games;1980 Summer;2008 Summer
4933;Season;Summer;Summer
6015;Height;182.0;?
1060;Name;Martina Maria Anna Antonia Tineke Bartels-de Vries;Terene Eva Terry Donovan
6480;Year;1972;?
2630;Weight;75.0;?
2773;Season;Summer;Summer
2751;Season;Summer;Summer
1546;Sport;Swimming;?
7313;Games;2008 Summer;?
1415;Sport;Cross Country Skiing;?
1091;Year;1996;?
993;Sport;Gymnastics;?
2002;Name;Theodore Ted Boronovskis;Barbara Eck
4320;Height;179.0;?
75;NOC;NED;ZIM
5327;Name;Werner Fischer;Graham Francis Bond
4878;NOC;KSA;?
6815;NOC;USA;?
5231;Sport;Shooting;?
2507;Season;Summer;Summer
6723;Height;171.0;?
6543;Weight;75.0;?
6292;Weight;76.0;?
3324;Year;1980;?
5214;City;Torino;?
658;City;Seoul;?
4876;City;Roma;?
5492;Games;1960 Winter;1972 Summer
7175;Year;1964;?
4305;Sex;M;F
3315;Sport;Athletics;?
6961;Sport;Shooting;?
5124;NOC;UKR;?
2882;Age;27.0;?
4211;Age;24.0;?
1112;Year;1992;?
4318;Sex;M;M
