riga;nome attributo;valore da imputare;valore imputato
365;num_cores;8.0;?
821;brand_name;honor;?
337;processor_speed;2.2;?
350;os;android;android
345;os;android;android
329;ram_capacity;4.0;?
193;model;Xiaomi Redmi Note 11 (6GB RAM + 64GB);?
742;ram_capacity;4.0;?
810;num_cores;8.0;?
602;processor_speed;3.13;?
175;rating;76.0;?
404;internal_memory;128.0;?
790;brand_name;realme;?
690;model;Xiaomi Mi 11 Lite (8GB RAM + 128GB);?
100;processor_speed;2.85;?
68;os;android;android
43;price;11936;?
145;num_cores;8.0;?
389;num_cores;8.0;?
122;os;android;android
482;rating;84.0;?
444;ram_capacity;4.0;?
110;processor_speed;2.5;?
449;ram_capacity;4.0;?
671;rating;64.0;?
191;brand_name;realme;?
227;processor_brand;exynos;?
747;price;9999;?
469;num_cores;8.0;?
314;processor_brand;snapdragon;?
279;price;40480;?
512;processor_brand;dimensity;?
421;processor_brand;snapdragon;?
47;os;android;android
712;internal_memory;64.0;?
520;ram_capacity;4.0;?
203;processor_brand;helio;?
213;model;Motorola Moto G73;?
383;processor_speed;2.3;?
6;internal_memory;128.0;?
422;processor_brand;helio;?
490;ram_capacity;4.0;?
521;processor_brand;dimensity;?
286;price;25999;?
99;processor_speed;3.1;?
20;internal_memory;128.0;?
306;rating;84.0;?
168;ram_capacity;6.0;?
21;processor_speed;3.0;?
317;os;android;?
513;internal_memory;128.0;?
367;ram_capacity;8.0;?
452;price;19990;?
369;price;19650;?
701;model;Sony Xperia 10 II;?
258;processor_speed;2.0;?
15;brand_name;apple;?
422;ram_capacity;2.0;?
110;rating;83.0;?
703;processor_brand;helio;?
8;processor_brand;dimensity;?
417;os;android;android
769;price;14999;?
239;os;ios;ios
790;processor_speed;1.6;?
565;os;android;?
377;rating;86.0;?
88;num_cores;8.0;?
278;price;8999;?
518;ram_capacity;6.0;?
384;processor_brand;snapdragon;?
517;brand_name;oppo;?
23;price;17859;?
780;processor_speed;2.9;?
19;price;14499;?
290;brand_name;xiaomi;?
25;os;android;android
695;model;Realme Q2i;?
714;os;android;android
242;os;android;?
761;internal_memory;64.0;?
25;ram_capacity;8.0;?
