riga;nome attributo;valore da imputare;valore imputato
329;name;cendrillon asian grill & marimba bar;?
74;name;gramercy tavern;?
117;name;second avenue deli;?
250;name;hard rock cafe;?
725;name;good enough to eat;?
778;name;moongate;?
127;name;tavern on the green;?
497;name;beesley's of buckhead;?
9;name;campanile;?
295;name;arizona;?
311;name;ct;?
639;name;world wrapps;?
703;name;ruby's (la);?
139;name;le montrachet;?
553;name;golden nugget hotel;?
590;name;harry denton's;?
327;name;captain's table;?
136;name;chin's;?
487;name;water club;?
628;name;stars cafe;?
637;name;vivande porta via;?
2;name;arnie morton's of chicago;?
733;name;kuruma zushi;?
561;name;ralph's diner;?
266;name;pacific dining car;?
273;name;restaurant horikawa;?
108;name;picholine;picholine
283;name;vida;?
661;name;diaghilev;?
29;name;matsuhisa;?
410;name;mad fish;?
65;name;dawat;?
282;name;trader vic's;?
377;name;hudson river club;?
518;name;luna si;?
52;name;aureole;?
826;name;soto;?
529;name;sato sushi and thai;?
98;addr;57 jane st.;?
237;addr;656 n. virgil ave.;?
567;addr;1722 sacramento st.;?
621;addr;558 sacramento st.;?
738;addr;466 hudson st.;?
807;addr;2905 buford hwy.;?
226;addr;9570 wilshire blvd.;?
491;addr;90 prince st.  between broadway and mercer st.;?
573;addr;800 greenwich st.;?
195;addr;7 claude la.;?
78;addr;160 e. 64th st.;?
233;addr;700 w. fifth st.;?
737;addr;32 spring st.;?
292;addr;1 united nations plaza at 44th st.;?
202;addr;777 sutter st.;?
483;addr;54 irving pl. at 17th st.;?
674;addr;4017 s. sepulveda blvd.;?
658;addr;9777 little santa monica blvd.;?
125;addr;201 e. 49th st.;?
390;addr;227 e. 67th st.;?
52;addr;34 e. 61st st.;?
677;addr;4000 colfax ave.;?
60;addr;854 seventh ave.;?
808;addr;2469 cobb pkwy.;?
742;addr;405 atlantic ave.;?
479;addr;34 e. 51st st.;?
490;addr;34 union sq. e at 16th st.;?
815;addr;1031 ponce de leon ave.;?
622;addr;1 tillman pl.;?
252;addr;301 n. beverly dr.;?
509;addr;923 peachtree st.  at 8th st.;?
167;city;atlanta;?
861;city;san francisco;?
585;city;san francisco;?
31;city;los angeles;?
323;city;new york;?
333;city;new york;?
752;city;new york city;?
845;city;san francisco;?
640;city;san francisco;?
416;city;new york;?
485;city;new york;new york
80;city;new york city;new york city
217;city;san francisco;?
820;city;atlanta;?
571;city;san francisco;?
184;city;atlanta;?
542;city;las vegas;?
345;city;new york;?
637;city;san francisco;?
254;city;los angeles;?
646;city;west la;?
132;city;new york city;?
664;city;westwood;?
817;city;atlanta;?
514;city;atlanta;?
245;city;los angeles;?
803;city;atlanta;?
855;city;san francisco;?
110;city;new york city;new york
240;city;los angeles;?
457;city;new york;?
50;city;new york city;?
818;city;atlanta;?
375;city;new york;?
459;phone;212/838-3531;?
847;phone;415-431-7210;?
596;phone;415/986-0100;?
184;phone;404-659-0400;?
297;phone;212/385-0313;?
41;phone;310/652-4025;?
250;phone;310/276-7605;?
339;phone;212/254-8776;?
47;phone;212/582-7200;212-582-7200
656;phone;310-397-5703;?
37;phone;818/990-0500;818-990-0500
216;phone;415-922-0337;?
13;phone;213/857-0034;213-857-0034
342;phone;212/ 986-8080;?
840;phone;415-826-4639;?
74;phone;212-477-0777;?
651;phone;213-612-1580;?
773;phone;702-385-4011;?
679;phone;213-655-9045;?
155;phone;404/266-1440;?
127;phone;212/873-3200;?
533;phone;404/321-1118;?
499;phone;404/724-0901;?
242;phone;310/828-1585;?
683;phone;213-483-8050;?
3;phone;818/762-1221;818-762-1221
385;phone;212/751-2323;?
550;phone;702/734-0410;?
113;phone;718/522-5200;?
147;phone;702/731-4036;?
642;phone;415/566-6966;?
513;phone;404/351-0870;?
315;phone;212/873-7411;?
711;phone;310-545-5177;?
552;phone;702/367-2411;?
51;phone;212/ 319-1660;?
694;phone;818-308-2128;?
327;phone;212/697-9538;?
195;phone;415/392-3505;?
848;phone;415-285-7117;?
594;type;asian;?
147;type;seafood;?
134;type;bbq;?
208;type;thai;?
537;type;buffets;?
583;type;american;?
789;type;cajun/creole;?
177;type;international;?
350;type;french;?
846;type;mexican;?
792;type;southern/soul;?
618;type;french;?
58;type;italian;?
196;type;french bistro;?
646;type;american;?
157;type;american;?
859;type;thai;?
524;type;american;?
457;type;american;?
21;type;asian;?
799;type;steakhouses;?
793;type;southern/soul;?
681;type;mexican;?
281;type;italian;?
398;type;french;?
521;type;italian;?
93;type;american;?
749;type;steakhouses;?
41;type;californian;?
435;type;italian;?
122;type;chinese;?
88;type;asian;?
240;class;127;?
736;class;624;?
322;class;209;?
617;class;504;?
326;class;213;?
752;class;640;?
498;class;385;427
145;class;72;72
5;class;2;2
781;class;669;?
811;class;699;?
462;class;349;?
348;class;235;?
60;class;29;29
159;class;79;79
226;class;113;?
597;class;484;?
155;class;77;77
439;class;326;?
431;class;318;?
199;class;99;99
603;class;490;?
659;class;547;?
406;class;293;?
273;class;160;?
511;class;398;?
7;class;3;3
427;class;314;?
710;class;598;?
184;class;91;?
837;class;725;?
420;class;307;?
