riga;nome attributo;valore da imputare;valore imputato
135;location;hyderabad;?
2091;model;Classic;?
2900;mileage;67.0;?
1655;model_year;2020;?
2042;company;Harley-Davidson;?
3992;company;Hero;?
2119;company;Royal-Enfield;?
3983;kms_driven;5500;?
1137;model_year;2011;?
2636;mileage;35.0;?
2202;model_year;2014;?
1141;location;ahmedabad;?
1584;power;19.8;?
2206;mileage;40.0;?
2826;model;Xtreme;?
2817;price;41000;?
2284;price;515000;?
3819;location;gurgaon;?
2347;power;8.2;?
2469;location;gautam buddha nagar;?
780;location;mumbai;?
1345;mileage;35.0;?
2992;kms_driven;38385;?
2579;price;88000;?
3916;mileage;45.0;?
3027;company;UM;?
2597;mileage;40.0;?
3892;mileage;55.0;?
67;model_year;2019;?
600;power;20.3;?
3623;power;42.9;?
3400;location;noida;?
1339;power;14.3;?
556;model;Avenger;?
2695;model;Classic;?
1607;kms_driven;11000;?
3112;location;delhi;?
2412;location;hyderabad;?
713;power;27.2;?
1261;location;delhi;?
1032;model_year;2018;?
504;location;mumbai;?
1312;kms_driven;25000;?
4025;owner;first;first
3366;model;Avenger;?
2126;mileage;20.0;?
2970;mileage;35.0;?
2289;model;Continental;?
1113;mileage;53.0;?
1442;mileage;55.47;?
1958;price;31125;?
2610;company;Royal-Enfield;?
1608;kms_driven;28500;?
2898;owner;first;first
2691;model;Thunderbird;?
4079;mileage;84.0;?
853;price;36500;?
712;model;YZF-R15;?
3918;price;16000;?
1103;company;Royal-Enfield;?
477;location;mumbai;?
342;kms_driven;8000;?
1089;model;Intruder;?
1193;kms_driven;17000;?
2276;mileage;40.0;?
494;owner;first;first
3319;kms_driven;56712;?
1408;location;pune;?
1476;location;bangalore;?
2275;owner;first;first
3682;power;47.0;?
2835;company;Benelli;?
4014;model_year;2016;?
546;owner;first;first
247;power;24.2;?
3460;power;25.0;?
3700;power;47.0;?
807;location;hyderabad;?
555;mileage;81.0;?
3979;mileage;35.0;?
3029;company;Royal-Enfield;?
504;mileage;40.0;?
2791;kms_driven;44000;?
97;power;12.9;?
1983;owner;third;first
3679;owner;first;first
1215;mileage;35.0;?
2833;model;Sport;?
487;price;105000;?
3468;mileage;40.0;?
2088;owner;first;first
4031;power;19.8;?
2381;power;19.8;?
3236;company;Honda;?
1120;mileage;45.0;?
2539;kms_driven;15000;?
800;mileage;62.0;?
2927;mileage;25.0;?
3539;location;delhi;?
2550;kms_driven;12700;?
2798;location;gurgaon;?
626;company;Yamaha;?
881;owner;second;first
3178;model_year;2011;?
126;power;19.0;?
1700;model;Thunderbird;?
59;model_year;2019;2019
2926;location;delhi;?
2606;model_year;2014;?
2838;power;8.1;?
1360;location;hyderabad;?
2308;owner;first;first
2083;kms_driven;8400;?
56;kms_driven;29500;?
912;location;chandigarh;?
1155;company;Harley-Davidson;?
3416;model;RC;?
2517;kms_driven;30000;?
2598;owner;first;first
3892;model_year;2010;?
3572;power;42.9;?
2959;location;pune;?
2881;location;bangalore;?
2817;kms_driven;20050;?
22;mileage;29.0;?
2891;owner;first;first
835;model_year;2015;?
3410;model;Gixxer;?
2091;company;Royal-Enfield;?
1313;company;Royal-Enfield;?
34;owner;first;first
2807;power;19.8;?
1673;power;13.0;?
2192;power;14.0;?
1317;power;14.3;?
3566;owner;first;first
3562;price;20000;?
1852;owner;first;first
1891;price;134400;?
1347;location;delhi;?
2632;model_year;2016;?
3928;model_year;2016;?
1580;model_year;2011;?
3747;model_year;2017;?
118;model_year;2018;?
3477;owner;first;first
761;price;135000;?
1061;mileage;35.0;?
466;owner;first;first
770;kms_driven;46000;?
2105;kms_driven;18000;?
1677;company;Royal-Enfield;?
1860;company;Bajaj;?
3907;kms_driven;3000;?
1144;price;57541;?
3259;owner;first;first
1687;price;77572;?
4028;model;FZs;?
2805;power;47.0;?
932;company;Hero;?
2837;model;CT;?
2429;mileage;42.0;?
1724;owner;first;first
540;model_year;2020;?
3606;price;120000;?
1654;mileage;57.0;?
31;model;Karizma;?
2710;model;Centuro;?
2833;location;delhi;?
3044;model_year;2012;?
1432;model;YZF-R15;?
1699;mileage;35.0;?
3014;model;Xtreme;?
859;model;Splendor;?
1040;mileage;43.0;?
2143;owner;first;first
824;mileage;22.0;?
1902;owner;first;first
2589;model_year;2015;?
538;owner;first;first
3764;owner;first;first
3180;owner;first;first
1131;company;Royal-Enfield;?
2965;model_year;2016;?
286;kms_driven;10000;?
862;model;Classic;?
2186;company;Royal-Enfield;?
541;model_year;2016;?
3498;mileage;25.0;?
3030;kms_driven;26000;?
2250;kms_driven;19500;?
3955;location;pune;?
3264;mileage;35.0;?
1495;owner;first;first
3811;company;Royal-Enfield;?
973;location;pune;?
3941;mileage;57.0;?
498;kms_driven;7500;?
2273;company;Hero;?
327;power;14.6;?
4090;company;TVS;?
616;location;delhi;?
3599;mileage;35.0;?
3211;price;92000;?
1568;location;delhi;?
2555;owner;first;first
1425;owner;first;first
3541;power;19.8;?
1925;kms_driven;20000;?
569;price;65000;?
1699;company;Royal-Enfield;?
1401;location;lucknow;?
3454;model_year;2017;?
2541;price;240000;?
2087;price;101675;?
111;model_year;2020;2020
2559;owner;second;first
