riga;nome attributo;valore da imputare;valore imputato
565;year;2018;?
2168;bike_name;Yamaha;?
2695;circuit_name;Losail;?
2403;country;DE;DE
1362;team_name;Ongetta-Rivacold;?
1420;bike_name;Ducati;?
1119;bike_name;Honda;?
2818;number;9.0;?
100;number;4.0;?
1063;shortname;VAL;?
1339;points;11;?
845;category;MotoGP;MotoGP
1426;rider_name;Nieto Pablo;Nieto Pablo
1424;position;2;5
2063;country;US;US
1437;year;2014;2018
2306;number;36.0;?
2699;country;ES;ES
80;points;20;?
2894;country;DE;DE
705;number;5.0;?
226;bike_name;Honda;Honda
345;category;MotoGP;MotoGP
73;country;IT;IT
2785;bike_name;Honda;Honda
1745;country;GB;GB
1218;position;2;1
2264;team_name;Monster Yamaha Tech 3;?
775;rider;2059;2059
434;year;2021;?
2939;shortname;RSM;?
1391;country;ES;ES
1494;country;FI;FI
1877;position;1;5
2897;bike_name;FTR;FTR
908;points;25;?
1284;bike_name;Honda;Yamaha
2651;number;26.0;?
1955;points;13;?
1250;year;2005;?
320;points;11;?
452;rider_name;_nc_ Deniz;_nc_ Deniz
1304;category;125cc;?
2066;rider_name;Morbidelli Franco;?
240;team_name;Estrella Galicia 00;?
36;position;4;4
1306;year;2009;?
1888;position;5;5
2376;shortname;FRA;?
1486;rider;2015;?
2296;points;13;?
385;team_name;Red Bull KTM Ajo;?
2442;points;16;?
2137;category;Moto2;?
1263;category;MotoGP;MotoGP
2497;category;250cc;250cc
2647;bike_name;KTM;KTM
2917;rider_name;Zarco Johann;Zarco Johann
340;team_name;Mapfre Aspar Team;?
1800;rider_name;Lorenzo Jorge;Lorenzo Jorge
506;category;MotoGP;MotoGP
11;points;25;?
2612;country;ES;ES
386;country;BR;ES
1532;bike_name;Derbi;Derbi
2642;rider_name;Oliveira Miguel;Oliveira Miguel
780;shortname;GBR;?
2636;circuit_name;Jerez;?
716;number;40.0;?
1443;position;3;2
2168;team_name;Camel Yamaha Team;?
1100;year;2009;2010
1024;bike_name;Honda;Honda
1502;number;8.0;?
1819;circuit_name;Sachsenring;?
2191;position;2;?
753;year;2020;?
2189;year;2014;?
1587;points;20;?
678;points;20;?
2113;number;45.0;?
1213;points;25;?
1213;number;7.0;?
664;team_name;Movistar Yamaha MotoGP;?
591;number;36.0;?
2984;position;4;2
339;position;1;2
509;country;IT;IT
1751;country;GB;GB
1501;year;2019;2017
863;circuit_name;Sachsenring;?
1082;bike_name;KTM;?
2723;category;Moto3;Moto3
2689;number;88.0;?
2124;team_name;Marc VDS Racing Team;?
1321;country;CZ;CZ
1166;rider;2502;2502
643;year;2017;?
1630;team_name;Multimedia Racing;?
731;position;1;2
164;rider_name;Crutchlow Cal;Crutchlow Cal
141;year;2012;?
1178;circuit_name;Indianapolis;?
265;category;250cc;?
2742;points;20;?
880;team_name;Federal Oil Gresini Moto2;?
610;category;Moto2;Moto3
2099;country;IT;IT
2227;rider_name;Spies Ben;Spies Ben
1577;number;44.0;?
2764;year;2017;2013
928;position;5;5
1325;number;36.0;?
1188;year;2014;?
2599;rider;2202;2202
1325;country;ES;ES
644;bike_name;KTM;?
788;points;20;?
289;circuit_name;Jerez;?
1773;country;IT;IT
1115;shortname;MAL;?
2019;rider;2015;?
1617;position;3;5
1342;bike_name;Ducati;Ducati
968;bike_name;Suter;Suter
940;bike_name;Honda;Honda
2428;position;1;2
712;points;13;?
1144;rider;1981;1981
2087;circuit_name;Losail;?
466;shortname;ARA;?
557;points;13;?
993;rider;2425;2425
1407;shortname;SPA;?
555;number;16.0;?
488;country;DE;DE
131;country;CH;CH
2498;points;20;?
1661;year;2012;?
2679;year;2012;?
1304;rider_name;Luthi Thomas;Luthi Thomas
713;points;25;?
2507;position;5;5
2252;circuit_name;Brno;?
1387;category;Moto3;Moto3
2784;team_name;Repsol Honda Team;?
2476;position;4;5
1996;shortname;MAL;?
2353;number;37.0;?
662;category;Moto3;?
2365;rider_name;Bautista Alvaro;Lorenzo Jorge
1791;team_name;Bancaja Aspar;?
1686;position;3;2
324;position;2;2
102;rider;2470;?
720;circuit_name;Phillip Island;?
119;team_name;Marc VDS Racing Team;?
2017;rider_name;Pedrosa Dani;Pedrosa Dani
2419;category;Moto3;Moto3
2928;circuit_name;Donington Park;?
2283;country;HU;HU
1817;points;16;?
2560;circuit_name;Le Mans;?
2953;rider_name;Kallio Mika;?
1781;circuit_name;Brno;?
1863;number;5.0;?
2395;circuit_name;Mugello;?
1567;position;2;2
2810;rider_name;Bastianini Enea;Bastianini Enea
71;country;ES;ES
290;shortname;GER;?
1561;rider;2563;2563
2256;bike_name;KTM;?
1244;number;36.0;?
1886;points;25;?
121;points;13;?
2820;year;2021;?
2542;category;Moto2;Moto2
2209;position;2;2
2042;category;Moto2;Moto2
1086;number;46.0;?
562;rider;1762;?
746;position;4;5
192;shortname;ARG;?
1448;team_name;Bancaja Aspar Team;?
2130;circuit_name;Sachsenring;?
799;points;25;?
2342;points;25;?
1633;year;2019;?
2803;year;2006;?
1013;category;Moto2;?
475;category;Moto3;?
1493;number;27.0;?
2212;rider;2473;?
1406;number;36.0;?
1523;shortname;QAT;?
2575;number;44.0;?
416;position;4;5
74;team_name;Movistar Honda MotoGP;?
1313;team_name;SKY Racing Team VR46;?
1749;bike_name;Honda;Honda
2908;year;2008;?
975;points;16;?
1134;circuit_name;Brno;?
1;team_name;Leopard Racing;?
2880;circuit_name;Rio Hondo;?
2777;points;16;?
1741;team_name;OCTO Pramac Racing;?
149;number;6.0;?
1013;bike_name;Kalex;?
16;points;25;?
1414;category;MotoGP;MotoGP
361;country;ES;ES
708;bike_name;Kalex;Kalex
354;bike_name;Honda;Aprilia
1239;category;MotoGP;MotoGP
548;position;4;5
1821;category;Moto3;Moto2
2657;country;IT;IT
1973;rider_name;Syahrin Hafizh;Syahrin Hafizh
2322;country;JP;JP
2855;number;24.0;?
