riga;nome attributo;valore da imputare;valore imputato
176;name;nikolai's roof;?
464;name;spring street natural restaurant & bar;?
520;name;mckinnon's louisiane;?
102;name;oceana;?
853;name;phnom penh cambodian restaurant;?
667;name;hollywood hills coffee shop;?
89;name;lutece;?
134;name;virgil's real bbq;?
776;name;michael's (las vegas);?
531;name;south of france;?
352;name;fifty seven fifty seven;?
801;name;deacon burton's soulfood restaurant;?
234;name;california pizza kitchen;?
378;name;i trulli;?
625;name;south park cafe;?
487;name;water club;?
263;name;nicola;?
365;name;fujiyama mama;?
94;name;march;?
159;name;ciboulette;?
225;name;adriano's ristorante;?
196;name;cafe claude;?
530;name;south city kitchen;?
589;name;harris';?
368;name;gianni's;?
218;name;plumpjack cafe;?
313;name;cafe botanica;?
335;name;columbus bakery;?
144;name;second street grill;?
2;name;arnie morton's of chicago;?
578;name;carta;?
545;name;cafe michelle;?
99;name;montrachet;?
786;addr;3799 las vegas blvd. s.;?
691;addr;7261 melrose ave.;?
381;addr;492 broome st.  near w. broadway;?
487;addr;500 e. 30th st.;?
728;addr;37-03 74th st.;?
431;addr;68 e. 56th st.;?
375;addr;1340 1st ave. at 72nd st.;?
436;addr;250 park ave. s at 20th st.;?
771;addr;3799 las vegas blvd. s.;?
804;addr;1031 peachtree st. ne;?
695;addr;875 s. figueroa st. downtown;?
329;addr;45 mercer st.  between broome and grand sts.;?
785;addr;3645 las vegas blvd. s.;?
59;addr;854 7th ave.  between 54th and 55th sts.;?
347;addr;2150 broadway  between 75th and 76th sts.;?
655;addr;1570 rosecrans ave. s.;?
214;addr;648 bush st.;?
662;addr;1136 westwood blvd.;?
369;addr;208 e. 58th st.  between 2nd and 3rd aves.;?
729;addr;9 pell st.;?
750;addr;308 e. sixth st.;?
545;addr;1350 e. flamingo rd.;?
761;addr;106 bayard st.;?
613;addr;1 market st.;?
293;addr;2 park ave. at 32nd st.;?
498;addr;3500 peachtree rd.  phipps plaza;?
344;addr;219 w. broadway  between franklin and white sts.;?
741;addr;435 amsterdam ave.;?
765;addr;205 e. 49th st.;?
56;addr;1 w. 67th st.;?
397;addr;211 w. broadway at franklin st.;?
300;addr;123 w. 52nd st.;?
275;addr;3110 main st.;?
262;addr;414 n. beverly dr.;?
148;addr;2245 e. flamingo rd.;?
402;addr;168 w. 18th st.;?
147;addr;2245 e. flamingo rd.;?
686;addr;519 s. fairfax ave.;?
437;city;new york;?
607;city;san francisco;?
806;city;atlanta;?
631;city;san francisco;?
788;city;atlanta;?
457;city;new york;?
131;city;new york;new york
264;city;santa monica;?
107;city;new york;new york city
351;city;new york;?
13;city;los angeles;los angeles
827;city;atlanta;?
663;city;w. hollywood;?
492;city;atlanta;?
413;city;new york;?
217;city;san francisco;?
39;city;los angeles;?
597;city;san francisco;?
826;city;atlanta;?
381;city;new york;?
683;city;la;?
317;city;new york;?
58;city;new york city;new york
16;city;w. hollywood;hollywood
294;city;new york;?
695;city;la;?
624;city;san francisco;?
278;city;los angeles;?
846;city;san francisco;?
314;phone;212/724-5846;?
180;phone;404-237-2700;?
723;phone;212-840-5000;?
368;phone;212/608-7300;?
588;phone;415/781-8833;?
279;phone;310/859-0926;?
782;phone;702-369-6300;?
133;phone;212/ 921-9494;?
91;phone;212/ 371-7777;212-371-7777
290;phone;212/ 759-0590;?
490;phone;212/614-9291;?
406;phone;212/679-4111;?
237;phone;213/664-7723;?
674;phone;310-397-6654;?
375;phone;212/249-3600;?
385;phone;212/751-2323;?
95;phone;212/807-7400;?
337;phone;212/465-1530;?
452;phone;212/925-3120;?
7;phone;818/788-3536;818-788-3536
497;phone;404/264-1334;?
330;phone;212/505-0727;?
652;phone;818-795-2478;?
720;phone;212-260-6800;?
223;phone;415/399-0499;415-399-0499
54;phone;212-496-6031;?
502;phone;404/365-8100;?
114;phone;718-522-5200;?
119;phone;212/980-9393;?
692;phone;818-906-8881;?
492;phone;404/876-8532;?
662;phone;310-209-1422;?
243;phone;310/358-8585;?
401;phone;212/343-9599;?
617;phone;415/346-2111;?
744;phone;212-228-0822;?
198;phone;415-955-5555;?
216;phone;415-922-0337;?
372;phone;212/777-5922;?
843;phone;415-282-0919;?
471;phone;212/228-0604;?
318;phone;212/924-7653;?
739;type;japanese;?
863;type;pizza;?
9;type;american;?
688;type;american;?
334;type;italian;?
236;type;mediterranean;?
452;type;italian;?
7;type;french;?
299;type;italian;?
170;type;eclectic;?
813;type;spanish;?
268;type;californian;?
182;type;american (new);?
145;type;steak houses;?
769;type;continental;?
741;type;thai;?
440;type;middle eastern;?
228;type;californian;?
202;type;french (new);?
775;type;chinese;?
249;type;american;?
700;type;japanese;?
188;type;italian;?
396;type;italian;?
656;type;italian;?
413;type;american;?
587;type;vegetarian;?
37;type;french;?
201;type;french;?
849;type;italian;?
194;type;american (new);?
494;class;381;?
658;class;546;?
95;class;47;?
665;class;553;?
214;class;106;106
741;class;629;?
297;class;184;?
657;class;545;?
790;class;678;?
132;class;65;65
96;class;47;?
155;class;77;77
529;class;416;?
648;class;536;?
439;class;326;?
738;class;626;?
317;class;204;?
184;class;91;91
73;class;36;36
452;class;339;?
621;class;508;?
585;class;472;?
117;class;58;58
366;class;253;?
669;class;557;?
708;class;596;?
401;class;288;?
398;class;285;?
609;class;496;?
90;class;44;44
727;class;615;?
87;class;43;43
816;class;704;?
20;class;9;9
