riga;nome attributo;valore da imputare;valore imputato
2885;shortname;ITA;?
254;category;MotoGP;MotoGP
3065;points;11;?
1803;shortname;FRA;?
451;rider;2055;?
1252;rider;2015;?
2041;position;1;?
1803;team_name;Marc VDS Racing Team;?
2974;category;MotoGP;MotoGP
3600;shortname;MAL;?
126;bike_name;Honda;?
1063;points;16;?
1608;year;2011;?
3322;position;2;2
1513;circuit_name;Jerez;?
518;number;71.0;71.0
1193;rider_name;Pedrosa Dani;Pedrosa Dani
3555;number;19.0;?
2003;team_name;AirAsia-Sic-Ajo;?
841;number;1.0;27.0
1934;points;13;?
2557;rider_name;Zarco Johann;Zarco Johann
1883;position;3;2
3441;rider_name;Quartararo Fabio;Quartararo Fabio
2574;shortname;ARG;?
3613;shortname;VAL;?
3036;position;1;2
3876;country;ZA;ZA
772;shortname;POR;?
2807;bike_name;Ducati;?
1043;bike_name;Gilera;?
2930;rider_name;Iannone Andrea;Iannone Andrea
1758;position;3;?
3213;circuit_name;Brno;?
4309;rider_name;Lowes Sam;Lowes Sam
4305;bike_name;KTM;?
3547;position;2;2
4291;rider_name;Gardner Remy;Gardner Remy
3811;country;ES;ES
715;circuit_name;Sepang;?
3769;rider_name;Masia Jaume;Masia Jaume
1926;rider;2293;2475
68;rider_name;Olive Joan;Pedrosa Dani
3833;number;73.0;?
513;position;3;?
1939;shortname;ARA;?
2004;team_name;RW Racing GP;?
3444;team_name;Dynavolt Intact GP;?
84;shortname;CAT;?
4432;circuit_name;Misano;?
3815;shortname;RSM;?
1368;country;IT;IT
1933;circuit_name;Misano;?
2473;points;16;?
3331;bike_name;Honda;?
878;team_name;Mapfre Aspar Team;?
3872;points;20;?
3058;number;64.0;?
869;position;4;3
3993;rider_name;Schrotter Marcel;Schrotter Marcel
3288;position;3;2
2392;circuit_name;Sachsenring;?
3004;shortname;ARA;?
2147;rider_name;Pedrosa Dani;Pedrosa Dani
3194;circuit_name;Assen;?
655;shortname;RSM;?
2357;points;20;?
1447;year;2010;?
3431;position;1;2
3100;country;ES;ES
2902;circuit_name;Catalunya;?
2793;number;26.0;?
1916;country;DE;DE
2132;team_name;Repsol Honda Team;?
2850;team_name;Leopard Racing;?
2245;points;11;?
1738;points;16;?
3339;points;13;?
527;bike_name;Aprilia;?
1636;country;AU;AU
2828;number;94.0;?
860;year;2008;?
4062;rider_name;Lowes Sam;Lowes Sam
2437;circuit_name;Silverstone;?
1727;category;Moto2;125cc
1100;points;11;?
2028;rider_name;Kallio Mika;?
3294;rider_name;Bagnaia Francesco;Bagnaia Francesco
1372;rider_name;Espargaro Pol;Espargaro Pol
1355;team_name;Bancaja Aspar Team;?
3709;year;2019;?
3975;rider;1762;1762
599;category;MotoGP;250cc
3027;year;2016;?
3519;country;IT;IT
2011;points;25;?
1924;country;IT;IT
3878;year;2019;?
445;position;5;3
2083;category;MotoGP;Moto2
1422;number;4.0;34.0
1187;team_name;Ajo Interwetten;?
136;rider_name;Pedrosa Dani;Olive Joan
3402;circuit_name;Jerez;?
2216;category;Moto3;Moto3
1871;circuit_name;Mugello;?
2789;shortname;MAL;?
4246;country;BR;BR
2015;circuit_name;Losail;?
1222;rider_name;Rossi Valentino;Rossi Valentino
4308;rider_name;Fernandez Augusto;Fernandez Augusto
1243;position;3;2
3620;year;2019;?
1600;team_name;Avant-AirAsia-Ajo;?
307;position;2;2
3725;category;MotoGP;?
711;circuit_name;Sepang;?
3187;rider_name;Luthi Thomas;Luthi Thomas
4322;rider_name;Mir Joan;Mir Joan
3195;rider_name;Danilo Jules;?
1375;team_name;Racing Team Germany;?
2951;number;36.0;?
2118;rider_name;Espargaro Pol;?
2617;number;5.0;?
2814;category;Moto2;Moto2
2941;bike_name;Ducati;?
4293;points;16;13
445;year;2006;?
2085;rider;2174;?
2247;shortname;JPN;?
2829;year;2016;?
3726;position;1;2
4001;shortname;STY;?
970;number;41.0;19.0
3228;year;2017;?
4017;rider_name;Bagnaia Francesco;Bagnaia Francesco
2342;country;ES;ES
2296;number;93.0;?
1538;number;5.0;?
706;rider_name;Stoner Casey;Stoner Casey
55;year;2005;?
4011;rider_name;Vietti Celestino;Vietti Celestino
1457;position;2;2
4409;year;2021;?
861;bike_name;Aprilia;?
155;category;250cc;250cc
3032;bike_name;Yamaha;?
1620;number;11.0;11.0
3114;bike_name;Kalex;?
4278;rider;2666;?
2412;country;IT;IT
1869;bike_name;Honda;?
3323;number;21.0;?
698;number;34.0;34.0
2801;category;Moto3;Moto3
2672;year;2015;?
1168;rider;2059;?
4369;year;2021;?
1335;shortname;CAT;?
1307;year;2010;?
794;position;4;3
1170;shortname;RSM;?
655;rider_name;De Angelis Alex;?
3984;rider_name;Antonelli Niccolo;?
2323;rider_name;Rins Alex;Antonelli Niccolo
2553;team_name;Movistar Yamaha MotoGP;?
2040;number;35.0;?
1153;circuit_name;Indianapolis;?
2978;rider;2284;2284
1637;team_name;Repsol Honda Team;?
2711;bike_name;Honda;Derbi
83;position;3;2
3299;shortname;JPN;?
1376;country;ES;ES
2996;rider;2450;2565
3044;category;Moto3;?
3374;number;33.0;?
1076;points;25;?
181;category;250cc;250cc
3025;rider_name;Cortese Sandro;?
3363;number;42.0;?
2262;category;Moto3;Moto3
520;team_name;Bancaja Aspar;?
1645;country;CH;CH
2808;number;93.0;?
528;category;250cc;250cc
3703;shortname;ITA;?
778;rider;2151;?
3925;bike_name;Kalex;?
2340;category;Moto3;Moto3
3643;rider;2611;2611
711;country;JP;JP
94;category;250cc;MotoGP
287;shortname;CHN;?
1238;bike_name;Honda;?
3274;number;25.0;?
3304;team_name;Monster Yamaha Tech 3;?
4365;category;Moto2;?
1144;points;13;?
3314;category;Moto3;?
3455;circuit_name;Assen;?
3910;shortname;VAL;?
2785;rider;2502;2502
1337;rider_name;Smith Bradley;Smith Bradley
631;points;25;?
2806;circuit_name;Losail;?
628;bike_name;Honda;?
2981;team_name;Red Bull KTM Ajo;?
4253;category;MotoGP;?
1753;shortname;QAT;?
842;bike_name;Yamaha;?
1785;category;MotoGP;?
4218;country;GB;GB
3370;year;2018;?
867;circuit_name;Assen;?
2786;rider;2429;?
2095;rider_name;Vazquez Efren;Vazquez Efren
874;circuit_name;Sachsenring;?
4167;year;2021;?
2160;rider;2475;2293
2339;rider_name;Bagnaia Francesco;Bagnaia Francesco
3432;bike_name;KTM;?
4393;category;Moto2;?
4310;position;5;3
2907;rider;2450;2450
1280;year;2010;?
861;rider;2059;?
3347;country;ES;ES
1858;rider;2055;?
1386;position;1;2
46;rider;2015;2058
17;year;2005;?
3535;bike_name;Kalex;?
4298;year;2021;?
2888;circuit_name;Mugello;?
1821;number;25.0;25.0
4203;rider_name;Gardner Remy;Gardner Remy
3084;country;PT;ES
644;rider;2004;?
135;bike_name;KTM;?
1001;position;1;?
3352;position;2;?
2963;bike_name;Kalex;?
4328;country;ES;ES
2412;team_name;SKY Racing Team  VR46;?
4212;rider;2499;2499
2803;rider_name;Kornfeil Jakub;Kornfeil Jakub
2006;rider;2058;?
909;points;13;?
3757;team_name;Ducati Team;?
3609;circuit_name;Ricardo Tormo;?
3234;number;42.0;?
384;number;10.0;10.0
2278;shortname;QAT;?
3392;points;20;?
3643;category;Moto3;?
1635;country;IT;IT
4171;position;1;?
1668;number;27.0;?
2211;year;2013;?
2628;rider_name;Pedrosa Dani;Pedrosa Dani
4297;bike_name;KTM;?
4364;position;4;3
2723;bike_name;Kalex;?
13;points;16;?
2720;position;5;?
107;points;20;?
912;category;250cc;125cc
3553;shortname;THA;?
3579;country;ES;?
1840;year;2012;?
106;country;IT;IT
1751;number;99.0;48.0
1628;bike_name;Aprilia;?
4026;circuit_name;Misano;?
1766;shortname;SPA;?
859;circuit_name;Assen;?
4286;year;2021;?
483;team_name;Team Toth Aprilia;?
3199;circuit_name;Sachsenring;?
2168;rider;2075;2075
1602;points;20;?
3382;year;2018;?
3743;circuit_name;Sachsenring;?
1279;country;ES;ES
1742;year;2011;?
998;shortname;QAT;?
2320;number;40.0;?
3179;number;33.0;?
1016;circuit_name;Motegi;?
2827;category;Moto2;Moto2
2801;circuit_name;Ricardo Tormo;?
2908;rider_name;Bastianini Enea;Melandri Marco
773;number;36.0;55.0
4232;circuit_name;Le Mans;?
2904;team_name;Petronas Raceline Malaysia;?
1725;circuit_name;Phillip Island;?
3005;category;MotoGP;MotoGP
3661;points;25;?
3468;category;MotoGP;?
3822;rider;2619;2619
3382;circuit_name;Texas;?
2752;bike_name;Kalex;?
4426;rider_name;Lowes Sam;Lowes Sam
235;country;IT;IT
1769;bike_name;Yamaha;Yamaha
3356;points;25;?
3635;category;MotoGP;?
3504;country;IT;IT
1578;rider;2107;2107
1911;shortname;CZE;?
1861;country;ES;ES
2862;circuit_name;Jerez;?
403;position;3;2
1952;category;MotoGP;250cc
184;points;13;?
2904;circuit_name;Catalunya;?
3761;position;1;1
2625;category;Moto3;MotoGP
4214;rider;2284;2284
89;rider;2093;?
3783;year;2019;?
96;number;14.0;14.0
559;rider_name;Dovizioso Andrea;?
1694;number;7.0;7.0
3205;shortname;GER;?
4291;circuit_name;Sachsenring;?
2015;rider_name;Kallio Mika;?
1515;points;11;?
437;bike_name;Aprilia;?
1665;rider_name;Zarco Johann;?
2;rider;1588;?
2663;circuit_name;Sachsenring;?
2434;bike_name;Honda;?
2058;category;Moto2;MotoGP
408;rider;1981;?
2329;country;ES;ES
4378;team_name;Elf Marc VDS Racing Team;?
3223;year;2017;?
3874;category;MotoGP;?
3607;rider;2597;2597
1398;team_name;Interwetten Moriwaki Moto2;?
964;points;13;?
3943;year;2020;?
3840;bike_name;Honda;?
2055;country;US;US
3079;number;93.0;?
1547;year;2011;?
3927;shortname;QAT;?
4188;rider;2605;?
2834;year;2016;?
1872;circuit_name;Mugello;?
3610;country;AU;AU
3136;circuit_name;Le Mans;?
1752;circuit_name;Losail;?
3967;category;MotoE;?
1565;rider;2224;?
664;bike_name;Honda;?
1025;category;MotoGP;MotoGP
2230;position;5;3
3219;shortname;CZE;?
3162;rider_name;Di Giannantonio Fabio;Di Giannantonio Fabio
377;position;2;1
322;number;19.0;15.0
945;circuit_name;Motegi;?
3597;category;Moto3;?
516;shortname;TUR;?
1980;circuit_name;Sepang;?
3316;rider_name;Dovizioso Andrea;?
2358;circuit_name;Catalunya;?
2332;bike_name;Kalex;?
4001;category;MotoGP;?
2325;country;ES;ES
947;points;20;?
504;position;4;4
2444;team_name;Mahindra Racing;?
1711;rider;2032;?
1844;country;US;US
4202;circuit_name;Algarve;?
12;year;2005;?
1346;category;Moto2;125cc
593;bike_name;Aprilia;?
2841;shortname;AME;?
2233;year;2013;?
497;rider_name;Bautista Alvaro;?
3651;bike_name;Kalex;Kalex
739;rider_name;Dovizioso Andrea;?
3823;circuit_name;Misano;?
4391;points;25;?
4027;rider;2639;2639
2409;number;53.0;?
1765;team_name;Estrella Galicia 00;?
3056;position;1;2
1069;shortname;CAT;?
3375;position;5;3
2160;country;ES;ES
1603;team_name;Repsol Honda Team;?
4279;points;13;?
4141;category;Moto2;?
1404;position;4;5
3697;number;10.0;?
3871;category;MotoGP;?
3500;circuit_name;Spielberg;?
969;circuit_name;Sepang;?
2536;points;25;?
4139;team_name;Team SUZUKI ECSTAR;?
3636;country;IT;BE
590;number;73.0;73.0
4207;country;IT;IT
569;position;4;1
2378;circuit_name;Assen;?
2757;rider;2429;?
1897;shortname;INP;?
4224;bike_name;Honda;?
4115;bike_name;Speed Up;?
4416;circuit_name;Texas;?
2944;country;IT;IT
4198;rider;2585;2585
1596;number;25.0;33.0
3983;rider_name;Ogura Ai;Ogura Ai
3562;team_name;Pons HP40;?
3146;rider_name;Mir Joan;?
3194;position;4;3
938;rider;1891;1854
2384;country;FR;FR
3702;team_name;Leopard Racing;?
3565;bike_name;KTM;?
241;shortname;SPA;?
3914;points;13;?
415;category;125cc;125cc
230;number;80.0;80.0
650;circuit_name;Misano;?
1354;rider_name;Rabat Tito;Luthi Thomas
2409;circuit_name;Indianapolis;?
247;position;2;2
606;rider_name;Pasini Mattia;?
2024;points;13;?
1175;shortname;RSM;?
3961;category;Moto3;?
3513;bike_name;Honda;?
688;number;55.0;55.0
2242;shortname;JPN;?
3713;points;16;?
3412;country;ES;ES
1013;country;IT;IT
2017;category;Moto3;125cc
141;country;CH;CH
2363;year;2014;?
2348;bike_name;Kalex;?
3924;rider_name;Roberts Joe;?
3414;country;DE;DE
3862;bike_name;Kalex;?
2569;year;2015;?
4069;points;13;?
2177;points;20;?
2152;year;2013;?
2855;points;11;?
2061;position;1;?
2203;rider_name;Marquez Alex;?
2720;bike_name;Yamaha;?
531;number;52.0;52.0
3559;circuit_name;Motegi;?
3758;bike_name;Ducati;?
2671;circuit_name;Indianapolis;?
2299;bike_name;Yamaha;?
3055;number;55.0;?
2966;shortname;CZE;?
1030;bike_name;Aprilia;?
4179;rider_name;Garcia Sergio;Garcia Sergio
1253;team_name;Fiat Yamaha Team;?
840;rider_name;Corsi Simone;?
2565;bike_name;KTM;?
3952;points;20;?
1808;team_name;Estrella Galicia 00;?
2370;shortname;CAT;?
3804;year;2019;?
640;shortname;CZE;?
4300;shortname;GER;?
381;rider_name;Hayden Nicky;?
3835;rider;2532;?
1089;points;13;?
63;category;250cc;250cc
403;year;2006;?
637;number;34.0;34.0
399;country;ES;ES
3866;bike_name;Honda;?
1556;rider;2032;?
1399;team_name;JIR Moto2;?
3655;bike_name;Kalex;?
3400;shortname;SPA;?
3132;year;2017;?
4072;bike_name;Honda;?
942;rider_name;Di Meglio Mike;Di Meglio Mike
1810;number;61.0;?
1793;circuit_name;Estoril;?
782;category;MotoGP;MotoGP
527;rider_name;Bautista Alvaro;Lorenzo Jorge
2758;number;9.0;?
1164;shortname;RSM;?
1945;number;38.0;?
3598;circuit_name;Sepang;?
642;position;2;1
2606;bike_name;KTM;KTM
1389;bike_name;Derbi;Aprilia
3297;circuit_name;Motegi;?
786;circuit_name;Shanghai;?
2319;bike_name;Kalex;?
495;team_name;Ducati Marlboro Team;?
2307;rider_name;Marquez Alex;?
4085;shortname;FRA;?
2437;country;FI;CH
3372;year;2018;?
3138;team_name;Repsol Honda Team;?
2139;shortname;INP;?
4042;bike_name;Kalex;?
3588;points;16;?
4040;team_name;Red Bull KTM Tech 3;?
2812;position;2;2
4272;number;25.0;?
2779;circuit_name;Sepang;?
2609;circuit_name;Le Mans;?
3742;shortname;GER;?
1835;category;Moto2;Moto2
4134;circuit_name;Ricardo Tormo;?
821;shortname;ITA;?
1731;points;25;?
1873;circuit_name;Mugello;?
600;shortname;NED;?
251;shortname;QAT;?
2148;country;ES;ES
3052;circuit_name;Sepang;?
2151;year;2013;?
21;position;1;2
3181;circuit_name;Assen;?
189;rider_name;Di Meglio Mike;Di Meglio Mike
201;country;CH;CH
1699;rider;2080;2080
3563;circuit_name;Motegi;?
1553;rider;2259;2259
3251;circuit_name;Silverstone;?
3976;points;25;?
2708;rider_name;Rabat Tito;?
