riga;nome attributo;valore da imputare;valore imputato
56;Car;Ford Mustang;?
344;Origin;US;?
345;Origin;Japan;?
346;Origin;US;US
177;MPG;20.0;?
178;MPG;23.0;?
179;MPG;24.0;?
60;Horsepower;76.0;?
61;Horsepower;65.0;?
62;Horsepower;69.0;?
112;Model;73;?
19;MPG;15.0;?
100;Acceleration;13.0;14.0
101;Acceleration;14.5;?
102;Acceleration;11.0;?
321;Weight;2678.0;?
141;Horsepower;100.0;?
142;Horsepower;110.0;?
45;Displacement;232.0;?
46;Displacement;350.0;350.0
104;Horsepower;175.0;?
105;Horsepower;105.0;?
101;Weight;4237.0;?
102;Weight;4735.0;?
82;MPG;13.0;?
83;MPG;14.0;?
186;Model;75;78
146;Displacement;318.0;318.0
270;Weight;3425.0;?
271;Weight;3445.0;?
272;Weight;3205.0;?
240;Cylinders;8;8
241;Cylinders;4;4
119;Car;Mazda RX3;?
221;Displacement;350.0;?
222;Displacement;302.0;?
142;Weight;3632.0;?
115;Cylinders;6;6
147;Displacement;302.0;?
148;Displacement;304.0;?
149;Displacement;98.0;?
226;Car;Renault 5 GTL;?
227;Car;Plymouth Arrow GS;?
287;MPG;29.5;37.3
288;MPG;21.5;?
369;Weight;3160.0;?
370;Weight;2900.0;?
192;Car;Capri ii;?
193;Car;Dodge Colt;?
194;Car;Renault 12tl;?
343;Acceleration;15.1;?
296;Car;Dodge St. Regis;?
205;Model;76;73
206;Model;76;75
207;Model;76;76
242;Weight;2740.0;?
243;Weight;2265.0;?
330;Weight;2110.0;?
331;Weight;2800.0;?
162;Weight;3432.0;?
302;Cylinders;4;4
242;Car;Pontiac Sunbird Coupe;?
43;Acceleration;15.5;18.5
284;MPG;21.6;18.0
285;MPG;16.2;?
56;Cylinders;6;6
365;Cylinders;4;4
354;Cylinders;4;4
355;Cylinders;4;4
16;Acceleration;10.0;?
17;Acceleration;8.0;?
341;Horsepower;132.0;?
342;Horsepower;100.0;?
91;MPG;28.0;24.0
281;MPG;23.9;?
282;MPG;20.3;?
283;MPG;17.0;?
101;Origin;US;?
102;Origin;US;?
103;Origin;US;?
76;Origin;US;?
77;Origin;US;?
78;Origin;US;?
218;Horsepower;108.0;?
219;Horsepower;120.0;?
220;Horsepower;180.0;?
367;Cylinders;4;4
183;Model;75;73
184;Model;75;75
60;Cylinders;4;4
61;Cylinders;4;4
62;Cylinders;4;4
344;Acceleration;14.3;?
345;Acceleration;17.0;?
336;MPG;30.0;?
337;MPG;44.6;29.8
338;MPG;40.9;?
232;Displacement;302.0;?
233;Displacement;250.0;?
87;Model;72;?
88;Model;72;73
89;Model;72;72
274;Model;78;?
111;Car;Chevrolet Impala;?
267;Origin;US;US
268;Origin;US;?
269;Origin;US;?
277;Acceleration;14.5;?
107;Horsepower;100.0;?
108;Horsepower;88.0;?
387;Acceleration;14.7;?
279;Horsepower;105.0;?
280;Horsepower;85.0;?
281;Horsepower;97.0;?
83;Origin;US;?
250;Acceleration;12.8;?
303;Car;Dodge Colt Hatchback Custom;?
268;Cylinders;6;6
32;Model;70;?
33;Model;70;72
34;Model;70;72
384;Horsepower;74.0;?
385;Horsepower;68.0;?
386;Horsepower;68.0;?
92;Displacement;97.0;?
93;Displacement;350.0;?
240;Model;77;70
241;Model;77;73
136;Cylinders;6;8
137;Cylinders;4;4
138;Cylinders;4;4
215;Model;76;71
216;Model;76;79
217;Model;76;?
320;Cylinders;4;4
321;Cylinders;4;4
394;MPG;38.0;?
44;MPG;19.0;?
399;Cylinders;4;4
400;Cylinders;4;4
355;Acceleration;19.4;?
336;Displacement;146.0;?
337;Displacement;91.0;?
338;Displacement;85.0;?
280;Displacement;151.0;?
281;Displacement;119.0;?
