riga;nome attributo;valore da imputare;valore imputato
329;Model_Series;737-800;737-800
217;Order_Year;1968;1968
478;Engine;RR;RR
768;Engine;PW;PW
106;Region;Europe;Europe
447;Engine;PW;PW
121;Order_Month;Jul;Jul
137;Order_Year;1999;?
452;Order_Year;1968;1967
115;Customer_Name;Air India;Air India
169;Region;South Asia;Europe
783;Customer_Name;Air Siam;Thai Airways International
752;Order_Year;2008;2008
338;Delivery_Total;2;1
299;Region;Europe;Europe
707;Order_Year;2017;2017
697;Order_Month;Jan;Apr
358;Customer_Name;Ruili Airlines;Okay Airways Company Limited
174;Order_Total;2;2
748;Engine;CF;CF
594;Delivery_Year_;1960;?
502;Model_Series;MD-80;MD-80
562;Delivery_Year_;1992;1991
680;Order_Total;1;1
162;Region;North America;North America
337;Order_Total;1;2
357;Customer_Name;SonAir;SonAir
334;Customer_Name;Aero Lloyd;Aero Lloyd
405;Model_Series;737-400;737-400
635;Country;Ireland;Ireland
853;Customer_Name;DHL;Oak Hill
91;Order_Year;2000;2000
658;Order_Total;7;7
666;Order_Total;1;1
289;Order_Month;Mar;Apr
633;Delivery_Year_;1977;?
259;Order_Month;Mar;Sep
782;Order_Month;Apr;Jan
188;Country;USA;?
740;Delivery_Year_;1970;1975
636;Region;North America;North America
695;Order_Year;1976;1969
710;Model_Series;737-800;737-800
503;Model_Series;MD-80;MD-80
140;Customer_Name;AirTran Airways (Merged with S;United States Navy
677;Model_Series;737-400;737-300
577;Engine;CF;CF
560;Delivery_Total;1;2
601;Delivery_Year_;1966;1980
555;Order_Month;Oct;Jan
768;Customer_Name;NEA Holdings Inc.;Tracinda Corp.
758;Order_Year;1976;1980
230;Engine;PW;PW
820;Region;South Asia;South Asia
826;Customer_Name;East African Airways;East African Airways
41;Engine;RR;GE
72;Order_Year;1966;1967
134;Delivery_Year_;1992;1991
74;Order_Year;1978;1979
381;Order_Total;4;?
365;Customer_Name;Finans AB Balans;KB Flygplanet
603;Region;East Asia;East Asia
140;Country;USA;USA
113;Customer_Name;Adria Airways d.d.;Adria Airways d.d.
392;Model_Series;DC-8;DC-8
218;Delivery_Year_;2006;1985
163;Order_Total;1;1
484;Engine;PW;PW
452;Delivery_Year_;1969;1969
608;Order_Month;Aug;Apr
665;Customer_Name;Korean Air Force Peace Eye;Korean Air Force Peace Eye
32;Engine;PW;PW
742;Order_Total;1;1
278;Order_Month;Mar;Nov
678;Country;Belgium;Belgium
445;Order_Year;2016;2014
757;Region;South America;North America
81;Model_Series;707/720;DC-10
684;Delivery_Total;1;2
830;Country;China;China
334;Engine;PW;PW
227;Order_Month;Jan;Jan
896;Delivery_Year_;1973;1973
63;Order_Total;2;?
120;Order_Year;1973;1976
30;Model_Series;MD-11;777F
318;Order_Year;1965;?
36;Order_Year;2007;2010
735;Order_Month;Feb;Feb
286;Model_Series;737-700;737-800A
