riga;nome attributo;valore da imputare;valore imputato
171;Order_Month;Jul;?
172;Order_Month;Jun;?
173;Order_Month;Sep;?
287;Delivery_Total;1;1
897;Model_Series;747-200;?
898;Model_Series;707/720;?
879;Order_Month;Aug;?
880;Order_Month;Jan;?
881;Order_Month;Feb;?
458;Delivery_Year_;2005;?
459;Delivery_Year_;1976;?
460;Delivery_Year_;2014;?
193;Delivery_Total;1;1
194;Delivery_Total;2;2
195;Delivery_Total;1;1
573;Customer_Name;SCAT Airlines;?
574;Customer_Name;Canadian Airlines;?
575;Customer_Name;Ryanair;?
423;Customer_Name;AIR ITALY S.p.A.;?
424;Customer_Name;AIR ITALY S.p.A.;?
692;Order_Year;1965;1966
693;Order_Year;1998;?
171;Customer_Name;flydubai;?
575;Model_Series;737-800;?
576;Model_Series;737-800;?
339;Model_Series;707/720;?
340;Model_Series;757-200;?
331;Order_Total;2;2
332;Order_Total;2;2
333;Order_Total;1;1
616;Order_Year;1980;?
617;Order_Year;1965;?
550;Model_Series;DC-9;?
436;Delivery_Total;1;1
437;Delivery_Total;1;1
858;Country;USA;USA
859;Country;Bermuda;?
760;Customer_Name;Midwest Airlines Inc.;?
290;Delivery_Total;1;1
291;Delivery_Total;1;1
292;Delivery_Total;2;2
442;Order_Total;1;1
215;Order_Total;1;1
216;Order_Total;4;4
422;Customer_Name;Nauru Airlines;?
594;Engine;PW;?
595;Engine;PW;?
596;Engine;CF;?
44;Engine;PW;?
45;Engine;CF;PW
687;Delivery_Total;1;1
688;Delivery_Total;3;?
689;Delivery_Total;1;1
364;Engine;CF;?
621;Model_Series;737-200;?
36;Delivery_Total;2;2
55;Model_Series;737-800;?
56;Model_Series;767-300F;?
162;Delivery_Year_;1968;?
163;Delivery_Year_;1980;?
388;Model_Series;MD-80;?
889;Order_Month;Feb;?
428;Country;Mongolia;?
562;Region;North America;North America
563;Region;Europe;Europe
564;Region;Europe;Europe
498;Order_Month;Jan;?
499;Order_Month;Feb;?
500;Order_Month;Aug;?
678;Country;Belgium;?
679;Country;Indonesia;?
680;Country;France;France
418;Order_Total;1;1
419;Order_Total;1;1
611;Region;Africa;Africa
525;Delivery_Total;1;1
526;Delivery_Total;2;2
527;Delivery_Total;6;6
96;Delivery_Total;1;1
97;Delivery_Total;1;1
98;Delivery_Total;1;1
352;Model_Series;737-800;?
353;Model_Series;737-200;?
354;Model_Series;707/720;?
621;Region;Europe;Europe
622;Region;Middle East;Middle East
811;Order_Year;1972;1975
162;Order_Total;5;5
163;Order_Total;1;1
164;Order_Total;3;3
837;Delivery_Year_;1989;?
838;Delivery_Year_;1976;?
382;Customer_Name;Air New Zealand;?
383;Customer_Name;Mandarin Airlines;?
517;Model_Series;737-500;?
518;Model_Series;737-400;?
552;Customer_Name;China Airlines;?
654;Region;Oceania;Oceania
655;Region;South Asia;South Asia
656;Region;South America;South America
1;Delivery_Year_;1968;1968
394;Region;Europe;Europe
618;Model_Series;DC-9;?
619;Model_Series;737-800;?
620;Model_Series;DC-8;?
25;Delivery_Total;1;1
26;Delivery_Total;4;4
352;Customer_Name;Standard Chartered Aviation Fi;?
353;Customer_Name;Busy Bee;?
656;Customer_Name;TAME;?
616;Customer_Name;Mexicana;?
324;Order_Year;2014;2011
325;Order_Year;1988;1986
326;Order_Year;1980;1980
247;Order_Total;1;1
248;Order_Total;1;1
249;Order_Total;2;2
887;Delivery_Year_;1971;?
888;Delivery_Year_;1987;?
889;Delivery_Year_;1970;?
374;Region;Southeast Asia;Southeast Asia
375;Region;East Asia;East Asia
376;Region;Europe;Europe
568;Region;East Asia;?
569;Region;Europe;Europe
570;Region;Middle East;Middle East
896;Delivery_Total;1;1
897;Delivery_Total;2;2
898;Delivery_Total;1;1
485;Model_Series;777F;?
486;Model_Series;727;?
487;Model_Series;737-800;?
417;Order_Month;Jun;?
418;Order_Month;Mar;?
419;Order_Month;Jan;?
612;Delivery_Year_;1968;?
613;Delivery_Year_;1982;?
272;Customer_Name;Lauda Air;?
273;Customer_Name;Cameroon Airlines;?
274;Customer_Name;Panagra Cargo;?
466;Engine;CF;?
467;Engine;CF;?
865;Model_Series;767-300F;?
866;Model_Series;737-800;?
553;Region;North America;North America
554;Region;Africa;Africa
49;Order_Total;2;2
50;Order_Total;1;1
579;Order_Month;Aug;?
580;Order_Month;Sep;?
317;Delivery_Year_;1968;?
318;Delivery_Year_;1966;?
877;Delivery_Total;2;2
878;Delivery_Total;2;2
879;Delivery_Total;2;2
849;Order_Total;1;1
850;Order_Total;2;2
331;Customer_Name;Somon Air;?
332;Customer_Name;Virgin Australia Airlines;?
333;Customer_Name;Air Canada;?
616;Order_Total;1;1
617;Order_Total;2;2
618;Order_Total;5;5
61;Engine;RR;?
62;Engine;PW;?
566;Country;USA;?
567;Country;Vietnam;Vietnam
568;Country;China;?
699;Delivery_Total;3;?
700;Delivery_Total;1;1
526;Order_Year;1966;1967
816;Engine;PW;?
817;Engine;RR;?
818;Engine;GE;?
537;Model_Series;DC-8;?
538;Model_Series;757-200;?
207;Region;Middle East;Middle East
208;Region;Europe;Europe
561;Order_Month;Jun;?
562;Order_Month;Apr;?
563;Order_Month;Jan;?
92;Country;Taiwan;?
93;Country;United Arab Emirates;?
822;Delivery_Total;2;2
823;Delivery_Total;1;1
164;Region;North America;North America
799;Delivery_Year_;1979;?
388;Engine;PW;?
389;Engine;PW;?
764;Order_Year;1969;1967
765;Order_Year;1971;?
766;Order_Year;1978;1975
707;Order_Month;Mar;?
559;Customer_Name;Ansett Australia;?
560;Customer_Name;Pembroke Capital Limited;?
561;Customer_Name;Samoa Airways;?
369;Delivery_Year_;1975;?
370;Delivery_Year_;1969;?
319;Delivery_Total;1;1
320;Delivery_Total;1;1
562;Order_Total;2;2
791;Order_Total;2;2
178;Order_Month;Jul;?
179;Order_Month;Sep;?
180;Order_Month;Jan;?
466;Delivery_Year_;2018;?
467;Delivery_Year_;2021;?
44;Delivery_Year_;1975;?
45;Delivery_Year_;1985;?
46;Delivery_Year_;2016;?
68;Model_Series;737-200;?
69;Model_Series;727;?
70;Model_Series;737-400;757-200
576;Order_Total;2;2
577;Order_Total;3;3
578;Order_Total;3;3
259;Customer_Name;easyJet;?
571;Order_Year;1974;1974
572;Order_Year;1981;?
573;Order_Year;2017;?
860;Delivery_Year_;1981;?
861;Delivery_Year_;2016;?
889;Order_Total;1;1
890;Order_Total;1;1
563;Delivery_Total;3;?
564;Delivery_Total;1;1
860;Delivery_Total;1;1
861;Delivery_Total;3;?
777;Customer_Name;Kuwait Airways;?
778;Customer_Name;Buraq Air;?
513;Country;Iraq;Iraq
514;Country;USA;USA
794;Engine;GE;?
455;Model_Series;737-800;?
456;Model_Series;737-800;?
457;Model_Series;DC-8;?
107;Model_Series;DC-8;707/720
108;Model_Series;777-300ER;?
109;Model_Series;767-300F;?
543;Delivery_Year_;1973;?
15;Delivery_Year_;1978;1972
446;Engine;CF;?
447;Engine;PW;?
448;Engine;PW;?
28;Model_Series;747-400ERF;?
29;Model_Series;737-800;707/720
30;Model_Series;MD-11;?
547;Delivery_Total;1;1
548;Delivery_Total;1;1
549;Delivery_Total;1;1
570;Order_Total;4;4
571;Order_Total;1;1
572;Order_Total;2;2
403;Customer_Name;Bank of Communications Leasing;?
404;Customer_Name;Voyager Aviation Aircraft Leas;?
405;Customer_Name;buzz;?
539;Model_Series;737-700;?
540;Model_Series;727;?
401;Delivery_Total;1;?
402;Delivery_Total;1;?
834;Model_Series;737-800A;?
835;Model_Series;737-200;?
836;Model_Series;737-800;?
220;Order_Year;2010;2010
221;Order_Year;2014;2014
222;Order_Year;2011;2008
60;Engine;CF;?
659;Order_Total;9;9
55;Customer_Name;GOL Linhas Aereas;?
56;Customer_Name;Azerbaijan Airlines;?
876;Delivery_Year_;1973;?
116;Delivery_Total;2;2
407;Country;Lebanon;?
408;Country;Brazil;?
409;Country;South Korea;?
451;Engine;PW;?
452;Engine;GE;?
453;Engine;CF;?
700;Engine;PW;?
617;Model_Series;DC-9;?
21;Model_Series;737 MAX;?
514;Order_Total;1;1
443;Delivery_Year_;1971;?
789;Order_Total;1;1
572;Delivery_Year_;1981;?
573;Delivery_Year_;2018;?
574;Delivery_Year_;1987;?
99;Order_Month;Mar;Mar
100;Order_Month;Jan;?
101;Order_Month;Mar;?
382;Order_Month;Feb;?
727;Region;South America;South America
728;Region;North America;North America
331;Region;Central Asia;?
332;Region;Oceania;Oceania
581;Delivery_Year_;2017;?
895;Country;Uzbekistan;?
713;Model_Series;787-9;?
714;Model_Series;737-700C;?
715;Model_Series;747-400;?
448;Delivery_Year_;1978;?
449;Delivery_Year_;2014;?
853;Country;USA;?
344;Order_Year;2001;2008
345;Order_Year;1979;1979
704;Country;Italy;Italy
705;Country;Saudi Arabia;Saudi Arabia
706;Country;Singapore;?
767;Delivery_Year_;1992;?
768;Delivery_Year_;1967;?
383;Delivery_Total;1;1
384;Delivery_Total;6;6
385;Delivery_Total;1;1
481;Customer_Name;NATO;?
482;Customer_Name;Boullioun Aviation Services;?
483;Customer_Name;Republic of Venezuela;?
641;Order_Total;1;1
642;Order_Total;1;1
643;Order_Total;1;1
824;Country;Japan;?
589;Model_Series;DC-9;?
797;Delivery_Total;1;1
798;Delivery_Total;1;1
782;Model_Series;757-200;?
783;Model_Series;DC-10;?
469;Order_Month;Mar;?
470;Order_Month;Jun;?
471;Order_Month;Apr;?
778;Engine;CF;?
779;Engine;CF;?
692;Delivery_Total;1;1
481;Order_Year;1980;?
482;Order_Year;1997;?
151;Order_Month;Jan;?
152;Order_Month;Dec;?
314;Delivery_Year_;1996;?
315;Delivery_Year_;1992;?
316;Delivery_Year_;2010;?
238;Order_Year;1973;1972
177;Engine;PW;PW
356;Order_Year;1969;?
357;Order_Year;2006;2005
358;Order_Year;2014;?
386;Delivery_Total;1;1
747;Country;USA;?
748;Country;Ukraine;Ukraine
749;Country;Australia;Australia
852;Order_Year;1972;1973
853;Order_Year;2019;2018
630;Customer_Name;Austrian Airlines;?
631;Customer_Name;BDS Indian Navy P-8I;?
537;Delivery_Total;2;2
538;Delivery_Total;1;1
400;Order_Total;3;3
401;Order_Total;1;?
402;Order_Total;1;?
730;Order_Month;May;?
731;Order_Month;Mar;?
732;Order_Month;Aug;?
